Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
15:06,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
15:06,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
15:06,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
15:06,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",1
15:06,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
15:06,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
15:06,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
15:06,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",1
15:06,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
15:06,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
14:55,"GOOD LAYUP by RUCKER,CAM(in the paint)",6 (+2),,4,,MILLSAPS 6-4 (+2),,"GOOD LAYUP by RUCKER,CAM(in the paint)",1
14:36,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:24,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
14:24,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
14:11,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:52,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
13:52,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
13:52,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
13:38,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
13:25,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
13:20,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",8 (+4),,4,,MILLSAPS 8-4 (+4),,"GOOD LAYUP by WILLIAMS,CAMERON(fastbreak)(in the paint)",1
13:01,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
12:53,"MISS LAYUP by BASS,XAVIER",,,,,,,"MISS LAYUP by BASS,XAVIER",1
--,"REBOUND OFF by BASS,XAVIER",,,,,,,"REBOUND OFF by BASS,XAVIER",1
12:49,"TURNOVER  by BASS,XAVIER",,,,,,,"TURNOVER  by BASS,XAVIER",1
12:48,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
12:43,,,,,"MISS 3PTR by JOHNSON,DAMECKO",,,"MISS 3PTR by JOHNSON,DAMECKO",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
12:39,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
12:39,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
12:39,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
12:39,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
12:39,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
12:39,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
12:39,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
12:39,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
12:39,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
12:24,"GOOD 3PTR by GILLIHAN,NEWLON",11 (+7),,4,,MILLSAPS 11-4 (+7),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,"ASSIST  by BURNETT,DREW",,,,,,,"ASSIST  by BURNETT,DREW",1
12:08,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:37,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
11:37,,,,,"BLOCK  by JOHNSON,DAMECKO",,,"BLOCK  by JOHNSON,DAMECKO",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
11:26,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
11:26,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",1
11:26,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
11:26,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
11:26,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
11:10,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
10:56,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
10:55,"STEAL  by MILLER,JOSHUA",,,,,,,"STEAL  by MILLER,JOSHUA",1
10:53,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",13 (+9),,4,,MILLSAPS 13-4 (+9),,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",1
10:37,,13 (+7),,6,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 13-6 (+7),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
10:13,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",15 (+9),,6,,MILLSAPS 15-6 (+9),,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",1
10:00,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:00,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
10:00,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
10:00,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",1
09:45,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
09:45,,,,,"FOUL  by JOHNSON,DAMECKO",,,"FOUL  by JOHNSON,DAMECKO",1
09:45,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
09:45,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
09:45,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
09:45,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
09:45,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
09:45,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
09:45,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
09:45,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
09:45,,,,,"SUB OUT by JOHNSON,DAMECKO",,,"SUB OUT by JOHNSON,DAMECKO",1
09:42,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:24,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
09:24,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
09:17,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
09:17,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
09:17,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
08:55,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
08:40,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
08:39,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
08:35,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
08:31,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
08:31,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
08:31,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",1
08:22,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
08:18,,15 (+7),,8,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HENDRIX 15-8 (+7),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
08:01,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
07:44,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
07:28,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
07:16,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:12,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
07:12,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
07:12,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
07:12,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
07:12,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
07:12,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
07:12,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
06:59,"GOOD LAYUP by BURNETT,DREW(in the paint)",17 (+9),,8,,MILLSAPS 17-8 (+9),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
06:34,,17 (+7),,10,"GOOD JUMPER by II,ROD CUMMINGS",HENDRIX 17-10 (+7),,"GOOD JUMPER by II,ROD CUMMINGS",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
06:17,"MISS 3PTR by DIMITRIOS,DYLAN",,,,,,,"MISS 3PTR by DIMITRIOS,DYLAN",1
06:10,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
06:00,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
06:00,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:38,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
05:38,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:38,"MISS FT by WILLIAMS,CAMERON",,,,,,,"MISS FT by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:38,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
05:38,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
05:38,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
05:38,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
05:28,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
05:19,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,"REBOUND OFF by WILLIAMS,CAMERON",,,,,,,"REBOUND OFF by WILLIAMS,CAMERON",1
05:15,"MISS LAYUP by WILLIAMS,CAMERON",,,,,,,"MISS LAYUP by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:14,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
05:14,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
05:14,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
04:54,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
04:48,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
04:37,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
04:19,,17 (+4),,13,"GOOD 3PTR by STANLEY,SETH",HENDRIX 17-13 (+4),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by PHILLIP,ADAM",,,"ASSIST  by PHILLIP,ADAM",1
03:53,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",1
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:53,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
03:53,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
03:53,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
03:53,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
03:53,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
03:53,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
03:52,"MISS JUMPER by BURNETT,DREW",,,,,,,"MISS JUMPER by BURNETT,DREW",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
03:47,,,,,"MISS JUMPER by MCMULLIN,COLTON",,,"MISS JUMPER by MCMULLIN,COLTON",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
03:35,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
03:22,,17 (+1),,16,"GOOD 3PTR by MCMULLIN,COLTON",HENDRIX 17-16 (+1),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,,,,,"ASSIST  by PHILLIP,ADAM",,,"ASSIST  by PHILLIP,ADAM",1
03:03,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",19 (+3),,16,,MILLSAPS 19-16 (+3),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
02:37,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
02:37,"STEAL  by GILLIHAN,NEWLON",,,,,,,"STEAL  by GILLIHAN,NEWLON",1
02:37,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",1
02:37,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
02:37,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
02:37,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
02:37,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
02:37,,,,,"SUB IN by II,CRAIG COLLIER",,,"SUB IN by II,CRAIG COLLIER",1
02:37,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
02:30,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
02:30,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:30,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by II,CRAIG COLLIER",,,"REBOUND DEF by II,CRAIG COLLIER",1
02:25,,,,,"MISS 3PTR by II,CRAIG COLLIER",,,"MISS 3PTR by II,CRAIG COLLIER",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
02:19,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:01,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
02:01,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
01:54,,19 (+1),,18,"GOOD JUMPER by II,CRAIG COLLIER",HENDRIX 19-18 (+1),,"GOOD JUMPER by II,CRAIG COLLIER",1
01:34,"MISS 3PTR by EVANS,CHRISTIAN",,,,,,,"MISS 3PTR by EVANS,CHRISTIAN",1
--,,,,,"REBOUND DEF by II,CRAIG COLLIER",,,"REBOUND DEF by II,CRAIG COLLIER",1
01:21,,,,,"TURNOVER  by II,CRAIG COLLIER",,,"TURNOVER  by II,CRAIG COLLIER",1
01:21,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
01:21,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
01:07,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",1
00:54,,19,,20 (+1),"GOOD JUMPER by II,CRAIG COLLIER",HENDRIX 19-20 (-1),,"GOOD JUMPER by II,CRAIG COLLIER",1
00:47,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",21 (+1),,20,,MILLSAPS 21-20 (+1),,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",1
00:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:22,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
00:22,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
00:22,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
00:22,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
00:02,,21,,22 (+1),"GOOD JUMPER by II,CRAIG COLLIER",HENDRIX 21-22 (-1),,"GOOD JUMPER by II,CRAIG COLLIER",1
19:42,"GOOD 3PTR by GILLIHAN,NEWLON",24 (+2),,22,,MILLSAPS 24-22 (+2),,"GOOD 3PTR by GILLIHAN,NEWLON",2
--,"ASSIST  by BURNETT,DREW",,,,,,,"ASSIST  by BURNETT,DREW",2
19:24,,24,,24,"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIX 24-24 (0),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
19:02,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
19:01,,,,,"STEAL  by II,ROD CUMMINGS",,,"STEAL  by II,ROD CUMMINGS",2
18:58,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",2
18:58,"BLOCK  by WATSON,DOUG",,,,,,,"BLOCK  by WATSON,DOUG",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:42,,24,,27 (+3),"GOOD 3PTR by COMAN,SEAN",HENDRIX 24-27 (-3),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
18:15,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND OFF by WILLIAMS,CAMERON",,,,,,,"REBOUND OFF by WILLIAMS,CAMERON",2
18:10,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:10,"GOOD FT by WILLIAMS,CAMERON",25,,27 (+2),,MILLSAPS 25-27 (-2),,"GOOD FT by WILLIAMS,CAMERON",2
