Time Remaining,MC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
15:31,,31,,38 (+7),"GOOD LAYUP by RIZOS,RYAN(fastbreak)(in the paint)",HCM 31-38 (-7),,"GOOD LAYUP by RIZOS,RYAN(fastbreak)(in the paint)",2
15:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:08,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",33,,38 (+5),,MC-M 33-38 (-5),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
14:52,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",2
14:52,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",2
14:52,,,,,"SUB OUT by EWING,JAMES",,,"SUB OUT by EWING,JAMES",2
14:52,,,,,"SUB OUT by RIZOS,RYAN",,,"SUB OUT by RIZOS,RYAN",2
14:38,,33,,41 (+8),"GOOD 3PTR by MARTIN,AMMON",HCM 33-41 (-8),,"GOOD 3PTR by MARTIN,AMMON",2
14:12,"GOOD LAYUP by WHITE,TIM(in the paint)",35,,41 (+6),,MC-M 35-41 (-6),,"GOOD LAYUP by WHITE,TIM(in the paint)",2
14:01,,35,,43 (+8),"GOOD LAYUP by PRIMM,COLTON(in the paint)",HCM 35-43 (-8),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,,,,,"ASSIST  by HEATHSCOTT,NICK",,,"ASSIST  by HEATHSCOTT,NICK",2
13:42,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",2
13:42,"MISS FT by MERKEL,BRIAN",,,,,,,"MISS FT by MERKEL,BRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:42,"GOOD FT by MERKEL,BRIAN",36,,43 (+7),,MC-M 36-43 (-7),,"GOOD FT by MERKEL,BRIAN",2
13:42,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
13:42,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
13:42,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
13:42,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
13:31,,36,,46 (+10),"GOOD 3PTR by MARTIN,AMMON",HCM 36-46 (-10),,"GOOD 3PTR by MARTIN,AMMON",2
--,,,,,"ASSIST  by HEATHSCOTT,NICK",,,"ASSIST  by HEATHSCOTT,NICK",2
13:08,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",2
12:39,,36,,48 (+12),"GOOD LAYUP by PRIMM,COLTON(in the paint)",HCM 36-48 (-12),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,,,,,"ASSIST  by GOODMAN,CHRIS",,,"ASSIST  by GOODMAN,CHRIS",2
12:23,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
12:14,,36,,50 (+14),"GOOD JUMPER by RILEY,JAREN",HCM 36-50 (-14),,"GOOD JUMPER by RILEY,JAREN",2
12:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:59,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by MONTGOMERY,JAYSON",,,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",2
11:54,"MISS TIPIN by MONTGOMERY,JAYSON",,,,,,,"MISS TIPIN by MONTGOMERY,JAYSON",2
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",2
11:49,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",2
--,,,,,"REBOUND OFF by MARTIN,AMMON",,,"REBOUND OFF by MARTIN,AMMON",2
11:30,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",2
11:29,"STEAL  by MERKEL,BRIAN",,,,,,,"STEAL  by MERKEL,BRIAN",2
11:18,"GOOD LAYUP by CORTESE,NICK(in the paint)",38,,50 (+12),,MC-M 38-50 (-12),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
10:54,,38,,53 (+15),"GOOD 3PTR by GOODMAN,CHRIS",HCM 38-53 (-15),,"GOOD 3PTR by GOODMAN,CHRIS",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
10:42,"MISS 3PTR by SUMLER,LV",,,,,,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND DEF by GOODMAN,CHRIS",,,"REBOUND DEF by GOODMAN,CHRIS",2
10:33,,38,,55 (+17),"GOOD JUMPER by MARTIN,AMMON",HCM 38-55 (-17),,"GOOD JUMPER by MARTIN,AMMON",2
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",2
10:19,"GOOD 3PTR by CORTESE,NICK",41,,55 (+14),,MC-M 41-55 (-14),,"GOOD 3PTR by CORTESE,NICK",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
10:02,,41,,58 (+17),"GOOD 3PTR by GOODMAN,CHRIS",HCM 41-58 (-17),,"GOOD 3PTR by GOODMAN,CHRIS",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
09:35,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",2
09:25,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",2
--,"REBOUND DEF by MONTGOMERY,JAYSON",,,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",2
09:12,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",2
09:12,"MISS FT by MERKEL,BRIAN",,,,,,,"MISS FT by MERKEL,BRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:12,"MISS FT by MERKEL,BRIAN",,,,,,,"MISS FT by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
09:12,"SUB IN by COOPER,BEN",,,,,,,"SUB IN by COOPER,BEN",2
09:12,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
08:54,,,,,"MISS JUMPER by HEATHSCOTT,NICK",,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",2
08:41,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND OFF by COOPER,BEN",,,,,,,"REBOUND OFF by COOPER,BEN",2
08:37,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
08:37,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
08:37,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
08:37,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
08:37,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
08:28,"GOOD LAYUP by COOPER,BEN(in the paint)",43,,58 (+15),,MC-M 43-58 (-15),,"GOOD LAYUP by COOPER,BEN(in the paint)",2
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",2
08:12,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
08:04,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",2
07:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:37,,43,,61 (+18),"GOOD 3PTR by MARTIN,AMMON",HCM 43-61 (-18),,"GOOD 3PTR by MARTIN,AMMON",2
--,,,,,"ASSIST  by GOODMAN,CHRIS",,,"ASSIST  by GOODMAN,CHRIS",2
07:20,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",2
07:19,,,,,"STEAL  by PRIMM,COLTON",,,"STEAL  by PRIMM,COLTON",2
07:11,,43,,63 (+20),"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",HCM 43-63 (-20),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",2
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",2
07:11,"FOUL  by COOPER,BEN",,,,,,,"FOUL  by COOPER,BEN",2
07:11,,,,,"MISS FT by HEATHSCOTT,NICK",,,"MISS FT by HEATHSCOTT,NICK",2
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",2
07:11,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
07:11,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
07:11,"SUB OUT by COOPER,BEN",,,,,,,"SUB OUT by COOPER,BEN",2
07:11,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
07:01,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",2
06:29,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",2
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",2
06:23,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by GOODMAN,CHRIS",,,"REBOUND DEF by GOODMAN,CHRIS",2
06:07,,,,,"MISS 3PTR by MARTIN,AMMON",,,"MISS 3PTR by MARTIN,AMMON",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
06:00,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
05:48,,43,,65 (+22),"GOOD LAYUP by PRIMM,COLTON(in the paint)",HCM 43-65 (-22),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",2
05:46,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
05:46,,,,,"MISS FT by PRIMM,COLTON",,,"MISS FT by PRIMM,COLTON",2
--,,,,,"REBOUND OFF by MARTIN,AMMON",,,"REBOUND OFF by MARTIN,AMMON",2
05:30,,,,,"MISS 3PTR by MARTIN,AMMON",,,"MISS 3PTR by MARTIN,AMMON",2
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",2
05:15,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",2
05:04,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",2
--,"REBOUND OFF by CORTESE,NICK",,,,,,,"REBOUND OFF by CORTESE,NICK",2
04:58,"GOOD LAYUP by CORTESE,NICK(in the paint)",45,,65 (+20),,MC-M 45-65 (-20),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
04:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:51,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
04:51,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
04:51,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
04:28,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",2
04:21,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",2
04:21,"GOOD FT by SUMLER,LV",46,,65 (+19),,MC-M 46-65 (-19),,"GOOD FT by SUMLER,LV",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
04:21,"GOOD FT by SUMLER,LV",47,,65 (+18),,MC-M 47-65 (-18),,"GOOD FT by SUMLER,LV",2
04:21,,,,,"SUB IN by EWING,JAMES",,,"SUB IN by EWING,JAMES",2
04:21,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",2
04:13,,,,,"MISS LAYUP by HEATHSCOTT,NICK",,,"MISS LAYUP by HEATHSCOTT,NICK",2
04:13,"BLOCK  by WHITE,TIM",,,,,,,"BLOCK  by WHITE,TIM",2
--,,,,,"REBOUND OFF by HEATHSCOTT,NICK",,,"REBOUND OFF by HEATHSCOTT,NICK",2
04:09,,47,,67 (+20),"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",HCM 47-67 (-20),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",2
04:02,"GOOD 3PTR by WHITE,TIM",50,,67 (+17),,MC-M 50-67 (-17),,"GOOD 3PTR by WHITE,TIM",2
--,"ASSIST  by SUMLER,LV",,,,,,,"ASSIST  by SUMLER,LV",2
03:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:50,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
03:50,,,,,"SUB IN by NIELSEN,DANE",,,"SUB IN by NIELSEN,DANE",2
03:50,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",2
03:40,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
03:40,,,,,"MISS FT by HEATHSCOTT,NICK",,,"MISS FT by HEATHSCOTT,NICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:40,,50,,68 (+18),"GOOD FT by HEATHSCOTT,NICK",HCM 50-68 (-18),,"GOOD FT by HEATHSCOTT,NICK",2
--,,,,,"ASSIST  by EWING,JAMES",,,"ASSIST  by EWING,JAMES",2
03:40,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
03:40,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
03:40,,,,,"SUB IN by MARTIN,AMMON",,,"SUB IN by MARTIN,AMMON",2
03:40,,,,,"SUB OUT by NIELSEN,DANE",,,"SUB OUT by NIELSEN,DANE",2
03:36,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:28,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
03:28,"GOOD FT by MEADES,TAYLOR",51,,68 (+17),,MC-M 51-68 (-17),,"GOOD FT by MEADES,TAYLOR",2
03:28,"GOOD FT by MEADES,TAYLOR",52,,68 (+16),,MC-M 52-68 (-16),,"GOOD FT by MEADES,TAYLOR",2
03:28,,,,,"SUB IN by NIELSEN,DANE",,,"SUB IN by NIELSEN,DANE",2
03:28,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",2
03:03,,,,,"MISS 3PTR by NIELSEN,DANE",,,"MISS 3PTR by NIELSEN,DANE",2
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",2
02:59,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",2
02:59,"GOOD FT by MEADES,TAYLOR",53,,68 (+15),,MC-M 53-68 (-15),,"GOOD FT by MEADES,TAYLOR",2
02:59,"MISS FT by MEADES,TAYLOR",,,,,,,"MISS FT by MEADES,TAYLOR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:59,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
02:59,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
02:49,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND OFF by SUMLER,LV",,,,,,,"REBOUND OFF by SUMLER,LV",2
02:40,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",2
02:40,"GOOD FT by SUMLER,LV",54,,68 (+14),,MC-M 54-68 (-14),,"GOOD FT by SUMLER,LV",2
02:40,"GOOD FT by SUMLER,LV",55,,68 (+13),,MC-M 55-68 (-13),,"GOOD FT by SUMLER,LV",2
02:40,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
02:40,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
02:38,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
02:37,,55,,69 (+14),"GOOD FT by RILEY,JAREN",HCM 55-69 (-14),,"GOOD FT by RILEY,JAREN",2
02:37,,55,,70 (+15),"GOOD FT by RILEY,JAREN",HCM 55-70 (-15),,"GOOD FT by RILEY,JAREN",2
02:37,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
02:37,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
02:37,,,,,"SUB IN by MARTIN,AMMON",,,"SUB IN by MARTIN,AMMON",2
02:37,,,,,"SUB OUT by HEATHSCOTT,NICK",,,"SUB OUT by HEATHSCOTT,NICK",2
02:32,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND OFF by WHITE,TIM",,,,,,,"REBOUND OFF by WHITE,TIM",2
02:25,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",2
02:10,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",2
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",2
01:58,,,,,"FOUL  by NIELSEN,DANE",,,"FOUL  by NIELSEN,DANE",2
01:58,"GOOD FT by MEADES,TAYLOR",56,,70 (+14),,MC-M 56-70 (-14),,"GOOD FT by MEADES,TAYLOR",2
01:58,"GOOD FT by MEADES,TAYLOR",57,,70 (+13),,MC-M 57-70 (-13),,"GOOD FT by MEADES,TAYLOR",2
01:58,"SUB IN by GUIDICE,DREW",,,,,,,"SUB IN by GUIDICE,DREW",2
01:58,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
01:57,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
01:57,,57,,71 (+14),"GOOD FT by EWING,JAMES",HCM 57-71 (-14),,"GOOD FT by EWING,JAMES",2
01:57,,57,,72 (+15),"GOOD FT by EWING,JAMES",HCM 57-72 (-15),,"GOOD FT by EWING,JAMES",2
01:57,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
01:57,"SUB OUT by GUIDICE,DREW",,,,,,,"SUB OUT by GUIDICE,DREW",2
01:51,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",2
01:45,,,,,"TURNOVER  by MARTIN,AMMON",,,"TURNOVER  by MARTIN,AMMON",2
01:45,"STEAL  by SUMLER,LV",,,,,,,"STEAL  by SUMLER,LV",2
01:45,,,,,"FOUL  by NIELSEN,DANE",,,"FOUL  by NIELSEN,DANE",2
01:45,"GOOD FT by SUMLER,LV",58,,72 (+14),,MC-M 58-72 (-14),,"GOOD FT by SUMLER,LV",2
01:45,"GOOD FT by SUMLER,LV",59,,72 (+13),,MC-M 59-72 (-13),,"GOOD FT by SUMLER,LV",2
01:14,"FOUL  by SUMLER,LV",,,,,,,"FOUL  by SUMLER,LV",2
01:14,,59,,73 (+14),"GOOD FT by MARTIN,AMMON",HCM 59-73 (-14),,"GOOD FT by MARTIN,AMMON",2
01:14,,59,,74 (+15),"GOOD FT by MARTIN,AMMON",HCM 59-74 (-15),,"GOOD FT by MARTIN,AMMON",2
01:14,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
01:14,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
01:07,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by SUMLER,LV",,,,,,,"REBOUND OFF by SUMLER,LV",2
01:02,"MISS LAYUP by SUMLER,LV",,,,,,,"MISS LAYUP by SUMLER,LV",2
--,,,,,"REBOUND DEF by GOODMAN,CHRIS",,,"REBOUND DEF by GOODMAN,CHRIS",2
00:49,,,,,"TURNOVER  by EWING,JAMES",,,"TURNOVER  by EWING,JAMES",2
00:48,"STEAL  by SUMLER,LV",,,,,,,"STEAL  by SUMLER,LV",2
00:45,"GOOD LAYUP by SUMLER,LV(fastbreak)(in the paint)",61,,74 (+13),,MC-M 61-74 (-13),,"GOOD LAYUP by SUMLER,LV(fastbreak)(in the paint)",2
00:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:45,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
00:45,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
00:44,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
00:44,,,,,"MISS FT by EWING,JAMES",,,"MISS FT by EWING,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:44,,61,,75 (+14),"GOOD FT by EWING,JAMES",HCM 61-75 (-14),,"GOOD FT by EWING,JAMES",2
00:44,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:44,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
00:40,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",63,,75 (+12),,MC-M 63-75 (-12),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
00:34,,,,,"TURNOVER  by GOODMAN,CHRIS",,,"TURNOVER  by GOODMAN,CHRIS",2
00:34,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
00:34,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
00:30,"MISS LAYUP by SUMLER,LV",,,,,,,"MISS LAYUP by SUMLER,LV",2
--,,,,,"REBOUND DEF by NIELSEN,DANE",,,"REBOUND DEF by NIELSEN,DANE",2
00:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:17,"SUB IN by LEMIEUX,QUINN",,,,,,,"SUB IN by LEMIEUX,QUINN",2
00:17,"SUB IN by MCLEMORE,JEREMY",,,,,,,"SUB IN by MCLEMORE,JEREMY",2
00:17,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
00:17,"SUB OUT by SUMLER,LV",,,,,,,"SUB OUT by SUMLER,LV",2
00:17,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
00:17,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
