Time Remaining,TUM,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
11:08,"GOOD 3PTR by WILT,JONATHAN",43 (+12),,31,,TUM 43-31 (-12),,"GOOD 3PTR by WILT,JONATHAN",2
--,"ASSIST  by FELDMAN,MATT",,,,,,,"ASSIST  by FELDMAN,MATT",2
10:46,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",2
10:34,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
10:34,"SUB IN by BEALL,RYAN",,,,,,,"SUB IN by BEALL,RYAN",2
10:34,"SUB OUT by CALDARERA,LUKE",,,,,,,"SUB OUT by CALDARERA,LUKE",2
10:34,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
10:34,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
10:30,"MISS 3PTR by DWORKIN,SAM",,,,,,,"MISS 3PTR by DWORKIN,SAM",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
10:23,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
09:52,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
09:52,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
09:52,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
09:52,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
09:51,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
09:51,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
09:51,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
09:36,"TURNOVER  by WILT,JONATHAN",,,,,,,"TURNOVER  by WILT,JONATHAN",2
09:36,"SUB IN by LAMBERT,ZACH",,,,,,,"SUB IN by LAMBERT,ZACH",2
09:36,"SUB OUT by FELDMAN,MATT",,,,,,,"SUB OUT by FELDMAN,MATT",2
09:03,,43 (+9),,34,"GOOD 3PTR by MERKEL,BRIAN",MC-M 43-34 (-9),,"GOOD 3PTR by MERKEL,BRIAN",2
08:30,"TURNOVER  by WILT,JONATHAN",,,,,,,"TURNOVER  by WILT,JONATHAN",2
08:28,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
08:26,"SUB IN by KITZINGER,ROBERT",,,,,,,"SUB IN by KITZINGER,ROBERT",2
08:26,"SUB OUT by DWORKIN,SAM",,,,,,,"SUB OUT by DWORKIN,SAM",2
08:05,"SUB IN by ALLAN,CLARKE",,,,,,,"SUB IN by ALLAN,CLARKE",2
08:05,"SUB OUT by WILT,JONATHAN",,,,,,,"SUB OUT by WILT,JONATHAN",2
07:59,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",,,"REBOUND OFF by MONTGOMERY,JAYSON",2
07:40,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",2
07:18,"MISS 3PTR by LAMBERT,ZACH",,,,,,,"MISS 3PTR by LAMBERT,ZACH",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
07:11,"FOUL  by ALLAN,CLARKE",,,,,,,"FOUL  by ALLAN,CLARKE",2
07:10,,43 (+8),,35,"GOOD FT by MERKEL,BRIAN",MC-M 43-35 (-8),,"GOOD FT by MERKEL,BRIAN",2
07:10,,43 (+7),,36,"GOOD FT by MERKEL,BRIAN",MC-M 43-36 (-7),,"GOOD FT by MERKEL,BRIAN",2
07:10,"SUB IN by CALDARERA,LUKE",,,,,,,"SUB IN by CALDARERA,LUKE",2
07:10,"SUB OUT by HOPSON,HEATH",,,,,,,"SUB OUT by HOPSON,HEATH",2
07:10,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
07:10,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
06:54,"TURNOVER  by KITZINGER,ROBERT",,,,,,,"TURNOVER  by KITZINGER,ROBERT",2
06:21,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",2
06:06,"TURNOVER  by KITZINGER,ROBERT",,,,,,,"TURNOVER  by KITZINGER,ROBERT",2
06:02,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
06:00,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by LAMBERT,ZACH",,,,,,,"REBOUND DEF by LAMBERT,ZACH",2
05:36,"GOOD JUMPER by KITZINGER,ROBERT",45 (+9),,36,,TUM 45-36 (-9),,"GOOD JUMPER by KITZINGER,ROBERT",2
05:36,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:16,"FOUL  by ALLAN,CLARKE",,,,,,,"FOUL  by ALLAN,CLARKE",2
05:16,,,,,"MISS FT by MONTGOMERY,JAYSON",,,"MISS FT by MONTGOMERY,JAYSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:16,,,,,"MISS FT by MONTGOMERY,JAYSON",,,"MISS FT by MONTGOMERY,JAYSON",2
--,"REBOUND DEF by LAMBERT,ZACH",,,,,,,"REBOUND DEF by LAMBERT,ZACH",2
05:16,"SUB IN by FELDMAN,MATT",,,,,,,"SUB IN by FELDMAN,MATT",2
05:16,"SUB OUT by ALLAN,CLARKE",,,,,,,"SUB OUT by ALLAN,CLARKE",2
04:52,"MISS 3PTR by BEALL,RYAN",,,,,,,"MISS 3PTR by BEALL,RYAN",2
--,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",,,"REBOUND DEF by MONTGOMERY,JAYSON",2
04:25,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
04:13,"GOOD LAYUP by CALDARERA,LUKE(in the paint)",47 (+11),,36,,TUM 47-36 (-11),,"GOOD LAYUP by CALDARERA,LUKE(in the paint)",2
03:50,,,,,"MISS JUMPER by MONTGOMERY,JAYSON",,,"MISS JUMPER by MONTGOMERY,JAYSON",2
03:50,"BLOCK  by CALDARERA,LUKE",,,,,,,"BLOCK  by CALDARERA,LUKE",2
--,"REBOUND DEF by FELDMAN,MATT",,,,,,,"REBOUND DEF by FELDMAN,MATT",2
03:34,"FOUL  by LAMBERT,ZACH",,,,,,,"FOUL  by LAMBERT,ZACH",2
03:33,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
03:33,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
03:19,,47 (+8),,39,"GOOD 3PTR by CORTESE,NICK",MC-M 47-39 (-8),,"GOOD 3PTR by CORTESE,NICK",2
03:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:55,"MISS JUMPER by CALDARERA,LUKE",,,,,,,"MISS JUMPER by CALDARERA,LUKE",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
02:35,"FOUL  by FELDMAN,MATT",,,,,,,"FOUL  by FELDMAN,MATT",2
02:35,,47 (+7),,40,"GOOD FT by SUMLER,LV",MC-M 47-40 (-7),,"GOOD FT by SUMLER,LV",2
02:35,,47 (+6),,41,"GOOD FT by SUMLER,LV",MC-M 47-41 (-6),,"GOOD FT by SUMLER,LV",2
02:35,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
02:35,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
02:06,"GOOD JUMPER by CALDARERA,LUKE",49 (+8),,41,,TUM 49-41 (-8),,"GOOD JUMPER by CALDARERA,LUKE",2
02:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:42,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
01:41,,49 (+6),,43,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MC-M 49-43 (-6),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
01:41,"FOUL  by LAMBERT,ZACH",,,,,,,"FOUL  by LAMBERT,ZACH",2
01:41,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:38,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",2
01:37,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
01:25,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",2
01:06,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by CALDARERA,LUKE",,,,,,,"REBOUND DEF by CALDARERA,LUKE",2
00:59,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
00:49,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
00:46,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
00:46,"GOOD FT by FELDMAN,MATT",50 (+7),,43,,TUM 50-43 (-7),,"GOOD FT by FELDMAN,MATT",2
00:46,"GOOD FT by FELDMAN,MATT",51 (+8),,43,,TUM 51-43 (-8),,"GOOD FT by FELDMAN,MATT",2
00:39,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
00:39,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",2
00:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
00:21,,51 (+6),,45,"GOOD JUMPER by MEADES,TAYLOR",MC-M 51-45 (-6),,"GOOD JUMPER by MEADES,TAYLOR",2
00:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",2
00:18,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
00:18,"GOOD FT by FELDMAN,MATT",52 (+7),,45,,TUM 52-45 (-7),,"GOOD FT by FELDMAN,MATT",2
00:18,"GOOD FT by FELDMAN,MATT",53 (+8),,45,,TUM 53-45 (-8),,"GOOD FT by FELDMAN,MATT",2
00:08,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by FELDMAN,MATT",,,,,,,"REBOUND DEF by FELDMAN,MATT",2
