Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
16:37,,42 (+9),,33,"GOOD FT by KINNEAR,KYLE",MC-M 42-33 (-9),,"GOOD FT by KINNEAR,KYLE",2
16:37,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
16:37,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
16:37,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
16:37,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
16:14,"MISS LAYUP by PULLIAM,GREG",,,,,,,"MISS LAYUP by PULLIAM,GREG",2
--,"REBOUND OFF by BLACK,KEN",,,,,,,"REBOUND OFF by BLACK,KEN",2
16:13,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
16:13,"GOOD FT by BLACK,KEN",43 (+10),,33,,MC 43-33 (-10),,"GOOD FT by BLACK,KEN",2
16:13,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",2
16:13,"SUB IN by RUTH,XAVIER",,,,,,,"SUB IN by RUTH,XAVIER",2
16:13,"SUB OUT by BLACK,KEN",,,,,,,"SUB OUT by BLACK,KEN",2
16:13,"SUB OUT by ESTER,MARLON",,,,,,,"SUB OUT by ESTER,MARLON",2
16:05,,43 (+8),,35,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 43-35 (-8),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
15:49,"TURNOVER  by PULLIAM,GREG",,,,,,,"TURNOVER  by PULLIAM,GREG",2
15:23,,43 (+6),,37,"GOOD JUMPER by CORTESE,NICK(in the paint)",MC-M 43-37 (-6),,"GOOD JUMPER by CORTESE,NICK(in the paint)",2
14:56,"MISS JUMPER by RUTH,XAVIER",,,,,,,"MISS JUMPER by RUTH,XAVIER",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
14:41,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",2
14:41,"SUB IN by TISDALE,JOEY",,,,,,,"SUB IN by TISDALE,JOEY",2
14:41,"SUB IN by SHACKELFORD,PATE",,,,,,,"SUB IN by SHACKELFORD,PATE",2
14:41,"SUB IN by HADLEY,PIERRE",,,,,,,"SUB IN by HADLEY,PIERRE",2
14:41,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",2
14:41,"SUB OUT by BOUNDS,CAMERON",,,,,,,"SUB OUT by BOUNDS,CAMERON",2
14:41,"SUB OUT by LESTER,KELVIN",,,,,,,"SUB OUT by LESTER,KELVIN",2
14:41,"SUB OUT by PULLIAM,GREG",,,,,,,"SUB OUT by PULLIAM,GREG",2
14:41,"SUB OUT by RUTH,XAVIER",,,,,,,"SUB OUT by RUTH,XAVIER",2
14:15,"MISS 3PTR by SMITH,KENDRE'",,,,,,,"MISS 3PTR by SMITH,KENDRE'",2
--,"REBOUND OFF by JONES,CHAD",,,,,,,"REBOUND OFF by JONES,CHAD",2
14:05,"MISS 3PTR by SHACKELFORD,PATE",,,,,,,"MISS 3PTR by SHACKELFORD,PATE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:03,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
14:03,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
14:03,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
14:03,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
13:45,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by SMITH,KENDRE'",,,,,,,"REBOUND DEF by SMITH,KENDRE'",2
13:40,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
13:23,"TURNOVER  by HADLEY,PIERRE",,,,,,,"TURNOVER  by HADLEY,PIERRE",2
13:22,,,,,"STEAL  by MEADES,TAYLOR",,,"STEAL  by MEADES,TAYLOR",2
13:10,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",2
13:07,"STEAL  by SMITH,KENDRE'",,,,,,,"STEAL  by SMITH,KENDRE'",2
13:06,"GOOD LAYUP by SMITH,KENDRE'(fastbreak)(in the paint)",45 (+8),,37,,MC 45-37 (-8),,"GOOD LAYUP by SMITH,KENDRE'(fastbreak)(in the paint)",2
12:49,,45 (+6),,39,"GOOD JUMPER by MERKEL,BRIAN(in the paint)",MC-M 45-39 (-6),,"GOOD JUMPER by MERKEL,BRIAN(in the paint)",2
12:11,"GOOD LAYUP by JONES,CHAD(in the paint)",47 (+8),,39,,MC 47-39 (-8),,"GOOD LAYUP by JONES,CHAD(in the paint)",2
12:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:05,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
12:05,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
12:05,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
12:05,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
11:52,,,,,"MISS LAYUP by LEMIEUX,QUINN",,,"MISS LAYUP by LEMIEUX,QUINN",2
--,,,,,"REBOUND OFF by LEMIEUX,QUINN",,,"REBOUND OFF by LEMIEUX,QUINN",2
11:45,,,,,"TURNOVER  by LEMIEUX,QUINN",,,"TURNOVER  by LEMIEUX,QUINN",2
11:40,"STEAL  by JONES,CHAD",,,,,,,"STEAL  by JONES,CHAD",2
11:32,"MISS LAYUP by TISDALE,JOEY",,,,,,,"MISS LAYUP by TISDALE,JOEY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:24,"MISS JUMPER by TISDALE,JOEY",,,,,,,"MISS JUMPER by TISDALE,JOEY",2
11:24,,,,,"BLOCK  by MONTGOMERY,JAYSON",,,"BLOCK  by MONTGOMERY,JAYSON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:18,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
11:04,"MISS 3PTR by SMITH,KENDRE'",,,,,,,"MISS 3PTR by SMITH,KENDRE'",2
--,"REBOUND OFF by SMITH,KENDRE'",,,,,,,"REBOUND OFF by SMITH,KENDRE'",2
10:37,"MISS 3PTR by SMITH,KENDRE'",,,,,,,"MISS 3PTR by SMITH,KENDRE'",2
--,"REBOUND OFF by SHACKELFORD,PATE",,,,,,,"REBOUND OFF by SHACKELFORD,PATE",2
10:30,"MISS LAYUP by SMITH,KENDRE'",,,,,,,"MISS LAYUP by SMITH,KENDRE'",2
--,,,,,"REBOUND DEF by LEMIEUX,QUINN",,,"REBOUND DEF by LEMIEUX,QUINN",2
10:22,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:19,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",2
10:19,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
09:48,"GOOD 3PTR by HADLEY,PIERRE",50 (+11),,39,,MC 50-39 (-11),,"GOOD 3PTR by HADLEY,PIERRE",2
--,"ASSIST  by SHACKELFORD,PATE",,,,,,,"ASSIST  by SHACKELFORD,PATE",2
09:24,,50 (+9),,41,"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 50-41 (-9),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
09:01,"MISS JUMPER by HADLEY,PIERRE",,,,,,,"MISS JUMPER by HADLEY,PIERRE",2
09:01,,,,,"BLOCK  by LEMIEUX,QUINN",,,"BLOCK  by LEMIEUX,QUINN",2
--,"REBOUND OFF by JONES,CHAD",,,,,,,"REBOUND OFF by JONES,CHAD",2
08:57,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
08:57,"MISS FT by JONES,CHAD",,,,,,,"MISS FT by JONES,CHAD",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:57,"GOOD FT by JONES,CHAD",51 (+10),,41,,MC 51-41 (-10),,"GOOD FT by JONES,CHAD",2
08:57,"SUB IN by BLACK,KEN",,,,,,,"SUB IN by BLACK,KEN",2
08:57,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",2
08:57,"SUB IN by LESTER,KELVIN",,,,,,,"SUB IN by LESTER,KELVIN",2
08:57,"SUB IN by PULLIAM,GREG",,,,,,,"SUB IN by PULLIAM,GREG",2
08:57,"SUB IN by C. WILLIAMS,E",,,,,,,"SUB IN by C. WILLIAMS,E",2
08:57,"SUB OUT by TISDALE,JOEY",,,,,,,"SUB OUT by TISDALE,JOEY",2
08:57,"SUB OUT by SHACKELFORD,PATE",,,,,,,"SUB OUT by SHACKELFORD,PATE",2
08:57,"SUB OUT by HADLEY,PIERRE",,,,,,,"SUB OUT by HADLEY,PIERRE",2
08:57,"SUB OUT by SMITH,KENDRE'",,,,,,,"SUB OUT by SMITH,KENDRE'",2
08:57,"SUB OUT by JONES,CHAD",,,,,,,"SUB OUT by JONES,CHAD",2
08:57,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
08:57,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",2
08:57,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
08:49,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
08:33,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
08:33,"GOOD FT by C. WILLIAMS,E",52 (+11),,41,,MC 52-41 (-11),,"GOOD FT by C. WILLIAMS,E",2
08:33,"GOOD FT by C. WILLIAMS,E",53 (+12),,41,,MC 53-41 (-12),,"GOOD FT by C. WILLIAMS,E",2
08:33,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
08:33,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
08:33,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
08:33,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
08:22,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:17,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
08:13,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
08:12,"STEAL  by PULLIAM,GREG",,,,,,,"STEAL  by PULLIAM,GREG",2
07:58,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
07:58,"GOOD FT by BLACK,KEN",54 (+13),,41,,MC 54-41 (-13),,"GOOD FT by BLACK,KEN",2
07:58,"GOOD FT by BLACK,KEN",55 (+14),,41,,MC 55-41 (-14),,"GOOD FT by BLACK,KEN",2
07:58,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
07:58,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
07:38,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,"REBOUND DEF by PULLIAM,GREG",,,,,,,"REBOUND DEF by PULLIAM,GREG",2
07:29,"GOOD LAYUP by BLACK,KEN(in the paint)",57 (+16),,41,,MC 57-41 (-16),,"GOOD LAYUP by BLACK,KEN(in the paint)",2
07:29,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
07:29,"GOOD FT by BLACK,KEN",58 (+17),,41,,MC 58-41 (-17),,"GOOD FT by BLACK,KEN",2
07:26,"GOOD JUMPER by BLACK,KEN",60 (+19),,41,,MC 60-41 (-19),,"GOOD JUMPER by BLACK,KEN",2
07:14,"FOUL  by BOUNDS,CAMERON",,,,,,,"FOUL  by BOUNDS,CAMERON",2
07:14,,60 (+18),,42,"GOOD FT by SUMLER,LV",MC-M 60-42 (-18),,"GOOD FT by SUMLER,LV",2
07:14,,,,,"MISS FT by SUMLER,LV",,,"MISS FT by SUMLER,LV",2
--,"REBOUND DEF by BOUNDS,CAMERON",,,,,,,"REBOUND DEF by BOUNDS,CAMERON",2
07:14,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
07:14,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
07:14,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
07:06,"MISS JUMPER by BOUNDS,CAMERON",,,,,,,"MISS JUMPER by BOUNDS,CAMERON",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
06:57,,60 (+16),,44,"GOOD DUNK by LEMIEUX,QUINN(in the paint)",MC-M 60-44 (-16),,"GOOD DUNK by LEMIEUX,QUINN(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
06:40,"GOOD 3PTR by PULLIAM,GREG",63 (+19),,44,,MC 63-44 (-19),,"GOOD 3PTR by PULLIAM,GREG",2
--,"ASSIST  by LESTER,KELVIN",,,,,,,"ASSIST  by LESTER,KELVIN",2
06:17,,,,,"MISS LAYUP by SUMLER,LV",,,"MISS LAYUP by SUMLER,LV",2
--,"REBOUND DEF by C. WILLIAMS,E",,,,,,,"REBOUND DEF by C. WILLIAMS,E",2
06:11,"MISS LAYUP by C. WILLIAMS,E",,,,,,,"MISS LAYUP by C. WILLIAMS,E",2
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",2
06:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:06,"MISS 3PTR by C. WILLIAMS,E",,,,,,,"MISS 3PTR by C. WILLIAMS,E",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:00,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
06:00,"MISS FT by BLACK,KEN",,,,,,,"MISS FT by BLACK,KEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:00,"MISS FT by BLACK,KEN",,,,,,,"MISS FT by BLACK,KEN",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
06:00,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
06:00,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
05:46,"FOUL  by PULLIAM,GREG",,,,,,,"FOUL  by PULLIAM,GREG",2
05:37,,,,,"MISS JUMPER by LEMIEUX,QUINN",,,"MISS JUMPER by LEMIEUX,QUINN",2
--,"REBOUND DEF by BLACK,KEN",,,,,,,"REBOUND DEF by BLACK,KEN",2
05:22,"MISS JUMPER by BOUNDS,CAMERON",,,,,,,"MISS JUMPER by BOUNDS,CAMERON",2
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",2
05:14,,63 (+16),,47,"GOOD 3PTR by CORTESE,NICK",MC-M 63-47 (-16),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
05:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:50,"TURNOVER  by BLACK,KEN",,,,,,,"TURNOVER  by BLACK,KEN",2
04:32,"FOUL  by LESTER,KELVIN",,,,,,,"FOUL  by LESTER,KELVIN",2
04:32,"SUB IN by SHACKELFORD,PATE",,,,,,,"SUB IN by SHACKELFORD,PATE",2
04:32,"SUB IN by HADLEY,PIERRE",,,,,,,"SUB IN by HADLEY,PIERRE",2
04:32,"SUB IN by JONES,CHAD",,,,,,,"SUB IN by JONES,CHAD",2
04:32,"SUB OUT by BOUNDS,CAMERON",,,,,,,"SUB OUT by BOUNDS,CAMERON",2
04:32,"SUB OUT by PULLIAM,GREG",,,,,,,"SUB OUT by PULLIAM,GREG",2
04:32,"SUB OUT by C. WILLIAMS,E",,,,,,,"SUB OUT by C. WILLIAMS,E",2
04:32,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
04:32,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",2
04:24,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND DEF by SHACKELFORD,PATE",,,,,,,"REBOUND DEF by SHACKELFORD,PATE",2
04:21,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
04:21,"GOOD FT by SMITH,KENDRE'",64 (+17),,47,,MC 64-47 (-17),,"GOOD FT by SMITH,KENDRE'",2
04:21,"GOOD FT by SMITH,KENDRE'",65 (+18),,47,,MC 65-47 (-18),,"GOOD FT by SMITH,KENDRE'",2
04:05,"FOUL  by JONES,CHAD",,,,,,,"FOUL  by JONES,CHAD",2
04:02,,65 (+16),,49,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 65-49 (-16),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
04:02,"FOUL  by JONES,CHAD",,,,,,,"FOUL  by JONES,CHAD",2
04:02,,65 (+15),,50,"GOOD FT by KINNEAR,KYLE",MC-M 65-50 (-15),,"GOOD FT by KINNEAR,KYLE",2
04:01,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
04:01,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
04:01,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
04:01,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
04:01,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
04:01,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
03:57,"TURNOVER  by HADLEY,PIERRE",,,,,,,"TURNOVER  by HADLEY,PIERRE",2
03:56,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
03:54,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
03:48,,65 (+12),,53,"GOOD 3PTR by MERKEL,BRIAN",MC-M 65-53 (-12),,"GOOD 3PTR by MERKEL,BRIAN",2
03:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:18,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",2
03:18,"SUB OUT by LESTER,KELVIN",,,,,,,"SUB OUT by LESTER,KELVIN",2
03:18,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
03:18,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
02:45,"GOOD JUMPER by BLACK,KEN",67 (+14),,53,,MC 67-53 (-14),,"GOOD JUMPER by BLACK,KEN",2
--,"ASSIST  by SMITH,KENDRE'",,,,,,,"ASSIST  by SMITH,KENDRE'",2
02:25,,67 (+12),,55,"GOOD JUMPER by SUMLER,LV",MC-M 67-55 (-12),,"GOOD JUMPER by SUMLER,LV",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
01:59,"MISS JUMPER by BLACK,KEN",,,,,,,"MISS JUMPER by BLACK,KEN",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
01:52,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",2
01:51,"STEAL  by HADLEY,PIERRE",,,,,,,"STEAL  by HADLEY,PIERRE",2
01:24,"MISS JUMPER by SMITH,KENDRE'",,,,,,,"MISS JUMPER by SMITH,KENDRE'",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
01:16,"FOUL  by SMITH,KENDRE'",,,,,,,"FOUL  by SMITH,KENDRE'",2
01:16,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",2
--,"REBOUND DEF by VAUGHAN,CALEB",,,,,,,"REBOUND DEF by VAUGHAN,CALEB",2
01:16,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",2
01:16,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
00:50,"TURNOVER  by HADLEY,PIERRE",,,,,,,"TURNOVER  by HADLEY,PIERRE",2
00:47,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",2
00:42,,,,,"MISS 3PTR by LEMIEUX,QUINN",,,"MISS 3PTR by LEMIEUX,QUINN",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
00:29,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
00:29,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",2
00:29,"SUB IN by LESTER,KELVIN",,,,,,,"SUB IN by LESTER,KELVIN",2
00:29,"SUB OUT by HADLEY,PIERRE",,,,,,,"SUB OUT by HADLEY,PIERRE",2
00:29,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",2
00:29,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",2
00:29,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
00:29,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
00:29,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
00:29,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
