Time Remaining,MC-M,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
14:50,,27,,33 (+6),"GOOD LAYUP by HASELEY,SEAN(in the paint)",DEPAUW 27-33 (-6),,"GOOD LAYUP by HASELEY,SEAN(in the paint)",2
14:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:40,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
14:40,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
14:40,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
14:40,"SUB OUT by LEMIEUX,QUINN",,,,,,,"SUB OUT by LEMIEUX,QUINN",2
14:40,,,,,"SUB IN by WILLS,DREW",,,"SUB IN by WILLS,DREW",2
14:40,,,,,"SUB OUT by SIMPSON,ROSS",,,"SUB OUT by SIMPSON,ROSS",2
14:30,,,,,"FOUL  by RUSSELL,RYAN",,,"FOUL  by RUSSELL,RYAN",2
14:30,"FOUL  by SUMLER,LV",,,,,,,"FOUL  by SUMLER,LV",2
14:30,"TURNOVER  by SUMLER,LV",,,,,,,"TURNOVER  by SUMLER,LV",2
14:10,,27,,35 (+8),"GOOD LAYUP by RUSSELL,RYAN(in the paint)",DEPAUW 27-35 (-8),,"GOOD LAYUP by RUSSELL,RYAN(in the paint)",2
--,,,,,"ASSIST  by WILLS,DREW",,,"ASSIST  by WILLS,DREW",2
13:51,,,,,"FOUL  by WILKISON,MICHAEL",,,"FOUL  by WILKISON,MICHAEL",2
13:51,,,,,"SUB IN by SIMPSON,ROSS",,,"SUB IN by SIMPSON,ROSS",2
13:51,,,,,"SUB OUT by WILKISON,MICHAEL",,,"SUB OUT by WILKISON,MICHAEL",2
13:33,"GOOD JUMPER by SUMLER,LV(in the paint)",29,,35 (+6),,MC-M 29-35 (-6),,"GOOD JUMPER by SUMLER,LV(in the paint)",2
13:02,,,,,"MISS JUMPER by WILLS,DREW",,,"MISS JUMPER by WILLS,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:00,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
13:00,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
12:37,"TURNOVER  by SUMLER,LV",,,,,,,"TURNOVER  by SUMLER,LV",2
12:35,,,,,"STEAL  by HASELEY,SEAN",,,"STEAL  by HASELEY,SEAN",2
12:23,,,,,"MISS 3PTR by HASELEY,SEAN",,,"MISS 3PTR by HASELEY,SEAN",2
--,,,,,"REBOUND OFF by WILLS,DREW",,,"REBOUND OFF by WILLS,DREW",2
12:17,,29,,38 (+9),"GOOD 3PTR by WEAKLEY,TOMMY",DEPAUW 29-38 (-9),,"GOOD 3PTR by WEAKLEY,TOMMY",2
--,,,,,"ASSIST  by WILLS,DREW",,,"ASSIST  by WILLS,DREW",2
12:04,"TURNOVER  by SUMLER,LV",,,,,,,"TURNOVER  by SUMLER,LV",2
12:02,,,,,"STEAL  by HASELEY,SEAN",,,"STEAL  by HASELEY,SEAN",2
11:55,"SUB IN by LEMIEUX,QUINN",,,,,,,"SUB IN by LEMIEUX,QUINN",2
11:55,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
11:55,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
11:55,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
11:55,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
11:55,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
11:36,,,,,"MISS 3PTR by WEAKLEY,TOMMY",,,"MISS 3PTR by WEAKLEY,TOMMY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:20,,,,,"SUB IN by SEVER,RYAN",,,"SUB IN by SEVER,RYAN",2
11:20,,,,,"SUB OUT by HASELEY,SEAN",,,"SUB OUT by HASELEY,SEAN",2
11:04,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
11:04,"TURNOVER  by MONTGOMERY,JAYSON",,,,,,,"TURNOVER  by MONTGOMERY,JAYSON",2
10:49,,,,,"MISS JUMPER by WILLS,DREW",,,"MISS JUMPER by WILLS,DREW",2
--,,,,,"REBOUND OFF by WILLS,DREW",,,"REBOUND OFF by WILLS,DREW",2
10:43,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
10:43,,29,,39 (+10),"GOOD FT by WILLS,DREW",DEPAUW 29-39 (-10),,"GOOD FT by WILLS,DREW",2
10:43,,29,,40 (+11),"GOOD FT by WILLS,DREW",DEPAUW 29-40 (-11),,"GOOD FT by WILLS,DREW",2
10:43,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
10:43,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
10:26,"TURNOVER  by SUMLER,LV",,,,,,,"TURNOVER  by SUMLER,LV",2
10:25,,,,,"STEAL  by RUSSELL,RYAN",,,"STEAL  by RUSSELL,RYAN",2
10:22,,29,,42 (+13),"GOOD LAYUP by RUSSELL,RYAN(fastbreak)(in the paint)",DEPAUW 29-42 (-13),,"GOOD LAYUP by RUSSELL,RYAN(fastbreak)(in the paint)",2
09:44,"GOOD LAYUP by SUMLER,LV(in the paint)",31,,42 (+11),,MC-M 31-42 (-11),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
09:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:43,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
09:43,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
09:18,,,,,"MISS 3PTR by WILLS,DREW",,,"MISS 3PTR by WILLS,DREW",2
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",2
09:06,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",2
09:06,,,,,"SUB IN by HASELEY,SEAN",,,"SUB IN by HASELEY,SEAN",2
09:06,,,,,"SUB IN by WILKISON,MICHAEL",,,"SUB IN by WILKISON,MICHAEL",2
09:06,,,,,"SUB OUT by WEAKLEY,TOMMY",,,"SUB OUT by WEAKLEY,TOMMY",2
09:06,,,,,"SUB OUT by RUSSELL,RYAN",,,"SUB OUT by RUSSELL,RYAN",2
08:43,,31,,45 (+14),"GOOD 3PTR by WILKISON,MICHAEL",DEPAUW 31-45 (-14),,"GOOD 3PTR by WILKISON,MICHAEL",2
08:29,"MISS 3PTR by LEMIEUX,QUINN",,,,,,,"MISS 3PTR by LEMIEUX,QUINN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:26,,,,,"FOUL  by HASELEY,SEAN",,,"FOUL  by HASELEY,SEAN",2
08:18,"GOOD JUMPER by CORTESE,NICK(in the paint)",33,,45 (+12),,MC-M 33-45 (-12),,"GOOD JUMPER by CORTESE,NICK(in the paint)",2
08:06,,33,,47 (+14),"GOOD JUMPER by WILLS,DREW(in the paint)",DEPAUW 33-47 (-14),,"GOOD JUMPER by WILLS,DREW(in the paint)",2
07:51,"GOOD 3PTR by MEADES,TAYLOR",36,,47 (+11),,MC-M 36-47 (-11),,"GOOD 3PTR by MEADES,TAYLOR",2
07:49,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
07:49,"SUB OUT by SUMLER,LV",,,,,,,"SUB OUT by SUMLER,LV",2
07:36,,,,,"MISS JUMPER by WILLS,DREW",,,"MISS JUMPER by WILLS,DREW",2
--,"REBOUND DEF by LEMIEUX,QUINN",,,,,,,"REBOUND DEF by LEMIEUX,QUINN",2
07:33,,,,,"FOUL  by SEVER,RYAN",,,"FOUL  by SEVER,RYAN",2
07:18,"MISS LAYUP by LEMIEUX,QUINN",,,,,,,"MISS LAYUP by LEMIEUX,QUINN",2
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",2
07:05,,,,,"MISS JUMPER by SEVER,RYAN",,,"MISS JUMPER by SEVER,RYAN",2
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",2
07:00,,,,,"SUB IN by RUSSELL,RYAN",,,"SUB IN by RUSSELL,RYAN",2
07:00,,,,,"SUB OUT by SEVER,RYAN",,,"SUB OUT by SEVER,RYAN",2
06:53,"GOOD DUNK by LEMIEUX,QUINN(in the paint)",38,,47 (+9),,MC-M 38-47 (-9),,"GOOD DUNK by LEMIEUX,QUINN(in the paint)",2
06:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:25,,,,,"MISS 3PTR by WILLS,DREW",,,"MISS 3PTR by WILLS,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:22,,,,,"FOUL  by RUSSELL,RYAN",,,"FOUL  by RUSSELL,RYAN",2
06:22,"MISS FT by MEADES,TAYLOR",,,,,,,"MISS FT by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",2
05:51,"FOUL  by LEMIEUX,QUINN",,,,,,,"FOUL  by LEMIEUX,QUINN",2
05:51,,38,,48 (+10),"GOOD FT by WILKISON,MICHAEL",DEPAUW 38-48 (-10),,"GOOD FT by WILKISON,MICHAEL",2
05:51,,38,,49 (+11),"GOOD FT by WILKISON,MICHAEL",DEPAUW 38-49 (-11),,"GOOD FT by WILKISON,MICHAEL",2
05:51,"SUB IN by SUMLER,LV",,,,,,,"SUB IN by SUMLER,LV",2
05:51,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
05:51,,,,,"SUB IN by WEAKLEY,TOMMY",,,"SUB IN by WEAKLEY,TOMMY",2
05:51,,,,,"SUB OUT by WILLS,DREW",,,"SUB OUT by WILLS,DREW",2
05:37,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by SIMPSON,ROSS",,,"REBOUND DEF by SIMPSON,ROSS",2
05:16,,38,,52 (+14),"GOOD 3PTR by WEAKLEY,TOMMY",DEPAUW 38-52 (-14),,"GOOD 3PTR by WEAKLEY,TOMMY",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
05:06,,,,,"FOUL  by SIMPSON,ROSS",,,"FOUL  by SIMPSON,ROSS",2
05:06,"GOOD FT by CORTESE,NICK",39,,52 (+13),,MC-M 39-52 (-13),,"GOOD FT by CORTESE,NICK",2
05:06,"MISS FT by CORTESE,NICK",,,,,,,"MISS FT by CORTESE,NICK",2
--,,,,,"REBOUND DEF by WEAKLEY,TOMMY",,,"REBOUND DEF by WEAKLEY,TOMMY",2
05:06,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
05:06,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
05:06,"SUB OUT by LEMIEUX,QUINN",,,,,,,"SUB OUT by LEMIEUX,QUINN",2
05:06,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
04:47,,39,,54 (+15),"GOOD JUMPER by WEAKLEY,TOMMY",DEPAUW 39-54 (-15),,"GOOD JUMPER by WEAKLEY,TOMMY",2
04:17,"MISS LAYUP by MERKEL,BRIAN",,,,,,,"MISS LAYUP by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",2
04:03,,39,,56 (+17),"GOOD LAYUP by RUSSELL,RYAN(in the paint)",DEPAUW 39-56 (-17),,"GOOD LAYUP by RUSSELL,RYAN(in the paint)",2
--,,,,,"ASSIST  by SIMPSON,ROSS",,,"ASSIST  by SIMPSON,ROSS",2
04:03,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
04:03,,39,,57 (+18),"GOOD FT by RUSSELL,RYAN",DEPAUW 39-57 (-18),,"GOOD FT by RUSSELL,RYAN",2
04:03,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
04:03,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
03:47,"MISS 3PTR by SUMLER,LV",,,,,,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",2
03:16,,39,,60 (+21),"GOOD 3PTR by WILKISON,MICHAEL",DEPAUW 39-60 (-21),,"GOOD 3PTR by WILKISON,MICHAEL",2
02:57,,,,,"FOUL  by SIMPSON,ROSS",,,"FOUL  by SIMPSON,ROSS",2
02:57,"MISS FT by CORTESE,NICK",,,,,,,"MISS FT by CORTESE,NICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:57,"GOOD FT by CORTESE,NICK",40,,60 (+20),,MC-M 40-60 (-20),,"GOOD FT by CORTESE,NICK",2
02:57,"GOOD FT by CORTESE,NICK",41,,60 (+19),,MC-M 41-60 (-19),,"GOOD FT by CORTESE,NICK",2
02:57,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:57,"SUB IN by GUIDICE,DREW",,,,,,,"SUB IN by GUIDICE,DREW",2
02:57,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
02:57,"SUB IN by LEMIEUX,QUINN",,,,,,,"SUB IN by LEMIEUX,QUINN",2
02:57,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
02:57,"SUB OUT by SUMLER,LV",,,,,,,"SUB OUT by SUMLER,LV",2
02:57,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
02:53,"GOOD LAYUP by LEMIEUX,QUINN(in the paint)",43,,60 (+17),,MC-M 43-60 (-17),,"GOOD LAYUP by LEMIEUX,QUINN(in the paint)",2
02:32,,,,,"MISS LAYUP by RUSSELL,RYAN",,,"MISS LAYUP by RUSSELL,RYAN",2
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",2
02:26,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
02:21,,,,,"STEAL  by HASELEY,SEAN",,,"STEAL  by HASELEY,SEAN",2
02:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:21,"SUB IN by SUMLER,LV",,,,,,,"SUB IN by SUMLER,LV",2
02:21,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
02:05,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
02:05,,43,,61 (+18),"GOOD FT by SIMPSON,ROSS",DEPAUW 43-61 (-18),,"GOOD FT by SIMPSON,ROSS",2
02:05,,43,,62 (+19),"GOOD FT by SIMPSON,ROSS",DEPAUW 43-62 (-19),,"GOOD FT by SIMPSON,ROSS",2
01:49,,,,,"FOUL  by WEAKLEY,TOMMY",,,"FOUL  by WEAKLEY,TOMMY",2
01:49,"GOOD FT by SUMLER,LV",44,,62 (+18),,MC-M 44-62 (-18),,"GOOD FT by SUMLER,LV",2
01:49,"GOOD FT by SUMLER,LV",45,,62 (+17),,MC-M 45-62 (-17),,"GOOD FT by SUMLER,LV",2
01:49,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
01:49,"SUB OUT by SUMLER,LV",,,,,,,"SUB OUT by SUMLER,LV",2
01:49,,,,,"SUB IN by RUMPP,IAN",,,"SUB IN by RUMPP,IAN",2
01:49,,,,,"SUB OUT by HASELEY,SEAN",,,"SUB OUT by HASELEY,SEAN",2
01:20,,45,,64 (+19),"GOOD LAYUP by RUSSELL,RYAN(in the paint)",DEPAUW 45-64 (-19),,"GOOD LAYUP by RUSSELL,RYAN(in the paint)",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
01:07,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:06,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
01:06,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
01:06,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
01:06,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
01:06,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
01:06,"SUB OUT by LEMIEUX,QUINN",,,,,,,"SUB OUT by LEMIEUX,QUINN",2
01:06,,,,,"SUB IN by HAGGIN,PAT",,,"SUB IN by HAGGIN,PAT",2
01:06,,,,,"SUB OUT by SIMPSON,ROSS",,,"SUB OUT by SIMPSON,ROSS",2
00:40,,45,,67 (+22),"GOOD 3PTR by WILKISON,MICHAEL",DEPAUW 45-67 (-22),,"GOOD 3PTR by WILKISON,MICHAEL",2
--,,,,,"ASSIST  by RUSSELL,RYAN",,,"ASSIST  by RUSSELL,RYAN",2
00:27,"GOOD 3PTR by WHITE,TIM",48,,67 (+19),,MC-M 48-67 (-19),,"GOOD 3PTR by WHITE,TIM",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
