Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
17:25,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
17:25,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
17:11,,7 (+5),,2,"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 7-2 (-5),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
16:59,"TURNOVER  by ERVES,MARCUS",,,,,,,"TURNOVER  by ERVES,MARCUS",1
16:39,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",1
--,"REBOUND DEF by MCPHERSON,FABIAN",,,,,,,"REBOUND DEF by MCPHERSON,FABIAN",1
16:30,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",1
16:30,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",1
16:30,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
16:30,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
16:05,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
15:58,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",1
15:27,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:25,"FOUL  by ERVES,MARCUS",,,,,,,"FOUL  by ERVES,MARCUS",1
15:24,,7 (+2),,5,"GOOD 3PTR by MEADES,TAYLOR",MC-M 7-5 (-2),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
15:04,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
15:04,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
15:04,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
15:04,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
15:04,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
14:56,"MISS LAYUP by ERVES,MARCUS",,,,,,,"MISS LAYUP by ERVES,MARCUS",1
--,"REBOUND OFF by ROBERSON,JAMES",,,,,,,"REBOUND OFF by ROBERSON,JAMES",1
14:55,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
14:55,"MISS FT by ROBERSON,JAMES",,,,,,,"MISS FT by ROBERSON,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:55,"GOOD FT by ROBERSON,JAMES",8 (+3),,5,,RUST 8-5 (-3),,"GOOD FT by ROBERSON,JAMES",1
14:43,"FOUL  by ERVES,MARCUS",,,,,,,"FOUL  by ERVES,MARCUS",1
14:43,,8 (+2),,6,"GOOD FT by MEADES,TAYLOR",MC-M 8-6 (-2),,"GOOD FT by MEADES,TAYLOR",1
14:43,,8 (+1),,7,"GOOD FT by MEADES,TAYLOR",MC-M 8-7 (-1),,"GOOD FT by MEADES,TAYLOR",1
14:39,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
14:32,"GOOD 3PTR by WILSON,MARKEITH",11 (+4),,7,,RUST 11-7 (-4),,"GOOD 3PTR by WILSON,MARKEITH",1
14:05,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",1
14:05,"BLOCK  by WILSON,MARKEITH",,,,,,,"BLOCK  by WILSON,MARKEITH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:05,"SUB IN by HOLMES,JAHRELL",,,,,,,"SUB IN by HOLMES,JAHRELL",1
14:05,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",1
14:05,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
14:05,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
14:05,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
14:05,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
14:05,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
14:05,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
13:53,"GOOD JUMPER by ERVES,MARCUS",13 (+6),,7,,RUST 13-7 (-6),,"GOOD JUMPER by ERVES,MARCUS",1
13:47,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
13:47,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
13:37,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by COOPER,BEN",,,"REBOUND OFF by COOPER,BEN",1
13:02,,13 (+3),,10,"GOOD 3PTR by MEADES,TAYLOR",MC-M 13-10 (-3),,"GOOD 3PTR by MEADES,TAYLOR",1
12:48,"FOUL  by CATRON,SERGIO",,,,,,,"FOUL  by CATRON,SERGIO",1
12:48,"TURNOVER  by CATRON,SERGIO",,,,,,,"TURNOVER  by CATRON,SERGIO",1
12:48,"SUB IN by CUMBERBATCH,OMAR",,,,,,,"SUB IN by CUMBERBATCH,OMAR",1
12:48,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",1
12:48,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
12:48,"SUB OUT by CATRON,SERGIO",,,,,,,"SUB OUT by CATRON,SERGIO",1
12:48,"SUB OUT by ROBERSON,JAMES",,,,,,,"SUB OUT by ROBERSON,JAMES",1
12:48,"SUB OUT by ERVES,MARCUS",,,,,,,"SUB OUT by ERVES,MARCUS",1
12:17,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by HOLMES,JAHRELL",,,,,,,"REBOUND DEF by HOLMES,JAHRELL",1
12:04,"TURNOVER  by CUMBERBATCH,OMAR",,,,,,,"TURNOVER  by CUMBERBATCH,OMAR",1
12:03,,,,,"STEAL  by BROWN,JEFF",,,"STEAL  by BROWN,JEFF",1
11:55,,,,,"TURNOVER  by COOPER,BEN",,,"TURNOVER  by COOPER,BEN",1
11:36,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,"REBOUND OFF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND OFF by MONTGOMERY,WILLIAM",1
11:32,"TURNOVER  by MONTGOMERY,WILLIAM",,,,,,,"TURNOVER  by MONTGOMERY,WILLIAM",1
11:32,"SUB IN by THOMAS,CONTREAS",,,,,,,"SUB IN by THOMAS,CONTREAS",1
11:32,"SUB OUT by WILSON,MARKEITH",,,,,,,"SUB OUT by WILSON,MARKEITH",1
11:32,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
11:32,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
11:32,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
11:32,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
11:14,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
11:14,"BLOCK  by HOLMES,JAHRELL",,,,,,,"BLOCK  by HOLMES,JAHRELL",1
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",1
11:07,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",15 (+5),,10,,RUST 15-10 (-5),,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",1
10:47,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
10:46,"STEAL  by HOLMES,JAHRELL",,,,,,,"STEAL  by HOLMES,JAHRELL",1
10:43,"TURNOVER  by HOLMES,JAHRELL",,,,,,,"TURNOVER  by HOLMES,JAHRELL",1
10:43,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
10:43,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
10:23,,15 (+2),,13,"GOOD 3PTR by CORTESE,NICK",MC-M 15-13 (-2),,"GOOD 3PTR by CORTESE,NICK",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
10:03,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",17 (+4),,13,,RUST 17-13 (-4),,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",1
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",1
09:44,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
09:43,"STEAL  by HOLMES,JAHRELL",,,,,,,"STEAL  by HOLMES,JAHRELL",1
09:42,"GOOD DUNK by HOLMES,JAHRELL(fastbreak)(in the paint)",19 (+6),,13,,RUST 19-13 (-6),,"GOOD DUNK by HOLMES,JAHRELL(fastbreak)(in the paint)",1
09:21,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
09:18,"STEAL  by HOLMES,JAHRELL",,,,,,,"STEAL  by HOLMES,JAHRELL",1
09:15,"GOOD 3PTR by HOLMES,JAHRELL",22 (+9),,13,,RUST 22-13 (-9),,"GOOD 3PTR by HOLMES,JAHRELL",1
09:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:12,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
09:12,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
09:12,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
09:12,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
09:12,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
09:12,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
09:12,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
08:46,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by SEALS,JORDAN",,,,,,,"REBOUND DEF by SEALS,JORDAN",1
08:38,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
08:38,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
08:17,,22 (+7),,15,"GOOD JUMPER by MEADES,TAYLOR",MC-M 22-15 (-7),,"GOOD JUMPER by MEADES,TAYLOR",1
08:07,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",1
08:03,"MISS 3PTR by MONTGOMERY,WILLIAM",,,,,,,"MISS 3PTR by MONTGOMERY,WILLIAM",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
07:54,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",1
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",1
07:46,"TURNOVER  by THOMAS,CONTREAS",,,,,,,"TURNOVER  by THOMAS,CONTREAS",1
07:18,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND DEF by MONTGOMERY,WILLIAM",,,,,,,"REBOUND DEF by MONTGOMERY,WILLIAM",1
07:01,"TURNOVER  by CUMBERBATCH,OMAR",,,,,,,"TURNOVER  by CUMBERBATCH,OMAR",1
07:01,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
06:34,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",1
06:33,"STEAL  by CUMBERBATCH,OMAR",,,,,,,"STEAL  by CUMBERBATCH,OMAR",1
06:29,"MISS LAYUP by SEALS,JORDAN",,,,,,,"MISS LAYUP by SEALS,JORDAN",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
06:15,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by THOMAS,CONTREAS",,,,,,,"REBOUND DEF by THOMAS,CONTREAS",1
06:11,"SUB IN by ERVES,MARCUS",,,,,,,"SUB IN by ERVES,MARCUS",1
06:11,"SUB IN by ROBERSON,JAMES",,,,,,,"SUB IN by ROBERSON,JAMES",1
06:11,"SUB OUT by CUMBERBATCH,OMAR",,,,,,,"SUB OUT by CUMBERBATCH,OMAR",1
06:11,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
05:59,"TURNOVER  by HOLMES,JAHRELL",,,,,,,"TURNOVER  by HOLMES,JAHRELL",1
05:59,"SUB IN by WILSON,MARKEITH",,,,,,,"SUB IN by WILSON,MARKEITH",1
05:59,"SUB OUT by HOLMES,JAHRELL",,,,,,,"SUB OUT by HOLMES,JAHRELL",1
05:44,,22 (+4),,18,"GOOD 3PTR by MEADES,TAYLOR",MC-M 22-18 (-4),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by WHITE,TIM",,,"ASSIST  by WHITE,TIM",1
05:15,"GOOD JUMPER by MONTGOMERY,WILLIAM(in the paint)",24 (+6),,18,,RUST 24-18 (-6),,"GOOD JUMPER by MONTGOMERY,WILLIAM(in the paint)",1
05:07,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
05:03,"GOOD FT by MONTGOMERY,WILLIAM",25 (+7),,18,,RUST 25-18 (-7),,"GOOD FT by MONTGOMERY,WILLIAM",1
04:50,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by MEADES,TAYLOR",,,"REBOUND OFF by MEADES,TAYLOR",1
04:45,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
04:36,"FOUL  by ERVES,MARCUS",,,,,,,"FOUL  by ERVES,MARCUS",1
04:35,,25 (+6),,19,"GOOD FT by COOPER,BEN",MC-M 25-19 (-6),,"GOOD FT by COOPER,BEN",1
04:35,,25 (+5),,20,"GOOD FT by COOPER,BEN",MC-M 25-20 (-5),,"GOOD FT by COOPER,BEN",1
04:35,"SUB IN by CUMBERBATCH,OMAR",,,,,,,"SUB IN by CUMBERBATCH,OMAR",1
04:35,"SUB IN by MCPHERSON,FABIAN",,,,,,,"SUB IN by MCPHERSON,FABIAN",1
04:35,"SUB IN by CATRON,SERGIO",,,,,,,"SUB IN by CATRON,SERGIO",1
04:35,"SUB OUT by MONTGOMERY,WILLIAM",,,,,,,"SUB OUT by MONTGOMERY,WILLIAM",1
04:35,"SUB OUT by ERVES,MARCUS",,,,,,,"SUB OUT by ERVES,MARCUS",1
04:35,"SUB OUT by THOMAS,CONTREAS",,,,,,,"SUB OUT by THOMAS,CONTREAS",1
04:35,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
04:35,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
04:35,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
04:35,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
04:35,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
04:35,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
04:23,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",27 (+7),,20,,RUST 27-20 (-7),,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",1
04:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:05,,27 (+5),,22,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 27-22 (-5),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
03:55,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
03:39,"FOUL  by CATRON,SERGIO",,,,,,,"FOUL  by CATRON,SERGIO",1
03:39,,27 (+4),,23,"GOOD FT by GILLIGAN,TULLY",MC-M 27-23 (-4),,"GOOD FT by GILLIGAN,TULLY",1
03:39,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by CUMBERBATCH,OMAR",,,,,,,"REBOUND DEF by CUMBERBATCH,OMAR",1
03:24,"GOOD JUMPER by WILSON,MARKEITH",29 (+6),,23,,RUST 29-23 (-6),,"GOOD JUMPER by WILSON,MARKEITH",1
03:20,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
03:20,"MISS FT by WILSON,MARKEITH",,,,,,,"MISS FT by WILSON,MARKEITH",1
--,"REBOUND OFF by MCPHERSON,FABIAN",,,,,,,"REBOUND OFF by MCPHERSON,FABIAN",1
03:16,"MISS JUMPER by WILSON,MARKEITH",,,,,,,"MISS JUMPER by WILSON,MARKEITH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:10,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
03:03,"FOUL  by CUMBERBATCH,OMAR",,,,,,,"FOUL  by CUMBERBATCH,OMAR",1
03:10,,29 (+5),,24,"GOOD FT by CORTESE,NICK",MC-M 29-24 (-5),,"GOOD FT by CORTESE,NICK",1
03:10,,29 (+4),,25,"GOOD FT by CORTESE,NICK",MC-M 29-25 (-4),,"GOOD FT by CORTESE,NICK",1
02:50,"TURNOVER  by MCPHERSON,FABIAN",,,,,,,"TURNOVER  by MCPHERSON,FABIAN",1
02:47,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
02:45,,29 (+2),,27,"GOOD LAYUP by CORTESE,NICK(fastbreak)(in the paint)",MC-M 29-27 (-2),,"GOOD LAYUP by CORTESE,NICK(fastbreak)(in the paint)",1
02:20,"MISS JUMPER by CATRON,SERGIO",,,,,,,"MISS JUMPER by CATRON,SERGIO",1
02:20,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
02:13,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
02:07,,29,,29,"GOOD TIPIN by KINNEAR,KYLE(in the paint)",MC-M 29-29 (0),,"GOOD TIPIN by KINNEAR,KYLE(in the paint)",1
02:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:46,"MISS 3PTR by WILSON,MARKEITH",,,,,,,"MISS 3PTR by WILSON,MARKEITH",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
01:35,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
--,"REBOUND DEF by ROBERSON,JAMES",,,,,,,"REBOUND DEF by ROBERSON,JAMES",1
01:30,"MISS 3PTR by MCPHERSON,FABIAN",,,,,,,"MISS 3PTR by MCPHERSON,FABIAN",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
01:19,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
01:17,"SUB IN by HOLMES,JAHRELL",,,,,,,"SUB IN by HOLMES,JAHRELL",1
01:17,"SUB IN by CLARK,JUSTYCZE",,,,,,,"SUB IN by CLARK,JUSTYCZE",1
01:17,"SUB IN by MONTGOMERY,WILLIAM",,,,,,,"SUB IN by MONTGOMERY,WILLIAM",1
01:17,"SUB OUT by ROBERSON,JAMES",,,,,,,"SUB OUT by ROBERSON,JAMES",1
01:17,"SUB OUT by MCPHERSON,FABIAN",,,,,,,"SUB OUT by MCPHERSON,FABIAN",1
01:17,"SUB OUT by CATRON,SERGIO",,,,,,,"SUB OUT by CATRON,SERGIO",1
01:17,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
01:17,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
01:15,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
01:12,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",1
01:07,"FOUL  by CLARK,JUSTYCZE",,,,,,,"FOUL  by CLARK,JUSTYCZE",1
01:07,,29,,30 (+1),"GOOD FT by WHITE,TIM",MC-M 29-30 (+1),,"GOOD FT by WHITE,TIM",1
01:07,,29,,31 (+2),"GOOD FT by WHITE,TIM",MC-M 29-31 (+2),,"GOOD FT by WHITE,TIM",1
00:47,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",31,,31,,RUST 31-31 (0),,"GOOD LAYUP by CUMBERBATCH,OMAR(in the paint)",1
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",1
00:11,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,"REBOUND DEF by HOLMES,JAHRELL",,,,,,,"REBOUND DEF by HOLMES,JAHRELL",1
00:02,"GOOD 3PTR by WILSON,MARKEITH",34 (+3),,31,,RUST 34-31 (-3),,"GOOD 3PTR by WILSON,MARKEITH",1
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",1
19:29,"TURNOVER  by ERVES,MARCUS",,,,,,,"TURNOVER  by ERVES,MARCUS",2
19:27,,,,,"STEAL  by COOPER,BEN",,,"STEAL  by COOPER,BEN",2
19:23,,34 (+1),,33,"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 34-33 (-1),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
18:58,"MISS 3PTR by HOLMES,JAHRELL",,,,,,,"MISS 3PTR by HOLMES,JAHRELL",2
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",2
18:47,,34,,36 (+2),"GOOD 3PTR by CORTESE,NICK",MC-M 34-36 (+2),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
18:29,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
18:17,"FOUL  by CATRON,SERGIO",,,,,,,"FOUL  by CATRON,SERGIO",2
18:14,"TURNOVER  by CATRON,SERGIO",,,,,,,"TURNOVER  by CATRON,SERGIO",2
18:06,,,,,"TURNOVER  by COOPER,BEN",,,"TURNOVER  by COOPER,BEN",2
17:50,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",36,,36,,RUST 36-36 (0),,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",2
--,"ASSIST  by MONTGOMERY,WILLIAM",,,,,,,"ASSIST  by MONTGOMERY,WILLIAM",2
17:28,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
17:20,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by HOLMES,JAHRELL",,,,,,,"REBOUND DEF by HOLMES,JAHRELL",2
17:09,"TURNOVER  by ERVES,MARCUS",,,,,,,"TURNOVER  by ERVES,MARCUS",2
17:09,"FOUL  by ERVES,MARCUS",,,,,,,"FOUL  by ERVES,MARCUS",2
17:09,"SUB IN by CUMBERBATCH,OMAR",,,,,,,"SUB IN by CUMBERBATCH,OMAR",2
17:09,"SUB OUT by ERVES,MARCUS",,,,,,,"SUB OUT by ERVES,MARCUS",2
17:09,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
17:09,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
17:09,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
17:09,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
16:55,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
