Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
15:17,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
15:10,,,,,"MISS JUMPER by MCLEMORE,JEREMY",,,"MISS JUMPER by MCLEMORE,JEREMY",1
--,,,,,"REBOUND OFF by LEMIEUX,QUINN",,,"REBOUND OFF by LEMIEUX,QUINN",1
14:48,,9 (+2),,7,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",MC-M 9-7 (-2),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",1
14:48,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
14:48,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
14:36,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
14:07,,9,,10 (+1),"GOOD 3PTR by CORTESE,NICK",MC-M 9-10 (+1),,"GOOD 3PTR by CORTESE,NICK",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
13:54,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",1
--,"REBOUND OFF by LEE,CALEB",,,,,,,"REBOUND OFF by LEE,CALEB",1
13:47,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",1
--,"REBOUND OFF by SHEMANSKI,RICKY",,,,,,,"REBOUND OFF by SHEMANSKI,RICKY",1
13:46,,,,,"FOUL  by LEMIEUX,QUINN",,,"FOUL  by LEMIEUX,QUINN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:46,"MISS FT by SHEMANSKI,RICKY",,,,,,,"MISS FT by SHEMANSKI,RICKY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:46,"GOOD FT by SHEMANSKI,RICKY",10,,10,,BSC-M 10-10 (0),,"GOOD FT by SHEMANSKI,RICKY",1
13:46,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",1
13:46,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
13:46,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
13:46,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
13:46,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",1
13:46,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",1
13:43,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
13:43,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
13:37,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:28,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
13:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:17,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
13:17,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
13:17,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
13:17,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",1
13:17,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
12:58,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
12:58,,,,,"MISS FT by CORTESE,NICK",,,"MISS FT by CORTESE,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:58,,10,,11 (+1),"GOOD FT by CORTESE,NICK",MC-M 10-11 (+1),,"GOOD FT by CORTESE,NICK",1
12:58,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
12:58,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
12:58,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
12:58,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
12:31,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",1
12:31,,,,,"BLOCK  by WHITE,TIM",,,"BLOCK  by WHITE,TIM",1
--,,,,,"REBOUND DEF by LEMIEUX,QUINN",,,"REBOUND DEF by LEMIEUX,QUINN",1
12:20,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
12:18,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
12:17,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
12:17,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
12:17,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
12:17,,,,,"SUB OUT by GUIDICE,DREW",,,"SUB OUT by GUIDICE,DREW",1
12:17,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
12:12,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",1
12:12,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",1
11:51,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
11:42,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
11:41,,,,,"STEAL  by LEMIEUX,QUINN",,,"STEAL  by LEMIEUX,QUINN",1
11:24,,10,,14 (+4),"GOOD 3PTR by MEADES,TAYLOR",MC-M 10-14 (+4),,"GOOD 3PTR by MEADES,TAYLOR",1
11:08,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",1
11:07,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",1
11:05,,10,,16 (+6),"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",MC-M 10-16 (+6),,"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",1
10:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:39,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1
10:10,,,,,"MISS 3PTR by LEMIEUX,QUINN",,,"MISS 3PTR by LEMIEUX,QUINN",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
09:51,,10,,18 (+8),"GOOD JUMPER by LEMIEUX,QUINN(in the paint)",MC-M 10-18 (+8),,"GOOD JUMPER by LEMIEUX,QUINN(in the paint)",1
09:36,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
09:33,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
09:32,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",1
09:30,"GOOD LAYUP by PRICE,PATRICK(in the paint)",12,,18 (+6),,BSC-M 12-18 (+6),,"GOOD LAYUP by PRICE,PATRICK(in the paint)",1
09:21,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",1
09:21,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",1
09:15,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",14,,18 (+4),,BSC-M 14-18 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",1
09:07,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
09:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:06,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
09:06,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
08:50,"MISS JUMPER by MESSENGER,MARK",,,,,,,"MISS JUMPER by MESSENGER,MARK",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
08:32,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
08:23,"GOOD 3PTR by JONUS,JASEN",17,,18 (+1),,BSC-M 17-18 (+1),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",1
08:10,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
08:10,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
08:10,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
08:10,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
08:10,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
08:10,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
08:10,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",1
08:10,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
07:53,"GOOD 3PTR by JONUS,JASEN",20 (+2),,18,,BSC-M 20-18 (-2),,"GOOD 3PTR by JONUS,JASEN",1
07:31,,,,,"MISS 3PTR by LEMIEUX,QUINN",,,"MISS 3PTR by LEMIEUX,QUINN",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
07:25,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
07:24,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",1
07:19,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
07:19,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:19,,20 (+1),,19,"GOOD FT by MEADES,TAYLOR",MC-M 20-19 (-1),,"GOOD FT by MEADES,TAYLOR",1
07:19,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
07:19,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:19,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
07:19,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
07:19,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
07:19,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
07:19,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
07:19,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",1
06:49,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
06:41,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",1
06:41,"BLOCK  by LEE,CALEB",,,,,,,"BLOCK  by LEE,CALEB",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
06:35,"GOOD LAYUP by WHITE,BLAISE(in the paint)",22 (+3),,19,,BSC-M 22-19 (-3),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
06:02,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",1
05:43,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
05:40,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
05:40,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
05:40,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
05:40,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
05:40,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
05:40,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
05:32,,,,,"MISS LAYUP by MONTGOMERY,JAYSON",,,"MISS LAYUP by MONTGOMERY,JAYSON",1
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",1
05:13,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",1
05:13,"GOOD FT by LEE,CALEB",23 (+4),,19,,BSC-M 23-19 (-4),,"GOOD FT by LEE,CALEB",1
05:13,"GOOD FT by LEE,CALEB",24 (+5),,19,,BSC-M 24-19 (-5),,"GOOD FT by LEE,CALEB",1
05:13,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
05:13,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
04:58,,24 (+3),,21,"GOOD JUMPER by MEADES,TAYLOR",MC-M 24-21 (-3),,"GOOD JUMPER by MEADES,TAYLOR",1
04:36,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
04:30,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
04:21,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
04:21,"GOOD 3PTR by JONUS,JASEN",27 (+6),,21,,BSC-M 27-21 (-6),,"GOOD 3PTR by JONUS,JASEN",1
04:21,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
04:21,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
04:21,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
04:21,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
04:21,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",1
04:21,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",1
04:21,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
04:21,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
03:57,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
03:52,"GOOD JUMPER by KEGARISE,KEVIN(in the paint)",29 (+8),,21,,BSC-M 29-21 (-8),,"GOOD JUMPER by KEGARISE,KEVIN(in the paint)",1
03:36,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
03:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:23,"GOOD JUMPER by DOATY,ISIAH",31 (+10),,21,,BSC-M 31-21 (-10),,"GOOD JUMPER by DOATY,ISIAH",1
02:57,,31 (+8),,23,"GOOD JUMPER by MEADES,TAYLOR",MC-M 31-23 (-8),,"GOOD JUMPER by MEADES,TAYLOR",1
02:37,,,,,"FOUL  by MCLEMORE,JEREMY",,,"FOUL  by MCLEMORE,JEREMY",1
02:37,"MISS FT by MESSENGER,MARK",,,,,,,"MISS FT by MESSENGER,MARK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:37,"GOOD FT by MESSENGER,MARK",32 (+9),,23,,BSC-M 32-23 (-9),,"GOOD FT by MESSENGER,MARK",1
02:37,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
02:37,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
02:37,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
02:37,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
02:37,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
02:37,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",1
02:33,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",1
02:32,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",1
02:19,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
02:03,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",1
01:51,"GOOD 3PTR by PRICE,PATRICK",35 (+12),,23,,BSC-M 35-23 (-12),,"GOOD 3PTR by PRICE,PATRICK",1
01:36,,,,,"TURNOVER  by LEMIEUX,QUINN",,,"TURNOVER  by LEMIEUX,QUINN",1
01:34,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",1
01:31,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
01:31,"GOOD FT by LEE,CALEB",36 (+13),,23,,BSC-M 36-23 (-13),,"GOOD FT by LEE,CALEB",1
01:31,"GOOD FT by LEE,CALEB",37 (+14),,23,,BSC-M 37-23 (-14),,"GOOD FT by LEE,CALEB",1
01:31,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
01:31,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
01:31,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",1
01:31,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
01:31,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
01:31,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
01:31,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",1
01:31,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
01:27,,,,,"TURNOVER  by GUIDICE,DREW",,,"TURNOVER  by GUIDICE,DREW",1
01:18,"MISS LAYUP by SHEMANSKI,RICKY",,,,,,,"MISS LAYUP by SHEMANSKI,RICKY",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
00:56,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",1
00:56,,37 (+13),,24,"GOOD FT by KINNEAR,KYLE",MC-M 37-24 (-13),,"GOOD FT by KINNEAR,KYLE",1
00:56,,37 (+12),,25,"GOOD FT by KINNEAR,KYLE",MC-M 37-25 (-12),,"GOOD FT by KINNEAR,KYLE",1
00:56,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
00:56,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
00:29,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
00:06,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:00,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:38,,37 (+10),,27,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MC-M 37-27 (-10),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
19:09,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",2
