Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
13:51,,,,,"MISS 3PTR by MONTGOMERY,JAYSON",,,"MISS 3PTR by MONTGOMERY,JAYSON",2
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",2
13:41,"MISS LAYUP by HANCOCK,JORDAN",,,,,,,"MISS LAYUP by HANCOCK,JORDAN",2
13:41,,,,,"BLOCK  by MONTGOMERY,JAYSON",,,"BLOCK  by MONTGOMERY,JAYSON",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
13:33,,49 (+15),,34,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MC-M 49-34 (-15),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
13:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:18,"MISS 3PTR by STRALEY,SCOTT",,,,,,,"MISS 3PTR by STRALEY,SCOTT",2
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",2
13:04,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",2
13:04,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
13:00,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
12:51,"MISS JUMPER by LAUBACH,BRANDON",,,,,,,"MISS JUMPER by LAUBACH,BRANDON",2
--,"REBOUND OFF by HANCOCK,JORDAN",,,,,,,"REBOUND OFF by HANCOCK,JORDAN",2
12:40,"MISS JUMPER by STRALEY,SCOTT",,,,,,,"MISS JUMPER by STRALEY,SCOTT",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
12:29,,49 (+13),,36,"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 49-36 (-13),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",2
12:16,"MISS 3PTR by OKPALA,RANSOM",,,,,,,"MISS 3PTR by OKPALA,RANSOM",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
12:07,,49 (+11),,38,"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 49-38 (-11),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
12:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:00,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
12:00,"SUB IN by SAUNDERS,JOSH",,,,,,,"SUB IN by SAUNDERS,JOSH",2
12:00,"SUB OUT by LAUBACH,BRANDON",,,,,,,"SUB OUT by LAUBACH,BRANDON",2
12:00,"SUB OUT by BREWSTER,AUSTIN",,,,,,,"SUB OUT by BREWSTER,AUSTIN",2
11:54,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",2
11:53,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
11:49,,49 (+9),,40,"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 49-40 (-9),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
11:39,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
11:39,"SUB IN by AUTEN,MARK",,,,,,,"SUB IN by AUTEN,MARK",2
11:39,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",2
11:39,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
11:39,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
11:24,"MISS JUMPER by PHILLIPS,WALTER",,,,,,,"MISS JUMPER by PHILLIPS,WALTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:23,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",2
11:09,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",2
10:55,"MISS 3PTR by STRALEY,SCOTT",,,,,,,"MISS 3PTR by STRALEY,SCOTT",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
10:43,,,,,"MISS LAYUP by MCLEMORE,JEREMY",,,"MISS LAYUP by MCLEMORE,JEREMY",2
--,"REBOUND DEF by PHILLIPS,WALTER",,,,,,,"REBOUND DEF by PHILLIPS,WALTER",2
10:18,"GOOD JUMPER by AUTEN,MARK(in the paint)",51 (+11),,40,,AC-M 51-40 (-11),,"GOOD JUMPER by AUTEN,MARK(in the paint)",2
09:54,,51 (+8),,43,"GOOD 3PTR by SUMLER,LV",MC-M 51-43 (-8),,"GOOD 3PTR by SUMLER,LV",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
09:29,"MISS 3PTR by OKPALA,RANSOM",,,,,,,"MISS 3PTR by OKPALA,RANSOM",2
--,"REBOUND OFF by PHILLIPS,WALTER",,,,,,,"REBOUND OFF by PHILLIPS,WALTER",2
09:25,"TURNOVER  by PHILLIPS,WALTER",,,,,,,"TURNOVER  by PHILLIPS,WALTER",2
09:25,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
09:25,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
09:25,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
09:25,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
08:54,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,"REBOUND DEF by PHILLIPS,WALTER",,,,,,,"REBOUND DEF by PHILLIPS,WALTER",2
08:41,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",2
08:41,"SUB OUT by AUTEN,MARK",,,,,,,"SUB OUT by AUTEN,MARK",2
08:30,"GOOD 3PTR by STRALEY,SCOTT",54 (+11),,43,,AC-M 54-43 (-11),,"GOOD 3PTR by STRALEY,SCOTT",2
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",2
07:57,,,,,"MISS JUMPER by MCLEMORE,JEREMY",,,"MISS JUMPER by MCLEMORE,JEREMY",2
--,"REBOUND DEF by PHILLIPS,WALTER",,,,,,,"REBOUND DEF by PHILLIPS,WALTER",2
07:31,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",56 (+13),,43,,AC-M 56-43 (-13),,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",2
--,"ASSIST  by SAUNDERS,JOSH",,,,,,,"ASSIST  by SAUNDERS,JOSH",2
07:16,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",2
07:16,"SUB IN by LAUBACH,BRANDON",,,,,,,"SUB IN by LAUBACH,BRANDON",2
07:16,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
07:16,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
07:16,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",2
07:00,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
06:23,"MISS 3PTR by STRALEY,SCOTT",,,,,,,"MISS 3PTR by STRALEY,SCOTT",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
06:14,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND OFF by BROWN,JEFF",,,"REBOUND OFF by BROWN,JEFF",2
06:10,"FOUL  by LAUBACH,BRANDON",,,,,,,"FOUL  by LAUBACH,BRANDON",2
06:10,,,,,"MISS FT by BROWN,JEFF",,,"MISS FT by BROWN,JEFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:10,,,,,"MISS FT by BROWN,JEFF",,,"MISS FT by BROWN,JEFF",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
06:10,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
06:10,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
05:45,"MISS JUMPER by HANCOCK,JORDAN",,,,,,,"MISS JUMPER by HANCOCK,JORDAN",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
05:35,"FOUL  by SAUNDERS,JOSH",,,,,,,"FOUL  by SAUNDERS,JOSH",2
05:35,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:35,,56 (+12),,44,"GOOD FT by MERKEL,BRIAN",MC-M 56-44 (-12),,"GOOD FT by MERKEL,BRIAN",2
05:35,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
05:35,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
05:19,"MISS JUMPER by SAUNDERS,JOSH",,,,,,,"MISS JUMPER by SAUNDERS,JOSH",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
05:08,,56 (+9),,47,"GOOD 3PTR by CORTESE,NICK",MC-M 56-47 (-9),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
04:33,"MISS JUMPER by LAUBACH,BRANDON",,,,,,,"MISS JUMPER by LAUBACH,BRANDON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:30,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
04:30,"SUB OUT by LAUBACH,BRANDON",,,,,,,"SUB OUT by LAUBACH,BRANDON",2
04:18,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",2
03:48,"GOOD JUMPER by SAUNDERS,JOSH",58 (+11),,47,,AC-M 58-47 (-11),,"GOOD JUMPER by SAUNDERS,JOSH",2
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",2
03:22,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",2
03:19,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
03:19,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
03:19,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
03:00,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
02:47,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
02:45,"STEAL  by SAUNDERS,JOSH",,,,,,,"STEAL  by SAUNDERS,JOSH",2
02:21,"TURNOVER  by SAUNDERS,JOSH",,,,,,,"TURNOVER  by SAUNDERS,JOSH",2
02:18,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
02:13,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
02:11,"GOOD LAYUP by OKPALA,RANSOM(fastbreak)(in the paint)",60 (+13),,47,,AC-M 60-47 (-13),,"GOOD LAYUP by OKPALA,RANSOM(fastbreak)(in the paint)",2
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",2
01:58,"SUB IN by DARST,TIM",,,,,,,"SUB IN by DARST,TIM",2
01:58,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
01:44,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:42,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
01:42,"GOOD FT by STRALEY,SCOTT",61 (+14),,47,,AC-M 61-47 (-14),,"GOOD FT by STRALEY,SCOTT",2
01:42,"GOOD FT by STRALEY,SCOTT",62 (+15),,47,,AC-M 62-47 (-15),,"GOOD FT by STRALEY,SCOTT",2
01:42,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
01:42,"SUB OUT by DARST,TIM",,,,,,,"SUB OUT by DARST,TIM",2
01:42,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
01:42,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
01:42,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
01:42,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
01:23,,62 (+12),,50,"GOOD 3PTR by KASTNER,MURRAY",MC-M 62-50 (-12),,"GOOD 3PTR by KASTNER,MURRAY",2
01:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:23,"SUB IN by LITTLE,DAVID",,,,,,,"SUB IN by LITTLE,DAVID",2
01:23,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
01:23,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
01:23,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
01:19,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
01:19,"GOOD FT by HANCOCK,JORDAN",63 (+13),,50,,AC-M 63-50 (-13),,"GOOD FT by HANCOCK,JORDAN",2
01:19,"GOOD FT by HANCOCK,JORDAN",64 (+14),,50,,AC-M 64-50 (-14),,"GOOD FT by HANCOCK,JORDAN",2
01:19,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
01:19,"SUB OUT by LITTLE,DAVID",,,,,,,"SUB OUT by LITTLE,DAVID",2
01:11,,64 (+11),,53,"GOOD 3PTR by MEADES,TAYLOR",MC-M 64-53 (-11),,"GOOD 3PTR by MEADES,TAYLOR",2
01:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:10,"SUB IN by LITTLE,DAVID",,,,,,,"SUB IN by LITTLE,DAVID",2
01:10,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
01:02,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
01:02,"GOOD FT by SAUNDERS,JOSH",65 (+12),,53,,AC-M 65-53 (-12),,"GOOD FT by SAUNDERS,JOSH",2
01:02,"MISS FT by SAUNDERS,JOSH",,,,,,,"MISS FT by SAUNDERS,JOSH",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
01:02,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
01:02,"SUB OUT by LITTLE,DAVID",,,,,,,"SUB OUT by LITTLE,DAVID",2
00:50,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",2
00:45,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
00:43,"STEAL  by HANCOCK,JORDAN",,,,,,,"STEAL  by HANCOCK,JORDAN",2
00:40,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",67 (+14),,53,,AC-M 67-53 (-14),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",2
00:31,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND DEF by PHILLIPS,WALTER",,,,,,,"REBOUND DEF by PHILLIPS,WALTER",2
00:27,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
00:27,"MISS FT by PHILLIPS,WALTER",,,,,,,"MISS FT by PHILLIPS,WALTER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:27,"GOOD FT by PHILLIPS,WALTER",68 (+15),,53,,AC-M 68-53 (-15),,"GOOD FT by PHILLIPS,WALTER",2
00:27,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
00:27,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",2
00:27,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",2
00:27,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
00:27,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
00:27,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
00:27,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
00:27,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
00:19,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
00:15,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
