Time Remaining,COV-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
14:32,,31 (+6),,25,"GOOD JUMPER by SUMLER,LV",MC-M 31-25 (-6),,"GOOD JUMPER by SUMLER,LV",2
--,,,,,"ASSIST  by WHITE,TIM",,,"ASSIST  by WHITE,TIM",2
14:17,"TURNOVER  by SEARS,CALLUM",,,,,,,"TURNOVER  by SEARS,CALLUM",2
14:07,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
14:06,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
14:05,"STEAL  by SEARS,CALLUM",,,,,,,"STEAL  by SEARS,CALLUM",2
14:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:04,"SUB IN by DAHMS,LOGAN",,,,,,,"SUB IN by DAHMS,LOGAN",2
14:04,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",2
14:04,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
14:04,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",2
14:04,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
14:04,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
13:51,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",2
13:49,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
13:45,,31 (+4),,27,"GOOD LAYUP by WHITE,TIM(in the paint)",MC-M 31-27 (-4),,"GOOD LAYUP by WHITE,TIM(in the paint)",2
13:15,"MISS LAYUP by DAHMS,LOGAN",,,,,,,"MISS LAYUP by DAHMS,LOGAN",2
--,"REBOUND OFF by DAHMS,LOGAN",,,,,,,"REBOUND OFF by DAHMS,LOGAN",2
13:13,"GOOD JUMPER by DAHMS,LOGAN(in the paint)",33 (+6),,27,,COV-M 33-27 (-6),,"GOOD JUMPER by DAHMS,LOGAN(in the paint)",2
12:54,,33 (+4),,29,"GOOD LAYUP by WHITE,TIM(in the paint)",MC-M 33-29 (-4),,"GOOD LAYUP by WHITE,TIM(in the paint)",2
12:38,"MISS LAYUP by DANEK,JOEY",,,,,,,"MISS LAYUP by DANEK,JOEY",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
12:19,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",,,"REBOUND DEF by MONTGOMERY,JAYSON",2
12:16,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",2
12:16,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",2
12:16,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",2
12:16,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
12:16,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",2
12:16,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",2
12:16,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",2
12:16,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
12:16,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
11:55,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by BROWN,JEFF",,,"REBOUND OFF by BROWN,JEFF",2
11:49,,33 (+1),,32,"GOOD 3PTR by MEADES,TAYLOR",MC-M 33-32 (-1),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
11:28,"MISS 3PTR by FOSTER,CHASE",,,,,,,"MISS 3PTR by FOSTER,CHASE",2
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",2
11:04,,33,,34 (+1),"GOOD LAYUP by WHITE,TIM(in the paint)",MC-M 33-34 (+1),,"GOOD LAYUP by WHITE,TIM(in the paint)",2
10:33,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
10:31,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",2
10:31,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",2
10:31,"SUB IN by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB IN by MCGAUGHEY,DOMINIQUE",2
10:31,"SUB OUT by FOSTER,CHASE",,,,,,,"SUB OUT by FOSTER,CHASE",2
10:31,"SUB OUT by DAHMS,LOGAN",,,,,,,"SUB OUT by DAHMS,LOGAN",2
10:31,"SUB OUT by WERKEMA,PAUL",,,,,,,"SUB OUT by WERKEMA,PAUL",2
10:19,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
10:11,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
09:57,"GOOD JUMPER by DEVRIES,JON",35 (+1),,34,,COV-M 35-34 (-1),,"GOOD JUMPER by DEVRIES,JON",2
09:36,,35,,36 (+1),"GOOD LAYUP by MERKEL,BRIAN(in the paint)",MC-M 35-36 (+1),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
09:36,"FOUL  by JOHNSON,STEPHEN",,,,,,,"FOUL  by JOHNSON,STEPHEN",2
09:36,,35,,37 (+2),"GOOD FT by MERKEL,BRIAN",MC-M 35-37 (+2),,"GOOD FT by MERKEL,BRIAN",2
09:20,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
09:20,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
09:20,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
08:58,"TURNOVER  by MCGAUGHEY,DOMINIQUE",,,,,,,"TURNOVER  by MCGAUGHEY,DOMINIQUE",2
08:57,,,,,"STEAL  by BROWN,JEFF",,,"STEAL  by BROWN,JEFF",2
08:48,,35,,40 (+5),"GOOD 3PTR by MEADES,TAYLOR",MC-M 35-40 (+5),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by WHITE,TIM",,,"ASSIST  by WHITE,TIM",2
08:28,"MISS 3PTR by MCGAUGHEY,DOMINIQUE",,,,,,,"MISS 3PTR by MCGAUGHEY,DOMINIQUE",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
08:22,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
08:22,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",2
08:22,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",2
08:22,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",2
08:22,"SUB OUT by JOHNSON,STEPHEN",,,,,,,"SUB OUT by JOHNSON,STEPHEN",2
08:11,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
08:11,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
08:11,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
08:11,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
08:01,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
08:01,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
07:47,"MISS 3PTR by MCGAUGHEY,DOMINIQUE",,,,,,,"MISS 3PTR by MCGAUGHEY,DOMINIQUE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:32,,35,,42 (+7),"GOOD JUMPER by CORTESE,NICK",MC-M 35-42 (+7),,"GOOD JUMPER by CORTESE,NICK",2
07:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:09,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",2
06:53,,35,,44 (+9),"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 35-44 (+9),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
06:36,"TURNOVER  by DEVRIES,JON",,,,,,,"TURNOVER  by DEVRIES,JON",2
06:34,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
06:33,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:29,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
06:29,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",2
06:29,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",2
06:29,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",2
06:29,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
06:29,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
06:29,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
06:19,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",2
06:07,"FOUL  by MCGAUGHEY,DOMINIQUE",,,,,,,"FOUL  by MCGAUGHEY,DOMINIQUE",2
06:02,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
06:02,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",2
06:02,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
06:02,"SUB IN by DAHMS,LOGAN",,,,,,,"SUB IN by DAHMS,LOGAN",2
06:02,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",2
06:02,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",2
06:02,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",2
06:02,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
06:02,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
05:15,,35,,46 (+11),"GOOD JUMPER by SUMLER,LV(in the paint)",MC-M 35-46 (+11),,"GOOD JUMPER by SUMLER,LV(in the paint)",2
05:06,"TURNOVER  by DAHMS,LOGAN",,,,,,,"TURNOVER  by DAHMS,LOGAN",2
05:06,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",2
05:06,"SUB OUT by WERKEMA,PAUL",,,,,,,"SUB OUT by WERKEMA,PAUL",2
05:06,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
05:06,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
05:03,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
05:03,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
04:51,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND OFF by MERKEL,BRIAN",,,"REBOUND OFF by MERKEL,BRIAN",2
04:46,"FOUL  by DAHMS,LOGAN",,,,,,,"FOUL  by DAHMS,LOGAN",2
04:46,,,,,"MISS FT by BROWN,JEFF",,,"MISS FT by BROWN,JEFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:46,,,,,"MISS FT by BROWN,JEFF",,,"MISS FT by BROWN,JEFF",2
--,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",,,"REBOUND OFF by MONTGOMERY,JAYSON",2
04:13,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:11,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",2
04:11,"SUB IN by CLARK,WILL",,,,,,,"SUB IN by CLARK,WILL",2
04:11,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",2
04:11,"SUB OUT by JOHNSON,STEPHEN",,,,,,,"SUB OUT by JOHNSON,STEPHEN",2
04:11,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
04:11,"SUB OUT by DAHMS,LOGAN",,,,,,,"SUB OUT by DAHMS,LOGAN",2
04:04,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
03:41,"MISS JUMPER by LAKEY,ZAROME",,,,,,,"MISS JUMPER by LAKEY,ZAROME",2
--,"REBOUND OFF by DANEK,JOEY",,,,,,,"REBOUND OFF by DANEK,JOEY",2
03:39,"GOOD JUMPER by DANEK,JOEY",37,,46 (+9),,COV-M 37-46 (+9),,"GOOD JUMPER by DANEK,JOEY",2
03:39,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
03:39,"GOOD FT by DANEK,JOEY",38,,46 (+8),,COV-M 38-46 (+8),,"GOOD FT by DANEK,JOEY",2
03:39,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
03:39,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
03:29,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",2
03:29,"BLOCK  by DANEK,JOEY",,,,,,,"BLOCK  by DANEK,JOEY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:06,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
02:37,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",2
--,"REBOUND DEF by MCGAUGHEY,DOMINIQUE",,,,,,,"REBOUND DEF by MCGAUGHEY,DOMINIQUE",2
02:34,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
02:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:34,"MISS FT by MCGAUGHEY,DOMINIQUE",,,,,,,"MISS FT by MCGAUGHEY,DOMINIQUE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:34,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
02:34,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
02:33,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",2
02:32,,38,,47 (+9),"GOOD FT by SUMLER,LV",MC-M 38-47 (+9),,"GOOD FT by SUMLER,LV",2
02:32,,38,,48 (+10),"GOOD FT by SUMLER,LV",MC-M 38-48 (+10),,"GOOD FT by SUMLER,LV",2
02:19,"TURNOVER  by DEVRIES,JON",,,,,,,"TURNOVER  by DEVRIES,JON",2
01:50,,38,,50 (+12),"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MC-M 38-50 (+12),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
01:36,"MISS 3PTR by LAKEY,ZAROME",,,,,,,"MISS 3PTR by LAKEY,ZAROME",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
01:00,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
01:00,"BLOCK  by DANEK,JOEY",,,,,,,"BLOCK  by DANEK,JOEY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:00,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
01:00,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",2
01:00,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",2
01:00,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
01:00,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
01:00,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
00:51,,,,,"FOUL  by GUIDICE,DREW",,,"FOUL  by GUIDICE,DREW",2
00:51,"MISS FT by CLARK,WILL",,,,,,,"MISS FT by CLARK,WILL",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
00:26,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",2
00:22,"MISS JUMPER by CLARK,WILL",,,,,,,"MISS JUMPER by CLARK,WILL",2
--,"REBOUND OFF by LAKEY,ZAROME",,,,,,,"REBOUND OFF by LAKEY,ZAROME",2
00:13,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",2
00:13,"GOOD FT by CLARK,WILL",39,,50 (+11),,COV-M 39-50 (+11),,"GOOD FT by CLARK,WILL",2
00:13,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
00:13,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
00:13,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",2
00:13,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
00:13,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
00:13,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",2
00:13,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",2
00:13,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
00:08,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
00:08,"GOOD LAYUP by CLARK,WILL(in the paint)",41,,50 (+9),,COV-M 41-50 (+9),,"GOOD LAYUP by CLARK,WILL(in the paint)",2
