Time Remaining,Welch,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
12:27,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
12:27,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
12:27,"SUB OUT by BOYD,HARRISON",,,,,,,"SUB OUT by BOYD,HARRISON",1
12:27,"SUB IN by KENDRICK,YOSHI",,,,,,,"SUB IN by KENDRICK,YOSHI",1
12:19,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",1
12:19,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
12:13,"GOOD JUMPER by BOYD,HARRISON(in the paint)",12,,21 (+9),,Welch 12-21 (+9),,"GOOD JUMPER by BOYD,HARRISON(in the paint)",1
12:13,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
12:13,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",1
12:13,"SUB OUT by SMITH,SPENCER",,,,,,,"SUB OUT by SMITH,SPENCER",1
12:13,"SUB OUT by KENDRICK,YOSHI",,,,,,,"SUB OUT by KENDRICK,YOSHI",1
12:13,"SUB IN by BOYD,HARRISON",,,,,,,"SUB IN by BOYD,HARRISON",1
12:13,"SUB IN by BASS,ELLIS",,,,,,,"SUB IN by BASS,ELLIS",1
12:13,"FOUL  by BOYD,HARRISON",,,,,,,"FOUL  by BOYD,HARRISON",1
12:13,,,,,"MISS FT by MARR,RUSS(fastbreak)",,,"MISS FT by MARR,RUSS(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:13,,12,,22 (+10),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 12-22 (+10),,"GOOD FT by MARR,RUSS(fastbreak)",1
11:39,"MISS LAYUP by BASS,ELLIS(in the paint)",,,,,,,"MISS LAYUP by BASS,ELLIS(in the paint)",1
11:39,,,,,"BLOCK  by KAHL,COLIN",,,"BLOCK  by KAHL,COLIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:39,"SUB OUT by BASS,OWEN",,,,,,,"SUB OUT by BASS,OWEN",1
11:39,"SUB OUT by HAYWOOD,CHAD",,,,,,,"SUB OUT by HAYWOOD,CHAD",1
11:39,"SUB OUT by JIMENEZ,DREW",,,,,,,"SUB OUT by JIMENEZ,DREW",1
11:39,"SUB IN by SMITH,SPENCER",,,,,,,"SUB IN by SMITH,SPENCER",1
11:39,"SUB IN by CHAPMAN,JC",,,,,,,"SUB IN by CHAPMAN,JC",1
11:39,"SUB IN by BYRD,EJ",,,,,,,"SUB IN by BYRD,EJ",1
11:24,,,,,"MISS 3PTR by MITCHELL,JIMMY",,,"MISS 3PTR by MITCHELL,JIMMY",1
--,"REBOUND DEF by CHAPMAN,JC",,,,,,,"REBOUND DEF by CHAPMAN,JC",1
11:05,"TURNOVER  by BASS,ELLIS",,,,,,,"TURNOVER  by BASS,ELLIS",1
11:05,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",1
11:05,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
10:53,,12,,25 (+13),"GOOD 3PTR by MARR,RUSS",Sewan 12-25 (+13),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by MITCHELL,JIMMY",,,"ASSIST  by MITCHELL,JIMMY",1
10:29,"GOOD LAYUP by CHAPMAN,JC(in the paint)",14,,25 (+11),,Welch 14-25 (+11),,"GOOD LAYUP by CHAPMAN,JC(in the paint)",1
10:01,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:00,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
10:00,"SUB OUT by BOYD,HARRISON",,,,,,,"SUB OUT by BOYD,HARRISON",1
10:00,"SUB IN by HALL,ZAIMES",,,,,,,"SUB IN by HALL,ZAIMES",1
09:44,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
09:44,"MISS FT by BYRD,EJ",,,,,,,"MISS FT by BYRD,EJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:44,"MISS FT by BYRD,EJ",,,,,,,"MISS FT by BYRD,EJ",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
09:44,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
09:44,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
09:44,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
09:44,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
09:35,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
09:06,"MISS 3PTR by SMITH,SPENCER",,,,,,,"MISS 3PTR by SMITH,SPENCER",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
08:50,"FOUL  by SMITH,SPENCER",,,,,,,"FOUL  by SMITH,SPENCER",1
08:50,,14,,26 (+12),"GOOD FT by KAHL,COLIN",Sewan 14-26 (+12),,"GOOD FT by KAHL,COLIN",1
08:50,"SUB OUT by BASS,ELLIS",,,,,,,"SUB OUT by BASS,ELLIS",1
08:50,"SUB IN by SCARLETT,ELI",,,,,,,"SUB IN by SCARLETT,ELI",1
08:50,,14,,27 (+13),"GOOD FT by KAHL,COLIN",Sewan 14-27 (+13),,"GOOD FT by KAHL,COLIN",1
08:36,"GOOD 3PTR by HALL,ZAIMES",17,,27 (+10),,Welch 17-27 (+10),,"GOOD 3PTR by HALL,ZAIMES",1
--,"ASSIST  by SCARLETT,ELI",,,,,,,"ASSIST  by SCARLETT,ELI",1
08:21,,17,,29 (+12),"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 17-29 (+12),,"GOOD JUMPER by MARR,RUSS(in the paint)",1
08:04,"MISS 3PTR by SCARLETT,ELI",,,,,,,"MISS 3PTR by SCARLETT,ELI",1
--,"REBOUND OFF by HALL,ZAIMES",,,,,,,"REBOUND OFF by HALL,ZAIMES",1
07:53,"MISS 3PTR by HALL,ZAIMES",,,,,,,"MISS 3PTR by HALL,ZAIMES",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
07:40,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
07:40,"STEAL  by BYRD,EJ",,,,,,,"STEAL  by BYRD,EJ",1
07:34,"GOOD LAYUP by SCARLETT,ELI(fastbreak)(in the paint)",19,,29 (+10),,Welch 19-29 (+10),,"GOOD LAYUP by SCARLETT,ELI(fastbreak)(in the paint)",1
--,"ASSIST  by BYRD,EJ",,,,,,,"ASSIST  by BYRD,EJ",1
07:18,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by BYRD,EJ",,,,,,,"REBOUND DEF by BYRD,EJ",1
07:11,"TURNOVER  by SMITH,SPENCER",,,,,,,"TURNOVER  by SMITH,SPENCER",1
07:11,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",1
07:11,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
07:11,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
07:11,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
07:11,"SUB OUT by SCARLETT,ELI",,,,,,,"SUB OUT by SCARLETT,ELI",1
07:11,"SUB IN by PRIDE,CHANCE",,,,,,,"SUB IN by PRIDE,CHANCE",1
06:55,"FOUL  by CHAPMAN,JC",,,,,,,"FOUL  by CHAPMAN,JC",1
06:55,,19,,30 (+11),"GOOD FT by PERUSEK,COLE",Sewan 19-30 (+11),,"GOOD FT by PERUSEK,COLE",1
06:55,,19,,31 (+12),"GOOD FT by PERUSEK,COLE",Sewan 19-31 (+12),,"GOOD FT by PERUSEK,COLE",1
06:36,"MISS LAYUP by CHAPMAN,JC(in the paint)",,,,,,,"MISS LAYUP by CHAPMAN,JC(in the paint)",1
06:36,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:29,,,,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",1
--,"REBOUND DEF by HALL,ZAIMES",,,,,,,"REBOUND DEF by HALL,ZAIMES",1
06:23,"MISS 3PTR by PRIDE,CHANCE",,,,,,,"MISS 3PTR by PRIDE,CHANCE",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
06:06,,19,,33 (+14),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 19-33 (+14),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
05:37,"MISS 3PTR by SMITH,SPENCER",,,,,,,"MISS 3PTR by SMITH,SPENCER",1
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",1
05:24,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by SMITH,SPENCER",,,,,,,"REBOUND DEF by SMITH,SPENCER",1
05:24,"TURNOVER  by SMITH,SPENCER",,,,,,,"TURNOVER  by SMITH,SPENCER",1
05:18,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
05:18,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
05:10,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:03,"MISS LAYUP by HALL,ZAIMES(in the paint)",,,,,,,"MISS LAYUP by HALL,ZAIMES(in the paint)",1
05:01,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
--,,,,,"REBOUND OFF by BOULDIN,BLAKE",,,"REBOUND OFF by BOULDIN,BLAKE",1
04:54,,19,,35 (+16),"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",Sewan 19-35 (+16),,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",1
04:39,"GOOD LAYUP by SMITH,SPENCER(in the paint)",21,,35 (+14),,Welch 21-35 (+14),,"GOOD LAYUP by SMITH,SPENCER(in the paint)",1
--,"ASSIST  by PRIDE,CHANCE",,,,,,,"ASSIST  by PRIDE,CHANCE",1
04:21,,,,,"MISS JUMPER by CORRIGAN,TRE(in the paint)",,,"MISS JUMPER by CORRIGAN,TRE(in the paint)",1
--,"REBOUND DEF by CHAPMAN,JC",,,,,,,"REBOUND DEF by CHAPMAN,JC",1
04:12,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
04:12,"SUB OUT by HALL,ZAIMES",,,,,,,"SUB OUT by HALL,ZAIMES",1
04:12,"SUB IN by JIMENEZ,DREW",,,,,,,"SUB IN by JIMENEZ,DREW",1
04:10,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",1
04:09,"GOOD FT by SMITH,SPENCER",22,,35 (+13),,Welch 22-35 (+13),,"GOOD FT by SMITH,SPENCER",1
04:09,"GOOD LAYUP by SMITH,SPENCER(in the paint)",24,,35 (+11),,Welch 24-35 (+11),,"GOOD LAYUP by SMITH,SPENCER(in the paint)",1
04:09,"SUB OUT by BYRD,EJ",,,,,,,"SUB OUT by BYRD,EJ",1
04:09,"SUB IN by KENDRICK,YOSHI",,,,,,,"SUB IN by KENDRICK,YOSHI",1
03:58,,24,,38 (+14),"GOOD 3PTR by MARR,RUSS",Sewan 24-38 (+14),,"GOOD 3PTR by MARR,RUSS",1
03:50,"MISS 3PTR by KENDRICK,YOSHI",,,,,,,"MISS 3PTR by KENDRICK,YOSHI",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
03:34,,24,,41 (+17),"GOOD 3PTR by MARR,RUSS",Sewan 24-41 (+17),,"GOOD 3PTR by MARR,RUSS",1
02:48,"MISS 3PTR by KENDRICK,YOSHI",,,,,,,"MISS 3PTR by KENDRICK,YOSHI",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
02:48,"FOUL  by CHAPMAN,JC",,,,,,,"FOUL  by CHAPMAN,JC",1
02:47,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
02:47,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
02:47,"SUB OUT by PRIDE,CHANCE",,,,,,,"SUB OUT by PRIDE,CHANCE",1
02:47,"SUB OUT by CHAPMAN,JC",,,,,,,"SUB OUT by CHAPMAN,JC",1
02:47,"SUB IN by BASS,OWEN",,,,,,,"SUB IN by BASS,OWEN",1
02:47,"SUB IN by BOYD,HARRISON",,,,,,,"SUB IN by BOYD,HARRISON",1
02:39,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by JIMENEZ,DREW",,,,,,,"REBOUND DEF by JIMENEZ,DREW",1
02:30,"FOUL  by KENDRICK,YOSHI",,,,,,,"FOUL  by KENDRICK,YOSHI",1
02:30,"TURNOVER  by KENDRICK,YOSHI",,,,,,,"TURNOVER  by KENDRICK,YOSHI",1
02:21,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
02:15,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by BOYD,HARRISON",,,,,,,"REBOUND DEF by BOYD,HARRISON",1
02:04,"MISS JUMPER by KENDRICK,YOSHI(in the paint)",,,,,,,"MISS JUMPER by KENDRICK,YOSHI(in the paint)",1
--,"REBOUND OFF by KENDRICK,YOSHI",,,,,,,"REBOUND OFF by KENDRICK,YOSHI",1
01:59,"MISS 3PTR by JIMENEZ,DREW",,,,,,,"MISS 3PTR by JIMENEZ,DREW",1
--,"REBOUND OFF by BOYD,HARRISON",,,,,,,"REBOUND OFF by BOYD,HARRISON",1
01:50,"TURNOVER  by BOYD,HARRISON",,,,,,,"TURNOVER  by BOYD,HARRISON",1
01:50,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",1
01:44,,24,,43 (+19),"GOOD JUMPER by CORRIGAN,TRE(fastbreak)(in the paint)",Sewan 24-43 (+19),,"GOOD JUMPER by CORRIGAN,TRE(fastbreak)(in the paint)",1
01:29,"GOOD JUMPER by KENDRICK,YOSHI(in the paint)",26,,43 (+17),,Welch 26-43 (+17),,"GOOD JUMPER by KENDRICK,YOSHI(in the paint)",1
01:18,,26,,45 (+19),"GOOD JUMPER by MARR,RUSS(in the paint)",Sewan 26-45 (+19),,"GOOD JUMPER by MARR,RUSS(in the paint)",1
00:58,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
00:58,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
00:58,"TURNOVER  by JIMENEZ,DREW",,,,,,,"TURNOVER  by JIMENEZ,DREW",1
00:41,"FOUL  by BOYD,HARRISON",,,,,,,"FOUL  by BOYD,HARRISON",1
00:41,,26,,46 (+20),"GOOD FT by KAHL,COLIN",Sewan 26-46 (+20),,"GOOD FT by KAHL,COLIN",1
00:41,,26,,47 (+21),"GOOD FT by KAHL,COLIN",Sewan 26-47 (+21),,"GOOD FT by KAHL,COLIN",1
00:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:41,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
00:41,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
00:22,"MISS 3PTR by SMITH,SPENCER",,,,,,,"MISS 3PTR by SMITH,SPENCER",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
00:04,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
00:04,"STEAL  by KENDRICK,YOSHI",,,,,,,"STEAL  by KENDRICK,YOSHI",1
00:01,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",1
00:01,"GOOD FT by KENDRICK,YOSHI",27,,47 (+20),,Welch 27-47 (+20),,"GOOD FT by KENDRICK,YOSHI",1
00:01,"MISS FT by KENDRICK,YOSHI",,,,,,,"MISS FT by KENDRICK,YOSHI",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
20:00,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",2
20:00,"SUB OUT by BASS,OWEN",,,,,,,"SUB OUT by BASS,OWEN",2
20:00,"SUB OUT by BOYD,HARRISON",,,,,,,"SUB OUT by BOYD,HARRISON",2
20:00,"SUB OUT by KENDRICK,YOSHI",,,,,,,"SUB OUT by KENDRICK,YOSHI",2
20:00,"SUB OUT by JIMENEZ,DREW",,,,,,,"SUB OUT by JIMENEZ,DREW",2
20:00,"SUB IN by PRIDE,CHANCE",,,,,,,"SUB IN by PRIDE,CHANCE",2
20:00,"SUB IN by CHAPMAN,JC",,,,,,,"SUB IN by CHAPMAN,JC",2
20:00,"SUB IN by BYRD,EJ",,,,,,,"SUB IN by BYRD,EJ",2
20:00,"SUB IN by HALL,ZAIMES",,,,,,,"SUB IN by HALL,ZAIMES",2
