Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
14:21,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
14:21,"SUB IN by PEARLMAN,LOGAN",,,,,,,"SUB IN by PEARLMAN,LOGAN",1
14:21,"SUB IN by KINARD,JESSE",,,,,,,"SUB IN by KINARD,JESSE",1
14:12,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",1
14:00,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:50,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
13:50,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
13:50,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
13:50,"SUB IN by FITZGERALD,JACKSON",,,,,,,"SUB IN by FITZGERALD,JACKSON",1
13:39,,,,,"MISS JUMPER by MARR,RUSS",,,"MISS JUMPER by MARR,RUSS",1
--,"REBOUND DEF by PALMER,BRADY",,,,,,,"REBOUND DEF by PALMER,BRADY",1
13:23,"GOOD 3PTR by KINARD,JESSE",12 (+4),,8,,COV 12-8 (-4),,"GOOD 3PTR by KINARD,JESSE",1
--,"ASSIST  by PEARLMAN,LOGAN",,,,,,,"ASSIST  by PEARLMAN,LOGAN",1
13:04,,12 (+2),,10,"GOOD JUMPER by AVALIANI,LUKA",Sewan 12-10 (-2),,"GOOD JUMPER by AVALIANI,LUKA",1
12:42,"GOOD 3PTR by PALMER,BRADY",15 (+5),,10,,COV 15-10 (-5),,"GOOD 3PTR by PALMER,BRADY",1
--,"ASSIST  by FITZGERALD,JACKSON",,,,,,,"ASSIST  by FITZGERALD,JACKSON",1
12:21,,,,,"MISS JUMPER by PERUSEK,COLE",,,"MISS JUMPER by PERUSEK,COLE",1
--,"REBOUND DEF by FITZGERALD,JACKSON",,,,,,,"REBOUND DEF by FITZGERALD,JACKSON",1
12:04,,,,,"FOUL  by BOULDIN,BLAKE",,,"FOUL  by BOULDIN,BLAKE",1
12:04,"MISS FT by FITZGERALD,JACKSON",,,,,,,"MISS FT by FITZGERALD,JACKSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:04,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
