Time Remaining,BREV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
11:34,"FOUL  by BOYETTE,LB",,,,,,,"FOUL  by BOYETTE,LB",1
11:34,,,,,"MISS FT by MARR,RUSS(fastbreak)",,,"MISS FT by MARR,RUSS(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:34,"SUB OUT by PETERS,MICHAEL",,,,,,,"SUB OUT by PETERS,MICHAEL",1
11:34,"SUB IN by SMITH,RYAN",,,,,,,"SUB IN by SMITH,RYAN",1
11:34,,15,,21 (+6),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 15-21 (+6),,"GOOD FT by MARR,RUSS(fastbreak)",1
11:21,"TURNOVER  by CASSELL,HAYDEN",,,,,,,"TURNOVER  by CASSELL,HAYDEN",1
11:21,,,,,"STEAL  by SMITH,GRAHAM",,,"STEAL  by SMITH,GRAHAM",1
11:05,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
11:05,"BLOCK  by WATSON,CHANCEY",,,,,,,"BLOCK  by WATSON,CHANCEY",1
--,"REBOUND DEF by BOYETTE,LB",,,,,,,"REBOUND DEF by BOYETTE,LB",1
10:37,"FOUL  by BOYETTE,LB",,,,,,,"FOUL  by BOYETTE,LB",1
10:37,"TURNOVER  by BOYETTE,LB",,,,,,,"TURNOVER  by BOYETTE,LB",1
10:37,"SUB OUT by SEALY,DAVID",,,,,,,"SUB OUT by SEALY,DAVID",1
10:37,"SUB IN by EVANS,CARSON",,,,,,,"SUB IN by EVANS,CARSON",1
10:34,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
10:34,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",1
10:34,"SUB OUT by BOYETTE,LB",,,,,,,"SUB OUT by BOYETTE,LB",1
10:34,"SUB IN by CRAWFORD,PARIS",,,,,,,"SUB IN by CRAWFORD,PARIS",1
10:20,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",1
--,"REBOUND DEF by EVANS,CARSON",,,,,,,"REBOUND DEF by EVANS,CARSON",1
09:57,"TURNOVER  by EVANS,CARSON",,,,,,,"TURNOVER  by EVANS,CARSON",1
09:57,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",1
09:57,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
09:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:43,,15,,24 (+9),"GOOD 3PTR by PERUSEK,COLE",Sewan 15-24 (+9),,"GOOD 3PTR by PERUSEK,COLE",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
09:30,"FOUL  by WATSON,CHANCEY",,,,,,,"FOUL  by WATSON,CHANCEY",1
09:30,"TURNOVER  by WATSON,CHANCEY",,,,,,,"TURNOVER  by WATSON,CHANCEY",1
09:05,"FOUL  by SMITH,RYAN",,,,,,,"FOUL  by SMITH,RYAN",1
09:05,,,,,"MISS FT by MARR,RUSS",,,"MISS FT by MARR,RUSS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:05,,15,,25 (+10),"GOOD FT by MARR,RUSS",Sewan 15-25 (+10),,"GOOD FT by MARR,RUSS",1
08:45,"GOOD JUMPER by WATSON,CHANCEY",17,,25 (+8),,BREV 17-25 (+8),,"GOOD JUMPER by WATSON,CHANCEY",1
--,"ASSIST  by CASSELL,HAYDEN",,,,,,,"ASSIST  by CASSELL,HAYDEN",1
08:26,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
--,"REBOUND DEF by CASSELL,HAYDEN",,,,,,,"REBOUND DEF by CASSELL,HAYDEN",1
08:15,"MISS JUMPER by SMITH,RYAN(in the paint)",,,,,,,"MISS JUMPER by SMITH,RYAN(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
07:48,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,"REBOUND DEF by CASSELL,HAYDEN",,,,,,,"REBOUND DEF by CASSELL,HAYDEN",1
07:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:21,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",1
07:21,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
07:21,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
07:21,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
07:21,"SUB OUT by CASSELL,HAYDEN",,,,,,,"SUB OUT by CASSELL,HAYDEN",1
07:21,"SUB IN by CARTER,QUINCY",,,,,,,"SUB IN by CARTER,QUINCY",1
07:19,"GOOD 3PTR by SMITH,RYAN",20,,25 (+5),,BREV 20-25 (+5),,"GOOD 3PTR by SMITH,RYAN",1
--,"ASSIST  by EVANS,CARSON",,,,,,,"ASSIST  by EVANS,CARSON",1
07:02,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",1
07:02,"STEAL  by WATSON,CHANCEY",,,,,,,"STEAL  by WATSON,CHANCEY",1
06:55,"MISS JUMPER by EVANS,CARSON(in the paint)",,,,,,,"MISS JUMPER by EVANS,CARSON(in the paint)",1
06:55,,,,,"BLOCK  by SMITH,GRAHAM",,,"BLOCK  by SMITH,GRAHAM",1
--,"REBOUND OFF by CRAWFORD,PARIS",,,,,,,"REBOUND OFF by CRAWFORD,PARIS",1
06:42,"GOOD 3PTR by WATSON,CHANCEY",23,,25 (+2),,BREV 23-25 (+2),,"GOOD 3PTR by WATSON,CHANCEY",1
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",1
06:28,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",1
06:28,"STEAL  by CRAWFORD,PARIS",,,,,,,"STEAL  by CRAWFORD,PARIS",1
06:14,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",25,,25,,BREV 25-25 (0),,"GOOD LAYUP by CRAWFORD,PARIS(in the paint)",1
05:48,,25,,27 (+2),"GOOD LAYUP by SMITH,GRAHAM(in the paint)",Sewan 25-27 (+2),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",1
05:31,"TURNOVER  by SMITH,RYAN",,,,,,,"TURNOVER  by SMITH,RYAN",1
05:31,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
05:31,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
05:20,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by EVANS,CARSON",,,,,,,"REBOUND DEF by EVANS,CARSON",1
04:58,"GOOD LAYUP by CARTER,QUINCY(in the paint)",27,,27,,BREV 27-27 (0),,"GOOD LAYUP by CARTER,QUINCY(in the paint)",1
--,"ASSIST  by EVANS,CARSON",,,,,,,"ASSIST  by EVANS,CARSON",1
04:45,,,,,"TURNOVER  by PERUSEK,COLE",,,"TURNOVER  by PERUSEK,COLE",1
04:16,"MISS LAYUP by CRAWFORD,PARIS(in the paint)",,,,,,,"MISS LAYUP by CRAWFORD,PARIS(in the paint)",1
--,"REBOUND OFF by WATSON,CHANCEY",,,,,,,"REBOUND OFF by WATSON,CHANCEY",1
04:12,"GOOD LAYUP by WATSON,CHANCEY(in the paint)",29 (+2),,27,,BREV 29-27 (-2),,"GOOD LAYUP by WATSON,CHANCEY(in the paint)",1
03:46,,29,,29,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 29-29 (0),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
03:34,"GOOD 3PTR by WATSON,CHANCEY",32 (+3),,29,,BREV 32-29 (-3),,"GOOD 3PTR by WATSON,CHANCEY",1
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",1
03:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:21,,,,,"MISS JUMPER by PERUSEK,COLE",,,"MISS JUMPER by PERUSEK,COLE",1
--,"REBOUND DEF by WATSON,CHANCEY",,,,,,,"REBOUND DEF by WATSON,CHANCEY",1
03:05,"MISS 3PTR by SMITH,RYAN",,,,,,,"MISS 3PTR by SMITH,RYAN",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
02:58,,32,,32,"GOOD 3PTR by CORRIGAN,TRE(fastbreak)",Sewan 32-32 (0),,"GOOD 3PTR by CORRIGAN,TRE(fastbreak)",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
02:38,"MISS 3PTR by EVANS,CARSON",,,,,,,"MISS 3PTR by EVANS,CARSON",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
02:21,,32,,35 (+3),"GOOD 3PTR by CORRIGAN,TRE",Sewan 32-35 (+3),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by BOULDIN,BLAKE",,,"ASSIST  by BOULDIN,BLAKE",1
02:18,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
02:18,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
02:18,"SUB OUT by EVANS,CARSON",,,,,,,"SUB OUT by EVANS,CARSON",1
02:18,"SUB OUT by WATSON,CHANCEY",,,,,,,"SUB OUT by WATSON,CHANCEY",1
02:18,"SUB IN by SEALY,DAVID",,,,,,,"SUB IN by SEALY,DAVID",1
02:18,"SUB IN by REED,CHARLES",,,,,,,"SUB IN by REED,CHARLES",1
02:10,"FOUL  by SMITH,RYAN",,,,,,,"FOUL  by SMITH,RYAN",1
02:10,"TURNOVER  by SMITH,RYAN",,,,,,,"TURNOVER  by SMITH,RYAN",1
02:03,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
02:03,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",1
01:51,,32,,37 (+5),"GOOD LAYUP by SMITH,GRAHAM(in the paint)",Sewan 32-37 (+5),,"GOOD LAYUP by SMITH,GRAHAM(in the paint)",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
01:37,"MISS 3PTR by SMITH,RYAN",,,,,,,"MISS 3PTR by SMITH,RYAN",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
01:27,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
01:27,"BLOCK  by SMITH,RYAN",,,,,,,"BLOCK  by SMITH,RYAN",1
--,,,,,"REBOUND OFF by AVALIANI,LUKA",,,"REBOUND OFF by AVALIANI,LUKA",1
01:23,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by REED,CHARLES",,,,,,,"REBOUND DEF by REED,CHARLES",1
01:06,"MISS LAYUP by CARTER,QUINCY(in the paint)",,,,,,,"MISS LAYUP by CARTER,QUINCY(in the paint)",1
01:06,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,"REBOUND OFF by CARTER,QUINCY",,,,,,,"REBOUND OFF by CARTER,QUINCY",1
00:58,"GOOD LAYUP by CARTER,QUINCY(in the paint)",34,,37 (+3),,BREV 34-37 (+3),,"GOOD LAYUP by CARTER,QUINCY(in the paint)",1
00:47,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
00:47,"SUB OUT by SMITH,RYAN",,,,,,,"SUB OUT by SMITH,RYAN",1
00:47,"SUB IN by PETERS,MICHAEL",,,,,,,"SUB IN by PETERS,MICHAEL",1
00:35,"GOOD 3PTR by CARTER,QUINCY",37,,37,,BREV 37-37 (0),,"GOOD 3PTR by CARTER,QUINCY",1
--,"ASSIST  by REED,CHARLES",,,,,,,"ASSIST  by REED,CHARLES",1
00:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:26,,,,,"SUB OUT by MITCHELL,JIMMY",,,"SUB OUT by MITCHELL,JIMMY",1
00:26,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
00:12,,,,,"TURNOVER  by MARR,RUSS",,,"TURNOVER  by MARR,RUSS",1
00:02,"MISS JUMPER by CRAWFORD,PARIS(in the paint)",,,,,,,"MISS JUMPER by CRAWFORD,PARIS(in the paint)",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
20:00,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
20:00,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
20:00,"SUB OUT by CRAWFORD,PARIS",,,,,,,"SUB OUT by CRAWFORD,PARIS",2
20:00,"SUB OUT by PETERS,MICHAEL",,,,,,,"SUB OUT by PETERS,MICHAEL",2
20:00,"SUB IN by BOYETTE,LB",,,,,,,"SUB IN by BOYETTE,LB",2
20:00,"SUB IN by BLEYNAT,LUKE",,,,,,,"SUB IN by BLEYNAT,LUKE",2
19:50,"MISS 3PTR by BLEYNAT,LUKE",,,,,,,"MISS 3PTR by BLEYNAT,LUKE",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
19:34,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND OFF by AVALIANI,LUKA",,,"REBOUND OFF by AVALIANI,LUKA",2
19:23,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by CARTER,QUINCY",,,,,,,"REBOUND DEF by CARTER,QUINCY",2
18:52,"MISS 3PTR by CARTER,QUINCY",,,,,,,"MISS 3PTR by CARTER,QUINCY",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
18:42,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND OFF by BOULDIN,BLAKE",,,"REBOUND OFF by BOULDIN,BLAKE",2
18:37,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",2
18:37,"BLOCK  by CARTER,QUINCY",,,,,,,"BLOCK  by CARTER,QUINCY",2
--,"REBOUND DEF by REED,CHARLES",,,,,,,"REBOUND DEF by REED,CHARLES",2
18:32,"MISS LAYUP by REED,CHARLES(in the paint)",,,,,,,"MISS LAYUP by REED,CHARLES(in the paint)",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
18:27,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by REED,CHARLES",,,,,,,"REBOUND DEF by REED,CHARLES",2
18:23,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
18:23,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
18:23,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
18:07,"MISS JUMPER by BOYETTE,LB",,,,,,,"MISS JUMPER by BOYETTE,LB",2
--,"REBOUND OFF by BOYETTE,LB",,,,,,,"REBOUND OFF by BOYETTE,LB",2
18:01,"GOOD LAYUP by BOYETTE,LB(in the paint)",39 (+2),,37,,BREV 39-37 (-2),,"GOOD LAYUP by BOYETTE,LB(in the paint)",2
17:45,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by REED,CHARLES",,,,,,,"REBOUND DEF by REED,CHARLES",2
17:15,"MISS LAYUP by BOYETTE,LB(in the paint)",,,,,,,"MISS LAYUP by BOYETTE,LB(in the paint)",2
--,"REBOUND OFF by SEALY,DAVID",,,,,,,"REBOUND OFF by SEALY,DAVID",2
17:11,"MISS 3PTR by REED,CHARLES",,,,,,,"MISS 3PTR by REED,CHARLES",2
--,"REBOUND OFF by BLEYNAT,LUKE",,,,,,,"REBOUND OFF by BLEYNAT,LUKE",2
17:11,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",2
17:08,"MISS LAYUP by CARTER,QUINCY(in the paint)",,,,,,,"MISS LAYUP by CARTER,QUINCY(in the paint)",2
17:08,,,,,"BLOCK  by SMITH,GRAHAM",,,"BLOCK  by SMITH,GRAHAM",2
--,"REBOUND OFF by CARTER,QUINCY",,,,,,,"REBOUND OFF by CARTER,QUINCY",2
16:53,"GOOD LAYUP by BLEYNAT,LUKE(in the paint)",41 (+4),,37,,BREV 41-37 (-4),,"GOOD LAYUP by BLEYNAT,LUKE(in the paint)",2
--,"ASSIST  by CARTER,QUINCY",,,,,,,"ASSIST  by CARTER,QUINCY",2
