Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
13:48,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
13:40,,8,,13 (+5),"GOOD LAYUP by JOLLY,RYAN(fastbreak)(in the paint)",PUM 8-13 (-5),,"GOOD LAYUP by JOLLY,RYAN(fastbreak)(in the paint)",1
13:25,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:24,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
13:24,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",1
13:24,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
13:24,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",1
13:24,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",1
13:24,,,,,"SUB IN by RICHTER,WILL",,,"SUB IN by RICHTER,WILL",1
13:24,,,,,"SUB OUT by QUICK,JUSTIN",,,"SUB OUT by QUICK,JUSTIN",1
13:24,,,,,"SUB OUT by FOOTE,JORDAN",,,"SUB OUT by FOOTE,JORDAN",1
13:12,"GOOD 3PTR by CORRIGAN,TRE",11,,13 (+2),,SEWANEE 11-13 (-2),,"GOOD 3PTR by CORRIGAN,TRE",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
13:02,,,,,"MISS DUNK by MEELER,DALTON",,,"MISS DUNK by MEELER,DALTON",1
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",1
12:53,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND OFF by MARR,RUSS",,,,,,,"REBOUND OFF by MARR,RUSS",1
12:49,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",1
12:49,"GOOD FT by MARR,RUSS",12,,13 (+1),,SEWANEE 12-13 (-1),,"GOOD FT by MARR,RUSS",1
12:49,"GOOD FT by MARR,RUSS",13,,13,,SEWANEE 13-13 (0),,"GOOD FT by MARR,RUSS",1
12:35,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",1
12:35,,13,,14 (+1),"GOOD FT by JOLLY,RYAN",PUM 13-14 (-1),,"GOOD FT by JOLLY,RYAN",1
12:35,,13,,15 (+2),"GOOD FT by JOLLY,RYAN",PUM 13-15 (-2),,"GOOD FT by JOLLY,RYAN",1
12:25,,,,,"FOUL  by MEELER,DALTON",,,"FOUL  by MEELER,DALTON",1
12:23,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
12:22,,,,,"STEAL  by MEELER,DALTON",,,"STEAL  by MEELER,DALTON",1
12:18,,,,,"TURNOVER  by RICHTER,WILL",,,"TURNOVER  by RICHTER,WILL",1
12:05,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",1
12:05,,,,,"BLOCK  by PALMER,AARON",,,"BLOCK  by PALMER,AARON",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
11:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:58,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
11:58,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",1
