Time Remaining,BREVARD,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
12:23,,,,,"MISS LAYUP by WARLICK,JORDAN",,,"MISS LAYUP by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",2
12:20,,29,,39 (+10),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 29-39 (+10),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
11:50,"GOOD JUMPER by LAMB,LEVI",31,,39 (+8),,BREVARD 31-39 (+8),,"GOOD JUMPER by LAMB,LEVI",2
11:29,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",2
11:29,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:29,"SUB IN by PANKEY,MESSIAH",,,,,,,"SUB IN by PANKEY,MESSIAH",2
11:29,"SUB IN by KINGSBERRY,KE'VEL",,,,,,,"SUB IN by KINGSBERRY,KE'VEL",2
11:29,"SUB OUT by LAMB,LEVI",,,,,,,"SUB OUT by LAMB,LEVI",2
11:29,"SUB OUT by HOPPER,DEMARI",,,,,,,"SUB OUT by HOPPER,DEMARI",2
11:21,"MISS JUMPER by LEA,NOAH",,,,,,,"MISS JUMPER by LEA,NOAH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:53,,31,,41 (+10),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 31-41 (+10),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
10:43,"MISS JUMPER by LEA,NOAH",,,,,,,"MISS JUMPER by LEA,NOAH",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
10:23,"FOUL  by LEA,NOAH",,,,,,,"FOUL  by LEA,NOAH",2
10:23,,31,,42 (+11),"GOOD FT by CALDWELL,CAM",SEWANEE 31-42 (+11),,"GOOD FT by CALDWELL,CAM",2
10:23,,31,,43 (+12),"GOOD FT by CALDWELL,CAM",SEWANEE 31-43 (+12),,"GOOD FT by CALDWELL,CAM",2
10:11,"MISS 3PTR by HERRON-CUTHBER,MALON",,,,,,,"MISS 3PTR by HERRON-CUTHBER,MALON",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
09:54,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
09:52,"STEAL  by PANKEY,MESSIAH",,,,,,,"STEAL  by PANKEY,MESSIAH",2
09:48,"GOOD LAYUP by MOSLEY,DREW(in the paint)",33,,43 (+10),,BREVARD 33-43 (+10),,"GOOD LAYUP by MOSLEY,DREW(in the paint)",2
--,"ASSIST  by PANKEY,MESSIAH",,,,,,,"ASSIST  by PANKEY,MESSIAH",2
09:27,"FOUL  by PANKEY,MESSIAH",,,,,,,"FOUL  by PANKEY,MESSIAH",2
09:27,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
09:27,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",2
09:14,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
09:13,"STEAL  by MOSLEY,DREW",,,,,,,"STEAL  by MOSLEY,DREW",2
08:57,"MISS JUMPER by MOSLEY,DREW",,,,,,,"MISS JUMPER by MOSLEY,DREW",2
--,"REBOUND OFF by MOSLEY,DREW",,,,,,,"REBOUND OFF by MOSLEY,DREW",2
08:51,"GOOD LAYUP by MOSLEY,DREW(in the paint)",35,,43 (+8),,BREVARD 35-43 (+8),,"GOOD LAYUP by MOSLEY,DREW(in the paint)",2
--,"ASSIST  by PANKEY,MESSIAH",,,,,,,"ASSIST  by PANKEY,MESSIAH",2
08:35,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",2
08:18,,35,,45 (+10),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 35-45 (+10),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
--,,,,,"ASSIST  by CRUMLY,JONNY",,,"ASSIST  by CRUMLY,JONNY",2
08:05,"TURNOVER  by HERRON-CUTHBER,MALON",,,,,,,"TURNOVER  by HERRON-CUTHBER,MALON",2
08:04,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",2
08:03,,35,,47 (+12),"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",SEWANEE 35-47 (+12),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
07:40,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",2
07:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:40,"GOOD FT by HERRON-CUTHBER,MALON",36,,47 (+11),,BREVARD 36-47 (+11),,"GOOD FT by HERRON-CUTHBER,MALON",2
07:40,"GOOD FT by HERRON-CUTHBER,MALON",37,,47 (+10),,BREVARD 37-47 (+10),,"GOOD FT by HERRON-CUTHBER,MALON",2
07:40,"SUB IN by LAMB,LEVI",,,,,,,"SUB IN by LAMB,LEVI",2
07:40,"SUB OUT by LEA,NOAH",,,,,,,"SUB OUT by LEA,NOAH",2
07:40,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",2
07:40,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
07:40,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
07:40,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
07:22,,37,,50 (+13),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 37-50 (+13),,"GOOD 3PTR by BUESCHER,HUNTER",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
06:59,"GOOD JUMPER by MOSLEY,DREW",39,,50 (+11),,BREVARD 39-50 (+11),,"GOOD JUMPER by MOSLEY,DREW",2
--,"ASSIST  by KINGSBERRY,KE'VEL",,,,,,,"ASSIST  by KINGSBERRY,KE'VEL",2
06:36,,39,,53 (+14),"GOOD 3PTR by SMITH,LUKE",SEWANEE 39-53 (+14),,"GOOD 3PTR by SMITH,LUKE",2
06:32,"SUB IN by WILSON,JOSHUA",,,,,,,"SUB IN by WILSON,JOSHUA",2
06:32,"SUB IN by LAMB,CANNON",,,,,,,"SUB IN by LAMB,CANNON",2
06:32,"SUB IN by TURNER,QADHAFI",,,,,,,"SUB IN by TURNER,QADHAFI",2
06:32,"SUB IN by HOPPER,DEMARI",,,,,,,"SUB IN by HOPPER,DEMARI",2
06:32,"SUB OUT by MOSLEY,DREW",,,,,,,"SUB OUT by MOSLEY,DREW",2
06:32,"SUB OUT by PANKEY,MESSIAH",,,,,,,"SUB OUT by PANKEY,MESSIAH",2
06:32,"SUB OUT by KINGSBERRY,KE'VEL",,,,,,,"SUB OUT by KINGSBERRY,KE'VEL",2
06:32,"SUB OUT by HERRON-CUTHBER,MALON",,,,,,,"SUB OUT by HERRON-CUTHBER,MALON",2
06:22,"GOOD JUMPER by LAMB,LEVI",41,,53 (+12),,BREVARD 41-53 (+12),,"GOOD JUMPER by LAMB,LEVI",2
05:52,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",2
--,"REBOUND DEF by LAMB,CANNON",,,,,,,"REBOUND DEF by LAMB,CANNON",2
05:31,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",2
05:24,"TURNOVER  by HOPPER,DEMARI",,,,,,,"TURNOVER  by HOPPER,DEMARI",2
05:12,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",2
05:12,"BLOCK  by LAMB,CANNON",,,,,,,"BLOCK  by LAMB,CANNON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:01,,41,,56 (+15),"GOOD 3PTR by SMITH,LUKE",SEWANEE 41-56 (+15),,"GOOD 3PTR by SMITH,LUKE",2
04:42,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
04:42,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
04:33,"MISS 3PTR by LAMB,LEVI",,,,,,,"MISS 3PTR by LAMB,LEVI",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
04:17,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by WILSON,JOSHUA",,,,,,,"REBOUND DEF by WILSON,JOSHUA",2
04:14,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",2
04:03,"GOOD JUMPER by TURNER,QADHAFI",43,,56 (+13),,BREVARD 43-56 (+13),,"GOOD JUMPER by TURNER,QADHAFI",2
03:41,,,,,"MISS JUMPER by LEE,MATT",,,"MISS JUMPER by LEE,MATT",2
--,"REBOUND DEF by TURNER,QADHAFI",,,,,,,"REBOUND DEF by TURNER,QADHAFI",2
03:20,"MISS JUMPER by LAMB,LEVI",,,,,,,"MISS JUMPER by LAMB,LEVI",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
02:59,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
02:58,"STEAL  by TURNER,QADHAFI",,,,,,,"STEAL  by TURNER,QADHAFI",2
02:49,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
02:49,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
02:49,"GOOD FT by TURNER,QADHAFI",44,,56 (+12),,BREVARD 44-56 (+12),,"GOOD FT by TURNER,QADHAFI",2
02:49,"GOOD FT by TURNER,QADHAFI",45,,56 (+11),,BREVARD 45-56 (+11),,"GOOD FT by TURNER,QADHAFI",2
02:49,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
02:49,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
02:20,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",2
--,"REBOUND DEF by LAMB,CANNON",,,,,,,"REBOUND DEF by LAMB,CANNON",2
02:11,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",2
02:11,"MISS FT by TURNER,QADHAFI",,,,,,,"MISS FT by TURNER,QADHAFI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:11,"GOOD FT by TURNER,QADHAFI",46,,56 (+10),,BREVARD 46-56 (+10),,"GOOD FT by TURNER,QADHAFI",2
02:11,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
02:11,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
01:51,"FOUL  by LAMB,CANNON",,,,,,,"FOUL  by LAMB,CANNON",2
01:51,,46,,57 (+11),"GOOD FT by CALDWELL,CAM",SEWANEE 46-57 (+11),,"GOOD FT by CALDWELL,CAM",2
01:51,,46,,58 (+12),"GOOD FT by CALDWELL,CAM",SEWANEE 46-58 (+12),,"GOOD FT by CALDWELL,CAM",2
01:39,"GOOD LAYUP by HOPPER,DEMARI(in the paint)",48,,58 (+10),,BREVARD 48-58 (+10),,"GOOD LAYUP by HOPPER,DEMARI(in the paint)",2
01:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:37,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
01:37,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
01:29,"FOUL  by LAMB,CANNON",,,,,,,"FOUL  by LAMB,CANNON",2
01:27,"FOUL  by TURNER,QADHAFI",,,,,,,"FOUL  by TURNER,QADHAFI",2
01:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:25,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
01:23,"STEAL  by TURNER,QADHAFI",,,,,,,"STEAL  by TURNER,QADHAFI",2
01:21,"GOOD DUNK by LAMB,LEVI(in the paint)",50,,58 (+8),,BREVARD 50-58 (+8),,"GOOD DUNK by LAMB,LEVI(in the paint)",2
--,"ASSIST  by TURNER,QADHAFI",,,,,,,"ASSIST  by TURNER,QADHAFI",2
01:14,"FOUL  by TURNER,QADHAFI",,,,,,,"FOUL  by TURNER,QADHAFI",2
01:14,,50,,59 (+9),"GOOD FT by BUESCHER,HUNTER",SEWANEE 50-59 (+9),,"GOOD FT by BUESCHER,HUNTER",2
01:14,,,,,"MISS FT by BUESCHER,HUNTER",,,"MISS FT by BUESCHER,HUNTER",2
--,"REBOUND DEF by LAMB,CANNON",,,,,,,"REBOUND DEF by LAMB,CANNON",2
01:02,"MISS JUMPER by HOPPER,DEMARI",,,,,,,"MISS JUMPER by HOPPER,DEMARI",2
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",2
00:59,"FOUL  by WILSON,JOSHUA",,,,,,,"FOUL  by WILSON,JOSHUA",2
00:59,,50,,60 (+10),"GOOD FT by KNOX,JOEY",SEWANEE 50-60 (+10),,"GOOD FT by KNOX,JOEY",2
00:59,,,,,"MISS FT by KNOX,JOEY",,,"MISS FT by KNOX,JOEY",2
--,"REBOUND DEF by LAMB,CANNON",,,,,,,"REBOUND DEF by LAMB,CANNON",2
00:49,"MISS LAYUP by TURNER,QADHAFI",,,,,,,"MISS LAYUP by TURNER,QADHAFI",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
00:48,"FOUL  by WILSON,JOSHUA",,,,,,,"FOUL  by WILSON,JOSHUA",2
00:48,,50,,61 (+11),"GOOD FT by SMITH,LUKE",SEWANEE 50-61 (+11),,"GOOD FT by SMITH,LUKE",2
00:48,,50,,62 (+12),"GOOD FT by SMITH,LUKE",SEWANEE 50-62 (+12),,"GOOD FT by SMITH,LUKE",2
00:48,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
00:48,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
00:36,"GOOD JUMPER by LAMB,LEVI",52,,62 (+10),,BREVARD 52-62 (+10),,"GOOD JUMPER by LAMB,LEVI",2
00:22,"FOUL  by LAMB,CANNON",,,,,,,"FOUL  by LAMB,CANNON",2
00:22,,52,,63 (+11),"GOOD FT by BUESCHER,HUNTER",SEWANEE 52-63 (+11),,"GOOD FT by BUESCHER,HUNTER",2
00:22,,52,,64 (+12),"GOOD FT by BUESCHER,HUNTER",SEWANEE 52-64 (+12),,"GOOD FT by BUESCHER,HUNTER",2
00:09,"GOOD 3PTR by LAMB,LEVI",55,,64 (+9),,BREVARD 55-64 (+9),,"GOOD 3PTR by LAMB,LEVI",2
