Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
14:02,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
14:02,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
13:33,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
13:19,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
13:19,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
13:19,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
13:19,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
12:56,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
12:44,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",1
12:44,"GOOD FT by EATON,JACK",6,,10 (+4),,HENDRIXM 6-10 (+4),,"GOOD FT by EATON,JACK",1
12:44,"GOOD FT by EATON,JACK",7,,10 (+3),,HENDRIXM 7-10 (+3),,"GOOD FT by EATON,JACK",1
12:44,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
12:44,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
12:32,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",1
12:28,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
12:23,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
12:07,"GOOD LAYUP by CONRAD,ALEX(in the paint)",9,,10 (+1),,HENDRIXM 9-10 (+1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
11:57,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
11:57,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:57,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
11:57,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
11:44,,9,,12 (+3),"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",SEWANEE 9-12 (+3),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
11:25,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",1
10:59,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
10:37,,,,,"MISS LAYUP by HOLLOWAY,JACK",,,"MISS LAYUP by HOLLOWAY,JACK",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
10:05,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
09:43,,9,,14 (+5),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 9-14 (+5),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
09:43,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
09:43,,9,,15 (+6),"GOOD FT by SMITH,LUKE",SEWANEE 9-15 (+6),,"GOOD FT by SMITH,LUKE",1
09:43,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
09:43,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
09:43,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
09:43,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
09:43,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
09:43,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
09:43,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
09:43,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
09:43,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
09:43,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
09:43,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
09:43,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",1
09:43,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
09:43,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
09:31,"GOOD 3PTR by LINK,JACOB",12,,15 (+3),,HENDRIXM 12-15 (+3),,"GOOD 3PTR by LINK,JACOB",1
09:18,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
09:17,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
09:10,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
09:06,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
08:55,,12,,17 (+5),"GOOD JUMPER by SMITH,LUKE",SEWANEE 12-17 (+5),,"GOOD JUMPER by SMITH,LUKE",1
08:39,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
08:20,,,,,"MISS LAYUP by WARLICK,JORDAN",,,"MISS LAYUP by WARLICK,JORDAN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
08:13,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
08:12,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
08:10,,12,,19 (+7),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 12-19 (+7),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
07:51,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
07:50,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
07:48,,12,,21 (+9),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 12-21 (+9),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
07:31,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
07:07,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
07:00,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
07:00,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
06:54,"GOOD FT by LINK,JACOB",13,,21 (+8),,HENDRIXM 13-21 (+8),,"GOOD FT by LINK,JACOB",1
06:54,"GOOD FT by LINK,JACOB",14,,21 (+7),,HENDRIXM 14-21 (+7),,"GOOD FT by LINK,JACOB",1
06:54,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
06:54,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
06:47,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
06:47,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
06:43,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
06:43,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:25,,14,,24 (+10),"GOOD 3PTR by LEE,MATT",SEWANEE 14-24 (+10),,"GOOD 3PTR by LEE,MATT",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
05:53,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",1
05:49,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
05:31,,14,,27 (+13),"GOOD 3PTR by CALDWELL,CAM",SEWANEE 14-27 (+13),,"GOOD 3PTR by CALDWELL,CAM",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
05:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:26,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
05:26,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
05:19,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
05:15,"GOOD FT by FITCH,CARL",15,,27 (+12),,HENDRIXM 15-27 (+12),,"GOOD FT by FITCH,CARL",1
05:15,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
05:15,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
05:15,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
05:04,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",1
04:50,,15,,29 (+14),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 15-29 (+14),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
04:37,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
04:37,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
04:37,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
04:37,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:37,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
04:24,,15,,31 (+16),"GOOD LAYUP by BARRY,MICHAEL(in the paint)",SEWANEE 15-31 (+16),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
04:14,"GOOD LAYUP by STANLEY,SETH(in the paint)",17,,31 (+14),,HENDRIXM 17-31 (+14),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
04:08,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
04:02,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
03:55,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
03:48,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",1
03:48,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
03:33,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
03:33,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
03:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:33,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
03:33,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
03:33,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
03:33,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
03:28,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
03:28,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
03:26,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:07,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by HOLLOWAY,JACK",,,"REBOUND OFF by HOLLOWAY,JACK",1
03:00,,,,,"MISS LAYUP by HOLLOWAY,JACK",,,"MISS LAYUP by HOLLOWAY,JACK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:50,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
02:50,,17,,32 (+15),"GOOD FT by WARLICK,JORDAN",SEWANEE 17-32 (+15),,"GOOD FT by WARLICK,JORDAN",1
02:50,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
02:50,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
02:50,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
02:36,"GOOD LAYUP by CONRAD,ALEX(in the paint)",19,,32 (+13),,HENDRIXM 19-32 (+13),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
02:15,,,,,"MISS JUMPER by HOLLOWAY,JACK",,,"MISS JUMPER by HOLLOWAY,JACK",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
01:33,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
01:25,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
01:23,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
01:23,"GOOD FT by LINK,JACOB",20,,32 (+12),,HENDRIXM 20-32 (+12),,"GOOD FT by LINK,JACOB",1
01:23,"GOOD FT by LINK,JACOB",21,,32 (+11),,HENDRIXM 21-32 (+11),,"GOOD FT by LINK,JACOB",1
01:23,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
01:23,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
01:23,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
01:23,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
01:10,,21,,34 (+13),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 21-34 (+13),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
00:52,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
00:52,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
00:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:52,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
00:52,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
00:33,,,,,"TURNOVER  by CRUMLY,JONNY",,,"TURNOVER  by CRUMLY,JONNY",1
00:25,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1
19:51,,21,,37 (+16),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 21-37 (+16),,"GOOD 3PTR by WARLICK,JORDAN",2
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",2
19:27,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",2
19:16,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
19:16,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
19:09,"GOOD 3PTR by STANLEY,SETH",24,,37 (+13),,HENDRIXM 24-37 (+13),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
18:49,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
18:44,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",2
18:44,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
18:24,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
18:24,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
17:53,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
17:36,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
17:17,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:17,,24,,38 (+14),"GOOD FT by WARLICK,JORDAN",SEWANEE 24-38 (+14),,"GOOD FT by WARLICK,JORDAN",2
17:13,,24,,39 (+15),"GOOD FT by WARLICK,JORDAN",SEWANEE 24-39 (+15),,"GOOD FT by WARLICK,JORDAN",2
16:59,"GOOD 3PTR by STANLEY,SETH",27,,39 (+12),,HENDRIXM 27-39 (+12),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
16:35,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
16:20,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
16:08,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
16:07,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
16:05,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
16:05,"GOOD FT by FITCH,CARL",28,,39 (+11),,HENDRIXM 28-39 (+11),,"GOOD FT by FITCH,CARL",2
16:05,"GOOD FT by FITCH,CARL",29,,39 (+10),,HENDRIXM 29-39 (+10),,"GOOD FT by FITCH,CARL",2
15:43,,29,,42 (+13),"GOOD 3PTR by CALDWELL,CAM",SEWANEE 29-42 (+13),,"GOOD 3PTR by CALDWELL,CAM",2
--,,,,,"ASSIST  by WARLICK,JORDAN",,,"ASSIST  by WARLICK,JORDAN",2
15:35,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
15:35,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
15:35,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:35,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
15:35,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
15:35,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",2
