Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
15:30,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
15:30,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
15:30,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
15:30,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
15:30,,,,,"SUB IN by RUSZALA,STEVE",,,"SUB IN by RUSZALA,STEVE",1
15:30,,,,,"SUB IN by WARD,LIAM",,,"SUB IN by WARD,LIAM",1
15:30,,,,,"SUB IN by LECKONBY,WILL",,,"SUB IN by LECKONBY,WILL",1
15:30,,,,,"SUB OUT by CURRY,MARCUS",,,"SUB OUT by CURRY,MARCUS",1
15:30,,,,,"SUB OUT by LONG,CARSON",,,"SUB OUT by LONG,CARSON",1
15:30,,,,,"SUB OUT by LOGAN,JOAH",,,"SUB OUT by LOGAN,JOAH",1
15:17,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
15:00,,,,,"MISS JUMPER by WARD,LIAM",,,"MISS JUMPER by WARD,LIAM",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
14:43,,,,,"FOUL  by WARD,LIAM",,,"FOUL  by WARD,LIAM",1
14:43,"GOOD FT by KNOX,JOEY",8,,18 (+10),,SEWANEE 8-18 (-10),,"GOOD FT by KNOX,JOEY",1
14:43,"MISS FT by KNOX,JOEY",,,,,,,"MISS FT by KNOX,JOEY",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
14:29,,,,,"MISS 3PTR by GORE,JAYLEN",,,"MISS 3PTR by GORE,JAYLEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:27,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",1
14:27,,,,,"SUB IN by CURRY,MARCUS",,,"SUB IN by CURRY,MARCUS",1
14:27,,,,,"SUB IN by HARKINS,LUKE",,,"SUB IN by HARKINS,LUKE",1
14:27,,,,,"SUB OUT by GREGORY,KYLER",,,"SUB OUT by GREGORY,KYLER",1
14:27,,,,,"SUB OUT by GORE,JAYLEN",,,"SUB OUT by GORE,JAYLEN",1
14:14,,8,,20 (+12),"GOOD JUMPER by HARKINS,LUKE",GC 8-20 (-12),,"GOOD JUMPER by HARKINS,LUKE",1
13:55,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND OFF by BARRY,MICHAEL",,,,,,,"REBOUND OFF by BARRY,MICHAEL",1
13:38,"GOOD LAYUP by CALDWELL,CAM(in the paint)",10,,20 (+10),,SEWANEE 10-20 (-10),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by HOLLOWAY,JACK",,,,,,,"ASSIST  by HOLLOWAY,JACK",1
13:20,,10,,22 (+12),"GOOD LAYUP by WARD,LIAM(in the paint)",GC 10-22 (-12),,"GOOD LAYUP by WARD,LIAM(in the paint)",1
13:06,"GOOD LAYUP by CALDWELL,CAM(in the paint)",12,,22 (+10),,SEWANEE 12-22 (-10),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
12:51,,,,,"TURNOVER  by LECKONBY,WILL",,,"TURNOVER  by LECKONBY,WILL",1
12:33,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",14,,22 (+8),,SEWANEE 14-22 (-8),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
12:07,,,,,"MISS JUMPER by CURRY,MARCUS",,,"MISS JUMPER by CURRY,MARCUS",1
--,,,,,"REBOUND OFF by RUSZALA,STEVE",,,"REBOUND OFF by RUSZALA,STEVE",1
12:04,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
12:04,,,,,"SUB IN by GREGORY,KYLER",,,"SUB IN by GREGORY,KYLER",1
12:04,,,,,"SUB OUT by RUSZALA,STEVE",,,"SUB OUT by RUSZALA,STEVE",1
12:01,,14,,25 (+11),"GOOD 3PTR by LECKONBY,WILL",GC 14-25 (-11),,"GOOD 3PTR by LECKONBY,WILL",1
--,,,,,"ASSIST  by WARD,LIAM",,,"ASSIST  by WARD,LIAM",1
11:43,"MISS JUMPER by HOLLOWAY,JACK",,,,,,,"MISS JUMPER by HOLLOWAY,JACK",1
--,,,,,"REBOUND DEF by HARKINS,LUKE",,,"REBOUND DEF by HARKINS,LUKE",1
11:29,,14,,27 (+13),"GOOD JUMPER by CURRY,MARCUS",GC 14-27 (-13),,"GOOD JUMPER by CURRY,MARCUS",1
11:18,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
11:18,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
11:18,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
11:18,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
11:18,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
11:18,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
11:18,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
11:18,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
11:18,,,,,"SUB IN by LONG,CARSON",,,"SUB IN by LONG,CARSON",1
11:18,,,,,"SUB IN by GORE,JAYLEN",,,"SUB IN by GORE,JAYLEN",1
11:18,,,,,"SUB IN by LOGAN,JOAH",,,"SUB IN by LOGAN,JOAH",1
11:18,,,,,"SUB OUT by WARD,LIAM",,,"SUB OUT by WARD,LIAM",1
11:18,,,,,"SUB OUT by HARKINS,LUKE",,,"SUB OUT by HARKINS,LUKE",1
11:18,,,,,"SUB OUT by LECKONBY,WILL",,,"SUB OUT by LECKONBY,WILL",1
10:58,,,,,"MISS JUMPER by LOGAN,JOAH",,,"MISS JUMPER by LOGAN,JOAH",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
10:32,,,,,"FOUL  by CURRY,MARCUS",,,"FOUL  by CURRY,MARCUS",1
10:26,,,,,"SUB IN by LECKONBY,WILL",,,"SUB IN by LECKONBY,WILL",1
10:26,,,,,"SUB OUT by CURRY,MARCUS",,,"SUB OUT by CURRY,MARCUS",1
10:23,,,,,"FOUL  by LOGAN,JOAH",,,"FOUL  by LOGAN,JOAH",1
10:14,,,,,"FOUL  by GORE,JAYLEN",,,"FOUL  by GORE,JAYLEN",1
10:14,"GOOD FT by WARLICK,JORDAN",15,,27 (+12),,SEWANEE 15-27 (-12),,"GOOD FT by WARLICK,JORDAN",1
10:14,"GOOD FT by WARLICK,JORDAN",16,,27 (+11),,SEWANEE 16-27 (-11),,"GOOD FT by WARLICK,JORDAN",1
10:05,,,,,"TURNOVER  by LECKONBY,WILL",,,"TURNOVER  by LECKONBY,WILL",1
09:51,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
09:41,,16,,30 (+14),"GOOD 3PTR by LOGAN,JOAH",GC 16-30 (-14),,"GOOD 3PTR by LOGAN,JOAH",1
--,,,,,"ASSIST  by LONG,CARSON",,,"ASSIST  by LONG,CARSON",1
09:17,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",18,,30 (+12),,SEWANEE 18-30 (-12),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
09:09,,18,,33 (+15),"GOOD 3PTR by LOGAN,JOAH",GC 18-33 (-15),,"GOOD 3PTR by LOGAN,JOAH",1
--,,,,,"ASSIST  by GORE,JAYLEN",,,"ASSIST  by GORE,JAYLEN",1
08:51,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",1
08:42,,,,,"TURNOVER  by GORE,JAYLEN",,,"TURNOVER  by GORE,JAYLEN",1
08:41,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
08:29,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND OFF by WARLICK,JORDAN",,,,,,,"REBOUND OFF by WARLICK,JORDAN",1
08:25,"GOOD 3PTR by WARLICK,JORDAN",21,,33 (+12),,SEWANEE 21-33 (-12),,"GOOD 3PTR by WARLICK,JORDAN",1
08:07,,,,,"MISS 3PTR by LONG,CARSON",,,"MISS 3PTR by LONG,CARSON",1
--,,,,,"REBOUND OFF by GREGORY,KYLER",,,"REBOUND OFF by GREGORY,KYLER",1
08:04,,21,,35 (+14),"GOOD LAYUP by GREGORY,KYLER(in the paint)",GC 21-35 (-14),,"GOOD LAYUP by GREGORY,KYLER(in the paint)",1
07:46,"GOOD 3PTR by WARLICK,JORDAN",24,,35 (+11),,SEWANEE 24-35 (-11),,"GOOD 3PTR by WARLICK,JORDAN",1
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",1
07:35,,24,,38 (+14),"GOOD 3PTR by LONG,CARSON",GC 24-38 (-14),,"GOOD 3PTR by LONG,CARSON",1
--,,,,,"ASSIST  by GORE,JAYLEN",,,"ASSIST  by GORE,JAYLEN",1
07:13,"MISS JUMPER by CALDWELL,CAM",,,,,,,"MISS JUMPER by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
07:03,,,,,"MISS 3PTR by LECKONBY,WILL",,,"MISS 3PTR by LECKONBY,WILL",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
06:55,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
06:47,,,,,"MISS LAYUP by LONG,CARSON",,,"MISS LAYUP by LONG,CARSON",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
06:41,,,,,"FOUL  by LECKONBY,WILL",,,"FOUL  by LECKONBY,WILL",1
06:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
06:41,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
06:41,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
06:41,,,,,"SUB IN by RUSZALA,STEVE",,,"SUB IN by RUSZALA,STEVE",1
06:41,,,,,"SUB IN by CURRY,MARCUS",,,"SUB IN by CURRY,MARCUS",1
06:41,,,,,"SUB IN by WARD,LIAM",,,"SUB IN by WARD,LIAM",1
06:41,,,,,"SUB IN by HARKINS,LUKE",,,"SUB IN by HARKINS,LUKE",1
06:41,,,,,"SUB OUT by GREGORY,KYLER",,,"SUB OUT by GREGORY,KYLER",1
06:41,,,,,"SUB OUT by LONG,CARSON",,,"SUB OUT by LONG,CARSON",1
06:41,,,,,"SUB OUT by LOGAN,JOAH",,,"SUB OUT by LOGAN,JOAH",1
06:41,,,,,"SUB OUT by LECKONBY,WILL",,,"SUB OUT by LECKONBY,WILL",1
06:32,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",26,,38 (+12),,SEWANEE 26-38 (-12),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
06:11,,26,,41 (+15),"GOOD 3PTR by WARD,LIAM",GC 26-41 (-15),,"GOOD 3PTR by WARD,LIAM",1
--,,,,,"ASSIST  by CURRY,MARCUS",,,"ASSIST  by CURRY,MARCUS",1
05:52,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
05:36,,26,,43 (+17),"GOOD LAYUP by CURRY,MARCUS(in the paint)",GC 26-43 (-17),,"GOOD LAYUP by CURRY,MARCUS(in the paint)",1
05:21,"GOOD JUMPER by LEE,MATT",28,,43 (+15),,SEWANEE 28-43 (-15),,"GOOD JUMPER by LEE,MATT",1
05:01,,,,,"TURNOVER  by CURRY,MARCUS",,,"TURNOVER  by CURRY,MARCUS",1
04:45,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
04:45,,,,,"BLOCK  by RUSZALA,STEVE",,,"BLOCK  by RUSZALA,STEVE",1
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",1
04:35,,28,,46 (+18),"GOOD 3PTR by CURRY,MARCUS",GC 28-46 (-18),,"GOOD 3PTR by CURRY,MARCUS",1
--,,,,,"ASSIST  by HARKINS,LUKE",,,"ASSIST  by HARKINS,LUKE",1
04:17,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by WARD,LIAM",,,"REBOUND DEF by WARD,LIAM",1
04:02,,28,,48 (+20),"GOOD JUMPER by GORE,JAYLEN",GC 28-48 (-20),,"GOOD JUMPER by GORE,JAYLEN",1
03:44,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",30,,48 (+18),,SEWANEE 30-48 (-18),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
03:39,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:24,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
03:24,,,,,"MISS FT by GREGORY,KYLER",,,"MISS FT by GREGORY,KYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:24,,30,,49 (+19),"GOOD FT by GREGORY,KYLER",GC 30-49 (-19),,"GOOD FT by GREGORY,KYLER",1
02:57,"MISS JUMPER by HOLLOWAY,JACK",,,,,,,"MISS JUMPER by HOLLOWAY,JACK",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
02:44,,30,,52 (+22),"GOOD 3PTR by WARD,LIAM",GC 30-52 (-22),,"GOOD 3PTR by WARD,LIAM",1
--,,,,,"ASSIST  by GORE,JAYLEN",,,"ASSIST  by GORE,JAYLEN",1
02:34,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,"REBOUND OFF by BARRY,MICHAEL",,,,,,,"REBOUND OFF by BARRY,MICHAEL",1
02:31,"MISS LAYUP by BARRY,MICHAEL",,,,,,,"MISS LAYUP by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",1
02:21,,,,,"MISS JUMPER by LONG,CARSON",,,"MISS JUMPER by LONG,CARSON",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
02:13,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by LONG,CARSON",,,"REBOUND DEF by LONG,CARSON",1
01:56,,,,,"MISS JUMPER by GORE,JAYLEN",,,"MISS JUMPER by GORE,JAYLEN",1
--,,,,,"REBOUND OFF by LOGAN,JOAH",,,"REBOUND OFF by LOGAN,JOAH",1
01:52,,30,,54 (+24),"GOOD JUMPER by LOGAN,JOAH",GC 30-54 (-24),,"GOOD JUMPER by LOGAN,JOAH",1
01:21,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
00:54,,30,,56 (+26),"GOOD LAYUP by WARD,LIAM(in the paint)",GC 30-56 (-26),,"GOOD LAYUP by WARD,LIAM(in the paint)",1
00:38,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by WARD,LIAM",,,"REBOUND DEF by WARD,LIAM",1
00:18,,,,,"MISS 3PTR by LONG,CARSON",,,"MISS 3PTR by LONG,CARSON",1
--,,,,,"REBOUND OFF by GREGORY,KYLER",,,"REBOUND OFF by GREGORY,KYLER",1
00:14,,,,,"MISS LAYUP by GREGORY,KYLER",,,"MISS LAYUP by GREGORY,KYLER",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
00:00,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:51,"GOOD LAYUP by SMITH,LUKE(in the paint)",32,,56 (+24),,SEWANEE 32-56 (-24),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
19:37,,,,,"MISS 3PTR by LONG,CARSON",,,"MISS 3PTR by LONG,CARSON",2
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",2
19:30,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by LONG,CARSON",,,"REBOUND DEF by LONG,CARSON",2
19:19,,,,,"MISS LAYUP by GREGORY,KYLER",,,"MISS LAYUP by GREGORY,KYLER",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
19:07,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
18:54,,32,,58 (+26),"GOOD JUMPER by LONG,CARSON",GC 32-58 (-26),,"GOOD JUMPER by LONG,CARSON",2
18:34,"GOOD 3PTR by BUESCHER,HUNTER",35,,58 (+23),,SEWANEE 35-58 (-23),,"GOOD 3PTR by BUESCHER,HUNTER",2
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",2
18:17,,35,,61 (+26),"GOOD 3PTR by CURRY,MARCUS",GC 35-61 (-26),,"GOOD 3PTR by CURRY,MARCUS",2
--,,,,,"ASSIST  by LOGAN,JOAH",,,"ASSIST  by LOGAN,JOAH",2
17:57,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:55,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
17:41,,35,,64 (+29),"GOOD 3PTR by LONG,CARSON",GC 35-64 (-29),,"GOOD 3PTR by LONG,CARSON",2
--,,,,,"ASSIST  by GREGORY,KYLER",,,"ASSIST  by GREGORY,KYLER",2
17:28,"GOOD LAYUP by CALDWELL,CAM(in the paint)",37,,64 (+27),,SEWANEE 37-64 (-27),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
17:05,,37,,67 (+30),"GOOD 3PTR by CURRY,MARCUS",GC 37-67 (-30),,"GOOD 3PTR by CURRY,MARCUS",2
--,,,,,"ASSIST  by LOGAN,JOAH",,,"ASSIST  by LOGAN,JOAH",2
16:44,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:40,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",2
16:40,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
16:40,,,,,"SUB IN by WELLS,TRENT",,,"SUB IN by WELLS,TRENT",2
16:40,,,,,"SUB IN by WARD,LIAM",,,"SUB IN by WARD,LIAM",2
16:40,,,,,"SUB IN by LECKONBY,WILL",,,"SUB IN by LECKONBY,WILL",2
16:40,,,,,"SUB OUT by CURRY,MARCUS",,,"SUB OUT by CURRY,MARCUS",2
16:40,,,,,"SUB OUT by LONG,CARSON",,,"SUB OUT by LONG,CARSON",2
16:40,,,,,"SUB OUT by LOGAN,JOAH",,,"SUB OUT by LOGAN,JOAH",2
16:35,,,,,"MISS 3PTR by WARD,LIAM",,,"MISS 3PTR by WARD,LIAM",2
--,,,,,"REBOUND OFF by GREGORY,KYLER",,,"REBOUND OFF by GREGORY,KYLER",2
16:28,,37,,69 (+32),"GOOD JUMPER by GORE,JAYLEN",GC 37-69 (-32),,"GOOD JUMPER by GORE,JAYLEN",2
16:08,,,,,"FOUL  by LECKONBY,WILL",,,"FOUL  by LECKONBY,WILL",2
16:08,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
16:00,"MISS FT by LEE,MATT",,,,,,,"MISS FT by LEE,MATT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:00,"GOOD FT by LEE,MATT",38,,69 (+31),,SEWANEE 38-69 (-31),,"GOOD FT by LEE,MATT",2
16:00,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
16:00,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
15:44,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",2
15:42,,38,,71 (+33),"GOOD JUMPER by GREGORY,KYLER",GC 38-71 (-33),,"GOOD JUMPER by GREGORY,KYLER",2
--,,,,,"ASSIST  by WARD,LIAM",,,"ASSIST  by WARD,LIAM",2
15:22,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",40,,71 (+31),,SEWANEE 40-71 (-31),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
15:04,,,,,"MISS LAYUP by WELLS,TRENT",,,"MISS LAYUP by WELLS,TRENT",2
--,,,,,"REBOUND OFF by GORE,JAYLEN",,,"REBOUND OFF by GORE,JAYLEN",2
14:44,,40,,74 (+34),"GOOD 3PTR by GORE,JAYLEN",GC 40-74 (-34),,"GOOD 3PTR by GORE,JAYLEN",2
--,,,,,"ASSIST  by WELLS,TRENT",,,"ASSIST  by WELLS,TRENT",2
14:32,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
14:31,,,,,"STEAL  by GORE,JAYLEN",,,"STEAL  by GORE,JAYLEN",2
14:27,,,,,"MISS LAYUP by GORE,JAYLEN",,,"MISS LAYUP by GORE,JAYLEN",2
