Time Remaining,BC,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
17:23,"GOOD FT by STANCIEL,KEN",2,,6 (+4),,BC 2-6 (+4),,"GOOD FT by STANCIEL,KEN",1
17:09,,2,,9 (+7),"GOOD 3PTR by SMITH,LUKE",SEW 2-9 (+7),,"GOOD 3PTR by SMITH,LUKE",1
16:59,"MISS JUMPER by CHAMBERS,DIMETRI",,,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
16:47,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
16:39,"GOOD LAYUP by GRIER,DAVRION(in the paint)",4,,9 (+5),,BC 4-9 (+5),,"GOOD LAYUP by GRIER,DAVRION(in the paint)",1
--,"ASSIST  by CAMMON,JOSH",,,,,,,"ASSIST  by CAMMON,JOSH",1
16:20,"FOUL  by STANCIEL,KEN",,,,,,,"FOUL  by STANCIEL,KEN",1
16:20,,4,,10 (+6),"GOOD FT by BUESCHER,HUNTER",SEW 4-10 (+6),,"GOOD FT by BUESCHER,HUNTER",1
16:20,,4,,11 (+7),"GOOD FT by BUESCHER,HUNTER",SEW 4-11 (+7),,"GOOD FT by BUESCHER,HUNTER",1
16:20,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
16:20,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
15:59,"GOOD JUMPER by STANCIEL,KEN",6,,11 (+5),,BC 6-11 (+5),,"GOOD JUMPER by STANCIEL,KEN",1
15:44,,,,,"MISS LAYUP by WARLICK,JORDAN",,,"MISS LAYUP by WARLICK,JORDAN",1
15:44,"BLOCK  by GRIER,DAVRION",,,,,,,"BLOCK  by GRIER,DAVRION",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
15:38,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",1
15:38,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
15:37,"FOUL  by STANCIEL,KEN",,,,,,,"FOUL  by STANCIEL,KEN",1
15:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:37,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",1
15:37,"SUB OUT by STANCIEL,KEN",,,,,,,"SUB OUT by STANCIEL,KEN",1
15:37,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
15:37,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
15:32,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
15:31,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
15:25,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND OFF by SIMPKINS,MONTE",,,,,,,"REBOUND OFF by SIMPKINS,MONTE",1
15:18,"MISS LAYUP by SIMPKINS,MONTE",,,,,,,"MISS LAYUP by SIMPKINS,MONTE",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
14:55,,6,,13 (+7),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEW 6-13 (+7),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
14:35,"MISS JUMPER by MURRAY,CHANDLER",,,,,,,"MISS JUMPER by MURRAY,CHANDLER",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
14:23,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
14:22,"STEAL  by CAMMON,JOSH",,,,,,,"STEAL  by CAMMON,JOSH",1
14:20,"GOOD DUNK by CAMMON,JOSH(fastbreak)(in the paint)",8,,13 (+5),,BC 8-13 (+5),,"GOOD DUNK by CAMMON,JOSH(fastbreak)(in the paint)",1
14:04,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",1
14:04,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",1
14:04,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
14:02,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
13:49,"MISS JUMPER by GRIER,DAVRION",,,,,,,"MISS JUMPER by GRIER,DAVRION",1
--,"REBOUND OFF by SIMPKINS,MONTE",,,,,,,"REBOUND OFF by SIMPKINS,MONTE",1
13:43,"MISS LAYUP by SIMPKINS,MONTE",,,,,,,"MISS LAYUP by SIMPKINS,MONTE",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
13:24,"FOUL  by SIMPKINS,MONTE",,,,,,,"FOUL  by SIMPKINS,MONTE",1
13:24,,8,,14 (+6),"GOOD FT by KNOX,JOEY",SEW 8-14 (+6),,"GOOD FT by KNOX,JOEY",1
13:24,,,,,"MISS FT by KNOX,JOEY",,,"MISS FT by KNOX,JOEY",1
--,"REBOUND DEF by MURRAY,CHANDLER",,,,,,,"REBOUND DEF by MURRAY,CHANDLER",1
13:24,"SUB IN by TURNER,TJ",,,,,,,"SUB IN by TURNER,TJ",1
13:24,"SUB IN by SANDERS,JIMMIE",,,,,,,"SUB IN by SANDERS,JIMMIE",1
13:24,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",1
13:24,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
13:24,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",1
13:24,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
13:11,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",1
13:11,"MISS FT by SANDERS,JIMMIE",,,,,,,"MISS FT by SANDERS,JIMMIE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:11,"GOOD FT by SANDERS,JIMMIE",9,,14 (+5),,BC 9-14 (+5),,"GOOD FT by SANDERS,JIMMIE",1
13:00,,9,,17 (+8),"GOOD 3PTR by KNOX,JOEY",SEW 9-17 (+8),,"GOOD 3PTR by KNOX,JOEY",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
12:48,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
12:48,"MISS FT by CAMMON,JOSH",,,,,,,"MISS FT by CAMMON,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:48,"GOOD FT by CAMMON,JOSH",10,,17 (+7),,BC 10-17 (+7),,"GOOD FT by CAMMON,JOSH",1
12:48,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
12:48,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
12:35,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
12:35,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
12:23,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
11:55,,,,,"MISS LAYUP by LEE,MATT",,,"MISS LAYUP by LEE,MATT",1
11:55,"BLOCK  by GRIER,DAVRION",,,,,,,"BLOCK  by GRIER,DAVRION",1
--,,,,,"REBOUND OFF by BUESCHER,HUNTER",,,"REBOUND OFF by BUESCHER,HUNTER",1
--,"ASSIST  by CAMMON,JOSH",,,,,,,"ASSIST  by CAMMON,JOSH",1
11:49,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:49,"GOOD LAYUP by JOHNSON,HANK(in the paint)",12,,17 (+5),,BC 12-17 (+5),,"GOOD LAYUP by JOHNSON,HANK(in the paint)",1
11:49,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",1
11:49,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
11:49,"MISS LAYUP by CHAMBERS,DIMETRI",,,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
11:49,"SUB IN by STANCIEL,KEN",,,,,,,"SUB IN by STANCIEL,KEN",1
11:49,"SUB IN by CHAMBERS,DIMETRI",,,,,,,"SUB IN by CHAMBERS,DIMETRI",1
11:49,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",1
11:49,"SUB OUT by MURRAY,CHANDLER",,,,,,,"SUB OUT by MURRAY,CHANDLER",1
11:32,,12,,19 (+7),"GOOD JUMPER by STARR,RYAN",SEW 12-19 (+7),,"GOOD JUMPER by STARR,RYAN",1
11:30,"GOOD 3PTR by TURNER,TJ",15,,19 (+4),,BC 15-19 (+4),,"GOOD 3PTR by TURNER,TJ",1
10:27,"FOUL  by SANDERS,JIMMIE",,,,,,,"FOUL  by SANDERS,JIMMIE",1
10:27,,15,,20 (+5),"GOOD FT by STARR,RYAN",SEW 15-20 (+5),,"GOOD FT by STARR,RYAN",1
10:27,,15,,21 (+6),"GOOD FT by STARR,RYAN",SEW 15-21 (+6),,"GOOD FT by STARR,RYAN",1
10:27,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
10:27,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
10:27,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
10:27,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",1
10:27,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
10:27,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",1
10:20,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",1
10:20,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
10:20,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
10:14,"TURNOVER  by CAMMON,JOSH",,,,,,,"TURNOVER  by CAMMON,JOSH",1
10:14,"SUB IN by SIMPKINS,MONTE",,,,,,,"SUB IN by SIMPKINS,MONTE",1
10:14,"SUB OUT by STANCIEL,KEN",,,,,,,"SUB OUT by STANCIEL,KEN",1
09:49,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
09:29,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
09:29,"MISS FT by SANDERS,JIMMIE",,,,,,,"MISS FT by SANDERS,JIMMIE",1
--,"REBOUND OFF by SIMPKINS,MONTE",,,,,,,"REBOUND OFF by SIMPKINS,MONTE",1
09:29,"GOOD LAYUP by TURNER,TJ(in the paint)",17,,21 (+4),,BC 17-21 (+4),,"GOOD LAYUP by TURNER,TJ(in the paint)",1
09:17,"GOOD LAYUP by CAMMON,JOSH(in the paint)",19,,21 (+2),,BC 19-21 (+2),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",1
09:17,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
09:17,"MISS FT by CAMMON,JOSH",,,,,,,"MISS FT by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
09:17,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
09:17,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
09:06,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
09:06,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
09:06,"SUB IN by MURRAY,CHANDLER",,,,,,,"SUB IN by MURRAY,CHANDLER",1
09:06,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
08:54,"MISS 3PTR by MURRAY,CHANDLER",,,,,,,"MISS 3PTR by MURRAY,CHANDLER",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
08:35,"FOUL  by SIMPKINS,MONTE",,,,,,,"FOUL  by SIMPKINS,MONTE",1
08:35,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,"REBOUND DEF by GRIER,DAVRION",,,,,,,"REBOUND DEF by GRIER,DAVRION",1
08:35,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",1
08:35,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",1
08:29,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
08:29,"GOOD FT by MURRAY,CHANDLER",20,,21 (+1),,BC 20-21 (+1),,"GOOD FT by MURRAY,CHANDLER",1
08:29,"MISS FT by MURRAY,CHANDLER",,,,,,,"MISS FT by MURRAY,CHANDLER",1
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",1
08:29,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",1
08:29,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",1
08:17,,20,,23 (+3),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 20-23 (+3),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
08:05,"GOOD LAYUP by MURRAY,CHANDLER(in the paint)",22,,23 (+1),,BC 22-23 (+1),,"GOOD LAYUP by MURRAY,CHANDLER(in the paint)",1
07:51,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",1
--,"REBOUND DEF by TURNER,TJ",,,,,,,"REBOUND DEF by TURNER,TJ",1
07:45,"MISS LAYUP by CAMMON,JOSH",,,,,,,"MISS LAYUP by CAMMON,JOSH",1
--,"REBOUND OFF by TURNER,TJ",,,,,,,"REBOUND OFF by TURNER,TJ",1
07:42,"GOOD TIPIN by TURNER,TJ(in the paint)",24 (+1),,23,,BC 24-23 (-1),,"GOOD TIPIN by TURNER,TJ(in the paint)",1
07:31,,,,,"MISS 3PTR by STARR,RYAN",,,"MISS 3PTR by STARR,RYAN",1
--,"REBOUND DEF by TURNER,TJ",,,,,,,"REBOUND DEF by TURNER,TJ",1
07:22,"MISS 3PTR by TURNER,TJ",,,,,,,"MISS 3PTR by TURNER,TJ",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
07:03,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
07:02,"STEAL  by CAMMON,JOSH",,,,,,,"STEAL  by CAMMON,JOSH",1
06:57,"GOOD LAYUP by TURNER,TJ(in the paint)",26 (+3),,23,,BC 26-23 (-3),,"GOOD LAYUP by TURNER,TJ(in the paint)",1
--,"ASSIST  by SANDERS,JIMMIE",,,,,,,"ASSIST  by SANDERS,JIMMIE",1
06:37,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by SANDERS,JIMMIE",,,,,,,"REBOUND DEF by SANDERS,JIMMIE",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
06:21,,,,,"BLOCK  by BUESCHER,HUNTER",,,"BLOCK  by BUESCHER,HUNTER",1
06:21,"MISS LAYUP by SANDERS,JIMMIE",,,,,,,"MISS LAYUP by SANDERS,JIMMIE",1
06:11,,26 (+1),,25,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEW 26-25 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
05:59,"MISS 3PTR by TURNER,TJ",,,,,,,"MISS 3PTR by TURNER,TJ",1
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",1
05:50,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
05:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:46,"SUB IN by JAMES,MARK",,,,,,,"SUB IN by JAMES,MARK",1
05:46,"SUB IN by CASWELL,LIAM",,,,,,,"SUB IN by CASWELL,LIAM",1
05:46,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",1
05:46,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
05:46,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
05:46,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
05:46,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",1
05:26,"MISS 3PTR by SANDERS,JIMMIE",,,,,,,"MISS 3PTR by SANDERS,JIMMIE",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
05:03,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by MURRAY,CHANDLER",,,,,,,"REBOUND DEF by MURRAY,CHANDLER",1
04:53,"TURNOVER  by CASWELL,LIAM",,,,,,,"TURNOVER  by CASWELL,LIAM",1
04:53,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",1
04:53,"SUB OUT by CASWELL,LIAM",,,,,,,"SUB OUT by CASWELL,LIAM",1
04:42,,26,,28 (+2),"GOOD 3PTR by BUESCHER,HUNTER",SEW 26-28 (+2),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
04:23,"GOOD 3PTR by CAMMON,JOSH",29 (+1),,28,,BC 29-28 (-1),,"GOOD 3PTR by CAMMON,JOSH",1
04:01,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:54,"SUB IN by TURNER,TJ",,,,,,,"SUB IN by TURNER,TJ",1
03:54,"SUB OUT by SANDERS,JIMMIE",,,,,,,"SUB OUT by SANDERS,JIMMIE",1
03:31,"MISS LAYUP by MURRAY,CHANDLER",,,,,,,"MISS LAYUP by MURRAY,CHANDLER",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
03:25,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by MURRAY,CHANDLER",,,,,,,"REBOUND DEF by MURRAY,CHANDLER",1
03:19,"MISS LAYUP by GRIER,DAVRION",,,,,,,"MISS LAYUP by GRIER,DAVRION",1
03:19,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
02:59,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",1
--,"REBOUND DEF by JAMES,MARK",,,,,,,"REBOUND DEF by JAMES,MARK",1
02:40,"GOOD 3PTR by GRIER,DAVRION",32 (+4),,28,,BC 32-28 (-4),,"GOOD 3PTR by GRIER,DAVRION",1
--,"ASSIST  by MURRAY,CHANDLER",,,,,,,"ASSIST  by MURRAY,CHANDLER",1
02:10,,,,,"MISS LAYUP by BARRY,MICHAEL",,,"MISS LAYUP by BARRY,MICHAEL",1
--,,,,,"REBOUND OFF by KNOX,JOEY",,,"REBOUND OFF by KNOX,JOEY",1
02:02,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",1
02:02,"BLOCK  by GRIER,DAVRION",,,,,,,"BLOCK  by GRIER,DAVRION",1
--,"REBOUND DEF by JAMES,MARK",,,,,,,"REBOUND DEF by JAMES,MARK",1
01:59,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
01:59,"MISS FT by JAMES,MARK",,,,,,,"MISS FT by JAMES,MARK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:59,"GOOD FT by JAMES,MARK",33 (+5),,28,,BC 33-28 (-5),,"GOOD FT by JAMES,MARK",1
01:59,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",1
01:59,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
01:40,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",1
01:06,"FOUL  by GRIER,DAVRION",,,,,,,"FOUL  by GRIER,DAVRION",1
01:06,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:06,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
00:58,"SUB IN by CASWELL,LIAM",,,,,,,"SUB IN by CASWELL,LIAM",1
00:58,"SUB OUT by GRIER,DAVRION",,,,,,,"SUB OUT by GRIER,DAVRION",1
00:44,"GOOD JUMPER by CAMMON,JOSH",35 (+7),,28,,BC 35-28 (-7),,"GOOD JUMPER by CAMMON,JOSH",1
00:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,"FOUL  by CASWELL,LIAM",,,,,,,"FOUL  by CASWELL,LIAM",1
00:30,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:30,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",1
00:30,"SUB IN by SANDERS,JIMMIE",,,,,,,"SUB IN by SANDERS,JIMMIE",1
00:30,"SUB OUT by JAMES,MARK",,,,,,,"SUB OUT by JAMES,MARK",1
00:29,,35 (+5),,30,"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEW 35-30 (-5),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
00:26,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",1
00:26,,35 (+4),,31,"GOOD FT by CALDWELL,CAM",SEW 35-31 (-4),,"GOOD FT by CALDWELL,CAM",1
