Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
17:35,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
17:34,,46,,51 (+5),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 46-51 (+5),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",2
17:22,"MISS JUMPER by BAITEY,GEBEREAL",,,,,,,"MISS JUMPER by BAITEY,GEBEREAL",2
--,"REBOUND OFF by SCHNER,MATTHEW",,,,,,,"REBOUND OFF by SCHNER,MATTHEW",2
17:17,"MISS LAYUP by SCHNER,MATTHEW",,,,,,,"MISS LAYUP by SCHNER,MATTHEW",2
--,"REBOUND OFF by SCHNER,MATTHEW",,,,,,,"REBOUND OFF by SCHNER,MATTHEW",2
17:16,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
17:16,"MISS FT by SCHNER,MATTHEW",,,,,,,"MISS FT by SCHNER,MATTHEW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:16,"GOOD FT by SCHNER,MATTHEW",47,,51 (+4),,EUM 47-51 (+4),,"GOOD FT by SCHNER,MATTHEW",2
17:16,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
17:16,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
17:02,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",2
--,"REBOUND DEF by DAVET,MATT",,,,,,,"REBOUND DEF by DAVET,MATT",2
16:57,"GOOD JUMPER by WILLIAMS,ROMIN(fastbreak)(in the paint)",49,,51 (+2),,EUM 49-51 (+2),,"GOOD JUMPER by WILLIAMS,ROMIN(fastbreak)(in the paint)",2
16:38,"FOUL  by SCHNER,MATTHEW",,,,,,,"FOUL  by SCHNER,MATTHEW",2
16:38,,49,,52 (+3),"GOOD FT by SMITH,LUKE",SEWANEE 49-52 (+3),,"GOOD FT by SMITH,LUKE",2
16:38,,49,,53 (+4),"GOOD FT by SMITH,LUKE",SEWANEE 49-53 (+4),,"GOOD FT by SMITH,LUKE",2
16:38,"SUB IN by STUCK,NICK",,,,,,,"SUB IN by STUCK,NICK",2
16:38,"SUB OUT by SCHNER,MATTHEW",,,,,,,"SUB OUT by SCHNER,MATTHEW",2
16:31,"TURNOVER  by STUCK,NICK",,,,,,,"TURNOVER  by STUCK,NICK",2
16:29,,,,,"STEAL  by KNOX,JOEY",,,"STEAL  by KNOX,JOEY",2
16:21,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",2
16:21,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
16:10,"GOOD JUMPER by WILLIAMS,ROMIN",51,,53 (+2),,EUM 51-53 (+2),,"GOOD JUMPER by WILLIAMS,ROMIN",2
15:52,,51,,56 (+5),"GOOD 3PTR by KNOX,JOEY",SEWANEE 51-56 (+5),,"GOOD 3PTR by KNOX,JOEY",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
15:41,"MISS LAYUP by ROWLEY,LAWRENCE",,,,,,,"MISS LAYUP by ROWLEY,LAWRENCE",2
15:41,,,,,"BLOCK  by CRUMLY,JONNY",,,"BLOCK  by CRUMLY,JONNY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:40,"SUB IN by SCHNER,MATTHEW",,,,,,,"SUB IN by SCHNER,MATTHEW",2
15:40,"SUB OUT by DAVET,MATT",,,,,,,"SUB OUT by DAVET,MATT",2
15:30,"MISS JUMPER by BAITEY,GEBEREAL",,,,,,,"MISS JUMPER by BAITEY,GEBEREAL",2
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",2
15:10,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by SCHNER,MATTHEW",,,,,,,"REBOUND DEF by SCHNER,MATTHEW",2
15:04,"MISS 3PTR by SCHNER,MATTHEW",,,,,,,"MISS 3PTR by SCHNER,MATTHEW",2
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",2
14:36,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by SMITH,LUKE",,,"REBOUND OFF by SMITH,LUKE",2
14:18,,51,,58 (+7),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 51-58 (+7),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
14:10,"GOOD 3PTR by BAITEY,GEBEREAL",54,,58 (+4),,EUM 54-58 (+4),,"GOOD 3PTR by BAITEY,GEBEREAL",2
--,"ASSIST  by STUCK,NICK",,,,,,,"ASSIST  by STUCK,NICK",2
13:44,"FOUL  by ROWLEY,LAWRENCE",,,,,,,"FOUL  by ROWLEY,LAWRENCE",2
13:44,,54,,59 (+5),"GOOD FT by BUESCHER,HUNTER",SEWANEE 54-59 (+5),,"GOOD FT by BUESCHER,HUNTER",2
13:44,,54,,60 (+6),"GOOD FT by BUESCHER,HUNTER",SEWANEE 54-60 (+6),,"GOOD FT by BUESCHER,HUNTER",2
13:44,"SUB IN by DAVET,MATT",,,,,,,"SUB IN by DAVET,MATT",2
13:44,"SUB IN by MORRISON,LUKE",,,,,,,"SUB IN by MORRISON,LUKE",2
13:44,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
13:44,"SUB OUT by ROWLEY,LAWRENCE",,,,,,,"SUB OUT by ROWLEY,LAWRENCE",2
13:44,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
13:44,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
13:38,"GOOD LAYUP by STUCK,NICK(in the paint)",56,,60 (+4),,EUM 56-60 (+4),,"GOOD LAYUP by STUCK,NICK(in the paint)",2
13:20,"FOUL  by SCHNER,MATTHEW",,,,,,,"FOUL  by SCHNER,MATTHEW",2
13:20,,56,,61 (+5),"GOOD FT by SMITH,LUKE",SEWANEE 56-61 (+5),,"GOOD FT by SMITH,LUKE",2
13:20,,56,,62 (+6),"GOOD FT by SMITH,LUKE",SEWANEE 56-62 (+6),,"GOOD FT by SMITH,LUKE",2
13:20,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",2
13:20,"SUB OUT by WILLIAMS,ROMIN",,,,,,,"SUB OUT by WILLIAMS,ROMIN",2
13:20,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",2
13:20,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",2
13:05,"MISS 3PTR by DAVET,MATT",,,,,,,"MISS 3PTR by DAVET,MATT",2
--,"REBOUND OFF by SCHNER,MATTHEW",,,,,,,"REBOUND OFF by SCHNER,MATTHEW",2
13:00,"GOOD LAYUP by SCHNER,MATTHEW(in the paint)",58,,62 (+4),,EUM 58-62 (+4),,"GOOD LAYUP by SCHNER,MATTHEW(in the paint)",2
12:11,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
12:11,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",2
12:11,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
11:56,"MISS JUMPER by SCHNER,MATTHEW",,,,,,,"MISS JUMPER by SCHNER,MATTHEW",2
--,"REBOUND OFF by SCHNER,MATTHEW",,,,,,,"REBOUND OFF by SCHNER,MATTHEW",2
11:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:47,"MISS JUMPER by BAITEY,GEBEREAL",,,,,,,"MISS JUMPER by BAITEY,GEBEREAL",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
11:40,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by DAVET,MATT",,,,,,,"REBOUND DEF by DAVET,MATT",2
11:26,"MISS 3PTR by BAITEY,GEBEREAL",,,,,,,"MISS 3PTR by BAITEY,GEBEREAL",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
11:23,"FOUL  by DAVET,MATT",,,,,,,"FOUL  by DAVET,MATT",2
10:58,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",2
10:56,"STEAL  by SCHNER,MATTHEW",,,,,,,"STEAL  by SCHNER,MATTHEW",2
10:53,"TURNOVER  by SCHNER,MATTHEW",,,,,,,"TURNOVER  by SCHNER,MATTHEW",2
10:52,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
10:42,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",2
10:42,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
10:42,"SUB IN by WILLIAMS,ROMIN",,,,,,,"SUB IN by WILLIAMS,ROMIN",2
10:42,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
10:31,"MISS 3PTR by WILLIAMS,ROMIN",,,,,,,"MISS 3PTR by WILLIAMS,ROMIN",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
10:05,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",2
10:05,"SUB IN by ROWLEY,LAWRENCE",,,,,,,"SUB IN by ROWLEY,LAWRENCE",2
10:05,"SUB OUT by MORRISON,LUKE",,,,,,,"SUB OUT by MORRISON,LUKE",2
09:40,"MISS JUMPER by SCHNER,MATTHEW",,,,,,,"MISS JUMPER by SCHNER,MATTHEW",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
09:15,,,,,"MISS LAYUP by LEE,MATT",,,"MISS LAYUP by LEE,MATT",2
09:15,"BLOCK  by DAVET,MATT",,,,,,,"BLOCK  by DAVET,MATT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:11,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:43,"MISS LAYUP by SCHNER,MATTHEW",,,,,,,"MISS LAYUP by SCHNER,MATTHEW",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
08:39,,58,,65 (+7),"GOOD 3PTR by SMITH,LUKE",SEWANEE 58-65 (+7),,"GOOD 3PTR by SMITH,LUKE",2
--,,,,,"ASSIST  by LEE,MATT",,,"ASSIST  by LEE,MATT",2
08:25,"TURNOVER  by STUCK,NICK",,,,,,,"TURNOVER  by STUCK,NICK",2
08:24,,,,,"STEAL  by WARLICK,JORDAN",,,"STEAL  by WARLICK,JORDAN",2
08:00,,58,,68 (+10),"GOOD 3PTR by SMITH,LUKE",SEWANEE 58-68 (+10),,"GOOD 3PTR by SMITH,LUKE",2
07:36,"MISS JUMPER by ROWLEY,LAWRENCE",,,,,,,"MISS JUMPER by ROWLEY,LAWRENCE",2
--,"REBOUND OFF by SCHNER,MATTHEW",,,,,,,"REBOUND OFF by SCHNER,MATTHEW",2
07:33,"MISS LAYUP by SCHNER,MATTHEW",,,,,,,"MISS LAYUP by SCHNER,MATTHEW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:30,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:30,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
07:30,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
07:30,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
07:30,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
07:22,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",2
07:22,"SUB OUT by STUCK,NICK",,,,,,,"SUB OUT by STUCK,NICK",2
06:58,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
06:41,"GOOD LAYUP by ROWLEY,LAWRENCE(in the paint)",60,,68 (+8),,EUM 60-68 (+8),,"GOOD LAYUP by ROWLEY,LAWRENCE(in the paint)",2
--,"ASSIST  by SCHNER,MATTHEW",,,,,,,"ASSIST  by SCHNER,MATTHEW",2
06:09,"FOUL  by ROWLEY,LAWRENCE",,,,,,,"FOUL  by ROWLEY,LAWRENCE",2
05:59,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",2
05:55,"TURNOVER  by WILLIAMS,ROMIN",,,,,,,"TURNOVER  by WILLIAMS,ROMIN",2
05:53,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
05:51,,60,,70 (+10),"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",SEWANEE 60-70 (+10),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",2
05:47,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
05:47,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
05:35,"MISS 3PTR by WILLIAMS,ROMIN",,,,,,,"MISS 3PTR by WILLIAMS,ROMIN",2
--,"REBOUND OFF by ROWLEY,LAWRENCE",,,,,,,"REBOUND OFF by ROWLEY,LAWRENCE",2
05:33,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",2
05:33,"MISS FT by ROWLEY,LAWRENCE",,,,,,,"MISS FT by ROWLEY,LAWRENCE",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
05:33,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",2
05:33,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
05:15,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",2
--,"REBOUND DEF by DAVET,MATT",,,,,,,"REBOUND DEF by DAVET,MATT",2
05:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:08,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:08,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
05:08,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
04:57,"MISS 3PTR by DAVET,MATT",,,,,,,"MISS 3PTR by DAVET,MATT",2
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",2
04:36,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",2
--,"REBOUND DEF by SCHNER,MATTHEW",,,,,,,"REBOUND DEF by SCHNER,MATTHEW",2
04:23,"MISS JUMPER by DAVET,MATT",,,,,,,"MISS JUMPER by DAVET,MATT",2
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",2
03:52,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:41,"TURNOVER  by WILLIAMS,ROMIN",,,,,,,"TURNOVER  by WILLIAMS,ROMIN",2
03:39,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",2
03:37,"FOUL  by WILLIAMS,ROMIN",,,,,,,"FOUL  by WILLIAMS,ROMIN",2
03:33,"FOUL  by SCHNER,MATTHEW",,,,,,,"FOUL  by SCHNER,MATTHEW",2
03:33,,60,,71 (+11),"GOOD FT by BUESCHER,HUNTER",SEWANEE 60-71 (+11),,"GOOD FT by BUESCHER,HUNTER",2
03:33,,,,,"MISS FT by BUESCHER,HUNTER",,,"MISS FT by BUESCHER,HUNTER",2
--,"REBOUND DEF by ROWLEY,LAWRENCE",,,,,,,"REBOUND DEF by ROWLEY,LAWRENCE",2
03:25,"MISS LAYUP by WILLIAMS,ROMIN",,,,,,,"MISS LAYUP by WILLIAMS,ROMIN",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
03:14,"FOUL  by ROWLEY,LAWRENCE",,,,,,,"FOUL  by ROWLEY,LAWRENCE",2
03:14,,,,,"MISS FT by LEE,MATT",,,"MISS FT by LEE,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:14,,60,,72 (+12),"GOOD FT by LEE,MATT",SEWANEE 60-72 (+12),,"GOOD FT by LEE,MATT",2
03:14,"SUB IN by MORRISON,LUKE",,,,,,,"SUB IN by MORRISON,LUKE",2
03:14,"SUB OUT by ROWLEY,LAWRENCE",,,,,,,"SUB OUT by ROWLEY,LAWRENCE",2
03:06,"MISS JUMPER by DAVET,MATT",,,,,,,"MISS JUMPER by DAVET,MATT",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
02:49,"FOUL  by BAITEY,GEBEREAL",,,,,,,"FOUL  by BAITEY,GEBEREAL",2
02:49,,60,,74 (+14),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 60-74 (+14),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
02:49,,60,,75 (+15),"GOOD FT by SMITH,LUKE",SEWANEE 60-75 (+15),,"GOOD FT by SMITH,LUKE",2
02:41,"MISS 3PTR by WILLIAMS,ROMIN",,,,,,,"MISS 3PTR by WILLIAMS,ROMIN",2
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",2
02:31,,60,,77 (+17),"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",SEWANEE 60-77 (+17),,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
02:25,"GOOD 3PTR by DAVET,MATT(fastbreak)",63,,77 (+14),,EUM 63-77 (+14),,"GOOD 3PTR by DAVET,MATT(fastbreak)",2
--,"ASSIST  by BAITEY,GEBEREAL",,,,,,,"ASSIST  by BAITEY,GEBEREAL",2
02:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:03,"FOUL  by DAVET,MATT",,,,,,,"FOUL  by DAVET,MATT",2
02:03,,63,,78 (+15),"GOOD FT by LEE,MATT",SEWANEE 63-78 (+15),,"GOOD FT by LEE,MATT",2
02:03,,63,,79 (+16),"GOOD FT by LEE,MATT",SEWANEE 63-79 (+16),,"GOOD FT by LEE,MATT",2
01:56,"TURNOVER  by WILLIAMS,ROMIN",,,,,,,"TURNOVER  by WILLIAMS,ROMIN",2
01:54,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",2
01:52,,63,,81 (+18),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 63-81 (+18),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",2
01:44,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
01:44,"MISS FT by SCHNER,MATTHEW",,,,,,,"MISS FT by SCHNER,MATTHEW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:44,"GOOD FT by SCHNER,MATTHEW",64,,81 (+17),,EUM 64-81 (+17),,"GOOD FT by SCHNER,MATTHEW",2
01:44,"SUB IN by JOHNSON,MASON",,,,,,,"SUB IN by JOHNSON,MASON",2
01:44,"SUB IN by KATZ,JOSEPH",,,,,,,"SUB IN by KATZ,JOSEPH",2
01:44,"SUB IN by TUPANJANIN,NICK",,,,,,,"SUB IN by TUPANJANIN,NICK",2
01:44,"SUB IN by OSBORNE,SPENCE",,,,,,,"SUB IN by OSBORNE,SPENCE",2
01:44,"SUB IN by COFFY,PIERRE",,,,,,,"SUB IN by COFFY,PIERRE",2
01:44,"SUB OUT by SCHNER,MATTHEW",,,,,,,"SUB OUT by SCHNER,MATTHEW",2
01:44,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",2
01:44,"SUB OUT by DAVET,MATT",,,,,,,"SUB OUT by DAVET,MATT",2
01:44,"SUB OUT by WILLIAMS,ROMIN",,,,,,,"SUB OUT by WILLIAMS,ROMIN",2
01:44,"SUB OUT by MORRISON,LUKE",,,,,,,"SUB OUT by MORRISON,LUKE",2
01:44,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
01:44,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
01:22,,64,,82 (+18),"GOOD FT by SMITH,LUKE",SEWANEE 64-82 (+18),,"GOOD FT by SMITH,LUKE",2
01:22,"FOUL  by COFFY,PIERRE",,,,,,,"FOUL  by COFFY,PIERRE",2
01:22,,64,,83 (+19),"GOOD FT by SMITH,LUKE",SEWANEE 64-83 (+19),,"GOOD FT by SMITH,LUKE",2
01:22,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",2
01:22,,,,,"SUB IN by HEITZENRATER,ANDREW",,,"SUB IN by HEITZENRATER,ANDREW",2
01:22,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",2
01:22,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",2
01:22,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
01:22,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
01:05,"GOOD 3PTR by JOHNSON,MASON",67,,83 (+16),,EUM 67-83 (+16),,"GOOD 3PTR by JOHNSON,MASON",2
--,"ASSIST  by KATZ,JOSEPH",,,,,,,"ASSIST  by KATZ,JOSEPH",2
00:30,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",2
--,"REBOUND DEF by OSBORNE,SPENCE",,,,,,,"REBOUND DEF by OSBORNE,SPENCE",2
00:23,"GOOD LAYUP by TUPANJANIN,NICK(fastbreak)(in the paint)",69,,83 (+14),,EUM 69-83 (+14),,"GOOD LAYUP by TUPANJANIN,NICK(fastbreak)(in the paint)",2
00:23,,,,,"FOUL  by HEITZENRATER,ANDREW",,,"FOUL  by HEITZENRATER,ANDREW",2
00:23,"GOOD FT by TUPANJANIN,NICK",70,,83 (+13),,EUM 70-83 (+13),,"GOOD FT by TUPANJANIN,NICK",2
