Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
15:49,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
15:47,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
15:38,,,,,"FOUL  by STOKELY,ROBBIE",,,"FOUL  by STOKELY,ROBBIE",1
15:38,"GOOD FT by THOMAS,LARRY",14 (+6),,8,,BSC 14-8 (+6),,"GOOD FT by THOMAS,LARRY",1
15:38,"MISS FT by THOMAS,LARRY",,,,,,,"MISS FT by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",1
15:38,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
15:38,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
15:38,,,,,"SUB IN by HYATT,TREVER",,,"SUB IN by HYATT,TREVER",1
15:38,,,,,"SUB IN by HOUSTON,ZACHARY",,,"SUB IN by HOUSTON,ZACHARY",1
15:38,,,,,"SUB OUT by HYATT,TREVER",,,"SUB OUT by HYATT,TREVER",1
15:38,,,,,"SUB OUT by FURR,ALSTON",,,"SUB OUT by FURR,ALSTON",1
15:23,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
15:23,,,,,"SUB IN by KOPPENHAVER,WILL",,,"SUB IN by KOPPENHAVER,WILL",1
15:23,,,,,"SUB OUT by HOPKINS,JAKE",,,"SUB OUT by HOPKINS,JAKE",1
15:08,,14 (+4),,10,"GOOD LAYUP by STOKELY,ROBBIE(in the paint)",GC 14-10 (+4),,"GOOD LAYUP by STOKELY,ROBBIE(in the paint)",1
--,,,,,"ASSIST  by KOPPENHAVER,WILL",,,"ASSIST  by KOPPENHAVER,WILL",1
14:31,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
14:31,,,,,"SUB IN by MCCARTHY,MATT",,,"SUB IN by MCCARTHY,MATT",1
14:31,,,,,"SUB OUT by SPAINHOUR,JOSH",,,"SUB OUT by SPAINHOUR,JOSH",1
14:21,,14 (+2),,12,"GOOD LAYUP by STOKELY,ROBBIE(in the paint)",GC 14-12 (+2),,"GOOD LAYUP by STOKELY,ROBBIE(in the paint)",1
--,,,,,"ASSIST  by HYATT,TREVER",,,"ASSIST  by HYATT,TREVER",1
14:07,"GOOD 3PTR by HOLLAND,JASON",17 (+5),,12,,BSC 17-12 (+5),,"GOOD 3PTR by HOLLAND,JASON",1
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",1
13:47,,17 (+3),,14,"GOOD LAYUP by HYATT,TREVER(in the paint)",GC 17-14 (+3),,"GOOD LAYUP by HYATT,TREVER(in the paint)",1
13:32,"MISS 3PTR by HENRY,COLIN",,,,,,,"MISS 3PTR by HENRY,COLIN",1
--,,,,,"REBOUND DEF by HYATT,TREVER",,,"REBOUND DEF by HYATT,TREVER",1
13:16,,,,,"MISS 3PTR by HYATT,TREVER",,,"MISS 3PTR by HYATT,TREVER",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
13:05,,,,,"FOUL  by MCCARTHY,MATT",,,"FOUL  by MCCARTHY,MATT",1
13:05,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:05,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",1
13:05,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
13:05,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
13:05,,,,,"SUB IN by RICHARDSON,ZEB",,,"SUB IN by RICHARDSON,ZEB",1
13:05,,,,,"SUB OUT by STOKELY,ROBBIE",,,"SUB OUT by STOKELY,ROBBIE",1
12:53,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
12:53,,17 (+2),,15,"GOOD FT by HYATT,TREVER",GC 17-15 (+2),,"GOOD FT by HYATT,TREVER",1
12:53,,17 (+1),,16,"GOOD FT by HYATT,TREVER",GC 17-16 (+1),,"GOOD FT by HYATT,TREVER",1
12:53,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
12:53,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
12:24,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by HYATT,TREVER",,,"REBOUND DEF by HYATT,TREVER",1
12:09,,,,,"MISS 3PTR by HYATT,TREVER",,,"MISS 3PTR by HYATT,TREVER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:06,,,,,"FOUL  by KOPPENHAVER,WILL",,,"FOUL  by KOPPENHAVER,WILL",1
12:06,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
12:06,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:06,,,,,"SUB IN by HOPKINS,JAKE",,,"SUB IN by HOPKINS,JAKE",1
12:06,,,,,"SUB IN by FURR,ALSTON",,,"SUB IN by FURR,ALSTON",1
12:06,,,,,"SUB OUT by KOPPENHAVER,WILL",,,"SUB OUT by KOPPENHAVER,WILL",1
12:06,,,,,"SUB OUT by HYATT,TREVER",,,"SUB OUT by HYATT,TREVER",1
11:35,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
11:35,,17,,17,"GOOD FT by RICHARDSON,ZEB",GC 17-17 (0),,"GOOD FT by RICHARDSON,ZEB",1
11:35,,17,,18 (+1),"GOOD FT by RICHARDSON,ZEB",GC 17-18 (-1),,"GOOD FT by RICHARDSON,ZEB",1
11:35,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
11:35,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
11:04,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
10:54,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
10:53,,,,,"STEAL  by MCCARTHY,MATT",,,"STEAL  by MCCARTHY,MATT",1
10:50,,17,,21 (+4),"GOOD 3PTR by FURR,ALSTON",GC 17-21 (-4),,"GOOD 3PTR by FURR,ALSTON",1
--,,,,,"ASSIST  by HOUSTON,ZACHARY",,,"ASSIST  by HOUSTON,ZACHARY",1
10:29,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
10:29,,,,,"BLOCK  by RICHARDSON,ZEB",,,"BLOCK  by RICHARDSON,ZEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:13,,17,,24 (+7),"GOOD 3PTR by FURR,ALSTON",GC 17-24 (-7),,"GOOD 3PTR by FURR,ALSTON",1
--,,,,,"ASSIST  by MCCARTHY,MATT",,,"ASSIST  by MCCARTHY,MATT",1
10:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:07,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:07,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
10:07,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
10:07,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
10:07,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
10:07,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
10:07,,,,,"SUB IN by SPAINHOUR,JOSH",,,"SUB IN by SPAINHOUR,JOSH",1
10:07,,,,,"SUB OUT by HOUSTON,ZACHARY",,,"SUB OUT by HOUSTON,ZACHARY",1
09:55,"GOOD 3PTR by WELCH,ROSS",20,,24 (+4),,BSC 20-24 (-4),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
09:33,,,,,"MISS LAYUP by FURR,ALSTON",,,"MISS LAYUP by FURR,ALSTON",1
--,,,,,"REBOUND OFF by RICHARDSON,ZEB",,,"REBOUND OFF by RICHARDSON,ZEB",1
09:29,,20,,26 (+6),"GOOD LAYUP by RICHARDSON,ZEB(in the paint)",GC 20-26 (-6),,"GOOD LAYUP by RICHARDSON,ZEB(in the paint)",1
09:09,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SPAINHOUR,JOSH",,,"REBOUND DEF by SPAINHOUR,JOSH",1
08:59,,,,,"MISS 3PTR by MCCARTHY,MATT",,,"MISS 3PTR by MCCARTHY,MATT",1
--,,,,,"REBOUND OFF by RICHARDSON,ZEB",,,"REBOUND OFF by RICHARDSON,ZEB",1
08:53,"FOUL  by FREEMAN,SCHYLAR",,,,,,,"FOUL  by FREEMAN,SCHYLAR",1
08:53,,,,,"MISS FT by RICHARDSON,ZEB",,,"MISS FT by RICHARDSON,ZEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:53,,20,,27 (+7),"GOOD FT by RICHARDSON,ZEB",GC 20-27 (-7),,"GOOD FT by RICHARDSON,ZEB",1
08:53,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
08:53,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
08:53,,,,,"SUB IN by STOKELY,ROBBIE",,,"SUB IN by STOKELY,ROBBIE",1
08:53,,,,,"SUB IN by HYATT,TREVER",,,"SUB IN by HYATT,TREVER",1
08:53,,,,,"SUB OUT by RICHARDSON,ZEB",,,"SUB OUT by RICHARDSON,ZEB",1
08:53,,,,,"SUB OUT by FURR,ALSTON",,,"SUB OUT by FURR,ALSTON",1
08:38,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by STOKELY,ROBBIE",,,"REBOUND DEF by STOKELY,ROBBIE",1
08:28,,,,,"MISS JUMPER by HYATT,TREVER",,,"MISS JUMPER by HYATT,TREVER",1
--,,,,,"REBOUND OFF by HOPKINS,JAKE",,,"REBOUND OFF by HOPKINS,JAKE",1
08:23,,,,,"MISS LAYUP by HOPKINS,JAKE",,,"MISS LAYUP by HOPKINS,JAKE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
08:05,"MISS 3PTR by HAYES,CONNER",,,,,,,"MISS 3PTR by HAYES,CONNER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:29,,,,,"MISS LAYUP by MCCARTHY,MATT",,,"MISS LAYUP by MCCARTHY,MATT",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
07:07,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by MCCARTHY,MATT",,,"REBOUND DEF by MCCARTHY,MATT",1
06:59,,,,,"MISS LAYUP by HOPKINS,JAKE",,,"MISS LAYUP by HOPKINS,JAKE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
06:45,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",1
06:32,,,,,"MISS LAYUP by STOKELY,ROBBIE",,,"MISS LAYUP by STOKELY,ROBBIE",1
06:32,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
06:24,"MISS 3PTR by HAYES,CONNER",,,,,,,"MISS 3PTR by HAYES,CONNER",1
--,,,,,"REBOUND DEF by SPAINHOUR,JOSH",,,"REBOUND DEF by SPAINHOUR,JOSH",1
06:16,,,,,"TURNOVER  by SPAINHOUR,JOSH",,,"TURNOVER  by SPAINHOUR,JOSH",1
06:15,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
06:12,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by HYATT,TREVER",,,"REBOUND DEF by HYATT,TREVER",1
05:49,,,,,"MISS 3PTR by HOPKINS,JAKE",,,"MISS 3PTR by HOPKINS,JAKE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
05:10,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",22,,27 (+5),,BSC 22-27 (-5),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
04:56,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
04:56,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
04:56,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
04:56,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
04:56,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
04:56,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
04:56,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
04:56,,,,,"SUB IN by RICHARDSON,ZEB",,,"SUB IN by RICHARDSON,ZEB",1
04:56,,,,,"SUB IN by KOPPENHAVER,WILL",,,"SUB IN by KOPPENHAVER,WILL",1
04:56,,,,,"SUB IN by FURR,ALSTON",,,"SUB IN by FURR,ALSTON",1
04:56,,,,,"SUB IN by HOUSTON,ZACHARY",,,"SUB IN by HOUSTON,ZACHARY",1
04:56,,,,,"SUB OUT by STOKELY,ROBBIE",,,"SUB OUT by STOKELY,ROBBIE",1
04:56,,,,,"SUB OUT by HOPKINS,JAKE",,,"SUB OUT by HOPKINS,JAKE",1
04:56,,,,,"SUB OUT by MCCARTHY,MATT",,,"SUB OUT by MCCARTHY,MATT",1
04:56,,,,,"SUB OUT by SPAINHOUR,JOSH",,,"SUB OUT by SPAINHOUR,JOSH",1
04:48,,,,,"MISS LAYUP by HYATT,TREVER",,,"MISS LAYUP by HYATT,TREVER",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
04:35,"GOOD 3PTR by WELCH,ROSS",25,,27 (+2),,BSC 25-27 (-2),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
04:22,,,,,"MISS 3PTR by FURR,ALSTON",,,"MISS 3PTR by FURR,ALSTON",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
04:06,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
04:06,,,,,"BLOCK  by RICHARDSON,ZEB",,,"BLOCK  by RICHARDSON,ZEB",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
04:02,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",1
03:50,,,,,"MISS DUNK by RICHARDSON,ZEB",,,"MISS DUNK by RICHARDSON,ZEB",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
03:49,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
03:49,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:26,"MISS 3PTR by GALFSKY,ANDER",,,,,,,"MISS 3PTR by GALFSKY,ANDER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:02,"GOOD 3PTR by AVERY,ALEX",28 (+1),,27,,BSC 28-27 (+1),,"GOOD 3PTR by AVERY,ALEX",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
02:51,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
02:51,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
02:51,,,,,"SUB IN by HOPKINS,JAKE",,,"SUB IN by HOPKINS,JAKE",1
02:51,,,,,"SUB OUT by KOPPENHAVER,WILL",,,"SUB OUT by KOPPENHAVER,WILL",1
02:40,,,,,"TURNOVER  by BYRD,MICHAEL",,,"TURNOVER  by BYRD,MICHAEL",1
02:37,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
02:35,"GOOD LAYUP by THOMAS,LARRY(in the paint)",30 (+3),,27,,BSC 30-27 (+3),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
02:16,,,,,"MISS LAYUP by BYRD,MICHAEL",,,"MISS LAYUP by BYRD,MICHAEL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
02:10,,,,,"SUB IN by MCCARTHY,MATT",,,"SUB IN by MCCARTHY,MATT",1
02:10,,,,,"SUB OUT by HYATT,TREVER",,,"SUB OUT by HYATT,TREVER",1
02:00,"MISS 3PTR by AVERY,ALEX",,,,,,,"MISS 3PTR by AVERY,ALEX",1
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",1
01:51,,30,,30,"GOOD 3PTR by FURR,ALSTON",GC 30-30 (0),,"GOOD 3PTR by FURR,ALSTON",1
--,,,,,"ASSIST  by MCCARTHY,MATT",,,"ASSIST  by MCCARTHY,MATT",1
01:27,"GOOD 3PTR by THOMAS,LARRY",33 (+3),,30,,BSC 33-30 (+3),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
01:13,,33,,33,"GOOD 3PTR by MCCARTHY,MATT",GC 33-33 (0),,"GOOD 3PTR by MCCARTHY,MATT",1
--,,,,,"ASSIST  by HOUSTON,ZACHARY",,,"ASSIST  by HOUSTON,ZACHARY",1
00:52,"MISS 3PTR by HENRY,COLIN",,,,,,,"MISS 3PTR by HENRY,COLIN",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
00:34,,,,,"FOUL  by RICHARDSON,ZEB",,,"FOUL  by RICHARDSON,ZEB",1
00:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:34,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
00:34,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:34,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
00:34,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
00:34,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
00:34,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
00:34,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
00:34,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
00:34,,,,,"SUB IN by SPAINHOUR,JOSH",,,"SUB IN by SPAINHOUR,JOSH",1
00:34,,,,,"SUB OUT by HOUSTON,ZACHARY",,,"SUB OUT by HOUSTON,ZACHARY",1
00:11,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",1
00:04,,,,,"MISS 3PTR by MCCARTHY,MATT",,,"MISS 3PTR by MCCARTHY,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
19:03,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",35 (+2),,33,,BSC 35-33 (+2),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
18:49,,,,,"MISS JUMPER by SPAINHOUR,JOSH",,,"MISS JUMPER by SPAINHOUR,JOSH",2
--,,,,,"REBOUND OFF by HOPKINS,JAKE",,,"REBOUND OFF by HOPKINS,JAKE",2
18:44,,,,,"MISS LAYUP by HOPKINS,JAKE",,,"MISS LAYUP by HOPKINS,JAKE",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
18:21,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",37 (+4),,33,,BSC 37-33 (+4),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
18:10,,,,,"MISS 3PTR by MCCARTHY,MATT",,,"MISS 3PTR by MCCARTHY,MATT",2
--,,,,,"REBOUND OFF by FURR,ALSTON",,,"REBOUND OFF by FURR,ALSTON",2
17:50,,,,,"TURNOVER  by MCCARTHY,MATT",,,"TURNOVER  by MCCARTHY,MATT",2
17:49,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
17:30,,,,,"FOUL  by HOPKINS,JAKE",,,"FOUL  by HOPKINS,JAKE",2
17:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:30,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
