Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
16:50,"SUB IN by JACKSON,ANTONIO",,,,,,,"SUB IN by JACKSON,ANTONIO",2
16:50,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",2
16:50,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
16:50,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
16:50,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",2
16:50,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
16:50,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
16:33,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",2
16:22,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",2
16:11,"FOUL  by JACKSON,ANTONIO",,,,,,,"FOUL  by JACKSON,ANTONIO",2
16:06,,,,,"MISS 3PTR by AVERY,ALEX",,,"MISS 3PTR by AVERY,ALEX",2
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",2
15:58,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",2
15:53,"FOUL  by RAYE,CRAIG",,,,,,,"FOUL  by RAYE,CRAIG",2
15:53,,51 (+11),,40,"GOOD FT by THOMAS,LARRY",BSC 51-40 (-11),,"GOOD FT by THOMAS,LARRY",2
15:53,,51 (+10),,41,"GOOD FT by THOMAS,LARRY",BSC 51-41 (-10),,"GOOD FT by THOMAS,LARRY",2
15:44,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",2
15:42,"STEAL  by JACKSON,ANTONIO",,,,,,,"STEAL  by JACKSON,ANTONIO",2
15:35,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",2
15:35,"GOOD FT by BODEWIG,JOEY",52 (+11),,41,,MVCM 52-41 (-11),,"GOOD FT by BODEWIG,JOEY",2
15:35,"GOOD FT by BODEWIG,JOEY",53 (+12),,41,,MVCM 53-41 (-12),,"GOOD FT by BODEWIG,JOEY",2
15:18,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",2
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",2
15:08,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
14:57,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",2
--,"REBOUND DEF by JACKSON,ANTONIO",,,,,,,"REBOUND DEF by JACKSON,ANTONIO",2
14:53,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",2
14:53,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",2
14:53,"SUB IN by PEAKE,SPENCER",,,,,,,"SUB IN by PEAKE,SPENCER",2
14:53,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
14:53,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
14:53,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",2
14:53,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",2
14:53,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
14:53,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",2
14:41,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",55 (+14),,41,,MVCM 55-41 (-14),,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",2
--,"ASSIST  by PEAKE,SPENCER",,,,,,,"ASSIST  by PEAKE,SPENCER",2
14:17,"FOUL  by BURRIS,JP",,,,,,,"FOUL  by BURRIS,JP",2
14:05,,55 (+12),,43,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",BSC 55-43 (-12),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",2
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",2
13:51,"MISS 3PTR by PEAKE,SPENCER",,,,,,,"MISS 3PTR by PEAKE,SPENCER",2
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",2
13:20,,,,,"TURNOVER  by GALFSKY,ANDER",,,"TURNOVER  by GALFSKY,ANDER",2
13:18,"STEAL  by PEAKE,SPENCER",,,,,,,"STEAL  by PEAKE,SPENCER",2
13:15,"TURNOVER  by BURRIS,JP",,,,,,,"TURNOVER  by BURRIS,JP",2
13:13,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",2
13:09,,55 (+10),,45,"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 55-45 (-10),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
12:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:58,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",2
12:58,"SUB OUT by JACKSON,ANTONIO",,,,,,,"SUB OUT by JACKSON,ANTONIO",2
12:58,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
12:58,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
12:58,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
12:58,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
12:58,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
12:58,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
12:43,"TURNOVER  by RAYE,CRAIG",,,,,,,"TURNOVER  by RAYE,CRAIG",2
12:23,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",2
12:23,,55 (+9),,46,"GOOD FT by HENRY,COLIN",BSC 55-46 (-9),,"GOOD FT by HENRY,COLIN",2
12:23,,55 (+8),,47,"GOOD FT by HENRY,COLIN",BSC 55-47 (-8),,"GOOD FT by HENRY,COLIN",2
12:11,"GOOD 3PTR by FORD,CHRISTIAN",58 (+11),,47,,MVCM 58-47 (-11),,"GOOD 3PTR by FORD,CHRISTIAN",2
11:41,,58 (+8),,50,"GOOD 3PTR by THOM,IAN",BSC 58-50 (-8),,"GOOD 3PTR by THOM,IAN",2
11:20,"MISS 3PTR by FORD,CHRISTIAN",,,,,,,"MISS 3PTR by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",2
10:55,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",2
10:55,"BLOCK  by PEAKE,SPENCER",,,,,,,"BLOCK  by PEAKE,SPENCER",2
--,"REBOUND DEF by BURRIS,JP",,,,,,,"REBOUND DEF by BURRIS,JP",2
10:51,"TURNOVER  by BURRIS,JP",,,,,,,"TURNOVER  by BURRIS,JP",2
10:51,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",2
10:51,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
10:51,"SUB OUT by PEAKE,SPENCER",,,,,,,"SUB OUT by PEAKE,SPENCER",2
10:51,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
10:51,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
10:51,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
10:40,"FOUL  by BURRIS,JP",,,,,,,"FOUL  by BURRIS,JP",2
10:40,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",2
10:40,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",2
10:34,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
10:34,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",2
10:34,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",2
10:34,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",2
10:20,"GOOD 3PTR by RAYE,CRAIG",61 (+11),,50,,MVCM 61-50 (-11),,"GOOD 3PTR by RAYE,CRAIG",2
09:58,,61 (+9),,52,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 61-52 (-9),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
--,,,,,"ASSIST  by CRAIN,JOHN",,,"ASSIST  by CRAIN,JOHN",2
09:38,"TURNOVER  by RAYE,CRAIG",,,,,,,"TURNOVER  by RAYE,CRAIG",2
09:28,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
09:28,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
09:28,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",2
09:28,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
09:11,"MISS 3PTR by FORD,CHRISTIAN",,,,,,,"MISS 3PTR by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
09:00,,,,,"MISS JUMPER by LEWIS,EVAN",,,"MISS JUMPER by LEWIS,EVAN",2
09:00,"BLOCK  by BUTLER,OSCAR",,,,,,,"BLOCK  by BUTLER,OSCAR",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
08:53,"GOOD 3PTR by SHOFFNER,SPENCER",64 (+12),,52,,MVCM 64-52 (-12),,"GOOD 3PTR by SHOFFNER,SPENCER",2
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",2
08:36,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",,,"REBOUND OFF by SCHAMP,GRIFFIN",2
08:34,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
08:34,,64 (+11),,53,"GOOD FT by SCHAMP,GRIFFIN",BSC 64-53 (-11),,"GOOD FT by SCHAMP,GRIFFIN",2
08:34,,64 (+10),,54,"GOOD FT by SCHAMP,GRIFFIN",BSC 64-54 (-10),,"GOOD FT by SCHAMP,GRIFFIN",2
08:34,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
08:34,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
08:34,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
08:34,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
08:14,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",2
08:14,"GOOD FT by FORD,CHRISTIAN",65 (+11),,54,,MVCM 65-54 (-11),,"GOOD FT by FORD,CHRISTIAN",2
08:14,"GOOD FT by FORD,CHRISTIAN",66 (+12),,54,,MVCM 66-54 (-12),,"GOOD FT by FORD,CHRISTIAN",2
08:14,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",2
08:14,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
08:02,"FOUL  by SHOFFNER,SPENCER",,,,,,,"FOUL  by SHOFFNER,SPENCER",2
08:02,,66 (+11),,55,"GOOD FT by THOMAS,LARRY",BSC 66-55 (-11),,"GOOD FT by THOMAS,LARRY",2
08:02,,66 (+10),,56,"GOOD FT by THOMAS,LARRY",BSC 66-56 (-10),,"GOOD FT by THOMAS,LARRY",2
07:52,"TURNOVER  by SHOFFNER,SPENCER",,,,,,,"TURNOVER  by SHOFFNER,SPENCER",2
07:52,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
07:50,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",2
07:48,"TURNOVER  by BYRD,JAUMONEE",,,,,,,"TURNOVER  by BYRD,JAUMONEE",2
07:36,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
07:36,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
07:22,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
07:03,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",68 (+12),,56,,MVCM 68-56 (-12),,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",2
06:58,,,,,"MISS JUMPER by WELCH,ROSS",,,"MISS JUMPER by WELCH,ROSS",2
06:58,"BLOCK  by BODEWIG,JOEY",,,,,,,"BLOCK  by BODEWIG,JOEY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:58,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",2
06:58,"SUB IN by JACKSON,ANTONIO",,,,,,,"SUB IN by JACKSON,ANTONIO",2
06:58,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
06:58,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",2
06:58,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",2
06:58,"SUB OUT by RAYE,CRAIG",,,,,,,"SUB OUT by RAYE,CRAIG",2
06:58,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",2
06:58,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
06:58,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
06:58,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
06:58,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
06:53,,68 (+10),,58,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 68-58 (-10),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",2
06:46,"GOOD LAYUP by SHOFFNER,SPENCER(in the paint)",70 (+12),,58,,MVCM 70-58 (-12),,"GOOD LAYUP by SHOFFNER,SPENCER(in the paint)",2
06:46,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",2
06:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:46,"GOOD FT by SHOFFNER,SPENCER",71 (+13),,58,,MVCM 71-58 (-13),,"GOOD FT by SHOFFNER,SPENCER",2
06:17,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",2
06:17,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:17,,71 (+12),,59,"GOOD FT by SCHAMP,GRIFFIN",BSC 71-59 (-12),,"GOOD FT by SCHAMP,GRIFFIN",2
06:17,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
05:58,"TURNOVER  by JACKSON,ANTONIO",,,,,,,"TURNOVER  by JACKSON,ANTONIO",2
05:56,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",2
05:53,,71 (+9),,62,"GOOD 3PTR by WELCH,ROSS",BSC 71-62 (-9),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
05:23,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",2
05:15,,71 (+6),,65,"GOOD 3PTR by WELCH,ROSS",BSC 71-65 (-6),,"GOOD 3PTR by WELCH,ROSS",2
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",2
05:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:11,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",2
05:11,"SUB OUT by JACKSON,ANTONIO",,,,,,,"SUB OUT by JACKSON,ANTONIO",2
04:57,"MISS JUMPER by BURRIS,JP",,,,,,,"MISS JUMPER by BURRIS,JP",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
04:30,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",2
--,"REBOUND DEF by BREWER,LOGAN",,,,,,,"REBOUND DEF by BREWER,LOGAN",2
04:09,"MISS 3PTR by BUTLER,OSCAR",,,,,,,"MISS 3PTR by BUTLER,OSCAR",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
04:05,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND DEF by BURRIS,JP",,,,,,,"REBOUND DEF by BURRIS,JP",2
03:50,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
03:50,"MISS FT by BREWER,LOGAN",,,,,,,"MISS FT by BREWER,LOGAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:50,"GOOD FT by BREWER,LOGAN",72 (+7),,65,,MVCM 72-65 (-7),,"GOOD FT by BREWER,LOGAN",2
03:50,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
03:50,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
03:37,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
03:26,"MISS 3PTR by FORD,CHRISTIAN",,,,,,,"MISS 3PTR by FORD,CHRISTIAN",2
--,"REBOUND OFF by BYRD,JAUMONEE",,,,,,,"REBOUND OFF by BYRD,JAUMONEE",2
03:20,"GOOD 3PTR by SHOFFNER,SPENCER",75 (+10),,65,,MVCM 75-65 (-10),,"GOOD 3PTR by SHOFFNER,SPENCER",2
--,"ASSIST  by BYRD,JAUMONEE",,,,,,,"ASSIST  by BYRD,JAUMONEE",2
03:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:16,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
03:16,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
02:59,"FOUL  by BREWER,LOGAN",,,,,,,"FOUL  by BREWER,LOGAN",2
02:59,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:59,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
02:59,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
02:59,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
02:59,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
02:59,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
02:25,"MISS JUMPER by FORD,CHRISTIAN",,,,,,,"MISS JUMPER by FORD,CHRISTIAN",2
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",2
02:08,,75 (+8),,67,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 75-67 (-8),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",2
01:54,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",2
01:54,"GOOD FT by BYRD,JAUMONEE",76 (+9),,67,,MVCM 76-67 (-9),,"GOOD FT by BYRD,JAUMONEE",2
01:54,"MISS FT by BYRD,JAUMONEE",,,,,,,"MISS FT by BYRD,JAUMONEE",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
01:54,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
01:54,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
01:38,,76 (+7),,69,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 76-69 (-7),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
01:21,"MISS JUMPER by SHOFFNER,SPENCER",,,,,,,"MISS JUMPER by SHOFFNER,SPENCER",2
--,"REBOUND OFF by BUTLER,OSCAR",,,,,,,"REBOUND OFF by BUTLER,OSCAR",2
01:19,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",78 (+9),,69,,MVCM 78-69 (-9),,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",2
01:07,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:05,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
01:05,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
00:58,"FOUL  by BREWER,LOGAN",,,,,,,"FOUL  by BREWER,LOGAN",2
00:58,,78 (+8),,70,"GOOD FT by SCHAMP,GRIFFIN",BSC 78-70 (-8),,"GOOD FT by SCHAMP,GRIFFIN",2
00:58,,78 (+7),,71,"GOOD FT by SCHAMP,GRIFFIN",BSC 78-71 (-7),,"GOOD FT by SCHAMP,GRIFFIN",2
00:58,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
00:58,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
00:58,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
00:58,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
00:58,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
00:58,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
00:46,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",2
00:46,"GOOD FT by SHOFFNER,SPENCER",79 (+8),,71,,MVCM 79-71 (-8),,"GOOD FT by SHOFFNER,SPENCER",2
00:46,"GOOD FT by SHOFFNER,SPENCER",80 (+9),,71,,MVCM 80-71 (-9),,"GOOD FT by SHOFFNER,SPENCER",2
00:46,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
00:46,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
00:46,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
00:46,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
00:46,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
00:46,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
00:35,,80 (+7),,73,"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 80-73 (-7),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
00:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:34,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",2
00:34,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",2
00:34,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",2
00:34,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
00:34,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",2
00:34,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",2
00:31,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
00:31,"MISS FT by BUTLER,OSCAR",,,,,,,"MISS FT by BUTLER,OSCAR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:31,"GOOD FT by BUTLER,OSCAR",81 (+8),,73,,MVCM 81-73 (-8),,"GOOD FT by BUTLER,OSCAR",2
00:31,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",2
00:31,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",2
00:31,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
00:31,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",2
00:31,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
00:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
00:24,"FOUL  by FORD,CHRISTIAN",,,,,,,"FOUL  by FORD,CHRISTIAN",2
00:24,,81 (+7),,74,"GOOD FT by THOMAS,LARRY",BSC 81-74 (-7),,"GOOD FT by THOMAS,LARRY",2
