Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
15:07,"SUB OUT by GOEING,BRANDON",,,,,,,"SUB OUT by GOEING,BRANDON",1
15:07,"SUB OUT by GABRIEL,BRANDON",,,,,,,"SUB OUT by GABRIEL,BRANDON",1
15:07,"SUB OUT by HAMILTON,QUAYSHAUN",,,,,,,"SUB OUT by HAMILTON,QUAYSHAUN",1
15:07,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
15:07,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
15:07,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
15:07,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
15:07,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
15:07,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
15:07,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
15:07,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
15:03,,10 (+3),,7,"GOOD LAYUP by THOM,IAN(in the paint)",BSC 10-7 (-3),,"GOOD LAYUP by THOM,IAN(in the paint)",1
14:36,"TURNOVER  by MAYFIELD,DEVIN",,,,,,,"TURNOVER  by MAYFIELD,DEVIN",1
14:23,,10 (+1),,9,"GOOD JUMPER by THOMAS,LARRY",BSC 10-9 (-1),,"GOOD JUMPER by THOMAS,LARRY",1
14:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:11,"SUB IN by GABRIEL,BRANDON",,,,,,,"SUB IN by GABRIEL,BRANDON",1
14:11,"SUB IN by MOORE,RENALDO",,,,,,,"SUB IN by MOORE,RENALDO",1
14:11,"SUB IN by HAMILTON,QUAYSHAUN",,,,,,,"SUB IN by HAMILTON,QUAYSHAUN",1
14:11,"SUB OUT by SMITH,TEREZ",,,,,,,"SUB OUT by SMITH,TEREZ",1
14:11,"SUB OUT by MAYFIELD,DEVIN",,,,,,,"SUB OUT by MAYFIELD,DEVIN",1
14:11,"SUB OUT by KING,TAYLOR",,,,,,,"SUB OUT by KING,TAYLOR",1
14:06,"MISS JUMPER by BARBER,WILLIAM",,,,,,,"MISS JUMPER by BARBER,WILLIAM",1
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",1
13:26,,10,,11 (+1),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 10-11 (+1),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
13:07,"GOOD LAYUP by HAMILTON,QUAYSHAUN(in the paint)",12 (+1),,11,,SU 12-11 (-1),,"GOOD LAYUP by HAMILTON,QUAYSHAUN(in the paint)",1
12:35,,12,,13 (+1),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 12-13 (+1),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
12:21,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",1
12:04,,12,,15 (+3),"GOOD JUMPER by HOLLE,MASON(in the paint)",BSC 12-15 (+3),,"GOOD JUMPER by HOLLE,MASON(in the paint)",1
11:37,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
11:37,"GOOD FT by BARBER,WILLIAM",13,,15 (+2),,SU 13-15 (+2),,"GOOD FT by BARBER,WILLIAM",1
11:37,"GOOD FT by BARBER,WILLIAM",14,,15 (+1),,SU 14-15 (+1),,"GOOD FT by BARBER,WILLIAM",1
11:37,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
11:37,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
11:22,,14,,17 (+3),"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 14-17 (+3),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
11:09,"GOOD LAYUP by MOORE,RENALDO(in the paint)",16,,17 (+1),,SU 16-17 (+1),,"GOOD LAYUP by MOORE,RENALDO(in the paint)",1
--,"ASSIST  by HAMILTON,QUAYSHAUN",,,,,,,"ASSIST  by HAMILTON,QUAYSHAUN",1
10:52,"FOUL  by MOORE,RENALDO",,,,,,,"FOUL  by MOORE,RENALDO",1
10:52,"SUB IN by KINNEY,ANDREW",,,,,,,"SUB IN by KINNEY,ANDREW",1
10:52,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
10:52,"SUB OUT by BLAKEMORE,THOMAS",,,,,,,"SUB OUT by BLAKEMORE,THOMAS",1
10:52,"SUB OUT by MOORE,RENALDO",,,,,,,"SUB OUT by MOORE,RENALDO",1
10:49,"FOUL  by SMITH,TEREZ",,,,,,,"FOUL  by SMITH,TEREZ",1
10:49,,,,,"MISS FT by HENRY,COLIN",,,"MISS FT by HENRY,COLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:49,,16,,18 (+2),"GOOD FT by HENRY,COLIN",BSC 16-18 (+2),,"GOOD FT by HENRY,COLIN",1
10:26,"MISS LAYUP by SMITH,TEREZ",,,,,,,"MISS LAYUP by SMITH,TEREZ",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
10:19,"FOUL  by HAMILTON,QUAYSHAUN",,,,,,,"FOUL  by HAMILTON,QUAYSHAUN",1
10:19,,16,,19 (+3),"GOOD FT by LEWIS,EVAN",BSC 16-19 (+3),,"GOOD FT by LEWIS,EVAN",1
10:19,,16,,20 (+4),"GOOD FT by LEWIS,EVAN",BSC 16-20 (+4),,"GOOD FT by LEWIS,EVAN",1
10:19,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
10:19,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
10:19,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
10:19,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
10:19,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
10:19,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
10:19,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
10:19,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
10:19,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
10:19,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
10:10,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND DEF by KINNEY,ANDREW",,,,,,,"REBOUND DEF by KINNEY,ANDREW",1
10:06,"FOUL  by BARBER,WILLIAM",,,,,,,"FOUL  by BARBER,WILLIAM",1
10:06,,16,,21 (+5),"GOOD FT by HOLLAND,JASON",BSC 16-21 (+5),,"GOOD FT by HOLLAND,JASON",1
10:06,,16,,22 (+6),"GOOD FT by HOLLAND,JASON",BSC 16-22 (+6),,"GOOD FT by HOLLAND,JASON",1
10:06,"SUB IN by BLAKEMORE,THOMAS",,,,,,,"SUB IN by BLAKEMORE,THOMAS",1
10:06,"SUB IN by GOEING,BRANDON",,,,,,,"SUB IN by GOEING,BRANDON",1
10:06,"SUB OUT by BARBER,WILLIAM",,,,,,,"SUB OUT by BARBER,WILLIAM",1
10:06,"SUB OUT by KINNEY,ANDREW",,,,,,,"SUB OUT by KINNEY,ANDREW",1
09:56,"MISS JUMPER by GABRIEL,BRANDON",,,,,,,"MISS JUMPER by GABRIEL,BRANDON",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
09:46,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
09:46,"SUB IN by MAYFIELD,DEVIN",,,,,,,"SUB IN by MAYFIELD,DEVIN",1
09:46,"SUB OUT by GABRIEL,BRANDON",,,,,,,"SUB OUT by GABRIEL,BRANDON",1
09:26,"MISS JUMPER by HAMILTON,QUAYSHAUN",,,,,,,"MISS JUMPER by HAMILTON,QUAYSHAUN",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
09:03,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
08:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
08:52,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
08:33,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
08:32,"STEAL  by BLAKEMORE,THOMAS",,,,,,,"STEAL  by BLAKEMORE,THOMAS",1
08:29,"MISS LAYUP by BLAKEMORE,THOMAS",,,,,,,"MISS LAYUP by BLAKEMORE,THOMAS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:24,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND OFF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND OFF by HAMILTON,QUAYSHAUN",1
08:14,"MISS 3PTR by BLAKEMORE,THOMAS",,,,,,,"MISS 3PTR by BLAKEMORE,THOMAS",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
07:55,,16,,25 (+9),"GOOD 3PTR by THOMAS,LARRY",BSC 16-25 (+9),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
07:20,"MISS 3PTR by HAMILTON,QUAYSHAUN",,,,,,,"MISS 3PTR by HAMILTON,QUAYSHAUN",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
07:10,"SUB IN by SANFORD,DOMONIQUE",,,,,,,"SUB IN by SANFORD,DOMONIQUE",1
07:10,"SUB OUT by HAMILTON,QUAYSHAUN",,,,,,,"SUB OUT by HAMILTON,QUAYSHAUN",1
07:03,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by SMITH,TEREZ",,,,,,,"REBOUND DEF by SMITH,TEREZ",1
06:56,"TURNOVER  by SMITH,TEREZ",,,,,,,"TURNOVER  by SMITH,TEREZ",1
06:55,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
06:54,"FOUL  by SANFORD,DOMONIQUE",,,,,,,"FOUL  by SANFORD,DOMONIQUE",1
06:54,,16,,26 (+10),"GOOD FT by FREEMAN,SCHYLAR",BSC 16-26 (+10),,"GOOD FT by FREEMAN,SCHYLAR",1
06:54,,16,,27 (+11),"GOOD FT by FREEMAN,SCHYLAR",BSC 16-27 (+11),,"GOOD FT by FREEMAN,SCHYLAR",1
06:52,"TURNOVER  by MAYFIELD,DEVIN",,,,,,,"TURNOVER  by MAYFIELD,DEVIN",1
06:52,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
06:52,"FOUL  by MAYFIELD,DEVIN",,,,,,,"FOUL  by MAYFIELD,DEVIN",1
06:52,,16,,28 (+12),"GOOD FT by HOLLAND,JASON",BSC 16-28 (+12),,"GOOD FT by HOLLAND,JASON",1
06:52,,16,,29 (+13),"GOOD FT by HOLLAND,JASON",BSC 16-29 (+13),,"GOOD FT by HOLLAND,JASON",1
06:52,"SUB IN by GABRIEL,BRANDON",,,,,,,"SUB IN by GABRIEL,BRANDON",1
06:52,"SUB OUT by MAYFIELD,DEVIN",,,,,,,"SUB OUT by MAYFIELD,DEVIN",1
06:48,"GOOD JUMPER by SMITH,TEREZ(in the paint)",18,,29 (+11),,SU 18-29 (+11),,"GOOD JUMPER by SMITH,TEREZ(in the paint)",1
06:48,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
06:48,"GOOD FT by SMITH,TEREZ",19,,29 (+10),,SU 19-29 (+10),,"GOOD FT by SMITH,TEREZ",1
06:48,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
06:48,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
06:48,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
06:48,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
06:48,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
06:48,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
06:48,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
06:48,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
06:48,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
06:48,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
06:26,,19,,31 (+12),"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 19-31 (+12),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
06:15,"MISS JUMPER by GABRIEL,BRANDON",,,,,,,"MISS JUMPER by GABRIEL,BRANDON",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
05:58,,,,,"TURNOVER  by GALFSKY,ANDER",,,"TURNOVER  by GALFSKY,ANDER",1
05:56,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",1
05:51,,,,,"TURNOVER  by HOLLE,MASON",,,"TURNOVER  by HOLLE,MASON",1
05:49,"STEAL  by SANFORD,DOMONIQUE",,,,,,,"STEAL  by SANFORD,DOMONIQUE",1
05:49,,,,,"FOUL  by HOLLE,MASON",,,"FOUL  by HOLLE,MASON",1
05:33,"MISS 3PTR by GOEING,BRANDON",,,,,,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND OFF by SANFORD,DOMONIQUE",,,,,,,"REBOUND OFF by SANFORD,DOMONIQUE",1
05:31,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
05:23,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",1
05:12,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",1
05:02,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",1
--,"REBOUND DEF by GABRIEL,BRANDON",,,,,,,"REBOUND DEF by GABRIEL,BRANDON",1
04:56,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
04:46,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
04:46,"GOOD FT by GABRIEL,BRANDON",20,,31 (+11),,SU 20-31 (+11),,"GOOD FT by GABRIEL,BRANDON",1
04:46,"GOOD FT by GABRIEL,BRANDON",21,,31 (+10),,SU 21-31 (+10),,"GOOD FT by GABRIEL,BRANDON",1
04:46,"SUB IN by KING,TAYLOR",,,,,,,"SUB IN by KING,TAYLOR",1
04:46,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
04:46,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
04:46,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
04:46,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
04:46,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
04:46,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
04:46,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
04:46,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
04:46,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
04:46,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
04:46,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
04:25,,21,,33 (+12),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 21-33 (+12),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
04:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:52,"GOOD 3PTR by GABRIEL,BRANDON",24,,33 (+9),,SU 24-33 (+9),,"GOOD 3PTR by GABRIEL,BRANDON",1
--,"ASSIST  by GOEING,BRANDON",,,,,,,"ASSIST  by GOEING,BRANDON",1
03:39,"FOUL  by GABRIEL,BRANDON",,,,,,,"FOUL  by GABRIEL,BRANDON",1
03:39,,24,,34 (+10),"GOOD FT by HOLLAND,JASON",BSC 24-34 (+10),,"GOOD FT by HOLLAND,JASON",1
03:39,,,,,"MISS FT by HOLLAND,JASON",,,"MISS FT by HOLLAND,JASON",1
--,"REBOUND DEF by KING,TAYLOR",,,,,,,"REBOUND DEF by KING,TAYLOR",1
03:39,"SUB IN by SCROGGY,TRENT",,,,,,,"SUB IN by SCROGGY,TRENT",1
03:39,"SUB OUT by SANFORD,DOMONIQUE",,,,,,,"SUB OUT by SANFORD,DOMONIQUE",1
03:39,"SUB OUT by BLAKEMORE,THOMAS",,,,,,,"SUB OUT by BLAKEMORE,THOMAS",1
03:26,"SUB IN by BLAKEMORE,THOMAS",,,,,,,"SUB IN by BLAKEMORE,THOMAS",1
03:26,"SUB IN by SANFORD,DOMONIQUE",,,,,,,"SUB IN by SANFORD,DOMONIQUE",1
03:26,"SUB OUT by GABRIEL,BRANDON",,,,,,,"SUB OUT by GABRIEL,BRANDON",1
03:23,"GOOD 3PTR by GOEING,BRANDON",27,,34 (+7),,SU 27-34 (+7),,"GOOD 3PTR by GOEING,BRANDON",1
02:57,,27,,37 (+10),"GOOD 3PTR by WELCH,ROSS",BSC 27-37 (+10),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
02:45,"TURNOVER  by SCROGGY,TRENT",,,,,,,"TURNOVER  by SCROGGY,TRENT",1
02:44,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
02:41,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
02:40,"STEAL  by GOEING,BRANDON",,,,,,,"STEAL  by GOEING,BRANDON",1
02:37,"GOOD LAYUP by SCROGGY,TRENT(fastbreak)(in the paint)",29,,37 (+8),,SU 29-37 (+8),,"GOOD LAYUP by SCROGGY,TRENT(fastbreak)(in the paint)",1
02:22,,29,,40 (+11),"GOOD 3PTR by THOMAS,LARRY",BSC 29-40 (+11),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
02:13,"TURNOVER  by SCROGGY,TRENT",,,,,,,"TURNOVER  by SCROGGY,TRENT",1
02:03,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",1
02:02,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by SCROGGY,TRENT",,,,,,,"REBOUND DEF by SCROGGY,TRENT",1
01:56,"MISS LAYUP by BLAKEMORE,THOMAS",,,,,,,"MISS LAYUP by BLAKEMORE,THOMAS",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
01:48,,29,,43 (+14),"GOOD 3PTR by THOMAS,LARRY",BSC 29-43 (+14),,"GOOD 3PTR by THOMAS,LARRY",1
01:42,"TURNOVER  by SCROGGY,TRENT",,,,,,,"TURNOVER  by SCROGGY,TRENT",1
01:42,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",1
01:40,"FOUL  by SANFORD,DOMONIQUE",,,,,,,"FOUL  by SANFORD,DOMONIQUE",1
01:34,,29,,44 (+15),"GOOD FT by FREEMAN,SCHYLAR",BSC 29-44 (+15),,"GOOD FT by FREEMAN,SCHYLAR",1
01:34,,,,,"MISS FT by FREEMAN,SCHYLAR",,,"MISS FT by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by SANFORD,DOMONIQUE",,,,,,,"REBOUND DEF by SANFORD,DOMONIQUE",1
01:34,"SUB IN by MAYFIELD,DEVIN",,,,,,,"SUB IN by MAYFIELD,DEVIN",1
01:34,"SUB OUT by SCROGGY,TRENT",,,,,,,"SUB OUT by SCROGGY,TRENT",1
01:34,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
01:34,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
01:31,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
01:31,"MISS FT by SANFORD,DOMONIQUE",,,,,,,"MISS FT by SANFORD,DOMONIQUE",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
