Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
15:19,"GOOD 3PTR by WELCH,ROSS",10 (+8),,2,,BSC 10-2 (+8),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",1
15:03,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
15:03,,,,,"SUB IN by FLORIN,MICHAEL",,,"SUB IN by FLORIN,MICHAEL",1
15:03,,,,,"SUB OUT by MOORE,MCPHERSON",,,"SUB OUT by MOORE,MCPHERSON",1
14:42,,,,,"TURNOVER  by DAVIS,JAKE",,,"TURNOVER  by DAVIS,JAKE",1
14:40,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
14:30,"GOOD LAYUP by THOMAS,LARRY(in the paint)",12 (+10),,2,,BSC 12-2 (+10),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
14:29,,,,,"FOUL  by FOSTER,ALEX",,,"FOUL  by FOSTER,ALEX",1
14:29,"GOOD FT by THOMAS,LARRY",13 (+11),,2,,BSC 13-2 (+11),,"GOOD FT by THOMAS,LARRY",1
14:29,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
14:29,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
14:29,,,,,"SUB IN by DAGUE,AUSTIN",,,"SUB IN by DAGUE,AUSTIN",1
14:29,,,,,"SUB OUT by FOSTER,ALEX",,,"SUB OUT by FOSTER,ALEX",1
14:25,,,,,"TURNOVER  by DAVIS,JAKE",,,"TURNOVER  by DAVIS,JAKE",1
14:24,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
14:19,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
14:19,,,,,"BLOCK  by DAGUE,AUSTIN",,,"BLOCK  by DAGUE,AUSTIN",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
14:17,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
14:00,,,,,"TURNOVER  by TRAWICK,WILL",,,"TURNOVER  by TRAWICK,WILL",1
13:59,"STEAL  by GALFSKY,ANDER",,,,,,,"STEAL  by GALFSKY,ANDER",1
13:55,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
13:41,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
13:41,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
13:34,,,,,"TURNOVER  by DAVIS,JAKE",,,"TURNOVER  by DAVIS,JAKE",1
13:34,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",1
13:32,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
13:32,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
13:32,,,,,"SUB IN by MOORE,MCPHERSON",,,"SUB IN by MOORE,MCPHERSON",1
13:32,,,,,"SUB OUT by FLORIN,MICHAEL",,,"SUB OUT by FLORIN,MICHAEL",1
13:05,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
12:53,,13 (+8),,5,"GOOD 3PTR by RAO,DAVIS",EUM 13-5 (+8),,"GOOD 3PTR by RAO,DAVIS",1
--,,,,,"ASSIST  by TRAWICK,WILL",,,"ASSIST  by TRAWICK,WILL",1
12:35,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by DAVIS,JAKE",,,"REBOUND DEF by DAVIS,JAKE",1
12:24,,,,,"MISS JUMPER by MOORE,MCPHERSON",,,"MISS JUMPER by MOORE,MCPHERSON",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
12:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:20,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
12:20,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
12:20,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
12:20,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
12:20,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
12:20,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
11:58,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
11:58,,,,,"SUB IN by FLORIN,MICHAEL",,,"SUB IN by FLORIN,MICHAEL",1
11:58,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
11:48,,,,,"MISS LAYUP by DAGUE,AUSTIN",,,"MISS LAYUP by DAGUE,AUSTIN",1
11:48,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
11:29,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",1
--,,,,,"REBOUND DEF by FLORIN,MICHAEL",,,"REBOUND DEF by FLORIN,MICHAEL",1
11:01,,,,,"MISS 3PTR by FLORIN,MICHAEL",,,"MISS 3PTR by FLORIN,MICHAEL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
10:29,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
10:29,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
10:29,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
10:29,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
10:29,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
10:29,,,,,"SUB IN by SCHATTIE,JOSH",,,"SUB IN by SCHATTIE,JOSH",1
10:29,,,,,"SUB IN by FOSTER,ALEX",,,"SUB IN by FOSTER,ALEX",1
10:29,,,,,"SUB OUT by DAGUE,AUSTIN",,,"SUB OUT by DAGUE,AUSTIN",1
10:29,,,,,"SUB OUT by DAVIS,JAKE",,,"SUB OUT by DAVIS,JAKE",1
10:09,,,,,"MISS 3PTR by FOSTER,ALEX",,,"MISS 3PTR by FOSTER,ALEX",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
09:55,"GOOD 3PTR by THOMAS,LARRY",16 (+11),,5,,BSC 16-5 (+11),,"GOOD 3PTR by THOMAS,LARRY",1
09:46,,,,,"MISS JUMPER by SCHATTIE,JOSH",,,"MISS JUMPER by SCHATTIE,JOSH",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
09:43,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
09:43,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
09:30,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
09:24,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:20,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
09:20,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
08:52,"MISS 3PTR by AVERY,ALEX",,,,,,,"MISS 3PTR by AVERY,ALEX",1
--,,,,,"REBOUND DEF by FLORIN,MICHAEL",,,"REBOUND DEF by FLORIN,MICHAEL",1
08:45,,16 (+9),,7,"GOOD LAYUP by MOORE,MCPHERSON(fastbreak)(in the paint)",EUM 16-7 (+9),,"GOOD LAYUP by MOORE,MCPHERSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FLORIN,MICHAEL",,,"ASSIST  by FLORIN,MICHAEL",1
08:17,"GOOD JUMPER by AVERY,ALEX",18 (+11),,7,,BSC 18-7 (+11),,"GOOD JUMPER by AVERY,ALEX",1
08:14,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
08:14,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
08:14,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
08:14,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
08:08,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
08:08,,18 (+10),,8,"GOOD FT by SCHATTIE,JOSH",EUM 18-8 (+10),,"GOOD FT by SCHATTIE,JOSH",1
08:08,,18 (+9),,9,"GOOD FT by SCHATTIE,JOSH",EUM 18-9 (+9),,"GOOD FT by SCHATTIE,JOSH",1
08:08,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
08:08,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
08:08,,,,,"SUB IN by DAVIS,JAKE",,,"SUB IN by DAVIS,JAKE",1
08:08,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
08:08,,,,,"SUB OUT by FOSTER,ALEX",,,"SUB OUT by FOSTER,ALEX",1
08:08,,,,,"SUB OUT by RAO,DAVIS",,,"SUB OUT by RAO,DAVIS",1
07:47,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
07:47,,,,,"BLOCK  by DAGUE,AUSTIN",,,"BLOCK  by DAGUE,AUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:44,,,,,"FOUL  by MOORE,MCPHERSON",,,"FOUL  by MOORE,MCPHERSON",1
07:41,"MISS JUMPER by HENRY,COLIN",,,,,,,"MISS JUMPER by HENRY,COLIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:36,,18 (+7),,11,"GOOD LAYUP by MOORE,MCPHERSON(in the paint)",EUM 18-11 (+7),,"GOOD LAYUP by MOORE,MCPHERSON(in the paint)",1
07:25,,,,,"FOUL  by DAVIS,JAKE",,,"FOUL  by DAVIS,JAKE",1
07:25,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:25,"GOOD FT by SCHAMP,GRIFFIN",19 (+8),,11,,BSC 19-11 (+8),,"GOOD FT by SCHAMP,GRIFFIN",1
07:19,,19 (+6),,13,"GOOD LAYUP by FLORIN,MICHAEL(fastbreak)(in the paint)",EUM 19-13 (+6),,"GOOD LAYUP by FLORIN,MICHAEL(fastbreak)(in the paint)",1
07:05,"GOOD LAYUP by WELCH,ROSS(in the paint)",21 (+8),,13,,BSC 21-13 (+8),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
06:55,,,,,"MISS JUMPER by FLORIN,MICHAEL",,,"MISS JUMPER by FLORIN,MICHAEL",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
06:47,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by FLORIN,MICHAEL",,,"REBOUND DEF by FLORIN,MICHAEL",1
06:37,,,,,"MISS 3PTR by MOORE,MCPHERSON",,,"MISS 3PTR by MOORE,MCPHERSON",1
--,,,,,"REBOUND OFF by DAVIS,JAKE",,,"REBOUND OFF by DAVIS,JAKE",1
06:34,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:34,,,,,"MISS FT by DAVIS,JAKE",,,"MISS FT by DAVIS,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:34,,21 (+7),,14,"GOOD FT by DAVIS,JAKE",EUM 21-14 (+7),,"GOOD FT by DAVIS,JAKE",1
06:34,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
06:34,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
06:34,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
06:34,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
06:34,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
06:34,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
06:34,,,,,"SUB IN by FOSTER,ALEX",,,"SUB IN by FOSTER,ALEX",1
06:34,,,,,"SUB OUT by FLORIN,MICHAEL",,,"SUB OUT by FLORIN,MICHAEL",1
05:59,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by MOORE,MCPHERSON",,,"REBOUND DEF by MOORE,MCPHERSON",1
05:47,,,,,"MISS 3PTR by TRAWICK,WILL",,,"MISS 3PTR by TRAWICK,WILL",1
--,,,,,"REBOUND OFF by MOORE,MCPHERSON",,,"REBOUND OFF by MOORE,MCPHERSON",1
05:40,"FOUL  by FREEMAN,SCHYLAR",,,,,,,"FOUL  by FREEMAN,SCHYLAR",1
05:40,,21 (+6),,15,"GOOD FT by TRAWICK,WILL",EUM 21-15 (+6),,"GOOD FT by TRAWICK,WILL",1
05:40,,21 (+5),,16,"GOOD FT by TRAWICK,WILL",EUM 21-16 (+5),,"GOOD FT by TRAWICK,WILL",1
05:16,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
05:08,,,,,"MISS 3PTR by DAVIS,JAKE",,,"MISS 3PTR by DAVIS,JAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:01,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:01,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
05:01,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
05:01,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
05:01,,,,,"SUB IN by FLORIN,MICHAEL",,,"SUB IN by FLORIN,MICHAEL",1
05:01,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
04:49,,,,,"MISS JUMPER by DAVIS,JAKE",,,"MISS JUMPER by DAVIS,JAKE",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
04:34,,,,,"FOUL  by MOORE,MCPHERSON",,,"FOUL  by MOORE,MCPHERSON",1
04:34,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
04:34,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
04:34,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
04:34,,,,,"SUB OUT by MOORE,MCPHERSON",,,"SUB OUT by MOORE,MCPHERSON",1
04:30,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:18,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
04:09,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
04:09,,,,,"MISS FT by FOSTER,ALEX",,,"MISS FT by FOSTER,ALEX",1
--,,,,,"REBOUND OFF by DAVIS,JAKE",,,"REBOUND OFF by DAVIS,JAKE",1
04:05,,,,,"MISS JUMPER by DAVIS,JAKE",,,"MISS JUMPER by DAVIS,JAKE",1
--,,,,,"REBOUND OFF by FOSTER,ALEX",,,"REBOUND OFF by FOSTER,ALEX",1
04:03,,,,,"MISS LAYUP by FOSTER,ALEX",,,"MISS LAYUP by FOSTER,ALEX",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
03:46,,,,,"FOUL  by DAGUE,AUSTIN",,,"FOUL  by DAGUE,AUSTIN",1
03:46,,,,,"SUB IN by DAGUE,AUSTIN",,,"SUB IN by DAGUE,AUSTIN",1
03:46,,,,,"SUB OUT by SCHATTIE,JOSH",,,"SUB OUT by SCHATTIE,JOSH",1
03:42,"GOOD LAYUP by THOMAS,LARRY(in the paint)",23 (+7),,16,,BSC 23-16 (+7),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
03:32,,,,,"MISS 3PTR by DAGUE,AUSTIN",,,"MISS 3PTR by DAGUE,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:29,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:29,,23 (+6),,17,"GOOD FT by DAVIS,JAKE",EUM 23-17 (+6),,"GOOD FT by DAVIS,JAKE",1
03:29,,23 (+5),,18,"GOOD FT by DAVIS,JAKE",EUM 23-18 (+5),,"GOOD FT by DAVIS,JAKE",1
03:29,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
03:29,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:17,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",25 (+7),,18,,BSC 25-18 (+7),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
03:17,,,,,"FOUL  by FOSTER,ALEX",,,"FOUL  by FOSTER,ALEX",1
03:17,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by RAO,DAVIS",,,"REBOUND DEF by RAO,DAVIS",1
03:11,,25 (+4),,21,"GOOD 3PTR by DAVIS,JAKE(fastbreak)",EUM 25-21 (+4),,"GOOD 3PTR by DAVIS,JAKE(fastbreak)",1
--,,,,,"ASSIST  by FLORIN,MICHAEL",,,"ASSIST  by FLORIN,MICHAEL",1
02:39,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
02:39,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
02:39,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
02:39,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:39,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
02:39,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
02:39,,,,,"SUB OUT by DAGUE,AUSTIN",,,"SUB OUT by DAGUE,AUSTIN",1
02:33,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
02:33,,25 (+3),,22,"GOOD FT by RAO,DAVIS",EUM 25-22 (+3),,"GOOD FT by RAO,DAVIS",1
02:33,,25 (+2),,23,"GOOD FT by RAO,DAVIS",EUM 25-23 (+2),,"GOOD FT by RAO,DAVIS",1
02:33,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
02:33,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
02:33,,,,,"SUB IN by SCHATTIE,JOSH",,,"SUB IN by SCHATTIE,JOSH",1
02:33,,,,,"SUB OUT by FOSTER,ALEX",,,"SUB OUT by FOSTER,ALEX",1
02:05,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
02:05,,,,,"STEAL  by DAVIS,JAKE",,,"STEAL  by DAVIS,JAKE",1
02:05,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
02:05,,25 (+1),,24,"GOOD FT by DAVIS,JAKE",EUM 25-24 (+1),,"GOOD FT by DAVIS,JAKE",1
02:05,,25,,25,"GOOD FT by DAVIS,JAKE",EUM 25-25 (0),,"GOOD FT by DAVIS,JAKE",1
02:05,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
02:05,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
01:32,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",27 (+2),,25,,BSC 27-25 (+2),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
01:23,,27,,27,"GOOD JUMPER by DAVIS,JAKE",EUM 27-27 (0),,"GOOD JUMPER by DAVIS,JAKE",1
00:59,"GOOD 3PTR by WELCH,ROSS",30 (+3),,27,,BSC 30-27 (+3),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
00:44,,,,,"MISS 3PTR by FLORIN,MICHAEL",,,"MISS 3PTR by FLORIN,MICHAEL",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
00:12,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
00:11,,,,,"STEAL  by FLORIN,MICHAEL",,,"STEAL  by FLORIN,MICHAEL",1
00:05,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
