Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
01:57,,83 (+14),,69,"GOOD FT by WHALEN,MAC",BCM 83-69 (+14),,"GOOD FT by WHALEN,MAC",2
01:57,,,,,"MISS FT by WHALEN,MAC",,,"MISS FT by WHALEN,MAC",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
01:57,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
01:57,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:40,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
01:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:40,"MISS FT by CRAIN,JOHN",,,,,,,"MISS FT by CRAIN,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:40,"GOOD FT by CRAIN,JOHN",84 (+15),,69,,BSC-M 84-69 (+15),,"GOOD FT by CRAIN,JOHN",2
01:40,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",2
01:40,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",2
01:31,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
01:29,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
01:29,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
01:27,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
01:29,"GOOD FT by HENRY,COLIN",85 (+16),,69,,BSC-M 85-69 (+16),,"GOOD FT by HENRY,COLIN",2
01:29,"GOOD FT by HENRY,COLIN",86 (+17),,69,,BSC-M 86-69 (+17),,"GOOD FT by HENRY,COLIN",2
01:29,,,,,"TURNOVER  by PARK,BRANDON",,,"TURNOVER  by PARK,BRANDON",2
01:29,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
01:29,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
01:29,,,,,"STEAL  by SMOAK,HUNTER",,,"STEAL  by SMOAK,HUNTER",2
00:46,,,,,"TURNOVER  by WEBBER,CONNOR",,,"TURNOVER  by WEBBER,CONNOR",2
00:39,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",2
00:39,,86 (+15),,71,"GOOD JUMPER by WEBBER,CONNOR",BCM 86-71 (+15),,"GOOD JUMPER by WEBBER,CONNOR",2
00:01,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",2
00:01,"MISS FT by THOM,IAN",,,,,,,"MISS FT by THOM,IAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:01,"GOOD FT by THOM,IAN",87 (+16),,71,,BSC-M 87-71 (+16),,"GOOD FT by THOM,IAN",2
00:01,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",2
00:01,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",2
