Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
09:34,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
09:34,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
09:34,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
09:34,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
09:34,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
09:34,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
09:34,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
09:34,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
09:34,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
09:34,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
09:34,,,,,"SUB OUT by WEBBER,CONNOR",,,"SUB OUT by WEBBER,CONNOR",1
09:34,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",1
09:03,"GOOD LAYUP by THOM,IAN(in the paint)",23 (+7),,16,,BSC-M 23-16 (+7),,"GOOD LAYUP by THOM,IAN(in the paint)",1
08:49,,,,,"TURNOVER  by PARK,BRANDON",,,"TURNOVER  by PARK,BRANDON",1
08:46,"GOOD LAYUP by THOMAS,LARRY(in the paint)",25 (+9),,16,,BSC-M 25-16 (+9),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
08:43,,25 (+7),,18,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 25-18 (+7),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
08:30,"GOOD LAYUP by THOM,IAN(in the paint)",27 (+9),,18,,BSC-M 27-18 (+9),,"GOOD LAYUP by THOM,IAN(in the paint)",1
08:24,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
08:21,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
08:21,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
08:21,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
08:21,,,,,"SUB OUT by PARK,BRANDON",,,"SUB OUT by PARK,BRANDON",1
08:15,"GOOD 3PTR by CRAIN,JOHN",30 (+12),,18,,BSC-M 30-18 (+12),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by GALFSKY,ANDER",,,,,,,"ASSIST  by GALFSKY,ANDER",1
08:01,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
08:00,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
07:53,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",1
07:47,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",1
