Time Remaining,EU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
11:02,"GOOD 3PTR by FLORIN, MICHAEL",13,,16 (+3),,EU 13-16 (+3),,"GOOD 3PTR by FLORIN, MICHAEL",1
--,"ASSIST  by DAVIS, JAKE",,,,,,,"ASSIST  by DAVIS, JAKE",1
10:40,"FOUL  by FLORIN, MICHAEL",,,,,,,"FOUL  by FLORIN, MICHAEL",1
10:40,"SUB IN by DAVIS, MAX",,,,,,,"SUB IN by DAVIS, MAX",1
10:40,"SUB OUT by FLORIN, MICHAEL",,,,,,,"SUB OUT by FLORIN, MICHAEL",1
10:24,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",,,"REBOUND OFF by FREEMAN,SCHYLAR",1
10:21,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by FOSTER, ALEX",,,,,,,"REBOUND DEF by FOSTER, ALEX",1
10:17,"MISS 3PTR by RAO, DAVIS",,,,,,,"MISS 3PTR by RAO, DAVIS",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
10:10,,13,,19 (+6),"GOOD 3PTR by WELCH,ROSS",BSC 13-19 (+6),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
09:58,"MISS LAYUP by MOORE, MCPHERSON",,,,,,,"MISS LAYUP by MOORE, MCPHERSON",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
09:49,"SUB IN by SCHATTIE, JOSH",,,,,,,"SUB IN by SCHATTIE, JOSH",1
09:49,"SUB IN by TRAWICK, WILL",,,,,,,"SUB IN by TRAWICK, WILL",1
09:49,"SUB OUT by FOSTER, ALEX",,,,,,,"SUB OUT by FOSTER, ALEX",1
09:49,"SUB OUT by RAO, DAVIS",,,,,,,"SUB OUT by RAO, DAVIS",1
09:31,,13,,21 (+8),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 13-21 (+8),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
09:27,"TURNOVER  by DAVIS, JAKE",,,,,,,"TURNOVER  by DAVIS, JAKE",1
09:12,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by MOORE, MCPHERSON",,,,,,,"REBOUND DEF by MOORE, MCPHERSON",1
09:04,"TURNOVER  by MOORE, MCPHERSON",,,,,,,"TURNOVER  by MOORE, MCPHERSON",1
08:56,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
08:35,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
08:34,"STEAL  by MOORE, MCPHERSON",,,,,,,"STEAL  by MOORE, MCPHERSON",1
08:31,"GOOD LAYUP by MOORE, MCPHERSON(fastbreak)(in the paint)",15,,21 (+6),,EU 15-21 (+6),,"GOOD LAYUP by MOORE, MCPHERSON(fastbreak)(in the paint)",1
08:31,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
08:31,"GOOD FT by MOORE, MCPHERSON",16,,21 (+5),,EU 16-21 (+5),,"GOOD FT by MOORE, MCPHERSON",1
08:31,"SUB IN by DAGUE, AUSTIN",,,,,,,"SUB IN by DAGUE, AUSTIN",1
08:31,"SUB IN by RAO, DAVIS",,,,,,,"SUB IN by RAO, DAVIS",1
08:31,"SUB IN by FLORIN, MICHAEL",,,,,,,"SUB IN by FLORIN, MICHAEL",1
08:31,"SUB OUT by DAVIS, MAX",,,,,,,"SUB OUT by DAVIS, MAX",1
08:31,"SUB OUT by DAVIS, JAKE",,,,,,,"SUB OUT by DAVIS, JAKE",1
08:31,"SUB OUT by TRAWICK, WILL",,,,,,,"SUB OUT by TRAWICK, WILL",1
08:13,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
08:11,"STEAL  by SCHATTIE, JOSH",,,,,,,"STEAL  by SCHATTIE, JOSH",1
08:06,"MISS LAYUP by SCHATTIE, JOSH",,,,,,,"MISS LAYUP by SCHATTIE, JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:43,,16,,23 (+7),"GOOD JUMPER by THOMAS,LARRY(in the paint)",BSC 16-23 (+7),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
07:43,"FOUL  by SCHATTIE, JOSH",,,,,,,"FOUL  by SCHATTIE, JOSH",1
07:43,,16,,24 (+8),"GOOD FT by THOMAS,LARRY",BSC 16-24 (+8),,"GOOD FT by THOMAS,LARRY",1
07:43,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
07:43,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
07:43,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
07:43,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
07:43,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
07:43,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
07:43,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
07:43,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
07:26,"GOOD 3PTR by MOORE, MCPHERSON",19,,24 (+5),,EU 19-24 (+5),,"GOOD 3PTR by MOORE, MCPHERSON",1
--,"ASSIST  by RAO, DAVIS",,,,,,,"ASSIST  by RAO, DAVIS",1
07:16,,,,,"TURNOVER  by HOLLE,MASON",,,"TURNOVER  by HOLLE,MASON",1
07:15,"STEAL  by MOORE, MCPHERSON",,,,,,,"STEAL  by MOORE, MCPHERSON",1
07:12,"MISS LAYUP by MOORE, MCPHERSON",,,,,,,"MISS LAYUP by MOORE, MCPHERSON",1
--,"REBOUND OFF by RAO, DAVIS",,,,,,,"REBOUND OFF by RAO, DAVIS",1
07:10,"GOOD 3PTR by MOORE, MCPHERSON",22,,24 (+2),,EU 22-24 (+2),,"GOOD 3PTR by MOORE, MCPHERSON",1
--,"ASSIST  by RAO, DAVIS",,,,,,,"ASSIST  by RAO, DAVIS",1
07:10,"FOUL TECH by MOORE, MCPHERSON",,,,,,,"FOUL TECH by MOORE, MCPHERSON",1
07:10,"FOUL  by MOORE, MCPHERSON",,,,,,,"FOUL  by MOORE, MCPHERSON",1
07:10,,22,,25 (+3),"GOOD FT by THOMAS,LARRY",BSC 22-25 (+3),,"GOOD FT by THOMAS,LARRY",1
07:10,,22,,26 (+4),"GOOD FT by THOMAS,LARRY",BSC 22-26 (+4),,"GOOD FT by THOMAS,LARRY",1
06:54,,22,,29 (+7),"GOOD 3PTR by THOMAS,LARRY",BSC 22-29 (+7),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
06:50,"TURNOVER  by DAGUE, AUSTIN",,,,,,,"TURNOVER  by DAGUE, AUSTIN",1
06:50,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
06:50,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
06:39,,,,,"FOUL  by HOLLE,MASON",,,"FOUL  by HOLLE,MASON",1
06:25,,,,,"FOUL  by HOLLE,MASON",,,"FOUL  by HOLLE,MASON",1
06:25,"GOOD FT by SCHATTIE, JOSH",23,,29 (+6),,EU 23-29 (+6),,"GOOD FT by SCHATTIE, JOSH",1
06:25,"GOOD FT by SCHATTIE, JOSH",24,,29 (+5),,EU 24-29 (+5),,"GOOD FT by SCHATTIE, JOSH",1
06:25,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
06:25,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
06:07,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
06:07,"BLOCK  by DAGUE, AUSTIN",,,,,,,"BLOCK  by DAGUE, AUSTIN",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
06:02,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:45,"GOOD JUMPER by MOORE, MCPHERSON",26,,29 (+3),,EU 26-29 (+3),,"GOOD JUMPER by MOORE, MCPHERSON",1
05:28,,26,,31 (+5),"GOOD JUMPER by THOMAS,LARRY",BSC 26-31 (+5),,"GOOD JUMPER by THOMAS,LARRY",1
05:16,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
05:16,"GOOD FT by SCHATTIE, JOSH",27,,31 (+4),,EU 27-31 (+4),,"GOOD FT by SCHATTIE, JOSH",1
05:16,"GOOD FT by SCHATTIE, JOSH",28,,31 (+3),,EU 28-31 (+3),,"GOOD FT by SCHATTIE, JOSH",1
05:16,"SUB IN by DAVIS, JAKE",,,,,,,"SUB IN by DAVIS, JAKE",1
05:16,"SUB IN by FOSTER, ALEX",,,,,,,"SUB IN by FOSTER, ALEX",1
05:16,"SUB OUT by SCHATTIE, JOSH",,,,,,,"SUB OUT by SCHATTIE, JOSH",1
05:16,"SUB OUT by MOORE, MCPHERSON",,,,,,,"SUB OUT by MOORE, MCPHERSON",1
05:16,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
05:16,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
05:06,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:04,"STEAL  by RAO, DAVIS",,,,,,,"STEAL  by RAO, DAVIS",1
04:43,"GOOD 3PTR by FLORIN, MICHAEL",31,,31,,EU 31-31 (0),,"GOOD 3PTR by FLORIN, MICHAEL",1
--,"ASSIST  by RAO, DAVIS",,,,,,,"ASSIST  by RAO, DAVIS",1
04:41,"FOUL  by DAGUE, AUSTIN",,,,,,,"FOUL  by DAGUE, AUSTIN",1
04:41,,31,,32 (+1),"GOOD FT by MARSCHNER,BRENDAN",BSC 31-32 (+1),,"GOOD FT by MARSCHNER,BRENDAN",1
04:41,,,,,"MISS FT by MARSCHNER,BRENDAN",,,"MISS FT by MARSCHNER,BRENDAN",1
--,"REBOUND DEF by RAO, DAVIS",,,,,,,"REBOUND DEF by RAO, DAVIS",1
04:41,"SUB IN by TRAWICK, WILL",,,,,,,"SUB IN by TRAWICK, WILL",1
04:41,"SUB OUT by DAGUE, AUSTIN",,,,,,,"SUB OUT by DAGUE, AUSTIN",1
04:28,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",1
04:28,"MISS FT by DAVIS, JAKE",,,,,,,"MISS FT by DAVIS, JAKE",1
--,"REBOUND OFF by DAVIS, JAKE",,,,,,,"REBOUND OFF by DAVIS, JAKE",1
04:17,"MISS 3PTR by FLORIN, MICHAEL",,,,,,,"MISS 3PTR by FLORIN, MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:50,,31,,34 (+3),"GOOD LAYUP by MARSCHNER,BRENDAN(in the paint)",BSC 31-34 (+3),,"GOOD LAYUP by MARSCHNER,BRENDAN(in the paint)",1
03:24,"GOOD LAYUP by FOSTER, ALEX(in the paint)",33,,34 (+1),,EU 33-34 (+1),,"GOOD LAYUP by FOSTER, ALEX(in the paint)",1
03:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:11,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
03:11,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
03:11,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
03:11,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
03:11,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
03:11,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
03:11,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
03:11,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
02:57,"SUB IN by TERRY, JONATHAN",,,,,,,"SUB IN by TERRY, JONATHAN",1
02:57,"SUB IN by MOORE, MCPHERSON",,,,,,,"SUB IN by MOORE, MCPHERSON",1
02:57,"SUB OUT by TRAWICK, WILL",,,,,,,"SUB OUT by TRAWICK, WILL",1
02:57,"SUB OUT by RAO, DAVIS",,,,,,,"SUB OUT by RAO, DAVIS",1
02:46,,33,,36 (+3),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 33-36 (+3),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
02:33,"MISS LAYUP by TERRY, JONATHAN",,,,,,,"MISS LAYUP by TERRY, JONATHAN",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
02:16,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
02:15,"STEAL  by DAVIS, JAKE",,,,,,,"STEAL  by DAVIS, JAKE",1
02:11,"MISS 3PTR by MOORE, MCPHERSON",,,,,,,"MISS 3PTR by MOORE, MCPHERSON",1
--,"REBOUND OFF by TERRY, JONATHAN",,,,,,,"REBOUND OFF by TERRY, JONATHAN",1
02:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:04,,,,,"FOUL  by FREEMAN,SCHYLAR",,,"FOUL  by FREEMAN,SCHYLAR",1
02:04,"GOOD FT by DAVIS, JAKE",34,,36 (+2),,EU 34-36 (+2),,"GOOD FT by DAVIS, JAKE",1
02:04,"GOOD FT by DAVIS, JAKE",35,,36 (+1),,EU 35-36 (+1),,"GOOD FT by DAVIS, JAKE",1
02:04,"SUB IN by SCHATTIE, JOSH",,,,,,,"SUB IN by SCHATTIE, JOSH",1
02:04,"SUB OUT by TERRY, JONATHAN",,,,,,,"SUB OUT by TERRY, JONATHAN",1
01:38,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND DEF by SCHATTIE, JOSH",,,,,,,"REBOUND DEF by SCHATTIE, JOSH",1
01:31,"GOOD LAYUP by DAVIS, JAKE(in the paint)",37 (+1),,36,,EU 37-36 (-1),,"GOOD LAYUP by DAVIS, JAKE(in the paint)",1
--,"ASSIST  by MOORE, MCPHERSON",,,,,,,"ASSIST  by MOORE, MCPHERSON",1
00:56,,37,,38 (+1),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 37-38 (+1),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
00:46,"MISS JUMPER by MOORE, MCPHERSON",,,,,,,"MISS JUMPER by MOORE, MCPHERSON",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
00:31,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
00:31,"SUB IN by DAGUE, AUSTIN",,,,,,,"SUB IN by DAGUE, AUSTIN",1
00:31,"SUB OUT by SCHATTIE, JOSH",,,,,,,"SUB OUT by SCHATTIE, JOSH",1
00:31,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
00:31,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
00:19,"MISS 3PTR by MOORE, MCPHERSON",,,,,,,"MISS 3PTR by MOORE, MCPHERSON",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
