Time Remaining,BSCMEN,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
15:32,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
15:15,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",41 (+6),,35,,BSCMEN 41-35 (+6),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",2
14:52,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
14:46,"GOOD 3PTR by CRAIN,JOHN",44 (+9),,35,,BSCMEN 44-35 (+9),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
14:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:38,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
14:38,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
14:38,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
14:38,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
14:38,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
14:38,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
14:20,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
13:58,"GOOD LAYUP by AVERY,ALEX(in the paint)",46 (+11),,35,,BSCMEN 46-35 (+11),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
13:34,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
13:34,,,,,"MISS FT by FREBIS,RONNIE",,,"MISS FT by FREBIS,RONNIE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:34,,,,,"MISS FT by FREBIS,RONNIE",,,"MISS FT by FREBIS,RONNIE",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
13:34,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",2
13:34,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
13:16,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
12:54,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by DEILLIEU,RYAN",,,"REBOUND OFF by DEILLIEU,RYAN",2
12:39,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
12:23,"GOOD 3PTR by THOMAS,LARRY",49 (+14),,35,,BSCMEN 49-35 (+14),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by HOLLE,MASON",,,,,,,"ASSIST  by HOLLE,MASON",2
12:01,,49 (+12),,37,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 49-37 (+12),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",2
11:42,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",2
11:41,,,,,"STEAL  by DEILLIEU,RYAN",,,"STEAL  by DEILLIEU,RYAN",2
11:37,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
11:37,,49 (+11),,38,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 49-38 (+11),,"GOOD FT by GILLIGAN,TULLY",2
11:37,,49 (+10),,39,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 49-39 (+10),,"GOOD FT by GILLIGAN,TULLY",2
11:37,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
11:37,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
11:37,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
11:37,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
11:37,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
11:37,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
11:37,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
11:37,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",2
11:37,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
11:37,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
11:28,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
11:27,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
11:25,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
11:06,,49 (+8),,41,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 49-41 (+8),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
10:25,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",2
10:25,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
10:07,,49 (+5),,44,"GOOD 3PTR by DEILLIEU,RYAN",MILLSAPS 49-44 (+5),,"GOOD 3PTR by DEILLIEU,RYAN",2
09:49,"GOOD 3PTR by CRAIN,JOHN",52 (+8),,44,,BSCMEN 52-44 (+8),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
09:14,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
09:14,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
09:14,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
09:06,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
08:48,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",2
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",2
08:44,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
08:44,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:44,"GOOD FT by FREEMAN,SCHYLAR",53 (+9),,44,,BSCMEN 53-44 (+9),,"GOOD FT by FREEMAN,SCHYLAR",2
08:44,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
08:44,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
08:37,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
08:37,,53 (+8),,45,"GOOD FT by FREBIS,RONNIE",MILLSAPS 53-45 (+8),,"GOOD FT by FREBIS,RONNIE",2
08:37,,,,,"MISS FT by FREBIS,RONNIE",,,"MISS FT by FREBIS,RONNIE",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
08:24,"GOOD 3PTR by WELCH,ROSS",56 (+11),,45,,BSCMEN 56-45 (+11),,"GOOD 3PTR by WELCH,ROSS",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
08:00,,56 (+9),,47,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 56-47 (+9),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST  by DEILLIEU,RYAN",,,"ASSIST  by DEILLIEU,RYAN",2
07:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:26,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
07:18,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
06:52,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",58 (+11),,47,,BSCMEN 58-47 (+11),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
06:29,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
06:29,,58 (+10),,48,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 58-48 (+10),,"GOOD FT by GILLIGAN,TULLY",2
06:29,,58 (+9),,49,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 58-49 (+9),,"GOOD FT by GILLIGAN,TULLY",2
06:29,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
06:29,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
06:29,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
06:29,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
06:29,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
06:29,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
06:29,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
06:29,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",2
05:58,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
05:58,"GOOD FT by GALFSKY,ANDER",59 (+10),,49,,BSCMEN 59-49 (+10),,"GOOD FT by GALFSKY,ANDER",2
05:58,"MISS FT by GALFSKY,ANDER",,,,,,,"MISS FT by GALFSKY,ANDER",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
05:46,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:43,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
05:42,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
05:42,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
05:22,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
05:22,"GOOD FT by SCHAMP,GRIFFIN",60 (+11),,49,,BSCMEN 60-49 (+11),,"GOOD FT by SCHAMP,GRIFFIN",2
05:22,"GOOD FT by SCHAMP,GRIFFIN",61 (+12),,49,,BSCMEN 61-49 (+12),,"GOOD FT by SCHAMP,GRIFFIN",2
05:22,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
05:22,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
05:22,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
05:22,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
05:05,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
05:01,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",2
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",2
04:57,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",2
04:56,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
04:54,,61 (+10),,51,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MILLSAPS 61-51 (+10),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
04:30,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",2
04:30,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",2
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",2
04:23,,61 (+8),,53,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 61-53 (+8),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",2
04:23,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
04:23,,61 (+7),,54,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 61-54 (+7),,"GOOD FT by GILLIGAN,TULLY",2
04:23,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
04:23,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
04:03,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
04:02,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",2
03:57,,61 (+5),,56,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 61-56 (+5),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
03:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:55,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
03:36,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
03:30,,61 (+3),,58,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",MILLSAPS 61-58 (+3),,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",2
03:00,"MISS JUMPER by GALFSKY,ANDER",,,,,,,"MISS JUMPER by GALFSKY,ANDER",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
02:56,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
02:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:29,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
02:29,,61 (+2),,59,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 61-59 (+2),,"GOOD FT by AUBERT,DUSTIN",2
02:29,,61 (+1),,60,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 61-60 (+1),,"GOOD FT by AUBERT,DUSTIN",2
01:59,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
01:58,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
01:54,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by AUBERT,DUSTIN",,,"REBOUND OFF by AUBERT,DUSTIN",2
01:52,,61,,62 (+1),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 61-62 (-1),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
01:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:35,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",63 (+1),,62,,BSCMEN 63-62 (+1),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
01:35,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
01:35,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
01:35,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
01:35,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:58,,,,,"MISS DUNK by BERGER,RYAN",,,"MISS DUNK by BERGER,RYAN",2
--,,,,,"REBOUND OFF by AUBERT,DUSTIN",,,"REBOUND OFF by AUBERT,DUSTIN",2
00:54,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
00:54,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:54,,63,,63,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 63-63 (0),,"GOOD FT by AUBERT,DUSTIN",2
00:54,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:54,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
00:54,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
00:54,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
00:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:23,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",65 (+2),,63,,BSCMEN 65-63 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
00:23,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
00:23,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
00:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:15,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
00:15,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
00:15,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:15,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
00:08,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",2
00:08,,65 (+1),,64,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 65-64 (+1),,"GOOD FT by GILLIGAN,TULLY",2
00:08,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",2
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",2
00:08,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:08,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
00:06,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
00:06,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:06,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",2
00:06,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
00:03,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
00:06,"GOOD FT by CRAIN,JOHN",66 (+2),,64,,BSCMEN 66-64 (+2),,"GOOD FT by CRAIN,JOHN",2
00:06,"GOOD FT by CRAIN,JOHN",67 (+3),,64,,BSCMEN 67-64 (+3),,"GOOD FT by CRAIN,JOHN",2
00:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
