Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,R-MCMB~1,Game Score,Team Indicator,Play,Period
13:06,,,,,"FOUL  by HASSELL,JOE",,,"FOUL  by HASSELL,JOE",1
13:06,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
13:06,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:53,"GOOD LAYUP by HENRY,COLIN(in the paint)",19 (+6),,13,,BSC-M 19-13 (+6),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
12:41,,,,,"TURNOVER  by WALKER,TRENT",,,"TURNOVER  by WALKER,TRENT",1
12:24,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
12:24,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
12:10,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
12:06,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
11:53,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
11:53,,,,,"SUB IN by BADGER,MARCUS",,,"SUB IN by BADGER,MARCUS",1
11:53,,,,,"SUB OUT by HAMILTON,CHRIS",,,"SUB OUT by HAMILTON,CHRIS",1
11:37,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
11:37,,,,,"MISS FT by SULLIVAN,CONNOR",,,"MISS FT by SULLIVAN,CONNOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:37,,19 (+5),,14,"GOOD FT by SULLIVAN,CONNOR",R-MCMB~1 19-14 (+5),,"GOOD FT by SULLIVAN,CONNOR",1
11:37,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
11:37,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
11:37,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
11:37,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
11:37,,,,,"SUB IN by MOORE,LAMONT",,,"SUB IN by MOORE,LAMONT",1
11:37,,,,,"SUB OUT by WALKER,TRENT",,,"SUB OUT by WALKER,TRENT",1
11:22,,,,,"FOUL  by HASSELL,JOE",,,"FOUL  by HASSELL,JOE",1
11:22,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:22,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HASSELL,JOE",,,"REBOUND DEF by HASSELL,JOE",1
11:22,,,,,"SUB IN by HOLMES,AKEEM",,,"SUB IN by HOLMES,AKEEM",1
11:22,,,,,"SUB OUT by HASSELL,JOE",,,"SUB OUT by HASSELL,JOE",1
11:20,,,,,"MISS LAYUP by BADGER,MARCUS",,,"MISS LAYUP by BADGER,MARCUS",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
11:05,"GOOD 3PTR by LEWIS,EVAN",22 (+8),,14,,BSC-M 22-14 (+8),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
10:51,,,,,"MISS JUMPER by SULLIVAN,CONNOR",,,"MISS JUMPER by SULLIVAN,CONNOR",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
10:34,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
10:34,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
10:34,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
10:25,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:25,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
10:15,,22 (+6),,16,"GOOD JUMPER by MOORE,LAMONT",R-MCMB~1 22-16 (+6),,"GOOD JUMPER by MOORE,LAMONT",1
09:55,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by HOLMES,AKEEM",,,"REBOUND DEF by HOLMES,AKEEM",1
09:37,,,,,"MISS 3PTR by SULLIVAN,CONNOR",,,"MISS 3PTR by SULLIVAN,CONNOR",1
--,,,,,"REBOUND OFF by HOLMES,AKEEM",,,"REBOUND OFF by HOLMES,AKEEM",1
09:28,,22 (+4),,18,"GOOD LAYUP by BADGER,MARCUS(in the paint)",R-MCMB~1 22-18 (+4),,"GOOD LAYUP by BADGER,MARCUS(in the paint)",1
09:08,"GOOD 3PTR by THOMAS,LARRY",25 (+7),,18,,BSC-M 25-18 (+7),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
08:52,,,,,"MISS 3PTR by SULLIVAN,CONNOR",,,"MISS 3PTR by SULLIVAN,CONNOR",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
08:37,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by HOLMES,AKEEM",,,"REBOUND DEF by HOLMES,AKEEM",1
08:31,,,,,"MISS LAYUP by MOORE,LAMONT",,,"MISS LAYUP by MOORE,LAMONT",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
08:22,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
08:21,,,,,"STEAL  by MOORE,LAMONT",,,"STEAL  by MOORE,LAMONT",1
08:18,,25 (+5),,20,"GOOD LAYUP by MOORE,LAMONT(in the paint)",R-MCMB~1 25-20 (+5),,"GOOD LAYUP by MOORE,LAMONT(in the paint)",1
07:38,"GOOD LAYUP by WELCH,ROSS(in the paint)",27 (+7),,20,,BSC-M 27-20 (+7),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
07:28,,,,,"MISS JUMPER by MOORE,LAMONT",,,"MISS JUMPER by MOORE,LAMONT",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
07:06,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
07:04,,,,,"STEAL  by JACKSON,EVAN",,,"STEAL  by JACKSON,EVAN",1
07:00,,27 (+5),,22,"GOOD LAYUP by BADGER,MARCUS(in the paint)",R-MCMB~1 27-22 (+5),,"GOOD LAYUP by BADGER,MARCUS(in the paint)",1
06:44,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
06:44,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
06:44,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
06:44,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
06:44,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
06:44,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
06:44,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
06:44,,,,,"SUB IN by HAMILTON,CHRIS",,,"SUB IN by HAMILTON,CHRIS",1
06:44,,,,,"SUB IN by SIMON,ANDRE",,,"SUB IN by SIMON,ANDRE",1
06:44,,,,,"SUB IN by WALKER,TRENT",,,"SUB IN by WALKER,TRENT",1
06:44,,,,,"SUB IN by TAYLOR,MICHAEL",,,"SUB IN by TAYLOR,MICHAEL",1
06:44,,,,,"SUB OUT by HOLMES,AKEEM",,,"SUB OUT by HOLMES,AKEEM",1
06:44,,,,,"SUB OUT by SULLIVAN,CONNOR",,,"SUB OUT by SULLIVAN,CONNOR",1
06:44,,,,,"SUB OUT by MOORE,LAMONT",,,"SUB OUT by MOORE,LAMONT",1
06:44,,,,,"SUB OUT by BADGER,MARCUS",,,"SUB OUT by BADGER,MARCUS",1
06:07,,,,,"MISS 3PTR by HAMILTON,CHRIS",,,"MISS 3PTR by HAMILTON,CHRIS",1
--,,,,,"REBOUND OFF by SIMON,ANDRE",,,"REBOUND OFF by SIMON,ANDRE",1
06:02,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
06:02,,,,,"MISS FT by SIMON,ANDRE",,,"MISS FT by SIMON,ANDRE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:02,,27 (+4),,23,"GOOD FT by SIMON,ANDRE",R-MCMB~1 27-23 (+4),,"GOOD FT by SIMON,ANDRE",1
06:02,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
06:02,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
05:27,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
05:27,,,,,"SUB IN by HOLMES,AKEEM",,,"SUB IN by HOLMES,AKEEM",1
05:27,,,,,"SUB OUT by JACKSON,EVAN",,,"SUB OUT by JACKSON,EVAN",1
05:19,,,,,"MISS JUMPER by WALKER,TRENT",,,"MISS JUMPER by WALKER,TRENT",1
--,,,,,"REBOUND OFF by TAYLOR,MICHAEL",,,"REBOUND OFF by TAYLOR,MICHAEL",1
05:11,,27 (+2),,25,"GOOD LAYUP by WALKER,TRENT(in the paint)",R-MCMB~1 27-25 (+2),,"GOOD LAYUP by WALKER,TRENT(in the paint)",1
04:47,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by HOLMES,AKEEM",,,"REBOUND DEF by HOLMES,AKEEM",1
04:29,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
04:29,,27 (+1),,26,"GOOD FT by HOLMES,AKEEM",R-MCMB~1 27-26 (+1),,"GOOD FT by HOLMES,AKEEM",1
04:29,,,,,"MISS FT by HOLMES,AKEEM",,,"MISS FT by HOLMES,AKEEM",1
--,,,,,"REBOUND OFF by WALKER,TRENT",,,"REBOUND OFF by WALKER,TRENT",1
04:29,,,,,"SUB IN by BADGER,MARCUS",,,"SUB IN by BADGER,MARCUS",1
04:29,,,,,"SUB OUT by TAYLOR,MICHAEL",,,"SUB OUT by TAYLOR,MICHAEL",1
04:18,,,,,"MISS LAYUP by SIMON,ANDRE",,,"MISS LAYUP by SIMON,ANDRE",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
03:54,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
03:39,,,,,"MISS JUMPER by BADGER,MARCUS",,,"MISS JUMPER by BADGER,MARCUS",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
03:32,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,,,,,"REBOUND DEF by BADGER,MARCUS",,,"REBOUND DEF by BADGER,MARCUS",1
03:26,,,,,"MISS LAYUP by BADGER,MARCUS",,,"MISS LAYUP by BADGER,MARCUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:25,,27,,28 (+1),"GOOD LAYUP by JACKSON,EVAN(in the paint)",R-MCMB~1 27-28 (-1),,"GOOD LAYUP by JACKSON,EVAN(in the paint)",1
03:25,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
03:25,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
03:25,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
03:25,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
03:25,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:25,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
02:42,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
02:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
02:42,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
02:42,,,,,"SUB IN by SULLIVAN,CONNOR",,,"SUB IN by SULLIVAN,CONNOR",1
02:42,,,,,"SUB OUT by HAMILTON,CHRIS",,,"SUB OUT by HAMILTON,CHRIS",1
02:21,,27,,30 (+3),"GOOD JUMPER by SULLIVAN,CONNOR",R-MCMB~1 27-30 (-3),,"GOOD JUMPER by SULLIVAN,CONNOR",1
01:56,,,,,"SUB IN by JACKSON,EVAN",,,"SUB IN by JACKSON,EVAN",1
01:56,,,,,"SUB IN by MOORE,LAMONT",,,"SUB IN by MOORE,LAMONT",1
01:56,,,,,"SUB OUT by HOLMES,AKEEM",,,"SUB OUT by HOLMES,AKEEM",1
01:56,,,,,"SUB OUT by WALKER,TRENT",,,"SUB OUT by WALKER,TRENT",1
01:44,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SIMON,ANDRE",,,"REBOUND DEF by SIMON,ANDRE",1
01:38,,,,,"MISS 3PTR by SULLIVAN,CONNOR",,,"MISS 3PTR by SULLIVAN,CONNOR",1
--,,,,,"REBOUND OFF by SULLIVAN,CONNOR",,,"REBOUND OFF by SULLIVAN,CONNOR",1
01:34,,,,,"MISS JUMPER by SULLIVAN,CONNOR",,,"MISS JUMPER by SULLIVAN,CONNOR",1
01:32,,,,,"FOUL  by SIMON,ANDRE",,,"FOUL  by SIMON,ANDRE",1
01:32,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
01:32,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
01:15,"GOOD LAYUP by THOMAS,LARRY(in the paint)",29,,30 (+1),,BSC-M 29-30 (-1),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
01:09,,,,,"MISS 3PTR by BADGER,MARCUS",,,"MISS 3PTR by BADGER,MARCUS",1
--,,,,,"REBOUND OFF by SIMON,ANDRE",,,"REBOUND OFF by SIMON,ANDRE",1
01:03,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
01:03,,29,,31 (+2),"GOOD FT by SIMON,ANDRE",R-MCMB~1 29-31 (-2),,"GOOD FT by SIMON,ANDRE",1
01:03,,29,,32 (+3),"GOOD FT by SIMON,ANDRE",R-MCMB~1 29-32 (-3),,"GOOD FT by SIMON,ANDRE",1
00:50,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by MOORE,LAMONT",,,"REBOUND DEF by MOORE,LAMONT",1
00:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:12,,,,,"SUB IN by HOLMES,AKEEM",,,"SUB IN by HOLMES,AKEEM",1
00:12,,,,,"SUB OUT by SIMON,ANDRE",,,"SUB OUT by SIMON,ANDRE",1
00:01,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
00:00,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:41,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
19:39,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
19:39,,,,,"BLOCK  by HASSELL,JOE",,,"BLOCK  by HASSELL,JOE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:16,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HASSELL,JOE",,,"REBOUND DEF by HASSELL,JOE",2
19:13,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
18:57,,29,,34 (+5),"GOOD LAYUP by SULLIVAN,CONNOR(in the paint)",R-MCMB~1 29-34 (-5),,"GOOD LAYUP by SULLIVAN,CONNOR(in the paint)",2
18:37,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:09,"GOOD JUMPER by THOMAS,LARRY",31,,34 (+3),,BSC-M 31-34 (-3),,"GOOD JUMPER by THOMAS,LARRY",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
17:57,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
17:51,,,,,"MISS JUMPER by SIMON,ANDRE",,,"MISS JUMPER by SIMON,ANDRE",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
17:38,,,,,"FOUL  by HASSELL,JOE",,,"FOUL  by HASSELL,JOE",2
17:38,,,,,"SUB IN by HOLMES,AKEEM",,,"SUB IN by HOLMES,AKEEM",2
17:38,,,,,"SUB OUT by HASSELL,JOE",,,"SUB OUT by HASSELL,JOE",2
17:20,,,,,"FOUL  by SIMON,ANDRE",,,"FOUL  by SIMON,ANDRE",2
17:00,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",2
16:56,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
16:55,,,,,"STEAL  by MOORE,LAMONT",,,"STEAL  by MOORE,LAMONT",2
