Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STE,Game Score,Team Indicator,Play,Period
12:13,,,,,"FOUL  by COSTLY,TYRUS",,,"FOUL  by COSTLY,TYRUS",1
12:13,,,,,"SUB IN by ROBERTS,CHRISTIAN",,,"SUB IN by ROBERTS,CHRISTIAN",1
12:13,,,,,"SUB IN by GIACUBENO,COLBY",,,"SUB IN by GIACUBENO,COLBY",1
12:13,,,,,"SUB IN by HILL,RYAN",,,"SUB IN by HILL,RYAN",1
12:13,,,,,"SUB OUT by FISHER,ERIK",,,"SUB OUT by FISHER,ERIK",1
12:13,,,,,"SUB OUT by HAWKINS,ALFONZO",,,"SUB OUT by HAWKINS,ALFONZO",1
12:13,,,,,"SUB OUT by WALKER,DARIUS",,,"SUB OUT by WALKER,DARIUS",1
12:03,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",13,,19 (+6),,BSC 13-19 (-6),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",1
11:45,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
11:45,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
11:45,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
11:28,,13,,22 (+9),"GOOD 3PTR by ROBERTS,CHRISTIAN",STE 13-22 (-9),,"GOOD 3PTR by ROBERTS,CHRISTIAN",1
--,,,,,"ASSIST  by MCCRAY,STEFON",,,"ASSIST  by MCCRAY,STEFON",1
11:13,,,,,"FOUL  by COSTLY,TYRUS",,,"FOUL  by COSTLY,TYRUS",1
11:13,"GOOD FT by LEWIS,EVAN",14,,22 (+8),,BSC 14-22 (-8),,"GOOD FT by LEWIS,EVAN",1
11:13,"GOOD FT by LEWIS,EVAN",15,,22 (+7),,BSC 15-22 (-7),,"GOOD FT by LEWIS,EVAN",1
11:13,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
11:13,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
11:13,,,,,"SUB IN by DAVIS,KELLY",,,"SUB IN by DAVIS,KELLY",1
11:13,,,,,"SUB OUT by COSTLY,TYRUS",,,"SUB OUT by COSTLY,TYRUS",1
10:54,,15,,25 (+10),"GOOD 3PTR by GIACUBENO,COLBY",STE 15-25 (-10),,"GOOD 3PTR by GIACUBENO,COLBY",1
--,,,,,"ASSIST  by ROBERTS,CHRISTIAN",,,"ASSIST  by ROBERTS,CHRISTIAN",1
10:41,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
10:41,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
10:34,,,,,"MISS 3PTR by GIACUBENO,COLBY",,,"MISS 3PTR by GIACUBENO,COLBY",1
--,"REBOUND DEF by THORN,IAN",,,,,,,"REBOUND DEF by THORN,IAN",1
10:15,"GOOD LAYUP by THOMAS,LARRY(in the paint)",17,,25 (+8),,BSC 17-25 (-8),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
09:58,,,,,"MISS JUMPER by MCCRAY,STEFON",,,"MISS JUMPER by MCCRAY,STEFON",1
--,,,,,"REBOUND OFF by HILL,RYAN",,,"REBOUND OFF by HILL,RYAN",1
09:55,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
09:55,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
09:55,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
09:55,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
09:55,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
09:55,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
09:55,"SUB OUT by THORN,IAN",,,,,,,"SUB OUT by THORN,IAN",1
09:42,,,,,"TURNOVER  by MCCRAY,STEFON",,,"TURNOVER  by MCCRAY,STEFON",1
09:27,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
09:19,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by ROBERTS,CHRISTIAN",,,"REBOUND DEF by ROBERTS,CHRISTIAN",1
09:11,,,,,"MISS JUMPER by HILL,RYAN",,,"MISS JUMPER by HILL,RYAN",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
09:00,,,,,"FOUL  by HILL,RYAN",,,"FOUL  by HILL,RYAN",1
09:00,,,,,"SUB IN by FISHER,ERIK",,,"SUB IN by FISHER,ERIK",1
09:00,,,,,"SUB IN by HAWKINS,ALFONZO",,,"SUB IN by HAWKINS,ALFONZO",1
09:00,,,,,"SUB IN by WALKER,DARIUS",,,"SUB IN by WALKER,DARIUS",1
09:00,,,,,"SUB IN by KUNTZ,JUSTIN",,,"SUB IN by KUNTZ,JUSTIN",1
09:00,,,,,"SUB OUT by ROBERTS,CHRISTIAN",,,"SUB OUT by ROBERTS,CHRISTIAN",1
09:00,,,,,"SUB OUT by GIACUBENO,COLBY",,,"SUB OUT by GIACUBENO,COLBY",1
09:00,,,,,"SUB OUT by HILL,RYAN",,,"SUB OUT by HILL,RYAN",1
09:00,,,,,"SUB OUT by MCCRAY,STEFON",,,"SUB OUT by MCCRAY,STEFON",1
08:48,"GOOD LAYUP by WELCH,ROSS(in the paint)",19,,25 (+6),,BSC 19-25 (-6),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
08:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:28,,,,,"SUB IN by ROBERTS,CHRISTIAN",,,"SUB IN by ROBERTS,CHRISTIAN",1
08:28,,,,,"SUB OUT by DAVIS,KELLY",,,"SUB OUT by DAVIS,KELLY",1
08:26,,19,,27 (+8),"GOOD LAYUP by WALKER,DARIUS(in the paint)",STE 19-27 (-8),,"GOOD LAYUP by WALKER,DARIUS(in the paint)",1
07:45,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
07:44,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",1
07:39,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
07:39,,19,,28 (+9),"GOOD FT by KUNTZ,JUSTIN",STE 19-28 (-9),,"GOOD FT by KUNTZ,JUSTIN",1
07:39,,,,,"MISS FT by KUNTZ,JUSTIN",,,"MISS FT by KUNTZ,JUSTIN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
07:17,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
07:17,,,,,"BLOCK  by KUNTZ,JUSTIN",,,"BLOCK  by KUNTZ,JUSTIN",1
--,,,,,"REBOUND DEF by HAWKINS,ALFONZO",,,"REBOUND DEF by HAWKINS,ALFONZO",1
07:11,,,,,"MISS LAYUP by ROBERTS,CHRISTIAN",,,"MISS LAYUP by ROBERTS,CHRISTIAN",1
--,,,,,"REBOUND OFF by FISHER,ERIK",,,"REBOUND OFF by FISHER,ERIK",1
07:08,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
07:08,,19,,29 (+10),"GOOD FT by FISHER,ERIK",STE 19-29 (-10),,"GOOD FT by FISHER,ERIK",1
07:08,,19,,30 (+11),"GOOD FT by FISHER,ERIK",STE 19-30 (-11),,"GOOD FT by FISHER,ERIK",1
06:53,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
