Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UTTM,Game Score,Team Indicator,Play,Period
12:38,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND DEF by STEPHENS,CORBIN",,,"REBOUND DEF by STEPHENS,CORBIN",1
12:32,,,,,"MISS LAYUP by STEPHENS,CORBIN",,,"MISS LAYUP by STEPHENS,CORBIN",1
--,,,,,"REBOUND OFF by STEPHENS,CORBIN",,,"REBOUND OFF by STEPHENS,CORBIN",1
12:31,,8,,13 (+5),"GOOD LAYUP by STEPHENS,CORBIN(in the paint)",UTTM 8-13 (-5),,"GOOD LAYUP by STEPHENS,CORBIN(in the paint)",1
12:31,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
12:31,,,,,"MISS FT by STEPHENS,CORBIN",,,"MISS FT by STEPHENS,CORBIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:31,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
12:31,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
12:31,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
12:31,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
12:31,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",1
12:31,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
12:31,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
12:31,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
12:25,"FOUL  by RIDING,JAKE",,,,,,,"FOUL  by RIDING,JAKE",1
12:03,,,,,"MISS JUMPER by MASON,BRAD",,,"MISS JUMPER by MASON,BRAD",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
11:56,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",1
--,,,,,"REBOUND DEF by LOVE,KAELIN",,,"REBOUND DEF by LOVE,KAELIN",1
11:46,,,,,"MISS LAYUP by LOVE,KAELIN",,,"MISS LAYUP by LOVE,KAELIN",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
11:29,,,,,"FOUL  by CRAIG,CHRIS",,,"FOUL  by CRAIG,CHRIS",1
11:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:29,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
11:29,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
11:29,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
11:29,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
11:29,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
11:29,,,,,"SUB IN by MOORE,DAVIS",,,"SUB IN by MOORE,DAVIS",1
11:29,,,,,"SUB IN by FOGLE,XAVIER",,,"SUB IN by FOGLE,XAVIER",1
11:29,,,,,"SUB IN by MOHAMED,OMAR",,,"SUB IN by MOHAMED,OMAR",1
11:29,,,,,"SUB OUT by LOVE,KAELIN",,,"SUB OUT by LOVE,KAELIN",1
11:29,,,,,"SUB OUT by MASON,BRAD",,,"SUB OUT by MASON,BRAD",1
11:29,,,,,"SUB OUT by STEPHENS,CORBIN",,,"SUB OUT by STEPHENS,CORBIN",1
11:26,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
11:26,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
11:26,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
11:26,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
11:26,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
11:23,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",10,,13 (+3),,HENDRIXM 10-13 (-3),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
11:07,,10,,16 (+6),"GOOD 3PTR by MOORE,DAVIS",UTTM 10-16 (-6),,"GOOD 3PTR by MOORE,DAVIS",1
11:03,"GOOD 3PTR by ROUSE,TREY",13,,16 (+3),,HENDRIXM 13-16 (-3),,"GOOD 3PTR by ROUSE,TREY",1
10:49,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
10:49,,13,,17 (+4),"GOOD FT by MOORE,DAVIS",UTTM 13-17 (-4),,"GOOD FT by MOORE,DAVIS",1
10:49,,13,,18 (+5),"GOOD FT by MOORE,DAVIS",UTTM 13-18 (-5),,"GOOD FT by MOORE,DAVIS",1
10:49,,,,,"SUB IN by JENKINS,JARED",,,"SUB IN by JENKINS,JARED",1
10:49,,,,,"SUB OUT by BENNETT,TYRICK",,,"SUB OUT by BENNETT,TYRICK",1
10:29,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",1
10:18,,,,,"TURNOVER  by MOHAMED,OMAR",,,"TURNOVER  by MOHAMED,OMAR",1
10:15,"STEAL  by CALAMESE,MICHAEL",,,,,,,"STEAL  by CALAMESE,MICHAEL",1
10:10,"MISS 3PTR by RIDING,JAKE",,,,,,,"MISS 3PTR by RIDING,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:09,,,,,"SUB IN by RAMEY,LENSE",,,"SUB IN by RAMEY,LENSE",1
10:09,,,,,"SUB OUT by MOHAMED,OMAR",,,"SUB OUT by MOHAMED,OMAR",1
09:42,,,,,"TURNOVER  by FOGLE,XAVIER",,,"TURNOVER  by FOGLE,XAVIER",1
09:22,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
09:21,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
09:21,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
09:00,,,,,"MISS 3PTR by RAMEY,LENSE",,,"MISS 3PTR by RAMEY,LENSE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:50,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
08:50,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
08:50,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
08:28,,13,,21 (+8),"GOOD 3PTR by CRAIG,CHRIS",UTTM 13-21 (-8),,"GOOD 3PTR by CRAIG,CHRIS",1
--,,,,,"ASSIST  by MOORE,DAVIS",,,"ASSIST  by MOORE,DAVIS",1
08:03,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
08:00,"GOOD LAYUP by CONRAD,ALEX(in the paint)",15,,21 (+6),,HENDRIXM 15-21 (-6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
07:47,,,,,"TURNOVER  by CRAIG,CHRIS",,,"TURNOVER  by CRAIG,CHRIS",1
07:44,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
07:39,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",1
--,,,,,"REBOUND DEF by JENKINS,JARED",,,"REBOUND DEF by JENKINS,JARED",1
07:31,,,,,"MISS LAYUP by MOORE,DAVIS",,,"MISS LAYUP by MOORE,DAVIS",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
07:28,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",1
07:28,,,,,"SUB IN by MASON,BRAD",,,"SUB IN by MASON,BRAD",1
07:28,,,,,"SUB OUT by JENKINS,JARED",,,"SUB OUT by JENKINS,JARED",1
07:16,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
07:16,,15,,22 (+7),"GOOD FT by MASON,BRAD",UTTM 15-22 (-7),,"GOOD FT by MASON,BRAD",1
07:16,,15,,23 (+8),"GOOD FT by MASON,BRAD",UTTM 15-23 (-8),,"GOOD FT by MASON,BRAD",1
07:16,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
07:16,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
07:03,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",1
06:53,,15,,25 (+10),"GOOD LAYUP by MASON,BRAD(in the paint)",UTTM 15-25 (-10),,"GOOD LAYUP by MASON,BRAD(in the paint)",1
06:43,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",17,,25 (+8),,HENDRIXM 17-25 (-8),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
06:32,,17,,27 (+10),"GOOD LAYUP by FOGLE,XAVIER(in the paint)",UTTM 17-27 (-10),,"GOOD LAYUP by FOGLE,XAVIER(in the paint)",1
06:18,"GOOD LAYUP by CONRAD,ALEX(in the paint)",19,,27 (+8),,HENDRIXM 19-27 (-8),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
06:06,,,,,"MISS LAYUP by MOORE,DAVIS",,,"MISS LAYUP by MOORE,DAVIS",1
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",1
06:01,,19,,29 (+10),"GOOD DUNK by CRAIG,CHRIS(in the paint)",UTTM 19-29 (-10),,"GOOD DUNK by CRAIG,CHRIS(in the paint)",1
05:48,"GOOD LAYUP by LINK,JACOB(in the paint)",21,,29 (+8),,HENDRIXM 21-29 (-8),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
05:48,,,,,"FOUL  by MASON,BRAD",,,"FOUL  by MASON,BRAD",1
05:48,"GOOD FT by LINK,JACOB",22,,29 (+7),,HENDRIXM 22-29 (-7),,"GOOD FT by LINK,JACOB",1
05:37,,,,,"TURNOVER  by FOGLE,XAVIER",,,"TURNOVER  by FOGLE,XAVIER",1
05:37,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
05:37,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
05:37,,,,,"SUB IN by STEPHENS,CORBIN",,,"SUB IN by STEPHENS,CORBIN",1
05:37,,,,,"SUB IN by MOHAMED,OMAR",,,"SUB IN by MOHAMED,OMAR",1
05:37,,,,,"SUB OUT by FOGLE,XAVIER",,,"SUB OUT by FOGLE,XAVIER",1
05:37,,,,,"SUB OUT by RAMEY,LENSE",,,"SUB OUT by RAMEY,LENSE",1
05:24,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
05:24,,,,,"BLOCK  by CRAIG,CHRIS",,,"BLOCK  by CRAIG,CHRIS",1
--,,,,,"REBOUND DEF by MOHAMED,OMAR",,,"REBOUND DEF by MOHAMED,OMAR",1
04:58,,,,,"TURNOVER  by MASON,BRAD",,,"TURNOVER  by MASON,BRAD",1
04:57,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
04:49,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
04:49,,22,,30 (+8),"GOOD FT by STEPHENS,CORBIN",UTTM 22-30 (-8),,"GOOD FT by STEPHENS,CORBIN",1
04:49,,22,,31 (+9),"GOOD FT by STEPHENS,CORBIN",UTTM 22-31 (-9),,"GOOD FT by STEPHENS,CORBIN",1
04:49,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
04:49,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
04:49,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
04:49,,,,,"SUB IN by BENNETT,TYRICK",,,"SUB IN by BENNETT,TYRICK",1
04:49,,,,,"SUB OUT by MOORE,DAVIS",,,"SUB OUT by MOORE,DAVIS",1
04:35,"GOOD LAYUP by FITCH,CARL(in the paint)",24,,31 (+7),,HENDRIXM 24-31 (-7),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
04:22,,24,,33 (+9),"GOOD JUMPER by MASON,BRAD",UTTM 24-33 (-9),,"GOOD JUMPER by MASON,BRAD",1
03:59,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
03:57,,,,,"STEAL  by BENNETT,TYRICK",,,"STEAL  by BENNETT,TYRICK",1
03:52,,,,,"MISS 3PTR by MASON,BRAD",,,"MISS 3PTR by MASON,BRAD",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
03:26,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
03:25,,,,,"STEAL  by MASON,BRAD",,,"STEAL  by MASON,BRAD",1
03:25,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
03:25,,24,,34 (+10),"GOOD FT by MASON,BRAD",UTTM 24-34 (-10),,"GOOD FT by MASON,BRAD",1
03:25,,24,,35 (+11),"GOOD FT by MASON,BRAD",UTTM 24-35 (-11),,"GOOD FT by MASON,BRAD",1
03:25,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
03:25,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
03:25,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
03:09,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BENNETT,TYRICK",,,"REBOUND DEF by BENNETT,TYRICK",1
02:40,,,,,"TURNOVER  by BENNETT,TYRICK",,,"TURNOVER  by BENNETT,TYRICK",1
02:37,"STEAL  by PHILLIP,ADAM",,,,,,,"STEAL  by PHILLIP,ADAM",1
02:34,"MISS LAYUP by PHILLIP,ADAM",,,,,,,"MISS LAYUP by PHILLIP,ADAM",1
02:34,,,,,"BLOCK  by STEPHENS,CORBIN",,,"BLOCK  by STEPHENS,CORBIN",1
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",1
02:24,,24,,37 (+13),"GOOD LAYUP by CRAIG,CHRIS(in the paint)",UTTM 24-37 (-13),,"GOOD LAYUP by CRAIG,CHRIS(in the paint)",1
02:10,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",1
02:09,,,,,"STEAL  by MASON,BRAD",,,"STEAL  by MASON,BRAD",1
02:01,,,,,"MISS JUMPER by MASON,BRAD",,,"MISS JUMPER by MASON,BRAD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:01,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
01:51,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
01:51,,,,,"BLOCK  by MOHAMED,OMAR",,,"BLOCK  by MOHAMED,OMAR",1
--,,,,,"REBOUND DEF by MOHAMED,OMAR",,,"REBOUND DEF by MOHAMED,OMAR",1
01:35,,,,,"MISS JUMPER by MOHAMED,OMAR",,,"MISS JUMPER by MOHAMED,OMAR",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
01:24,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",1
--,,,,,"REBOUND DEF by BENNETT,TYRICK",,,"REBOUND DEF by BENNETT,TYRICK",1
01:11,,24,,39 (+15),"GOOD LAYUP by MASON,BRAD(in the paint)",UTTM 24-39 (-15),,"GOOD LAYUP by MASON,BRAD(in the paint)",1
01:02,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
00:44,"GOOD LAYUP by STANLEY,SETH(in the paint)",26,,39 (+13),,HENDRIXM 26-39 (-13),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
00:34,,26,,42 (+16),"GOOD 3PTR by MASON,BRAD",UTTM 26-42 (-16),,"GOOD 3PTR by MASON,BRAD",1
00:01,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
20:00,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
20:00,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
20:00,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
20:00,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
19:39,"GOOD LAYUP by COMAN,SEAN(in the paint)",28,,42 (+14),,HENDRIXM 28-42 (-14),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
19:13,,,,,"TURNOVER  by FOGLE,XAVIER",,,"TURNOVER  by FOGLE,XAVIER",2
19:11,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",2
19:08,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",30,,42 (+12),,HENDRIXM 30-42 (-12),,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
18:47,,,,,"TURNOVER  by FOGLE,XAVIER",,,"TURNOVER  by FOGLE,XAVIER",2
18:33,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",2
18:25,,,,,"TURNOVER  by CRAIG,CHRIS",,,"TURNOVER  by CRAIG,CHRIS",2
18:07,"GOOD LAYUP by FITCH,CARL(in the paint)",32,,42 (+10),,HENDRIXM 32-42 (-10),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
17:44,,,,,"MISS JUMPER by MOORE,DAVIS",,,"MISS JUMPER by MOORE,DAVIS",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
17:34,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
17:34,,,,,"SUB IN by MASON,BRAD",,,"SUB IN by MASON,BRAD",2
17:34,,,,,"SUB IN by BENNETT,TYRICK",,,"SUB IN by BENNETT,TYRICK",2
17:34,,,,,"SUB OUT by MOORE,DAVIS",,,"SUB OUT by MOORE,DAVIS",2
17:34,,,,,"SUB OUT by JENKINS,JARED",,,"SUB OUT by JENKINS,JARED",2
17:22,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
17:22,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
17:22,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
17:16,,,,,"MISS LAYUP by CRAIG,CHRIS",,,"MISS LAYUP by CRAIG,CHRIS",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
