Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
13:55,"SUB IN by HAYNES,CHRIS",,,,,,,"SUB IN by HAYNES,CHRIS",1
13:55,"SUB OUT by SABO,GAVIN",,,,,,,"SUB OUT by SABO,GAVIN",1
13:47,"FOUL  by BROWN,LANDIN",,,,,,,"FOUL  by BROWN,LANDIN",1
13:47,,13,,13,"GOOD FT by LINK,JACOB",HENDRIX 13-13 (0),,"GOOD FT by LINK,JACOB",1
13:47,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
13:47,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
13:47,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
13:36,,13,,15 (+2),"GOOD JUMPER by CRAWFORD,TRACE(in the paint)",HENDRIX 13-15 (+2),,"GOOD JUMPER by CRAWFORD,TRACE(in the paint)",1
13:25,"MISS JUMPER by RIDDICK,WESTIN",,,,,,,"MISS JUMPER by RIDDICK,WESTIN",1
--,"REBOUND OFF by HAYNES,CHRIS",,,,,,,"REBOUND OFF by HAYNES,CHRIS",1
13:20,"GOOD LAYUP by HAYNES,CHRIS(in the paint)",15,,15,,ETBU 15-15 (0),,"GOOD LAYUP by HAYNES,CHRIS(in the paint)",1
13:15,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
13:15,"GOOD FT by HAYNES,CHRIS",16 (+1),,15,,ETBU 16-15 (-1),,"GOOD FT by HAYNES,CHRIS",1
12:54,"SUB IN by DOOLEY,ROBBY",,,,,,,"SUB IN by DOOLEY,ROBBY",1
12:54,"SUB OUT by BROWN,LANDIN",,,,,,,"SUB OUT by BROWN,LANDIN",1
12:41,,16,,17 (+1),"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIX 16-17 (+1),,"GOOD LAYUP by EATON,JACK(in the paint)",1
--,"ASSIST  by RIDDICK,WESTIN",,,,,,,"ASSIST  by RIDDICK,WESTIN",1
12:27,"TURNOVER  by RIDDICK,WESTIN",,,,,,,"TURNOVER  by RIDDICK,WESTIN",1
12:26,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
12:24,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",1
--,"REBOUND DEF by RIDDICK,WESTIN",,,,,,,"REBOUND DEF by RIDDICK,WESTIN",1
12:16,"MISS 3PTR by RIDDICK,WESTIN",,,,,,,"MISS 3PTR by RIDDICK,WESTIN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
11:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:58,,16,,20 (+4),"GOOD 3PTR by STANLEY,SETH",HENDRIX 16-20 (+4),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
11:45,"GOOD LAYUP by FONTENOT,NATHAN(in the paint)",18,,20 (+2),,ETBU 18-20 (+2),,"GOOD LAYUP by FONTENOT,NATHAN(in the paint)",1
11:23,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by DOOLEY,ROBBY",,,,,,,"REBOUND DEF by DOOLEY,ROBBY",1
11:06,"TURNOVER  by FONTENOT,NATHAN",,,,,,,"TURNOVER  by FONTENOT,NATHAN",1
11:05,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
10:53,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND DEF by DOOLEY,ROBBY",,,,,,,"REBOUND DEF by DOOLEY,ROBBY",1
10:44,"GOOD 3PTR by DOOLEY,ROBBY",21 (+1),,20,,ETBU 21-20 (-1),,"GOOD 3PTR by DOOLEY,ROBBY",1
10:30,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
10:30,"BLOCK  by HAYNES,CHRIS",,,,,,,"BLOCK  by HAYNES,CHRIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:03,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",23 (+3),,20,,ETBU 23-20 (-3),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
10:00,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
09:59,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:59,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
09:53,"GOOD 3PTR by DOOLEY,ROBBY",26 (+6),,20,,ETBU 26-20 (-6),,"GOOD 3PTR by DOOLEY,ROBBY",1
09:34,,,,,"MISS 3PTR by RIDING,JAKE",,,"MISS 3PTR by RIDING,JAKE",1
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",1
09:28,,26 (+4),,22,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 26-22 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
09:15,"MISS LAYUP by DOOLEY,ROBBY",,,,,,,"MISS LAYUP by DOOLEY,ROBBY",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
09:10,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by BROWN,LANDIN",,,,,,,"REBOUND DEF by BROWN,LANDIN",1
08:52,"MISS LAYUP by HAYNES,CHRIS",,,,,,,"MISS LAYUP by HAYNES,CHRIS",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
08:49,"FOUL  by HAYNES,CHRIS",,,,,,,"FOUL  by HAYNES,CHRIS",1
08:49,"SUB IN by BROWN,LANDIN",,,,,,,"SUB IN by BROWN,LANDIN",1
08:49,"SUB IN by TAYLOR,JARRELL",,,,,,,"SUB IN by TAYLOR,JARRELL",1
08:49,"SUB OUT by COCKERHAM,KEET",,,,,,,"SUB OUT by COCKERHAM,KEET",1
08:49,"SUB OUT by RIDDICK,WESTIN",,,,,,,"SUB OUT by RIDDICK,WESTIN",1
08:25,,26 (+1),,25,"GOOD 3PTR by RIDING,JAKE",HENDRIX 26-25 (-1),,"GOOD 3PTR by RIDING,JAKE",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:08,"GOOD 3PTR by FONTENOT,NATHAN",29 (+4),,25,,ETBU 29-25 (-4),,"GOOD 3PTR by FONTENOT,NATHAN",1
08:01,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
07:58,"SUB IN by COCHRAN,SPENCER",,,,,,,"SUB IN by COCHRAN,SPENCER",1
07:58,"SUB OUT by HAYNES,CHRIS",,,,,,,"SUB OUT by HAYNES,CHRIS",1
07:58,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
07:58,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
07:50,"MISS 3PTR by FONTENOT,NATHAN",,,,,,,"MISS 3PTR by FONTENOT,NATHAN",1
--,"REBOUND DEF by TAYLOR,JARRELL",,,,,,,"REBOUND DEF by TAYLOR,JARRELL",1
07:46,"TURNOVER  by TAYLOR,JARRELL",,,,,,,"TURNOVER  by TAYLOR,JARRELL",1
07:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:27,,29 (+2),,27,"GOOD JUMPER by STANLEY,SETH",HENDRIX 29-27 (-2),,"GOOD JUMPER by STANLEY,SETH",1
07:08,"GOOD JUMPER by BROWN,LANDIN",31 (+4),,27,,ETBU 31-27 (-4),,"GOOD JUMPER by BROWN,LANDIN",1
07:03,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
07:03,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
07:03,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
07:03,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
07:03,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
07:03,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
06:56,,31 (+2),,29,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 31-29 (-2),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
06:56,"FOUL  by COCHRAN,SPENCER",,,,,,,"FOUL  by COCHRAN,SPENCER",1
06:56,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by TAYLOR,JARRELL",,,,,,,"REBOUND DEF by TAYLOR,JARRELL",1
06:56,"SUB IN by ELLIOTT,ZACH",,,,,,,"SUB IN by ELLIOTT,ZACH",1
06:56,"SUB OUT by COCHRAN,SPENCER",,,,,,,"SUB OUT by COCHRAN,SPENCER",1
06:56,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
06:56,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
06:51,"MISS LAYUP by TAYLOR,JARRELL",,,,,,,"MISS LAYUP by TAYLOR,JARRELL",1
06:51,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:23,"GOOD JUMPER by DOOLEY,ROBBY",33 (+4),,29,,ETBU 33-29 (-4),,"GOOD JUMPER by DOOLEY,ROBBY",1
06:08,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
05:55,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
05:55,"MISS FT by BROWN,LANDIN",,,,,,,"MISS FT by BROWN,LANDIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:55,"GOOD FT by BROWN,LANDIN",34 (+5),,29,,ETBU 34-29 (-5),,"GOOD FT by BROWN,LANDIN",1
05:55,"SUB IN by RIDDICK,WESTIN",,,,,,,"SUB IN by RIDDICK,WESTIN",1
05:55,"SUB OUT by TAYLOR,JARRELL",,,,,,,"SUB OUT by TAYLOR,JARRELL",1
05:48,"FOUL  by ELLIOTT,ZACH",,,,,,,"FOUL  by ELLIOTT,ZACH",1
05:48,,34 (+4),,30,"GOOD FT by FITCH,CARL",HENDRIX 34-30 (-4),,"GOOD FT by FITCH,CARL",1
05:48,,34 (+3),,31,"GOOD FT by FITCH,CARL",HENDRIX 34-31 (-3),,"GOOD FT by FITCH,CARL",1
05:42,"GOOD LAYUP by ELLIOTT,ZACH(fastbreak)(in the paint)",36 (+5),,31,,ETBU 36-31 (-5),,"GOOD LAYUP by ELLIOTT,ZACH(fastbreak)(in the paint)",1
--,"ASSIST  by DOOLEY,ROBBY",,,,,,,"ASSIST  by DOOLEY,ROBBY",1
05:19,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:03,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
05:03,"MISS FT by DOOLEY,ROBBY",,,,,,,"MISS FT by DOOLEY,ROBBY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:03,"GOOD FT by DOOLEY,ROBBY",37 (+6),,31,,ETBU 37-31 (-6),,"GOOD FT by DOOLEY,ROBBY",1
04:53,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
04:52,"STEAL  by FONTENOT,NATHAN",,,,,,,"STEAL  by FONTENOT,NATHAN",1
04:46,"GOOD 3PTR by RIDDICK,WESTIN",40 (+9),,31,,ETBU 40-31 (-9),,"GOOD 3PTR by RIDDICK,WESTIN",1
--,"ASSIST  by FONTENOT,NATHAN",,,,,,,"ASSIST  by FONTENOT,NATHAN",1
04:35,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:32,"SUB IN by TAYLOR,JARRELL",,,,,,,"SUB IN by TAYLOR,JARRELL",1
04:32,"SUB OUT by BROWN,LANDIN",,,,,,,"SUB OUT by BROWN,LANDIN",1
04:14,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",1
04:10,"FOUL  by DOOLEY,ROBBY",,,,,,,"FOUL  by DOOLEY,ROBBY",1
04:10,"TURNOVER  by DOOLEY,ROBBY",,,,,,,"TURNOVER  by DOOLEY,ROBBY",1
04:10,"SUB IN by JOHNSON,NOLAN",,,,,,,"SUB IN by JOHNSON,NOLAN",1
04:10,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
03:49,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
03:36,"FOUL  by JOHNSON,NOLAN",,,,,,,"FOUL  by JOHNSON,NOLAN",1
03:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:35,,40 (+8),,32,"GOOD FT by FITCH,CARL",HENDRIX 40-32 (-8),,"GOOD FT by FITCH,CARL",1
03:35,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by ELLIOTT,ZACH",,,,,,,"REBOUND DEF by ELLIOTT,ZACH",1
03:30,"FOUL  by JOHNSON,NOLAN",,,,,,,"FOUL  by JOHNSON,NOLAN",1
03:30,"TURNOVER  by JOHNSON,NOLAN",,,,,,,"TURNOVER  by JOHNSON,NOLAN",1
03:13,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
03:13,"SUB IN by BROWN,LANDIN",,,,,,,"SUB IN by BROWN,LANDIN",1
03:13,"SUB OUT by JOHNSON,NOLAN",,,,,,,"SUB OUT by JOHNSON,NOLAN",1
03:13,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
03:13,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
03:03,"GOOD 3PTR by RIDDICK,WESTIN",43 (+11),,32,,ETBU 43-32 (-11),,"GOOD 3PTR by RIDDICK,WESTIN",1
02:52,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
02:46,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by CRAWFORD,TRACE",,,"REBOUND OFF by CRAWFORD,TRACE",1
02:40,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by CRAWFORD,TRACE",,,"REBOUND OFF by CRAWFORD,TRACE",1
02:33,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,"REBOUND DEF by TAYLOR,JARRELL",,,,,,,"REBOUND DEF by TAYLOR,JARRELL",1
02:18,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",45 (+13),,32,,ETBU 45-32 (-13),,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",1
--,"ASSIST  by BROWN,LANDIN",,,,,,,"ASSIST  by BROWN,LANDIN",1
02:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:04,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
02:04,"BLOCK  by TAYLOR,JARRELL",,,,,,,"BLOCK  by TAYLOR,JARRELL",1
--,"REBOUND DEF by ELLIOTT,ZACH",,,,,,,"REBOUND DEF by ELLIOTT,ZACH",1
01:45,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",47 (+15),,32,,ETBU 47-32 (-15),,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",1
--,"ASSIST  by BROWN,LANDIN",,,,,,,"ASSIST  by BROWN,LANDIN",1
01:35,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
01:33,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
01:32,"TURNOVER  by BROWN,LANDIN",,,,,,,"TURNOVER  by BROWN,LANDIN",1
01:32,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
01:29,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by COCKERHAM,KEET",,,,,,,"REBOUND DEF by COCKERHAM,KEET",1
01:29,"SUB IN by COCKERHAM,KEET",,,,,,,"SUB IN by COCKERHAM,KEET",1
01:29,"SUB OUT by FONTENOT,NATHAN",,,,,,,"SUB OUT by FONTENOT,NATHAN",1
01:29,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
01:29,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
01:24,"GOOD LAYUP by BROWN,LANDIN(in the paint)",49 (+17),,32,,ETBU 49-32 (-17),,"GOOD LAYUP by BROWN,LANDIN(in the paint)",1
00:55,"FOUL  by COCKERHAM,KEET",,,,,,,"FOUL  by COCKERHAM,KEET",1
00:55,,49 (+16),,33,"GOOD FT by CRAWFORD,TRACE",HENDRIX 49-33 (-16),,"GOOD FT by CRAWFORD,TRACE",1
00:55,,49 (+15),,34,"GOOD FT by CRAWFORD,TRACE",HENDRIX 49-34 (-15),,"GOOD FT by CRAWFORD,TRACE",1
00:20,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
00:05,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
00:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:01,"GOOD LAYUP by TAYLOR,JARRELL(in the paint)",51 (+17),,34,,ETBU 51-34 (-17),,"GOOD LAYUP by TAYLOR,JARRELL(in the paint)",1
00:01,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
00:01,"GOOD FT by TAYLOR,JARRELL",52 (+18),,34,,ETBU 52-34 (-18),,"GOOD FT by TAYLOR,JARRELL",1
00:00,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:51,,52 (+16),,36,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 52-36 (-16),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by RIDING,JAKE",,,"ASSIST  by RIDING,JAKE",2
19:36,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",54 (+18),,36,,ETBU 54-36 (-18),,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",2
--,"ASSIST  by DOOLEY,ROBBY",,,,,,,"ASSIST  by DOOLEY,ROBBY",2
19:22,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND DEF by TAYLOR,JARRELL",,,,,,,"REBOUND DEF by TAYLOR,JARRELL",2
