Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
10:28,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
10:28,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
10:28,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
10:28,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
10:28,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
10:28,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",2
10:28,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
10:21,,53 (+4),,49,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 53-49 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
10:16,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",2
10:14,,53 (+3),,50,"GOOD FT by LINK,JACOB",HENDRIX 53-50 (-3),,"GOOD FT by LINK,JACOB",2
10:01,"GOOD LAYUP by SMITH,LUKE(in the paint)",55 (+5),,50,,SEWANE~1 55-50 (-5),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
09:56,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",2
09:48,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by CALAMESE,MICHAEL",,,"REBOUND OFF by CALAMESE,MICHAEL",2
09:32,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
09:29,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",2
09:29,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
09:29,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
09:29,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
09:29,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
09:29,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
09:29,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
09:29,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
09:29,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
09:25,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
09:20,,55 (+4),,51,"GOOD FT by ROUSE,TREY",HENDRIX 55-51 (-4),,"GOOD FT by ROUSE,TREY",2
09:18,,55 (+3),,52,"GOOD FT by ROUSE,TREY",HENDRIX 55-52 (-3),,"GOOD FT by ROUSE,TREY",2
09:08,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
08:51,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
08:43,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
08:43,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
08:43,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
08:43,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",2
08:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
08:16,"GOOD JUMPER by LEE,MATT",57 (+5),,52,,SEWANE~1 57-52 (-5),,"GOOD JUMPER by LEE,MATT",2
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",2
08:01,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
07:48,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND OFF by ROUSE,TREY",,,"REBOUND OFF by ROUSE,TREY",2
07:27,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
07:25,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
07:23,,57 (+3),,54,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",HENDRIX 57-54 (-3),,"GOOD LAYUP by SMITH,PRESTON(fastbreak)(in the paint)",2
07:04,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",2
06:55,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
06:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:53,,57 (+2),,55,"GOOD FT by ROUSE,TREY",HENDRIX 57-55 (-2),,"GOOD FT by ROUSE,TREY",2
06:53,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
06:53,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
--,"REBOUND OFF by SMITH,LUKE",,,,,,,"REBOUND OFF by SMITH,LUKE",2
06:53,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,"REBOUND OFF by WARLICK,JORDAN",,,,,,,"REBOUND OFF by WARLICK,JORDAN",2
06:49,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
06:35,"GOOD FT by WARLICK,JORDAN",58 (+3),,55,,SEWANE~1 58-55 (-3),,"GOOD FT by WARLICK,JORDAN",2
06:10,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
06:10,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:10,,58 (+2),,56,"GOOD FT by LINK,JACOB",HENDRIX 58-56 (-2),,"GOOD FT by LINK,JACOB",2
06:10,"GOOD LAYUP by CALDWELL,CAM(in the paint)",60 (+4),,56,,SEWANE~1 60-56 (-4),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
06:10,,60 (+2),,58,"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 60-58 (-2),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
06:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
06:10,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",2
06:10,,60,,60,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 60-60 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
05:51,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:43,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
05:37,"GOOD JUMPER by WARLICK,JORDAN",62 (+2),,60,,SEWANE~1 62-60 (-2),,"GOOD JUMPER by WARLICK,JORDAN",2
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",2
05:22,"GOOD JUMPER by CALDWELL,CAM",64 (+4),,60,,SEWANE~1 64-60 (-4),,"GOOD JUMPER by CALDWELL,CAM",2
05:06,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
04:51,,64 (+2),,62,"GOOD JUMPER by ROUSE,TREY",HENDRIX 64-62 (-2),,"GOOD JUMPER by ROUSE,TREY",2
04:39,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",2
04:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:31,"GOOD FT by WARLICK,JORDAN",65 (+3),,62,,SEWANE~1 65-62 (-3),,"GOOD FT by WARLICK,JORDAN",2
03:31,"GOOD FT by WARLICK,JORDAN",66 (+4),,62,,SEWANE~1 66-62 (-4),,"GOOD FT by WARLICK,JORDAN",2
03:31,"MISS LAYUP by LEE,MATT",,,,,,,"MISS LAYUP by LEE,MATT",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
03:31,,66 (+1),,65,"GOOD 3PTR by STANLEY,SETH",HENDRIX 66-65 (-1),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
03:31,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
03:31,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",2
03:31,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
03:31,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",2
03:31,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",2
03:31,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
03:25,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
03:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:27,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
02:27,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
02:18,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by SMITH,PRESTON",,,"REBOUND OFF by SMITH,PRESTON",2
02:03,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
01:48,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
01:48,,66,,67 (+1),"GOOD JUMPER by ROUSE,TREY(in the paint)",HENDRIX 66-67 (+1),,"GOOD JUMPER by ROUSE,TREY(in the paint)",2
01:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:30,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
01:30,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
01:21,"GOOD JUMPER by BUESCHER,HUNTER",68 (+1),,67,,SEWANE~1 68-67 (-1),,"GOOD JUMPER by BUESCHER,HUNTER",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
01:21,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
01:21,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
01:21,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
01:07,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
00:55,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
00:55,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
00:52,,68,,68,"GOOD FT by COMAN,SEAN",HENDRIX 68-68 (0),,"GOOD FT by COMAN,SEAN",2
00:52,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
00:52,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
00:52,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
00:52,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",2
00:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:00,,68,,70 (+2),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 68-70 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
00:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:00,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",2
00:00,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
00:00,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
00:00,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
