Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
16:06,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",,,"SUB OUT by WAMBSGANSS,MICHAEL",2
15:59,,,,,"MISS JUMPER by MATHIS,DUSTIN",,,"MISS JUMPER by MATHIS,DUSTIN",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
15:52,,,,,"FOUL  by HYDE,CAMERAN",,,"FOUL  by HYDE,CAMERAN",2
15:52,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:52,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",2
15:37,,47 (+7),,40,"GOOD JUMPER by MATHIS,DUSTIN(in the paint)",UD 47-40 (+7),,"GOOD JUMPER by MATHIS,DUSTIN(in the paint)",2
--,,,,,"ASSIST  by NUNN,JOSHUA",,,"ASSIST  by NUNN,JOSHUA",2
15:25,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by HYDE,CAMERAN",,,"REBOUND DEF by HYDE,CAMERAN",2
15:12,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
15:12,,,,,"MISS FT by MATHIS,DUSTIN",,,"MISS FT by MATHIS,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:12,,47 (+6),,41,"GOOD FT by MATHIS,DUSTIN",UD 47-41 (+6),,"GOOD FT by MATHIS,DUSTIN",2
15:12,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
15:12,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
15:12,,,,,"SUB IN by COOMBS,RASHID",,,"SUB IN by COOMBS,RASHID",2
15:12,,,,,"SUB IN by LOVE,JAI",,,"SUB IN by LOVE,JAI",2
15:12,,,,,"SUB OUT by MATHIS,DUSTIN",,,"SUB OUT by MATHIS,DUSTIN",2
15:12,,,,,"SUB OUT by FRUHWIRTH,LOGAN",,,"SUB OUT by FRUHWIRTH,LOGAN",2
15:02,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",2
15:02,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
15:02,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
14:37,,,,,"FOUL  by NUNN,JOSHUA",,,"FOUL  by NUNN,JOSHUA",2
14:37,,,,,"TURNOVER  by NUNN,JOSHUA",,,"TURNOVER  by NUNN,JOSHUA",2
14:14,"GOOD LAYUP by EATON,JACK(in the paint)",49 (+8),,41,,HENDRIXM 49-41 (+8),,"GOOD LAYUP by EATON,JACK(in the paint)",2
14:00,,,,,"MISS LAYUP by HYDE,CAMERAN",,,"MISS LAYUP by HYDE,CAMERAN",2
14:00,"BLOCK  by EATON,JACK",,,,,,,"BLOCK  by EATON,JACK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:00,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
14:00,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
14:00,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
14:00,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
14:00,,,,,"SUB IN by BOUTWELL,BROOKS",,,"SUB IN by BOUTWELL,BROOKS",2
14:00,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",2
13:48,,,,,"MISS JUMPER by BOUTWELL,BROOKS",,,"MISS JUMPER by BOUTWELL,BROOKS",2
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",2
13:38,"GOOD LAYUP by CONRAD,ALEX(in the paint)",51 (+10),,41,,HENDRIXM 51-41 (+10),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
13:23,,51 (+7),,44,"GOOD 3PTR by HYDE,CAMERAN",UD 51-44 (+7),,"GOOD 3PTR by HYDE,CAMERAN",2
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",2
13:09,"GOOD JUMPER by CONRAD,ALEX(in the paint)",53 (+9),,44,,HENDRIXM 53-44 (+9),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",2
12:49,,,,,"MISS 3PTR by LOVE,JAI",,,"MISS 3PTR by LOVE,JAI",2
--,,,,,"REBOUND OFF by HYDE,CAMERAN",,,"REBOUND OFF by HYDE,CAMERAN",2
12:45,,53 (+7),,46,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",UD 53-46 (+7),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",2
12:19,"GOOD 3PTR by ROUSE,TREY",56 (+10),,46,,HENDRIXM 56-46 (+10),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
12:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:17,,,,,"SUB IN by WASHINGTON,UNIIKYE",,,"SUB IN by WASHINGTON,UNIIKYE",2
12:17,,,,,"SUB OUT by NUNN,JOSHUA",,,"SUB OUT by NUNN,JOSHUA",2
12:00,,,,,"TURNOVER  by HYDE,CAMERAN",,,"TURNOVER  by HYDE,CAMERAN",2
11:58,"STEAL  by CALAMESE,MICHAEL",,,,,,,"STEAL  by CALAMESE,MICHAEL",2
11:56,"GOOD LAYUP by RIDING,JAKE(fastbreak)(in the paint)",58 (+12),,46,,HENDRIXM 58-46 (+12),,"GOOD LAYUP by RIDING,JAKE(fastbreak)(in the paint)",2
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",2
11:39,,58 (+10),,48,"GOOD JUMPER by WASHINGTON,UNIIKYE",UD 58-48 (+10),,"GOOD JUMPER by WASHINGTON,UNIIKYE",2
11:15,"GOOD LAYUP by CONRAD,ALEX(in the paint)",60 (+12),,48,,HENDRIXM 60-48 (+12),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
11:04,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
10:53,,,,,"FOUL  by HYDE,CAMERAN",,,"FOUL  by HYDE,CAMERAN",2
10:53,,,,,"TURNOVER  by HYDE,CAMERAN",,,"TURNOVER  by HYDE,CAMERAN",2
10:38,,,,,"FOUL  by WASHINGTON,UNIIKYE",,,"FOUL  by WASHINGTON,UNIIKYE",2
10:36,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by COOMBS,RASHID",,,"REBOUND DEF by COOMBS,RASHID",2
10:28,,60 (+10),,50,"GOOD LAYUP by WASHINGTON,UNIIKYE(fastbreak)(in the paint)",UD 60-50 (+10),,"GOOD LAYUP by WASHINGTON,UNIIKYE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",2
10:28,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
10:28,,60 (+9),,51,"GOOD FT by WASHINGTON,UNIIKYE",UD 60-51 (+9),,"GOOD FT by WASHINGTON,UNIIKYE",2
10:28,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
10:28,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
10:28,,,,,"SUB IN by TOUSSAINT,LETRELL",,,"SUB IN by TOUSSAINT,LETRELL",2
10:28,,,,,"SUB IN by MATHIS,DUSTIN",,,"SUB IN by MATHIS,DUSTIN",2
10:28,,,,,"SUB OUT by HYDE,CAMERAN",,,"SUB OUT by HYDE,CAMERAN",2
10:28,,,,,"SUB OUT by BOUTWELL,BROOKS",,,"SUB OUT by BOUTWELL,BROOKS",2
10:14,,,,,"FOUL  by LOVE,JAI",,,"FOUL  by LOVE,JAI",2
10:09,"MISS 3PTR by RIDING,JAKE",,,,,,,"MISS 3PTR by RIDING,JAKE",2
--,,,,,"REBOUND DEF by COOMBS,RASHID",,,"REBOUND DEF by COOMBS,RASHID",2
09:46,,,,,"TURNOVER  by COOMBS,RASHID",,,"TURNOVER  by COOMBS,RASHID",2
09:45,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",2
09:40,"GOOD 3PTR by ROUSE,TREY(fastbreak)",63 (+12),,51,,HENDRIXM 63-51 (+12),,"GOOD 3PTR by ROUSE,TREY(fastbreak)",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
09:21,,,,,"MISS 3PTR by WASHINGTON,UNIIKYE",,,"MISS 3PTR by WASHINGTON,UNIIKYE",2
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",2
09:11,"GOOD 3PTR by ROUSE,TREY",66 (+15),,51,,HENDRIXM 66-51 (+15),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",2
09:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:01,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
09:01,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",2
09:01,,,,,"SUB IN by FRUHWIRTH,LOGAN",,,"SUB IN by FRUHWIRTH,LOGAN",2
09:01,,,,,"SUB OUT by COOMBS,RASHID",,,"SUB OUT by COOMBS,RASHID",2
08:54,,66 (+13),,53,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",UD 66-53 (+13),,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",2
--,,,,,"ASSIST  by MATHIS,DUSTIN",,,"ASSIST  by MATHIS,DUSTIN",2
08:23,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
08:07,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
08:07,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
08:07,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
07:55,,66 (+10),,56,"GOOD 3PTR by MATHIS,DUSTIN",UD 66-56 (+10),,"GOOD 3PTR by MATHIS,DUSTIN",2
07:49,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",68 (+12),,56,,HENDRIXM 68-56 (+12),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
07:49,,,,,"FOUL  by WASHINGTON,UNIIKYE",,,"FOUL  by WASHINGTON,UNIIKYE",2
07:49,"GOOD FT by BRASFIELD,KAM",69 (+13),,56,,HENDRIXM 69-56 (+13),,"GOOD FT by BRASFIELD,KAM",2
07:49,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
07:49,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
07:36,,,,,"TURNOVER  by WASHINGTON,UNIIKYE",,,"TURNOVER  by WASHINGTON,UNIIKYE",2
07:36,,,,,"SUB IN by NUNN,JOSHUA",,,"SUB IN by NUNN,JOSHUA",2
07:36,,,,,"SUB OUT by WASHINGTON,UNIIKYE",,,"SUB OUT by WASHINGTON,UNIIKYE",2
07:09,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
07:04,,,,,"STEAL  by TOUSSAINT,LETRELL",,,"STEAL  by TOUSSAINT,LETRELL",2
06:56,,,,,"TURNOVER  by FRUHWIRTH,LOGAN",,,"TURNOVER  by FRUHWIRTH,LOGAN",2
06:50,"GOOD LAYUP by RIDING,JAKE(in the paint)",71 (+15),,56,,HENDRIXM 71-56 (+15),,"GOOD LAYUP by RIDING,JAKE(in the paint)",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
06:49,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",2
06:49,"MISS FT by RIDING,JAKE",,,,,,,"MISS FT by RIDING,JAKE",2
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",2
06:34,,,,,"MISS JUMPER by TOUSSAINT,LETRELL",,,"MISS JUMPER by TOUSSAINT,LETRELL",2
06:34,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:33,,,,,"SUB IN by HYDE,CAMERAN",,,"SUB IN by HYDE,CAMERAN",2
06:33,,,,,"SUB IN by COOMBS,RASHID",,,"SUB IN by COOMBS,RASHID",2
06:33,,,,,"SUB IN by WAMBSGANSS,MICHAEL",,,"SUB IN by WAMBSGANSS,MICHAEL",2
06:33,,,,,"SUB IN by BOUTWELL,BROOKS",,,"SUB IN by BOUTWELL,BROOKS",2
06:33,,,,,"SUB IN by COMPTON,MAURICE",,,"SUB IN by COMPTON,MAURICE",2
06:33,,,,,"SUB OUT by NUNN,JOSHUA",,,"SUB OUT by NUNN,JOSHUA",2
06:33,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",2
06:33,,,,,"SUB OUT by FRUHWIRTH,LOGAN",,,"SUB OUT by FRUHWIRTH,LOGAN",2
06:33,,,,,"SUB OUT by LOVE,JAI",,,"SUB OUT by LOVE,JAI",2
06:33,,,,,"SUB OUT by MATHIS,DUSTIN",,,"SUB OUT by MATHIS,DUSTIN",2
06:28,,,,,"TURNOVER  by BOUTWELL,BROOKS",,,"TURNOVER  by BOUTWELL,BROOKS",2
06:10,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",2
--,,,,,"REBOUND DEF by HYDE,CAMERAN",,,"REBOUND DEF by HYDE,CAMERAN",2
05:47,,,,,"FOUL  by COOMBS,RASHID",,,"FOUL  by COOMBS,RASHID",2
05:47,,,,,"TURNOVER  by COOMBS,RASHID",,,"TURNOVER  by COOMBS,RASHID",2
05:47,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",2
05:47,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",2
05:25,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
05:19,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",2
05:19,,,,,"BLOCK  by HYDE,CAMERAN",,,"BLOCK  by HYDE,CAMERAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:13,,,,,"TURNOVER  by COOMBS,RASHID",,,"TURNOVER  by COOMBS,RASHID",2
05:13,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
05:13,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
04:53,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
04:48,,71 (+13),,58,"GOOD LAYUP by COMPTON,MAURICE(in the paint)",UD 71-58 (+13),,"GOOD LAYUP by COMPTON,MAURICE(in the paint)",2
04:48,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
04:48,,71 (+12),,59,"GOOD FT by COMPTON,MAURICE",UD 71-59 (+12),,"GOOD FT by COMPTON,MAURICE",2
04:35,,,,,"FOUL  by COMPTON,MAURICE",,,"FOUL  by COMPTON,MAURICE",2
04:35,"GOOD FT by EATON,JACK",72 (+13),,59,,HENDRIXM 72-59 (+13),,"GOOD FT by EATON,JACK",2
04:35,"GOOD FT by EATON,JACK",73 (+14),,59,,HENDRIXM 73-59 (+14),,"GOOD FT by EATON,JACK",2
04:35,,,,,"SUB IN by NUNN,JOSHUA",,,"SUB IN by NUNN,JOSHUA",2
04:35,,,,,"SUB OUT by COMPTON,MAURICE",,,"SUB OUT by COMPTON,MAURICE",2
04:23,,,,,"TURNOVER  by HYDE,CAMERAN",,,"TURNOVER  by HYDE,CAMERAN",2
04:22,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
04:14,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
04:04,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:39,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",75 (+16),,59,,HENDRIXM 75-59 (+16),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",2
03:30,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
03:30,,75 (+15),,60,"GOOD FT by NUNN,JOSHUA",UD 75-60 (+15),,"GOOD FT by NUNN,JOSHUA",2
03:30,,75 (+14),,61,"GOOD FT by NUNN,JOSHUA",UD 75-61 (+14),,"GOOD FT by NUNN,JOSHUA",2
03:13,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",2
--,,,,,"REBOUND DEF by HYDE,CAMERAN",,,"REBOUND DEF by HYDE,CAMERAN",2
02:47,,,,,"MISS 3PTR by HYDE,CAMERAN",,,"MISS 3PTR by HYDE,CAMERAN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
02:22,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",2
02:18,,,,,"FOUL  by NUNN,JOSHUA",,,"FOUL  by NUNN,JOSHUA",2
02:18,"GOOD FT by EATON,JACK",76 (+15),,61,,HENDRIXM 76-61 (+15),,"GOOD FT by EATON,JACK",2
02:18,"GOOD FT by EATON,JACK",77 (+16),,61,,HENDRIXM 77-61 (+16),,"GOOD FT by EATON,JACK",2
02:18,,,,,"SUB IN by BOLEN,SCOTT",,,"SUB IN by BOLEN,SCOTT",2
02:18,,,,,"SUB IN by MATHIS,DUSTIN",,,"SUB IN by MATHIS,DUSTIN",2
02:18,,,,,"SUB OUT by HYDE,CAMERAN",,,"SUB OUT by HYDE,CAMERAN",2
02:18,,,,,"SUB OUT by COOMBS,RASHID",,,"SUB OUT by COOMBS,RASHID",2
02:01,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
02:01,,77 (+15),,62,"GOOD FT by NUNN,JOSHUA",UD 77-62 (+15),,"GOOD FT by NUNN,JOSHUA",2
02:01,,77 (+14),,63,"GOOD FT by NUNN,JOSHUA",UD 77-63 (+14),,"GOOD FT by NUNN,JOSHUA",2
01:55,,,,,"FOUL  by MATHIS,DUSTIN",,,"FOUL  by MATHIS,DUSTIN",2
01:55,"GOOD FT by BRASFIELD,KAM",78 (+15),,63,,HENDRIXM 78-63 (+15),,"GOOD FT by BRASFIELD,KAM",2
01:55,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by BOUTWELL,BROOKS",,,"REBOUND DEF by BOUTWELL,BROOKS",2
01:55,,,,,"SUB IN by LOCKHART,CHANCE",,,"SUB IN by LOCKHART,CHANCE",2
01:55,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",,,"SUB OUT by WAMBSGANSS,MICHAEL",2
01:44,,78 (+12),,66,"GOOD 3PTR by LOCKHART,CHANCE",UD 78-66 (+12),,"GOOD 3PTR by LOCKHART,CHANCE",2
--,,,,,"ASSIST  by NUNN,JOSHUA",,,"ASSIST  by NUNN,JOSHUA",2
01:32,,,,,"FOUL  by MATHIS,DUSTIN",,,"FOUL  by MATHIS,DUSTIN",2
01:32,"GOOD FT by BRASFIELD,KAM",79 (+13),,66,,HENDRIXM 79-66 (+13),,"GOOD FT by BRASFIELD,KAM",2
01:32,"GOOD FT by BRASFIELD,KAM",80 (+14),,66,,HENDRIXM 80-66 (+14),,"GOOD FT by BRASFIELD,KAM",2
01:32,,,,,"SUB IN by HAYES,ISAIAH",,,"SUB IN by HAYES,ISAIAH",2
01:32,,,,,"SUB OUT by NUNN,JOSHUA",,,"SUB OUT by NUNN,JOSHUA",2
01:20,,,,,"MISS 3PTR by MATHIS,DUSTIN",,,"MISS 3PTR by MATHIS,DUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:01,"TURNOVER  by CRAWFORD,TRACE",,,,,,,"TURNOVER  by CRAWFORD,TRACE",2
01:00,,,,,"STEAL  by HAYES,ISAIAH",,,"STEAL  by HAYES,ISAIAH",2
00:58,,,,,"MISS LAYUP by BOLEN,SCOTT",,,"MISS LAYUP by BOLEN,SCOTT",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
00:53,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
00:49,,,,,"STEAL  by BOUTWELL,BROOKS",,,"STEAL  by BOUTWELL,BROOKS",2
00:48,,,,,"TURNOVER  by BOUTWELL,BROOKS",,,"TURNOVER  by BOUTWELL,BROOKS",2
00:46,"STEAL  by CRAWFORD,TRACE",,,,,,,"STEAL  by CRAWFORD,TRACE",2
00:36,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",82 (+16),,66,,HENDRIXM 82-66 (+16),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
00:28,,,,,"MISS LAYUP by BOLEN,SCOTT",,,"MISS LAYUP by BOLEN,SCOTT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:25,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",2
00:25,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",2
00:25,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",2
00:25,"SUB IN by PRINS,ZACHARY",,,,,,,"SUB IN by PRINS,ZACHARY",2
00:25,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",2
00:25,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
00:25,"SUB OUT by CRAWFORD,TRACE",,,,,,,"SUB OUT by CRAWFORD,TRACE",2
00:25,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",2
00:25,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
00:25,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
00:25,,,,,"SUB IN by WASHINGTON,UNIIKYE",,,"SUB IN by WASHINGTON,UNIIKYE",2
00:25,,,,,"SUB IN by TAYLOR,JACOB",,,"SUB IN by TAYLOR,JACOB",2
00:25,,,,,"SUB OUT by MATHIS,DUSTIN",,,"SUB OUT by MATHIS,DUSTIN",2
00:25,,,,,"SUB OUT by BOUTWELL,BROOKS",,,"SUB OUT by BOUTWELL,BROOKS",2
00:22,,,,,"MISS LAYUP by HAYES,ISAIAH",,,"MISS LAYUP by HAYES,ISAIAH",2
--,,,,,"REBOUND OFF by HAYES,ISAIAH",,,"REBOUND OFF by HAYES,ISAIAH",2
00:17,,,,,"MISS 3PTR by LOCKHART,CHANCE",,,"MISS 3PTR by LOCKHART,CHANCE",2
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",2
