Time Remaining,UO-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:49,,6,,8 (+2),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 6-8 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
16:29,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
16:29,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:29,"GOOD FT by JOHNSON,BRYSON",7,,8 (+1),,UO-M 7-8 (+1),,"GOOD FT by JOHNSON,BRYSON",1
16:29,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
16:29,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
16:18,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
16:15,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
16:04,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
16:03,"STEAL  by BOWMAN,ETHAN",,,,,,,"STEAL  by BOWMAN,ETHAN",1
15:59,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:49,"FOUL  by GARDNER,LANCE",,,,,,,"FOUL  by GARDNER,LANCE",1
15:40,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by GARDNER,LANCE",,,,,,,"REBOUND DEF by GARDNER,LANCE",1
15:34,"MISS 3PTR by BOWMAN,ETHAN",,,,,,,"MISS 3PTR by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:25,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",1
15:14,"TURNOVER  by BOWMAN,ETHAN",,,,,,,"TURNOVER  by BOWMAN,ETHAN",1
15:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:14,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",1
15:14,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
15:14,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
15:14,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
15:14,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
15:14,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
15:14,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
15:14,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
15:14,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
15:14,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
14:48,"FOUL  by BARNES,SKYLER",,,,,,,"FOUL  by BARNES,SKYLER",1
14:48,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:48,,7,,9 (+2),"GOOD FT by FITCH,CARL",HENDRIX 7-9 (+2),,"GOOD FT by FITCH,CARL",1
14:43,"FOUL  by GARDNER,LANCE",,,,,,,"FOUL  by GARDNER,LANCE",1
14:43,"TURNOVER  by GARDNER,LANCE",,,,,,,"TURNOVER  by GARDNER,LANCE",1
14:43,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
14:43,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
14:22,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
14:22,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
14:22,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
14:22,"SUB OUT by GARDNER,LANCE",,,,,,,"SUB OUT by GARDNER,LANCE",1
14:20,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
14:20,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
14:10,"MISS LAYUP by WILHELM,CORY",,,,,,,"MISS LAYUP by WILHELM,CORY",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
13:59,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",1
13:49,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",9,,9,,UO-M 9-9 (0),,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",1
13:33,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",1
13:16,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
13:10,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
13:07,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
12:52,,,,,"MISS 3PTR by RIDING,JAKE",,,"MISS 3PTR by RIDING,JAKE",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
12:44,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:29,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
12:29,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
12:29,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
12:29,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",1
12:29,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
12:29,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",1
12:29,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
12:29,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
12:29,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
12:29,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
12:29,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
12:29,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
12:19,,9,,11 (+2),"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIX 9-11 (+2),,"GOOD LAYUP by EATON,JACK(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
12:03,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
12:03,"MISS FT by KNIGHT,KELVIN",,,,,,,"MISS FT by KNIGHT,KELVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:03,"GOOD FT by KNIGHT,KELVIN",10,,11 (+1),,UO-M 10-11 (+1),,"GOOD FT by KNIGHT,KELVIN",1
12:03,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
12:03,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
11:54,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
11:54,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
11:54,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
11:54,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
11:43,"FOUL  by KNIGHT,KELVIN",,,,,,,"FOUL  by KNIGHT,KELVIN",1
11:43,"TURNOVER  by KNIGHT,KELVIN",,,,,,,"TURNOVER  by KNIGHT,KELVIN",1
11:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:25,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
11:16,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,"REBOUND OFF by KNIGHT,KELVIN",,,,,,,"REBOUND OFF by KNIGHT,KELVIN",1
11:13,"MISS LAYUP by KNIGHT,KELVIN",,,,,,,"MISS LAYUP by KNIGHT,KELVIN",1
--,"REBOUND OFF by RENELIQUE,DARNEL",,,,,,,"REBOUND OFF by RENELIQUE,DARNEL",1
11:07,"GOOD 3PTR by JOHNSON,BRYSON",13 (+2),,11,,UO-M 13-11 (-2),,"GOOD 3PTR by JOHNSON,BRYSON",1
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",1
10:48,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
10:43,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
10:41,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
10:41,"SUB IN by GODLEY,DERRICK",,,,,,,"SUB IN by GODLEY,DERRICK",1
10:41,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",1
10:31,"MISS LAYUP by KNIGHT,KELVIN",,,,,,,"MISS LAYUP by KNIGHT,KELVIN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
10:21,"FOUL  by RENELIQUE,DARNEL",,,,,,,"FOUL  by RENELIQUE,DARNEL",1
10:21,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:21,,13 (+1),,12,"GOOD FT by BRASFIELD,KAM",HENDRIX 13-12 (-1),,"GOOD FT by BRASFIELD,KAM",1
10:21,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
10:21,"SUB OUT by RENELIQUE,DARNEL",,,,,,,"SUB OUT by RENELIQUE,DARNEL",1
10:04,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
09:54,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
09:34,"GOOD JUMPER by BOBO,ZACH",15 (+3),,12,,UO-M 15-12 (-3),,"GOOD JUMPER by BOBO,ZACH",1
--,"ASSIST  by GODLEY,DERRICK",,,,,,,"ASSIST  by GODLEY,DERRICK",1
09:17,,15,,15,"GOOD 3PTR by STANLEY,SETH",HENDRIX 15-15 (0),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
08:57,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
08:57,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
08:57,"SUB OUT by KNIGHT,KELVIN",,,,,,,"SUB OUT by KNIGHT,KELVIN",1
08:57,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
08:57,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
08:37,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
08:36,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
08:34,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
08:34,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:34,"MISS FT by JOHNSON,BRYSON",,,,,,,"MISS FT by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
08:08,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",1
08:08,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",1
08:08,,15,,16 (+1),"GOOD FT by STANLEY,SETH",HENDRIX 15-16 (+1),,"GOOD FT by STANLEY,SETH",1
08:08,,15,,17 (+2),"GOOD FT by STANLEY,SETH",HENDRIX 15-17 (+2),,"GOOD FT by STANLEY,SETH",1
08:08,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
08:08,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
07:58,"GOOD LAYUP by GODLEY,DERRICK(in the paint)",17,,17,,UO-M 17-17 (0),,"GOOD LAYUP by GODLEY,DERRICK(in the paint)",1
07:42,,17,,20 (+3),"GOOD 3PTR by FITCH,CARL",HENDRIX 17-20 (+3),,"GOOD 3PTR by FITCH,CARL",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
07:17,"MISS LAYUP by COHNS,SEAN",,,,,,,"MISS LAYUP by COHNS,SEAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
07:05,"FOUL  by COHNS,SEAN",,,,,,,"FOUL  by COHNS,SEAN",1
07:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:05,,17,,21 (+4),"GOOD FT by LINK,JACOB",HENDRIX 17-21 (+4),,"GOOD FT by LINK,JACOB",1
07:05,,17,,22 (+5),"GOOD FT by LINK,JACOB",HENDRIX 17-22 (+5),,"GOOD FT by LINK,JACOB",1
06:47,"GOOD JUMPER by TURPIN,TIM(in the paint)",19,,22 (+3),,UO-M 19-22 (+3),,"GOOD JUMPER by TURPIN,TIM(in the paint)",1
--,"ASSIST  by WINSTON,CORDY",,,,,,,"ASSIST  by WINSTON,CORDY",1
06:24,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
06:24,"BLOCK  by BOBO,ZACH",,,,,,,"BLOCK  by BOBO,ZACH",1
--,"REBOUND DEF by GODLEY,DERRICK",,,,,,,"REBOUND DEF by GODLEY,DERRICK",1
06:17,"GOOD JUMPER by GODLEY,DERRICK(in the paint)",21,,22 (+1),,UO-M 21-22 (+1),,"GOOD JUMPER by GODLEY,DERRICK(in the paint)",1
06:06,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
06:03,"STEAL  by GODLEY,DERRICK",,,,,,,"STEAL  by GODLEY,DERRICK",1
06:00,"MISS JUMPER by GODLEY,DERRICK",,,,,,,"MISS JUMPER by GODLEY,DERRICK",1
--,"REBOUND OFF by COHNS,SEAN",,,,,,,"REBOUND OFF by COHNS,SEAN",1
05:57,"MISS LAYUP by COHNS,SEAN",,,,,,,"MISS LAYUP by COHNS,SEAN",1
--,"REBOUND OFF by TURPIN,TIM",,,,,,,"REBOUND OFF by TURPIN,TIM",1
05:52,"GOOD LAYUP by TURPIN,TIM(in the paint)",23 (+1),,22,,UO-M 23-22 (-1),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
05:50,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
05:50,"GOOD FT by TURPIN,TIM",24 (+2),,22,,UO-M 24-22 (-2),,"GOOD FT by TURPIN,TIM",1
05:50,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
05:50,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",1
05:50,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
05:50,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
05:50,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
05:50,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
05:50,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
05:50,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
05:50,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
05:50,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
05:33,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
05:33,"BLOCK  by WILHELM,CORY",,,,,,,"BLOCK  by WILHELM,CORY",1
--,"REBOUND DEF by WILHELM,CORY",,,,,,,"REBOUND DEF by WILHELM,CORY",1
05:26,"TURNOVER  by BOBO,ZACH",,,,,,,"TURNOVER  by BOBO,ZACH",1
05:14,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
05:04,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
05:04,"MISS FT by WINSTON,CORDY",,,,,,,"MISS FT by WINSTON,CORDY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:04,"MISS FT by WINSTON,CORDY",,,,,,,"MISS FT by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
05:04,"SUB IN by WILLIAMS,JAVIAN",,,,,,,"SUB IN by WILLIAMS,JAVIAN",1
05:04,"SUB OUT by GODLEY,DERRICK",,,,,,,"SUB OUT by GODLEY,DERRICK",1
04:45,,24,,25 (+1),"GOOD 3PTR by COMAN,SEAN",HENDRIX 24-25 (+1),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
04:21,"MISS 3PTR by WINSTON,CORDY",,,,,,,"MISS 3PTR by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by PHILLIP,ADAM",,,"REBOUND DEF by PHILLIP,ADAM",1
04:09,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",1
04:09,,24,,26 (+2),"GOOD FT by FITCH,CARL",HENDRIX 24-26 (+2),,"GOOD FT by FITCH,CARL",1
04:09,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",1
03:51,"MISS 3PTR by WINSTON,CORDY",,,,,,,"MISS 3PTR by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
03:39,,24,,28 (+4),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 24-28 (+4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
03:20,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,"REBOUND OFF by WILHELM,CORY",,,,,,,"REBOUND OFF by WILHELM,CORY",1
03:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:09,"TURNOVER  by WINSTON,CORDY",,,,,,,"TURNOVER  by WINSTON,CORDY",1
02:43,,,,,"MISS LAYUP by RIDING,JAKE",,,"MISS LAYUP by RIDING,JAKE",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
02:21,"MISS LAYUP by BOBO,ZACH",,,,,,,"MISS LAYUP by BOBO,ZACH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:13,,24,,31 (+7),"GOOD 3PTR by COMAN,SEAN",HENDRIX 24-31 (+7),,"GOOD 3PTR by COMAN,SEAN",1
01:52,"MISS LAYUP by KNIGHT,KELVIN",,,,,,,"MISS LAYUP by KNIGHT,KELVIN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:46,,24,,33 (+9),"GOOD JUMPER by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 24-33 (+9),,"GOOD JUMPER by BRASFIELD,KAM(fastbreak)(in the paint)",1
01:30,"MISS JUMPER by WILLIAMS,JAVIAN",,,,,,,"MISS JUMPER by WILLIAMS,JAVIAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:21,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",1
01:21,,24,,34 (+10),"GOOD FT by LINK,JACOB",HENDRIX 24-34 (+10),,"GOOD FT by LINK,JACOB",1
01:21,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
01:21,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
01:21,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",1
01:21,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
01:21,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
01:21,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
01:21,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
01:21,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",1
01:21,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
01:08,"TURNOVER  by KNIGHT,KELVIN",,,,,,,"TURNOVER  by KNIGHT,KELVIN",1
01:01,"FOUL  by WILLIAMS,JAVIAN",,,,,,,"FOUL  by WILLIAMS,JAVIAN",1
01:01,,24,,35 (+11),"GOOD FT by BRASFIELD,KAM",HENDRIX 24-35 (+11),,"GOOD FT by BRASFIELD,KAM",1
01:01,,24,,36 (+12),"GOOD FT by BRASFIELD,KAM",HENDRIX 24-36 (+12),,"GOOD FT by BRASFIELD,KAM",1
00:47,"MISS LAYUP by RENELIQUE,DARNEL",,,,,,,"MISS LAYUP by RENELIQUE,DARNEL",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
00:40,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
00:40,"BLOCK  by DAVIS,JACOBE",,,,,,,"BLOCK  by DAVIS,JACOBE",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
00:33,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",26,,36 (+10),,UO-M 26-36 (+10),,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",1
00:33,,,,,"FOUL  by PHILLIP,ADAM",,,"FOUL  by PHILLIP,ADAM",1
