Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
16:11,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
16:01,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
16:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:00,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
16:00,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
15:50,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",1
15:38,,8,,9 (+1),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 8-9 (+1),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
15:14,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
15:14,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
14:51,"MISS JUMPER by MOORE,MYLES",,,,,,,"MISS JUMPER by MOORE,MYLES",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
14:46,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
14:46,"GOOD FT by HIRSH,ELIJAH",9,,9,,BCM 9-9 (0),,"GOOD FT by HIRSH,ELIJAH",1
14:46,"GOOD FT by HIRSH,ELIJAH",10 (+1),,9,,BCM 10-9 (-1),,"GOOD FT by HIRSH,ELIJAH",1
14:46,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
14:46,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
14:46,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
14:46,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
14:46,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
14:46,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
14:24,,10,,11 (+1),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 10-11 (+1),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
14:07,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",1
14:05,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
13:53,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:53,"FOUL  by MOORE,MYLES",,,,,,,"FOUL  by MOORE,MYLES",1
13:53,,10,,12 (+2),"GOOD FT by LINK,JACOB",HENDRIX 10-12 (+2),,"GOOD FT by LINK,JACOB",1
13:42,"GOOD 3PTR by MOORE,MYLES",13 (+1),,12,,BCM 13-12 (-1),,"GOOD 3PTR by MOORE,MYLES",1
--,"ASSIST  by WEHUNT,DAWSON",,,,,,,"ASSIST  by WEHUNT,DAWSON",1
13:25,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",1
13:25,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",1
13:25,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
13:25,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
13:25,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:12,,13,,14 (+1),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 13-14 (+1),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
13:02,"MISS 3PTR by MOORE,MYLES",,,,,,,"MISS 3PTR by MOORE,MYLES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:58,"SUB IN by CUMMINGS,DREW",,,,,,,"SUB IN by CUMMINGS,DREW",1
12:58,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
12:58,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",1
12:58,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",1
12:58,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
12:58,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
12:45,,13,,16 (+3),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 13-16 (+3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
12:30,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
12:16,,13,,18 (+5),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 13-18 (+5),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
11:57,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
11:34,,13,,20 (+7),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 13-20 (+7),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by ROUSE,TREY",,,"ASSIST  by ROUSE,TREY",1
11:24,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
11:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:57,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by CUMMINGS,DREW",,,,,,,"REBOUND DEF by CUMMINGS,DREW",1
10:45,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",15,,20 (+5),,BCM 15-20 (+5),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
10:29,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
10:28,"STEAL  by HIRSH,ELIJAH",,,,,,,"STEAL  by HIRSH,ELIJAH",1
10:21,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
10:15,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
10:15,"GOOD FT by HAYNES,CALEB",16,,20 (+4),,BCM 16-20 (+4),,"GOOD FT by HAYNES,CALEB",1
10:15,"MISS FT by HAYNES,CALEB",,,,,,,"MISS FT by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
10:15,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
10:15,"BLOCK  by HAYNES,CALEB",,,,,,,"BLOCK  by HAYNES,CALEB",1
--,"REBOUND DEF by CUMMINGS,DREW",,,,,,,"REBOUND DEF by CUMMINGS,DREW",1
10:15,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
10:15,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
10:15,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
10:12,"FOUL  by CUMMINGS,DREW",,,,,,,"FOUL  by CUMMINGS,DREW",1
10:12,,16,,21 (+5),"GOOD FT by EATON,JACK",HENDRIX 16-21 (+5),,"GOOD FT by EATON,JACK",1
10:03,,16,,22 (+6),"GOOD FT by EATON,JACK",HENDRIX 16-22 (+6),,"GOOD FT by EATON,JACK",1
10:03,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:03,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
10:03,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:03,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
10:03,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
10:03,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
09:47,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
09:45,"GOOD FT by HIRSH,ELIJAH",17,,22 (+5),,BCM 17-22 (+5),,"GOOD FT by HIRSH,ELIJAH",1
09:34,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
09:34,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
09:33,"GOOD FT by HIRSH,ELIJAH",18,,22 (+4),,BCM 18-22 (+4),,"GOOD FT by HIRSH,ELIJAH",1
09:26,"SUB IN by WEHUNT,DAWSON",,,,,,,"SUB IN by WEHUNT,DAWSON",1
09:26,"SUB OUT by JOHNSON,CORY",,,,,,,"SUB OUT by JOHNSON,CORY",1
08:54,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
08:53,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
08:53,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
08:38,"GOOD 3PTR by MOORE,MYLES",21,,22 (+1),,BCM 21-22 (+1),,"GOOD 3PTR by MOORE,MYLES",1
08:08,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",1
07:55,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",23 (+1),,22,,BCM 23-22 (-1),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
07:35,,23,,24 (+1),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 23-24 (+1),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
07:21,"TURNOVER  by HASLAM,ETHAN",,,,,,,"TURNOVER  by HASLAM,ETHAN",1
07:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:04,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
07:03,"STEAL  by HIRSH,ELIJAH",,,,,,,"STEAL  by HIRSH,ELIJAH",1
06:43,"GOOD 3PTR by MOORE,MYLES",26 (+2),,24,,BCM 26-24 (-2),,"GOOD 3PTR by MOORE,MYLES",1
--,"ASSIST  by HIRSH,ELIJAH",,,,,,,"ASSIST  by HIRSH,ELIJAH",1
06:22,,26,,26,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 26-26 (0),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
06:03,"MISS 3PTR by MOORE,MYLES",,,,,,,"MISS 3PTR by MOORE,MYLES",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
05:42,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
05:36,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",1
05:09,"GOOD LAYUP by HAYNES,CALEB(in the paint)",28 (+2),,26,,BCM 28-26 (-2),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
04:55,"FOUL  by JOHNSON,CORY",,,,,,,"FOUL  by JOHNSON,CORY",1
04:55,"SUB IN by HIRSH,ELIJAH",,,,,,,"SUB IN by HIRSH,ELIJAH",1
04:55,"SUB IN by MOORE,MYLES",,,,,,,"SUB IN by MOORE,MYLES",1
04:55,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
04:55,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
04:55,"SUB OUT by CUMMINGS,DREW",,,,,,,"SUB OUT by CUMMINGS,DREW",1
04:55,"SUB OUT by HAYNES,CALEB",,,,,,,"SUB OUT by HAYNES,CALEB",1
04:55,"SUB OUT by HASLAM,ETHAN",,,,,,,"SUB OUT by HASLAM,ETHAN",1
04:55,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
04:49,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",1
04:20,"GOOD 3PTR by ATKINSON,QUINN",31 (+5),,26,,BCM 31-26 (-5),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST  by MOORE,MYLES",,,,,,,"ASSIST  by MOORE,MYLES",1
04:00,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",1
03:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:54,,31 (+4),,27,"GOOD FT by STANLEY,SETH",HENDRIX 31-27 (-4),,"GOOD FT by STANLEY,SETH",1
03:54,,31 (+3),,28,"GOOD FT by STANLEY,SETH",HENDRIX 31-28 (-3),,"GOOD FT by STANLEY,SETH",1
03:54,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
03:54,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
03:54,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
03:54,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
03:33,"TURNOVER  by MOORE,MYLES",,,,,,,"TURNOVER  by MOORE,MYLES",1
03:33,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
03:26,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
03:26,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
03:15,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
02:54,,31,,31,"GOOD 3PTR by LINK,JACOB",HENDRIX 31-31 (0),,"GOOD 3PTR by LINK,JACOB",1
02:25,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
02:25,"GOOD FT by HIRSH,ELIJAH",32 (+1),,31,,BCM 32-31 (-1),,"GOOD FT by HIRSH,ELIJAH",1
02:25,"GOOD FT by HIRSH,ELIJAH",33 (+2),,31,,BCM 33-31 (-2),,"GOOD FT by HIRSH,ELIJAH",1
02:25,"SUB IN by HAYNES,CALEB",,,,,,,"SUB IN by HAYNES,CALEB",1
02:25,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
02:03,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
01:54,"MISS LAYUP by MOORE,MYLES",,,,,,,"MISS LAYUP by MOORE,MYLES",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
01:45,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
01:41,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",35 (+4),,31,,BCM 35-31 (-4),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
01:29,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
01:08,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
01:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:02,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
01:02,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
01:02,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
01:02,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
00:42,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",1
00:29,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
00:15,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",37 (+6),,31,,BCM 37-31 (-6),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
00:13,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
00:13,"GOOD FT by HIRSH,ELIJAH",38 (+7),,31,,BCM 38-31 (-7),,"GOOD FT by HIRSH,ELIJAH",1
00:00,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:51,,38 (+5),,33,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 38-33 (-5),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
19:21,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
19:18,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",2
19:16,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",40 (+7),,33,,BCM 40-33 (-7),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2
19:06,,40 (+5),,35,"GOOD JUMPER by STANLEY,SETH",HENDRIX 40-35 (-5),,"GOOD JUMPER by STANLEY,SETH",2
18:43,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
18:34,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by MOORE,MYLES",,,,,,,"REBOUND DEF by MOORE,MYLES",2
18:26,"TURNOVER  by MOORE,MYLES",,,,,,,"TURNOVER  by MOORE,MYLES",2
18:25,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
18:22,,40 (+3),,37,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 40-37 (-3),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2
17:51,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
17:41,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",2
17:34,"TURNOVER  by MOORE,MYLES",,,,,,,"TURNOVER  by MOORE,MYLES",2
17:34,"SUB IN by CUMMINGS,DREW",,,,,,,"SUB IN by CUMMINGS,DREW",2
17:34,"SUB OUT by MOORE,MYLES",,,,,,,"SUB OUT by MOORE,MYLES",2
17:12,,40,,40,"GOOD 3PTR by SMITH,PRESTON",HENDRIX 40-40 (0),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
16:48,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
16:39,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",2
16:22,"MISS 3PTR by CUMMINGS,DREW",,,,,,,"MISS 3PTR by CUMMINGS,DREW",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
16:12,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",2
--,"REBOUND DEF by CUMMINGS,DREW",,,,,,,"REBOUND DEF by CUMMINGS,DREW",2
16:02,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
15:49,,40,,43 (+3),"GOOD 3PTR by STANLEY,SETH",HENDRIX 40-43 (+3),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
15:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:22,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
15:10,,40,,45 (+5),"GOOD JUMPER by STANLEY,SETH",HENDRIX 40-45 (+5),,"GOOD JUMPER by STANLEY,SETH",2
14:53,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
14:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:53,"MISS FT by HAYNES,CALEB",,,,,,,"MISS FT by HAYNES,CALEB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:53,"MISS FT by HAYNES,CALEB",,,,,,,"MISS FT by HAYNES,CALEB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:32,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
14:32,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",2
--,,,,,"REBOUND OFF by ROUSE,TREY",,,"REBOUND OFF by ROUSE,TREY",2
14:20,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",2
14:20,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
13:55,,40,,48 (+8),"GOOD 3PTR by LINK,JACOB",HENDRIX 40-48 (+8),,"GOOD 3PTR by LINK,JACOB",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
13:33,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",2
13:32,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
13:29,"FOUL  by MOORE,MYLES",,,,,,,"FOUL  by MOORE,MYLES",2
13:29,,40,,49 (+9),"GOOD FT by LINK,JACOB",HENDRIX 40-49 (+9),,"GOOD FT by LINK,JACOB",2
13:29,,40,,50 (+10),"GOOD FT by LINK,JACOB",HENDRIX 40-50 (+10),,"GOOD FT by LINK,JACOB",2
13:29,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
13:29,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
13:29,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",2
13:29,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
13:29,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
13:29,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
13:29,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
