Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UAFS,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by SIVINS,MATISS",,,"REBOUND OFF by SIVINS,MATISS",1
11:46,,12,,20 (+8),"GOOD LAYUP by SIVINS,MATISS(in the paint)",UAFS 12-20 (-8),,"GOOD LAYUP by SIVINS,MATISS(in the paint)",1
11:30,"GOOD LAYUP by CONRAD,ALEX(in the paint)",14,,20 (+6),,HENDRIXM 14-20 (-6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
11:25,,,,,"TURNOVER  by BOWIE,MARC",,,"TURNOVER  by BOWIE,MARC",1
11:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:25,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
11:25,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
11:25,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
11:25,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
11:25,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
11:08,"GOOD LAYUP by LINK,JACOB(in the paint)",16,,20 (+4),,HENDRIXM 16-20 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
10:55,,16,,22 (+6),"GOOD JUMPER by MORGAN,MATT(in the paint)",UAFS 16-22 (-6),,"GOOD JUMPER by MORGAN,MATT(in the paint)",1
--,,,,,"ASSIST  by HAWLEY,SETH",,,"ASSIST  by HAWLEY,SETH",1
10:45,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
10:45,,,,,"SUB IN by WARD,DAVID",,,"SUB IN by WARD,DAVID",1
10:45,,,,,"SUB OUT by SIVINS,MATISS",,,"SUB OUT by SIVINS,MATISS",1
10:17,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
10:17,,16,,23 (+7),"GOOD FT by CRAWFORD,CHRIS",UAFS 16-23 (-7),,"GOOD FT by CRAWFORD,CHRIS",1
10:17,,16,,24 (+8),"GOOD FT by CRAWFORD,CHRIS",UAFS 16-24 (-8),,"GOOD FT by CRAWFORD,CHRIS",1
10:05,"TURNOVER  by RIDING,JAKE",,,,,,,"TURNOVER  by RIDING,JAKE",1
10:03,,,,,"STEAL  by BOWIE,MARC",,,"STEAL  by BOWIE,MARC",1
10:01,,,,,"MISS LAYUP by BOWIE,MARC",,,"MISS LAYUP by BOWIE,MARC",1
--,,,,,"REBOUND OFF by MORGAN,MATT",,,"REBOUND OFF by MORGAN,MATT",1
09:55,,,,,"MISS 3PTR by CRAWFORD,CHRIS",,,"MISS 3PTR by CRAWFORD,CHRIS",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
09:46,"GOOD LAYUP by CONRAD,ALEX(in the paint)",18,,24 (+6),,HENDRIXM 18-24 (-6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
09:28,,,,,"MISS 3PTR by CRAWFORD,CHRIS",,,"MISS 3PTR by CRAWFORD,CHRIS",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
09:14,,,,,"FOUL  by CRAWFORD,CHRIS",,,"FOUL  by CRAWFORD,CHRIS",1
09:14,"GOOD FT by CONRAD,ALEX",19,,24 (+5),,HENDRIXM 19-24 (-5),,"GOOD FT by CONRAD,ALEX",1
09:14,"GOOD FT by CONRAD,ALEX",20,,24 (+4),,HENDRIXM 20-24 (-4),,"GOOD FT by CONRAD,ALEX",1
09:14,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
09:14,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
09:14,,,,,"SUB IN by WILLIAMS,TYLER",,,"SUB IN by WILLIAMS,TYLER",1
09:14,,,,,"SUB OUT by CRAWFORD,CHRIS",,,"SUB OUT by CRAWFORD,CHRIS",1
08:56,,20,,26 (+6),"GOOD JUMPER by HAWLEY,SETH",UAFS 20-26 (-6),,"GOOD JUMPER by HAWLEY,SETH",1
--,,,,,"ASSIST  by WARD,DAVID",,,"ASSIST  by WARD,DAVID",1
08:46,,,,,"FOUL  by HAWLEY,SETH",,,"FOUL  by HAWLEY,SETH",1
08:37,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by HAWLEY,SETH",,,"REBOUND DEF by HAWLEY,SETH",1
08:27,,,,,"MISS 3PTR by WARD,DAVID",,,"MISS 3PTR by WARD,DAVID",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
08:18,"GOOD LAYUP by ROUSE,TREY(in the paint)",22,,26 (+4),,HENDRIXM 22-26 (-4),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
07:56,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
07:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:56,,22,,27 (+5),"GOOD FT by MORGAN,MATT",UAFS 22-27 (-5),,"GOOD FT by MORGAN,MATT",1
07:56,,22,,28 (+6),"GOOD FT by MORGAN,MATT",UAFS 22-28 (-6),,"GOOD FT by MORGAN,MATT",1
07:56,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
07:56,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
07:56,,,,,"SUB IN by SIVINS,MATISS",,,"SUB IN by SIVINS,MATISS",1
07:56,,,,,"SUB OUT by HAWLEY,SETH",,,"SUB OUT by HAWLEY,SETH",1
07:41,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",1
07:33,,22,,30 (+8),"GOOD LAYUP by WARD,DAVID(in the paint)",UAFS 22-30 (-8),,"GOOD LAYUP by WARD,DAVID(in the paint)",1
07:33,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
07:33,,22,,31 (+9),"GOOD FT by WARD,DAVID",UAFS 22-31 (-9),,"GOOD FT by WARD,DAVID",1
--,,,,,"ASSIST  by SIVINS,MATISS",,,"ASSIST  by SIVINS,MATISS",1
07:22,"GOOD LAYUP by COMAN,SEAN(in the paint)",24,,31 (+7),,HENDRIXM 24-31 (-7),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,"ASSIST  by RIDING,JAKE",,,,,,,"ASSIST  by RIDING,JAKE",1
07:05,,,,,"TURNOVER  by MORGAN,MATT",,,"TURNOVER  by MORGAN,MATT",1
07:05,,,,,"SUB IN by BOYER,BRADEN",,,"SUB IN by BOYER,BRADEN",1
07:05,,,,,"SUB OUT by MORGAN,MATT",,,"SUB OUT by MORGAN,MATT",1
06:57,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
06:53,,,,,"STEAL  by WILLIAMS,TYLER",,,"STEAL  by WILLIAMS,TYLER",1
06:52,,24,,33 (+9),"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",UAFS 24-33 (-9),,"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",1
06:33,,,,,"FOUL  by WILLIAMS,TYLER",,,"FOUL  by WILLIAMS,TYLER",1
06:33,"GOOD FT by ROUSE,TREY",25,,33 (+8),,HENDRIXM 25-33 (-8),,"GOOD FT by ROUSE,TREY",1
06:33,"MISS FT by ROUSE,TREY",,,,,,,"MISS FT by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",1
06:33,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
06:33,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
06:15,,25,,35 (+10),"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",UAFS 25-35 (-10),,"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",1
05:53,,,,,"FOUL  by BOWIE,MARC",,,"FOUL  by BOWIE,MARC",1
05:53,"MISS FT by RIDING,JAKE",,,,,,,"MISS FT by RIDING,JAKE",1
--,,,,,"REBOUND DEF by BOYER,BRADEN",,,"REBOUND DEF by BOYER,BRADEN",1
05:53,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
05:53,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
05:38,,,,,"TURNOVER  by WILLIAMS,TYLER",,,"TURNOVER  by WILLIAMS,TYLER",1
05:30,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BOYER,BRADEN",,,"REBOUND DEF by BOYER,BRADEN",1
05:30,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
05:30,,,,,"SUB IN by HAWLEY,SETH",,,"SUB IN by HAWLEY,SETH",1
05:30,,,,,"SUB OUT by BOWIE,MARC",,,"SUB OUT by BOWIE,MARC",1
05:27,,25,,38 (+13),"GOOD 3PTR by WILLIAMS,TYLER",UAFS 25-38 (-13),,"GOOD 3PTR by WILLIAMS,TYLER",1
--,,,,,"ASSIST  by WARD,DAVID",,,"ASSIST  by WARD,DAVID",1
05:27,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
05:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:56,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
04:56,,,,,"BLOCK  by WARD,DAVID",,,"BLOCK  by WARD,DAVID",1
--,,,,,"REBOUND DEF by WARD,DAVID",,,"REBOUND DEF by WARD,DAVID",1
04:48,,,,,"MISS 3PTR by WARD,DAVID",,,"MISS 3PTR by WARD,DAVID",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
04:39,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",1
04:21,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by BOYER,BRADEN",,,"REBOUND DEF by BOYER,BRADEN",1
04:12,,25,,40 (+15),"GOOD LAYUP by WARD,DAVID(in the paint)",UAFS 25-40 (-15),,"GOOD LAYUP by WARD,DAVID(in the paint)",1
04:12,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
04:12,,,,,"MISS FT by WARD,DAVID",,,"MISS FT by WARD,DAVID",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
04:12,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
04:12,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
03:57,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by HAWLEY,SETH",,,"REBOUND DEF by HAWLEY,SETH",1
03:53,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:42,,,,,"MISS JUMPER by SIVINS,MATISS",,,"MISS JUMPER by SIVINS,MATISS",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
03:31,"GOOD LAYUP by EATON,JACK(in the paint)",27,,40 (+13),,HENDRIXM 27-40 (-13),,"GOOD LAYUP by EATON,JACK(in the paint)",1
--,"ASSIST  by RIDING,JAKE",,,,,,,"ASSIST  by RIDING,JAKE",1
03:07,,,,,"MISS LAYUP by WARD,DAVID",,,"MISS LAYUP by WARD,DAVID",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
03:00,,,,,"FOUL  by HAWLEY,SETH",,,"FOUL  by HAWLEY,SETH",1
03:00,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:00,"GOOD FT by BRASFIELD,KAM",28,,40 (+12),,HENDRIXM 28-40 (-12),,"GOOD FT by BRASFIELD,KAM",1
03:00,,,,,"SUB IN by MORGAN,MATT",,,"SUB IN by MORGAN,MATT",1
03:00,,,,,"SUB IN by CRAWFORD,CHRIS",,,"SUB IN by CRAWFORD,CHRIS",1
03:00,,,,,"SUB OUT by BOYER,BRADEN",,,"SUB OUT by BOYER,BRADEN",1
03:00,,,,,"SUB OUT by WARD,DAVID",,,"SUB OUT by WARD,DAVID",1
02:47,,,,,"MISS JUMPER by MORGAN,MATT",,,"MISS JUMPER by MORGAN,MATT",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
02:40,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",1
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",1
02:26,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
02:26,,28,,41 (+13),"GOOD FT by MORGAN,MATT",UAFS 28-41 (-13),,"GOOD FT by MORGAN,MATT",1
02:26,,28,,42 (+14),"GOOD FT by MORGAN,MATT",UAFS 28-42 (-14),,"GOOD FT by MORGAN,MATT",1
02:16,"MISS LAYUP by CRAWFORD,TRACE",,,,,,,"MISS LAYUP by CRAWFORD,TRACE",1
02:16,,,,,"BLOCK  by MORGAN,MATT",,,"BLOCK  by MORGAN,MATT",1
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",1
02:10,,28,,45 (+17),"GOOD 3PTR by SIVINS,MATISS",UAFS 28-45 (-17),,"GOOD 3PTR by SIVINS,MATISS",1
--,,,,,"ASSIST  by CRAWFORD,CHRIS",,,"ASSIST  by CRAWFORD,CHRIS",1
01:52,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
01:50,,,,,"STEAL  by SIVINS,MATISS",,,"STEAL  by SIVINS,MATISS",1
01:48,,28,,47 (+19),"GOOD LAYUP by WILLIAMS,TYLER(fastbreak)(in the paint)",UAFS 28-47 (-19),,"GOOD LAYUP by WILLIAMS,TYLER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SIVINS,MATISS",,,"ASSIST  by SIVINS,MATISS",1
01:35,"MISS LAYUP by EATON,JACK",,,,,,,"MISS LAYUP by EATON,JACK",1
--,,,,,"REBOUND DEF by SIVINS,MATISS",,,"REBOUND DEF by SIVINS,MATISS",1
01:27,,28,,49 (+21),"GOOD LAYUP by CRAWFORD,CHRIS(in the paint)",UAFS 28-49 (-21),,"GOOD LAYUP by CRAWFORD,CHRIS(in the paint)",1
01:11,,,,,"FOUL  by SIVINS,MATISS",,,"FOUL  by SIVINS,MATISS",1
01:11,"MISS FT by CRAWFORD,TRACE",,,,,,,"MISS FT by CRAWFORD,TRACE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:11,"MISS FT by CRAWFORD,TRACE",,,,,,,"MISS FT by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by MORGAN,MATT",,,"REBOUND DEF by MORGAN,MATT",1
01:11,,,,,"SUB IN by BOWIE,MARC",,,"SUB IN by BOWIE,MARC",1
01:11,,,,,"SUB OUT by WILLIAMS,TYLER",,,"SUB OUT by WILLIAMS,TYLER",1
00:42,,,,,"TURNOVER  by SIVINS,MATISS",,,"TURNOVER  by SIVINS,MATISS",1
00:36,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
00:34,,,,,"STEAL  by HAWLEY,SETH",,,"STEAL  by HAWLEY,SETH",1
00:33,"FOUL  by RIDING,JAKE",,,,,,,"FOUL  by RIDING,JAKE",1
00:33,,28,,50 (+22),"GOOD FT by HAWLEY,SETH",UAFS 28-50 (-22),,"GOOD FT by HAWLEY,SETH",1
00:33,,28,,51 (+23),"GOOD FT by HAWLEY,SETH",UAFS 28-51 (-23),,"GOOD FT by HAWLEY,SETH",1
00:26,"MISS LAYUP by RIDING,JAKE",,,,,,,"MISS LAYUP by RIDING,JAKE",1
--,,,,,"REBOUND DEF by CRAWFORD,CHRIS",,,"REBOUND DEF by CRAWFORD,CHRIS",1
00:23,,,,,"TURNOVER  by CRAWFORD,CHRIS",,,"TURNOVER  by CRAWFORD,CHRIS",1
