Time Remaining,UD,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:52,,2,,6 (+4),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 2-6 (+4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
16:52,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",1
16:52,,2,,7 (+5),"GOOD FT by BRASFIELD,KAM",HENDRIX 2-7 (+5),,"GOOD FT by BRASFIELD,KAM",1
16:45,"FOUL  by FRUHWIRTH,LOGAN",,,,,,,"FOUL  by FRUHWIRTH,LOGAN",1
16:45,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",1
16:39,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
16:39,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
16:22,"TURNOVER  by RUSSELL,JOHN",,,,,,,"TURNOVER  by RUSSELL,JOHN",1
15:57,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
15:57,"MISS LAYUP by NUNN,JOSHUA",,,,,,,"MISS LAYUP by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:57,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,"REBOUND DEF by MATHIS,DUSTIN",,,,,,,"REBOUND DEF by MATHIS,DUSTIN",1
15:45,"FOUL  by WAMBSGANSS,MICHAEL",,,,,,,"FOUL  by WAMBSGANSS,MICHAEL",1
15:45,"SUB IN by COMPTON,MAURICE",,,,,,,"SUB IN by COMPTON,MAURICE",1
15:45,"SUB OUT by WAMBSGANSS,MICHAEL",,,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",1
15:37,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by NUNN,JOSHUA",,,,,,,"REBOUND DEF by NUNN,JOSHUA",1
15:07,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",1
14:44,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
14:44,"MISS LAYUP by COMPTON,MAURICE",,,,,,,"MISS LAYUP by COMPTON,MAURICE",1
--,"REBOUND OFF by COMPTON,MAURICE",,,,,,,"REBOUND OFF by COMPTON,MAURICE",1
14:44,"MISS LAYUP by COMPTON,MAURICE",,,,,,,"MISS LAYUP by COMPTON,MAURICE",1
14:44,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,"REBOUND OFF by NUNN,JOSHUA",,,,,,,"REBOUND OFF by NUNN,JOSHUA",1
14:44,"GOOD 3PTR by MATHIS,DUSTIN",5,,7 (+2),,UD 5-7 (+2),,"GOOD 3PTR by MATHIS,DUSTIN",1
14:11,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",1
13:58,"FOUL  by FRUHWIRTH,LOGAN",,,,,,,"FOUL  by FRUHWIRTH,LOGAN",1
13:53,"TURNOVER  by FRUHWIRTH,LOGAN",,,,,,,"TURNOVER  by FRUHWIRTH,LOGAN",1
13:46,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
13:46,"FOUL  by FRUHWIRTH,LOGAN",,,,,,,"FOUL  by FRUHWIRTH,LOGAN",1
13:46,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",1
13:46,"SUB OUT by FRUHWIRTH,LOGAN",,,,,,,"SUB OUT by FRUHWIRTH,LOGAN",1
13:31,,5,,9 (+4),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HENDRIX 5-9 (+4),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
13:29,"FOUL  by COMPTON,MAURICE",,,,,,,"FOUL  by COMPTON,MAURICE",1
13:29,,5,,10 (+5),"GOOD FT by STANLEY,SETH",HENDRIX 5-10 (+5),,"GOOD FT by STANLEY,SETH",1
13:29,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
13:29,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:29,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:29,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
13:07,"MISS LAYUP by BOUTWELL,BROOKS",,,,,,,"MISS LAYUP by BOUTWELL,BROOKS",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
12:58,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",1
12:51,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
12:51,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",1
12:51,"SUB OUT by MATHIS,DUSTIN",,,,,,,"SUB OUT by MATHIS,DUSTIN",1
12:48,"MISS LAYUP by COMPTON,MAURICE",,,,,,,"MISS LAYUP by COMPTON,MAURICE",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
12:40,,5,,12 (+7),"GOOD JUMPER by CALAMESE,MICHAEL",HENDRIX 5-12 (+7),,"GOOD JUMPER by CALAMESE,MICHAEL",1
12:24,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",7,,12 (+5),,UD 7-12 (+5),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",1
12:03,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
12:03,"BLOCK  by BOUTWELL,BROOKS",,,,,,,"BLOCK  by BOUTWELL,BROOKS",1
--,"REBOUND DEF by NUNN,JOSHUA",,,,,,,"REBOUND DEF by NUNN,JOSHUA",1
11:55,"GOOD 3PTR by HYDE,CAMERAN",10,,12 (+2),,UD 10-12 (+2),,"GOOD 3PTR by HYDE,CAMERAN",1
--,"ASSIST  by NUNN,JOSHUA",,,,,,,"ASSIST  by NUNN,JOSHUA",1
11:35,,10,,15 (+5),"GOOD 3PTR by COMAN,SEAN",HENDRIX 10-15 (+5),,"GOOD 3PTR by COMAN,SEAN",1
11:17,"MISS LAYUP by COMPTON,MAURICE",,,,,,,"MISS LAYUP by COMPTON,MAURICE",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
11:11,,10,,17 (+7),"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HENDRIX 10-17 (+7),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
10:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:31,"MISS JUMPER by BOUTWELL,BROOKS",,,,,,,"MISS JUMPER by BOUTWELL,BROOKS",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
10:04,,10,,20 (+10),"GOOD 3PTR by EATON,JACK",HENDRIX 10-20 (+10),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
09:41,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
09:29,"MISS FT by NUNN,JOSHUA",,,,,,,"MISS FT by NUNN,JOSHUA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:29,"GOOD FT by NUNN,JOSHUA",11,,20 (+9),,UD 11-20 (+9),,"GOOD FT by NUNN,JOSHUA",1
09:29,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
09:29,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
09:21,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by HAYES,ISAIAH",,,,,,,"REBOUND DEF by HAYES,ISAIAH",1
09:14,"MISS 3PTR by WASHINGTON,UNIIKYE",,,,,,,"MISS 3PTR by WASHINGTON,UNIIKYE",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
09:07,,11,,22 (+11),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 11-22 (+11),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
09:02,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
09:02,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",1
09:01,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
09:01,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
09:01,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
08:45,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
08:43,"GOOD FT by WASHINGTON,UNIIKYE",12,,22 (+10),,UD 12-22 (+10),,"GOOD FT by WASHINGTON,UNIIKYE",1
08:25,"GOOD FT by WASHINGTON,UNIIKYE",13,,22 (+9),,UD 13-22 (+9),,"GOOD FT by WASHINGTON,UNIIKYE",1
08:17,,13,,24 (+11),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 13-24 (+11),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
08:17,"MISS JUMPER by WASHINGTON,UNIIKYE",,,,,,,"MISS JUMPER by WASHINGTON,UNIIKYE",1
--,"REBOUND OFF by HAYES,ISAIAH",,,,,,,"REBOUND OFF by HAYES,ISAIAH",1
08:17,"MISS LAYUP by BOUTWELL,BROOKS",,,,,,,"MISS LAYUP by BOUTWELL,BROOKS",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
08:17,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
08:17,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by WASHINGTON,UNIIKYE",,,,,,,"REBOUND DEF by WASHINGTON,UNIIKYE",1
08:17,"MISS JUMPER by WASHINGTON,UNIIKYE",,,,,,,"MISS JUMPER by WASHINGTON,UNIIKYE",1
--,"REBOUND OFF by RUSSELL,JOHN",,,,,,,"REBOUND OFF by RUSSELL,JOHN",1
08:17,"MISS 3PTR by HAYES,ISAIAH",,,,,,,"MISS 3PTR by HAYES,ISAIAH",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
08:15,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",1
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",1
07:56,"GOOD LAYUP by HAYES,ISAIAH(in the paint)",15,,24 (+9),,UD 15-24 (+9),,"GOOD LAYUP by HAYES,ISAIAH(in the paint)",1
07:41,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
07:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:48,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",1
06:48,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",1
06:48,"SUB IN by BOLEN,SCOTT",,,,,,,"SUB IN by BOLEN,SCOTT",1
06:48,"SUB OUT by HYDE,CAMERAN",,,,,,,"SUB OUT by HYDE,CAMERAN",1
06:48,"SUB OUT by COMPTON,MAURICE",,,,,,,"SUB OUT by COMPTON,MAURICE",1
06:48,"SUB OUT by HAYES,ISAIAH",,,,,,,"SUB OUT by HAYES,ISAIAH",1
06:48,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
06:48,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
06:48,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
06:48,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
06:48,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
06:48,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
06:26,"MISS LAYUP by NUNN,JOSHUA",,,,,,,"MISS LAYUP by NUNN,JOSHUA",1
--,,,,,"REBOUND DEF by CRAWFORD,TRACE",,,"REBOUND DEF by CRAWFORD,TRACE",1
06:09,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
06:03,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",1
05:44,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
05:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
05:43,,15,,27 (+12),"GOOD 3PTR by STANLEY,SETH",HENDRIX 15-27 (+12),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
05:28,,,,,"FOUL  by CRAWFORD,TRACE",,,"FOUL  by CRAWFORD,TRACE",1
05:28,"MISS FT by BOLEN,SCOTT",,,,,,,"MISS FT by BOLEN,SCOTT",1
--,"REBOUND OFF by BOLEN,SCOTT",,,,,,,"REBOUND OFF by BOLEN,SCOTT",1
05:28,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
05:28,"GOOD FT by RUSSELL,JOHN",16,,27 (+11),,UD 16-27 (+11),,"GOOD FT by RUSSELL,JOHN",1
05:28,"GOOD FT by RUSSELL,JOHN",17,,27 (+10),,UD 17-27 (+10),,"GOOD FT by RUSSELL,JOHN",1
05:17,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
05:15,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
04:55,"MISS JUMPER by RUSSELL,JOHN",,,,,,,"MISS JUMPER by RUSSELL,JOHN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
04:47,,17,,29 (+12),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 17-29 (+12),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
04:47,"FOUL  by MATHIS,DUSTIN",,,,,,,"FOUL  by MATHIS,DUSTIN",1
04:47,,17,,30 (+13),"GOOD FT by BRASFIELD,KAM",HENDRIX 17-30 (+13),,"GOOD FT by BRASFIELD,KAM",1
04:23,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",19,,30 (+11),,UD 19-30 (+11),,"GOOD JUMPER by RUSSELL,JOHN(in the paint)",1
04:10,,19,,33 (+14),"GOOD 3PTR by STANLEY,SETH",HENDRIX 19-33 (+14),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
04:10,"TURNOVER  by RUSSELL,JOHN",,,,,,,"TURNOVER  by RUSSELL,JOHN",1
04:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:42,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
03:42,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
03:42,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
03:42,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",1
03:29,,19,,36 (+17),"GOOD 3PTR by STANLEY,SETH",HENDRIX 19-36 (+17),,"GOOD 3PTR by STANLEY,SETH",1
03:08,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",1
--,"REBOUND OFF by BOLEN,SCOTT",,,,,,,"REBOUND OFF by BOLEN,SCOTT",1
03:01,"GOOD LAYUP by BOLEN,SCOTT(in the paint)",21,,36 (+15),,UD 21-36 (+15),,"GOOD LAYUP by BOLEN,SCOTT(in the paint)",1
02:56,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by NUNN,JOSHUA",,,,,,,"REBOUND DEF by NUNN,JOSHUA",1
02:33,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
02:23,"GOOD FT by BOLEN,SCOTT",22,,36 (+14),,UD 22-36 (+14),,"GOOD FT by BOLEN,SCOTT",1
02:22,"MISS FT by BOLEN,SCOTT",,,,,,,"MISS FT by BOLEN,SCOTT",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
02:22,"SUB IN by BOUTWELL,BROOKS",,,,,,,"SUB IN by BOUTWELL,BROOKS",1
02:22,"SUB IN by BURNS,IAN",,,,,,,"SUB IN by BURNS,IAN",1
02:22,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",1
02:22,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",1
02:20,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by BOUTWELL,BROOKS",,,,,,,"REBOUND DEF by BOUTWELL,BROOKS",1
02:08,"TURNOVER  by NUNN,JOSHUA",,,,,,,"TURNOVER  by NUNN,JOSHUA",1
02:05,"SUB IN by COMPTON,MAURICE",,,,,,,"SUB IN by COMPTON,MAURICE",1
02:05,"SUB OUT by BOLEN,SCOTT",,,,,,,"SUB OUT by BOLEN,SCOTT",1
01:53,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",1
01:32,"MISS 3PTR by MATHIS,DUSTIN",,,,,,,"MISS 3PTR by MATHIS,DUSTIN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
01:24,,,,,"MISS 3PTR by RIDING,JAKE",,,"MISS 3PTR by RIDING,JAKE",1
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",1
01:12,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
01:10,"TURNOVER  by BOUTWELL,BROOKS",,,,,,,"TURNOVER  by BOUTWELL,BROOKS",1
01:07,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
01:07,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
00:43,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND DEF by COMPTON,MAURICE",,,,,,,"REBOUND DEF by COMPTON,MAURICE",1
00:32,"MISS 3PTR by BURNS,IAN",,,,,,,"MISS 3PTR by BURNS,IAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
00:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:00,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
00:00,"STEAL  by BURNS,IAN",,,,,,,"STEAL  by BURNS,IAN",1
00:00,"MISS 3PTR by BURNS,IAN",,,,,,,"MISS 3PTR by BURNS,IAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by FRUHWIRTH,LOGAN",,,,,,,"SUB IN by FRUHWIRTH,LOGAN",2
20:00,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",2
20:00,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",2
20:00,"SUB IN by NUNN,JOSHUA",,,,,,,"SUB IN by NUNN,JOSHUA",2
20:00,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",2
20:00,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
20:00,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",2
20:00,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
20:00,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
20:00,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
19:38,"MISS JUMPER by MATHIS,DUSTIN",,,,,,,"MISS JUMPER by MATHIS,DUSTIN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
19:21,,22,,38 (+16),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 22-38 (+16),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
19:01,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",24,,38 (+14),,UD 24-38 (+14),,"GOOD LAYUP by NUNN,JOSHUA(in the paint)",2
18:51,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",2
18:40,"MISS JUMPER by WAMBSGANSS,MICHAEL",,,,,,,"MISS JUMPER by WAMBSGANSS,MICHAEL",2
18:40,,,,,"BLOCK  by RIDING,JAKE",,,"BLOCK  by RIDING,JAKE",2
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",2
18:30,,,,,"MISS 3PTR by RIDING,JAKE",,,"MISS 3PTR by RIDING,JAKE",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
18:25,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
18:10,,24,,41 (+17),"GOOD 3PTR by FITCH,CARL",HENDRIX 24-41 (+17),,"GOOD 3PTR by FITCH,CARL",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
17:44,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",26,,41 (+15),,UD 26-41 (+15),,"GOOD LAYUP by FRUHWIRTH,LOGAN(in the paint)",2
--,"ASSIST  by RUSSELL,JOHN",,,,,,,"ASSIST  by RUSSELL,JOHN",2
17:35,,,,,"TURNOVER  by CRAWFORD,TRACE",,,"TURNOVER  by CRAWFORD,TRACE",2
17:28,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",28,,41 (+13),,UD 28-41 (+13),,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",2
