Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
12:30,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",13 (+2),,11,,CENTMB 13-11 (-2),,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",1
12:16,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by MINGO,KILE",,,,,,,"REBOUND DEF by MINGO,KILE",1
12:03,"TURNOVER  by MINGO,KILE",,,,,,,"TURNOVER  by MINGO,KILE",1
11:56,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
11:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:45,"TURNOVER  by MINGO,KILE",,,,,,,"TURNOVER  by MINGO,KILE",1
11:45,,,,,"MISS LAYUP by EATON,JACK",,,"MISS LAYUP by EATON,JACK",1
--,"REBOUND DEF by PRINCE,TY",,,,,,,"REBOUND DEF by PRINCE,TY",1
11:36,"MISS JUMPER by GRAY,JERICHO",,,,,,,"MISS JUMPER by GRAY,JERICHO",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
11:27,,13,,13,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 13-13 (0),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
11:27,"FOUL  by HENTON,MATTHEW",,,,,,,"FOUL  by HENTON,MATTHEW",1
11:27,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",1
--,"REBOUND DEF by MINGO,KILE",,,,,,,"REBOUND DEF by MINGO,KILE",1
11:27,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
11:27,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
11:27,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
11:22,"MISS 3PTR by CARTER,KAHARRI",,,,,,,"MISS 3PTR by CARTER,KAHARRI",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
11:12,,13,,16 (+3),"GOOD 3PTR by EATON,JACK",HENDRIX 13-16 (+3),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
10:52,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
10:49,"SUB IN by JOHNSON,XAVIER",,,,,,,"SUB IN by JOHNSON,XAVIER",1
10:49,"SUB IN by RAY,RICKY",,,,,,,"SUB IN by RAY,RICKY",1
10:49,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",1
10:49,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",1
10:49,"SUB OUT by GRAY,JERICHO",,,,,,,"SUB OUT by GRAY,JERICHO",1
10:49,"SUB OUT by HENTON,MATTHEW",,,,,,,"SUB OUT by HENTON,MATTHEW",1
10:44,"FOUL  by JOHNSON,XAVIER",,,,,,,"FOUL  by JOHNSON,XAVIER",1
10:44,"TURNOVER  by JOHNSON,XAVIER",,,,,,,"TURNOVER  by JOHNSON,XAVIER",1
10:28,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by MATTHEWS,TREYLAN",,,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",1
10:19,"MISS LAYUP by MATTHEWS,TREYLAN",,,,,,,"MISS LAYUP by MATTHEWS,TREYLAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
10:12,,13,,18 (+5),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 13-18 (+5),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
09:56,"MISS 3PTR by PRINCE,TY",,,,,,,"MISS 3PTR by PRINCE,TY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:35,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
09:09,"MISS LAYUP by RAY,RICKY",,,,,,,"MISS LAYUP by RAY,RICKY",1
09:09,,,,,"BLOCK  by EATON,JACK",,,"BLOCK  by EATON,JACK",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
09:02,,13,,20 (+7),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 13-20 (+7),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",1
08:44,"MISS 3PTR by MATTHEWS,TREYLAN",,,,,,,"MISS 3PTR by MATTHEWS,TREYLAN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
08:23,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by MINGO,KILE",,,,,,,"REBOUND DEF by MINGO,KILE",1
08:16,"TURNOVER  by MINGO,KILE",,,,,,,"TURNOVER  by MINGO,KILE",1
08:14,"SUB IN by SMITH,DAKOTA",,,,,,,"SUB IN by SMITH,DAKOTA",1
08:14,"SUB IN by WASHINGTON,PRENTIS",,,,,,,"SUB IN by WASHINGTON,PRENTIS",1
08:14,"SUB OUT by JOHNSON,XAVIER",,,,,,,"SUB OUT by JOHNSON,XAVIER",1
08:14,"SUB OUT by MINGO,KILE",,,,,,,"SUB OUT by MINGO,KILE",1
08:14,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
08:14,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
08:04,"FOUL  by WASHINGTON,PRENTIS",,,,,,,"FOUL  by WASHINGTON,PRENTIS",1
08:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:50,,13,,23 (+10),"GOOD 3PTR by STANLEY,SETH",HENDRIX 13-23 (+10),,"GOOD 3PTR by STANLEY,SETH",1
07:21,"GOOD 3PTR by WASHINGTON,PRENTIS",16,,23 (+7),,CENTMB 16-23 (+7),,"GOOD 3PTR by WASHINGTON,PRENTIS",1
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",1
07:03,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
06:53,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
06:53,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
06:53,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
06:53,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
06:53,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:53,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
06:39,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",1
06:27,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
06:27,"TURNOVER  by WASHINGTON,PRENTIS",,,,,,,"TURNOVER  by WASHINGTON,PRENTIS",1
06:27,,,,,"STEAL  by CRAWFORD,TRACE",,,"STEAL  by CRAWFORD,TRACE",1
06:27,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",1
06:27,"STEAL  by MATTHEWS,TREYLAN",,,,,,,"STEAL  by MATTHEWS,TREYLAN",1
06:27,"GOOD LAYUP by RAY,RICKY(fastbreak)(in the paint)",18,,23 (+5),,CENTMB 18-23 (+5),,"GOOD LAYUP by RAY,RICKY(fastbreak)(in the paint)",1
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",1
06:20,,18,,25 (+7),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 18-25 (+7),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
05:47,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
05:29,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",1
05:18,,,,,"MISS FT by ROUSE,TREY",,,"MISS FT by ROUSE,TREY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:18,,18,,26 (+8),"GOOD FT by ROUSE,TREY",HENDRIX 18-26 (+8),,"GOOD FT by ROUSE,TREY",1
05:18,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
05:18,"SUB OUT by PRINCE,TY",,,,,,,"SUB OUT by PRINCE,TY",1
05:18,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
05:18,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
05:18,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
05:18,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
04:48,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",20,,26 (+6),,CENTMB 20-26 (+6),,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",1
04:35,,,,,"MISS 3PTR by RIDING,JAKE",,,"MISS 3PTR by RIDING,JAKE",1
--,"REBOUND DEF by RAY,RICKY",,,,,,,"REBOUND DEF by RAY,RICKY",1
04:18,"MISS LAYUP by RAY,RICKY",,,,,,,"MISS LAYUP by RAY,RICKY",1
--,,,,,"REBOUND DEF by CRAWFORD,TRACE",,,"REBOUND DEF by CRAWFORD,TRACE",1
04:18,"FOUL  by SMITH,DAKOTA",,,,,,,"FOUL  by SMITH,DAKOTA",1
04:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:18,,,,,"MISS FT by CRAWFORD,TRACE",,,"MISS FT by CRAWFORD,TRACE",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
03:53,,,,,"TURNOVER  by ROUSE,TREY",,,"TURNOVER  by ROUSE,TREY",1
03:51,"STEAL  by MATTHEWS,TREYLAN",,,,,,,"STEAL  by MATTHEWS,TREYLAN",1
03:45,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
03:40,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
03:38,"STEAL  by MATTHEWS,TREYLAN",,,,,,,"STEAL  by MATTHEWS,TREYLAN",1
03:25,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
03:25,"SUB IN by PRINCE,TY",,,,,,,"SUB IN by PRINCE,TY",1
03:25,"SUB OUT by SMITH,DAKOTA",,,,,,,"SUB OUT by SMITH,DAKOTA",1
03:25,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
03:25,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
03:18,"TURNOVER  by CARTER,KAHARRI",,,,,,,"TURNOVER  by CARTER,KAHARRI",1
03:18,"FOUL  by CARTER,KAHARRI",,,,,,,"FOUL  by CARTER,KAHARRI",1
03:05,,20,,28 (+8),"GOOD JUMPER by RIDING,JAKE(in the paint)",HENDRIX 20-28 (+8),,"GOOD JUMPER by RIDING,JAKE(in the paint)",1
02:33,"MISS JUMPER by RAY,RICKY",,,,,,,"MISS JUMPER by RAY,RICKY",1
--,"REBOUND OFF by CARTER,KAHARRI",,,,,,,"REBOUND OFF by CARTER,KAHARRI",1
02:15,,,,,"FOUL  by RIDING,JAKE",,,"FOUL  by RIDING,JAKE",1
02:15,"GOOD FT by CARTER,KAHARRI",21,,28 (+7),,CENTMB 21-28 (+7),,"GOOD FT by CARTER,KAHARRI",1
02:15,"MISS FT by CARTER,KAHARRI",,,,,,,"MISS FT by CARTER,KAHARRI",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
02:15,"SUB IN by MINGO,KILE",,,,,,,"SUB IN by MINGO,KILE",1
02:15,"SUB OUT by WASHINGTON,PRENTIS",,,,,,,"SUB OUT by WASHINGTON,PRENTIS",1
01:59,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
01:52,"FOUL  by RAY,RICKY",,,,,,,"FOUL  by RAY,RICKY",1
01:52,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:52,,21,,29 (+8),"GOOD FT by FITCH,CARL",HENDRIX 21-29 (+8),,"GOOD FT by FITCH,CARL",1
01:52,"SUB IN by SINGLETON,TYKEEM",,,,,,,"SUB IN by SINGLETON,TYKEEM",1
01:52,"SUB OUT by RAY,RICKY",,,,,,,"SUB OUT by RAY,RICKY",1
01:40,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",23,,29 (+6),,CENTMB 23-29 (+6),,"GOOD LAYUP by CARTER,KAHARRI(in the paint)",1
01:11,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
00:33,"MISS LAYUP by SINGLETON,TYKEEM",,,,,,,"MISS LAYUP by SINGLETON,TYKEEM",1
00:33,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:25,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
00:25,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
00:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:00,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
19:45,"TURNOVER  by CARTER,KAHARRI",,,,,,,"TURNOVER  by CARTER,KAHARRI",2
19:44,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
19:31,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",2
19:30,"STEAL  by MATTHEWS,TREYLAN",,,,,,,"STEAL  by MATTHEWS,TREYLAN",2
19:28,"MISS LAYUP by CARTER,KAHARRI",,,,,,,"MISS LAYUP by CARTER,KAHARRI",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:59,"TURNOVER  by RAY,RICKY",,,,,,,"TURNOVER  by RAY,RICKY",2
18:56,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
18:26,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
18:22,,23,,31 (+8),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 23-31 (+8),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
18:05,"GOOD JUMPER by MINGO,KILE",25,,31 (+6),,CENTMB 25-31 (+6),,"GOOD JUMPER by MINGO,KILE",2
17:44,"FOUL  by CARTER,KAHARRI",,,,,,,"FOUL  by CARTER,KAHARRI",2
17:43,"SUB IN by SMITH,DAKOTA",,,,,,,"SUB IN by SMITH,DAKOTA",2
17:43,"SUB OUT by CARTER,KAHARRI",,,,,,,"SUB OUT by CARTER,KAHARRI",2
17:28,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
17:28,"GOOD LAYUP by SMITH,DAKOTA(in the paint)",27,,31 (+4),,CENTMB 27-31 (+4),,"GOOD LAYUP by SMITH,DAKOTA(in the paint)",2
17:25,,27,,33 (+6),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 27-33 (+6),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
17:17,"GOOD LAYUP by PRINCE,TY(in the paint)",29,,33 (+4),,CENTMB 29-33 (+4),,"GOOD LAYUP by PRINCE,TY(in the paint)",2
17:05,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",2
17:04,"STEAL  by MINGO,KILE",,,,,,,"STEAL  by MINGO,KILE",2
17:01,"TURNOVER  by MINGO,KILE",,,,,,,"TURNOVER  by MINGO,KILE",2
17:00,,,,,"STEAL  by RIDING,JAKE",,,"STEAL  by RIDING,JAKE",2
16:54,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,"REBOUND DEF by SMITH,DAKOTA",,,,,,,"REBOUND DEF by SMITH,DAKOTA",2
16:47,"TURNOVER  by RAY,RICKY",,,,,,,"TURNOVER  by RAY,RICKY",2
16:46,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
16:44,,29,,35 (+6),"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",HENDRIX 29-35 (+6),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2
16:16,"MISS LAYUP by MATTHEWS,TREYLAN",,,,,,,"MISS LAYUP by MATTHEWS,TREYLAN",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
16:03,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,"REBOUND DEF by MATTHEWS,TREYLAN",,,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",2
15:54,"GOOD 3PTR by MINGO,KILE",32,,35 (+3),,CENTMB 32-35 (+3),,"GOOD 3PTR by MINGO,KILE",2
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",2
15:29,,,,,"MISS 3PTR by CRAWFORD,TRACE",,,"MISS 3PTR by CRAWFORD,TRACE",2
--,,,,,"REBOUND OFF by RIDING,JAKE",,,"REBOUND OFF by RIDING,JAKE",2
15:23,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",2
15:21,"STEAL  by RAY,RICKY",,,,,,,"STEAL  by RAY,RICKY",2
15:16,"GOOD LAYUP by MINGO,KILE(in the paint)",34,,35 (+1),,CENTMB 34-35 (+1),,"GOOD LAYUP by MINGO,KILE(in the paint)",2
