Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UT-DALLA,Game Score,Team Indicator,Play,Period
11:57,,,,,"MISS JUMPER by CASTILLO,JORDAN",,,"MISS JUMPER by CASTILLO,JORDAN",1
--,,,,,"REBOUND OFF by KISER,DREW",,,"REBOUND OFF by KISER,DREW",1
11:52,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
11:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:52,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
11:52,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
11:49,,,,,"TURNOVER  by CASTILLO,JORDAN",,,"TURNOVER  by CASTILLO,JORDAN",1
11:37,"FOUL  by RIDING,JAKE",,,,,,,"FOUL  by RIDING,JAKE",1
11:37,"TURNOVER  by RIDING,JAKE",,,,,,,"TURNOVER  by RIDING,JAKE",1
11:37,,,,,"SUB IN by SNOW,JAVON",,,"SUB IN by SNOW,JAVON",1
11:37,,,,,"SUB OUT by WEER,JALEN",,,"SUB OUT by WEER,JALEN",1
11:22,,,,,"MISS 3PTR by ALLEN,CURTIS",,,"MISS 3PTR by ALLEN,CURTIS",1
--,"REBOUND DEF by RIDING,JAKE",,,,,,,"REBOUND DEF by RIDING,JAKE",1
11:13,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",1
--,,,,,"REBOUND DEF by KISER,DREW",,,"REBOUND DEF by KISER,DREW",1
11:06,,10,,24 (+14),"GOOD JUMPER by PRUITT,KELDEN(fastbreak)",UT-DALLA 10-24 (-14),,"GOOD JUMPER by PRUITT,KELDEN(fastbreak)",1
--,,,,,"ASSIST  by KISER,DREW",,,"ASSIST  by KISER,DREW",1
10:44,,,,,"FOUL  by KISER,DREW",,,"FOUL  by KISER,DREW",1
10:44,"GOOD FT by EATON,JACK",11,,24 (+13),,HENDRIX 11-24 (-13),,"GOOD FT by EATON,JACK",1
10:44,"GOOD FT by EATON,JACK",12,,24 (+12),,HENDRIX 12-24 (-12),,"GOOD FT by EATON,JACK",1
10:27,,,,,"TURNOVER  by ALLEN,CURTIS",,,"TURNOVER  by ALLEN,CURTIS",1
10:17,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
10:17,,,,,"BLOCK  by ALLEN,CURTIS",,,"BLOCK  by ALLEN,CURTIS",1
--,,,,,"REBOUND DEF by ALLEN,CURTIS",,,"REBOUND DEF by ALLEN,CURTIS",1
10:03,,,,,"MISS JUMPER by ALLEN,CURTIS",,,"MISS JUMPER by ALLEN,CURTIS",1
--,,,,,"REBOUND OFF by CASTILLO,JORDAN",,,"REBOUND OFF by CASTILLO,JORDAN",1
09:55,,12,,26 (+14),"GOOD LAYUP by CASTILLO,JORDAN(in the paint)",UT-DALLA 12-26 (-14),,"GOOD LAYUP by CASTILLO,JORDAN(in the paint)",1
09:45,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",1
--,,,,,"REBOUND DEF by KISER,DREW",,,"REBOUND DEF by KISER,DREW",1
09:44,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
09:43,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
09:43,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
09:38,,,,,"MISS JUMPER by SNOW,JAVON",,,"MISS JUMPER by SNOW,JAVON",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
09:30,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:53,,,,,"MISS JUMPER by SNOW,JAVON",,,"MISS JUMPER by SNOW,JAVON",1
08:53,"BLOCK  by LINK,JACOB",,,,,,,"BLOCK  by LINK,JACOB",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
08:37,,,,,"FOUL  by PRUITT,KELDEN",,,"FOUL  by PRUITT,KELDEN",1
08:37,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
08:37,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
08:26,"GOOD 3PTR by ROUSE,TREY",15,,26 (+11),,HENDRIX 15-26 (-11),,"GOOD 3PTR by ROUSE,TREY",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
08:07,,15,,29 (+14),"GOOD 3PTR by SNOW,JAVON",UT-DALLA 15-29 (-14),,"GOOD 3PTR by SNOW,JAVON",1
--,,,,,"ASSIST  by PRUITT,KELDEN",,,"ASSIST  by PRUITT,KELDEN",1
07:47,"FOUL  by RIDING,JAKE",,,,,,,"FOUL  by RIDING,JAKE",1
07:47,"TURNOVER  by RIDING,JAKE",,,,,,,"TURNOVER  by RIDING,JAKE",1
07:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:47,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
07:47,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
07:47,,,,,"SUB IN by FORSTER,MICHAEL",,,"SUB IN by FORSTER,MICHAEL",1
07:47,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",,,"SUB IN by UNDERWOOD,DIMITRIUS",1
07:47,,,,,"SUB IN by FERRELL,XAVIER",,,"SUB IN by FERRELL,XAVIER",1
07:47,,,,,"SUB IN by WEER,JALEN",,,"SUB IN by WEER,JALEN",1
07:47,,,,,"SUB IN by BURWITZ,HANS",,,"SUB IN by BURWITZ,HANS",1
07:47,,,,,"SUB OUT by SNOW,JAVON",,,"SUB OUT by SNOW,JAVON",1
07:47,,,,,"SUB OUT by CASTILLO,JORDAN",,,"SUB OUT by CASTILLO,JORDAN",1
07:47,,,,,"SUB OUT by PRUITT,KELDEN",,,"SUB OUT by PRUITT,KELDEN",1
07:47,,,,,"SUB OUT by KISER,DREW",,,"SUB OUT by KISER,DREW",1
07:47,,,,,"SUB OUT by ALLEN,CURTIS",,,"SUB OUT by ALLEN,CURTIS",1
07:31,,,,,"MISS 3PTR by UNDERWOOD,DIMITRIUS",,,"MISS 3PTR by UNDERWOOD,DIMITRIUS",1
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",1
07:22,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FORSTER,MICHAEL",,,"REBOUND DEF by FORSTER,MICHAEL",1
07:15,,,,,"MISS JUMPER by WEER,JALEN",,,"MISS JUMPER by WEER,JALEN",1
--,,,,,"REBOUND OFF by BURWITZ,HANS",,,"REBOUND OFF by BURWITZ,HANS",1
06:54,,,,,"MISS 3PTR by FERRELL,XAVIER",,,"MISS 3PTR by FERRELL,XAVIER",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
06:29,,,,,"FOUL  by BURWITZ,HANS",,,"FOUL  by BURWITZ,HANS",1
06:29,,,,,"FOUL  by BURWITZ,HANS",,,"FOUL  by BURWITZ,HANS",1
06:29,"GOOD FT by STANLEY,SETH",16,,29 (+13),,HENDRIX 16-29 (-13),,"GOOD FT by STANLEY,SETH",1
06:29,"GOOD FT by STANLEY,SETH",17,,29 (+12),,HENDRIX 17-29 (-12),,"GOOD FT by STANLEY,SETH",1
06:29,"GOOD FT by CONRAD,ALEX",18,,29 (+11),,HENDRIX 18-29 (-11),,"GOOD FT by CONRAD,ALEX",1
06:29,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
06:29,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
06:29,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
06:29,,,,,"SUB IN by ALLEN,CURTIS",,,"SUB IN by ALLEN,CURTIS",1
06:29,,,,,"SUB OUT by FERRELL,XAVIER",,,"SUB OUT by FERRELL,XAVIER",1
06:24,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
06:20,,,,,"MISS 3PTR by WEER,JALEN",,,"MISS 3PTR by WEER,JALEN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
06:19,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
06:19,,,,,"STEAL  by UNDERWOOD,DIMITRIUS",,,"STEAL  by UNDERWOOD,DIMITRIUS",1
06:12,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
06:12,,18,,30 (+12),"GOOD FT by UNDERWOOD,DIMITRIUS(fastbreak)",UT-DALLA 18-30 (-12),,"GOOD FT by UNDERWOOD,DIMITRIUS(fastbreak)",1
06:12,,18,,31 (+13),"GOOD FT by UNDERWOOD,DIMITRIUS(fastbreak)",UT-DALLA 18-31 (-13),,"GOOD FT by UNDERWOOD,DIMITRIUS(fastbreak)",1
06:04,,,,,"SUB IN by PRUITT,KELDEN",,,"SUB IN by PRUITT,KELDEN",1
06:04,,,,,"SUB OUT by BURWITZ,HANS",,,"SUB OUT by BURWITZ,HANS",1
05:55,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
05:31,,18,,33 (+15),"GOOD JUMPER by UNDERWOOD,DIMITRIUS",UT-DALLA 18-33 (-15),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",1
--,,,,,"ASSIST  by WEER,JALEN",,,"ASSIST  by WEER,JALEN",1
05:15,,,,,"FOUL  by ALLEN,CURTIS",,,"FOUL  by ALLEN,CURTIS",1
05:15,"GOOD FT by LINK,JACOB",19,,33 (+14),,HENDRIX 19-33 (-14),,"GOOD FT by LINK,JACOB",1
05:15,"GOOD FT by LINK,JACOB",20,,33 (+13),,HENDRIX 20-33 (-13),,"GOOD FT by LINK,JACOB",1
05:15,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
05:15,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
05:03,,20,,35 (+15),"GOOD JUMPER by UNDERWOOD,DIMITRIUS",UT-DALLA 20-35 (-15),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",1
04:43,"GOOD 3PTR by BRASFIELD,KAM",23,,35 (+12),,HENDRIX 23-35 (-12),,"GOOD 3PTR by BRASFIELD,KAM",1
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",1
04:11,,23,,38 (+15),"GOOD 3PTR by UNDERWOOD,DIMITRIUS",UT-DALLA 23-38 (-15),,"GOOD 3PTR by UNDERWOOD,DIMITRIUS",1
03:59,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by FORSTER,MICHAEL",,,"REBOUND DEF by FORSTER,MICHAEL",1
03:49,,23,,41 (+18),"GOOD 3PTR by WEER,JALEN",UT-DALLA 23-41 (-18),,"GOOD 3PTR by WEER,JALEN",1
--,,,,,"ASSIST  by PRUITT,KELDEN",,,"ASSIST  by PRUITT,KELDEN",1
03:26,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by FORSTER,MICHAEL",,,"REBOUND DEF by FORSTER,MICHAEL",1
03:18,,23,,44 (+21),"GOOD 3PTR by ALLEN,CURTIS(fastbreak)",UT-DALLA 23-44 (-21),,"GOOD 3PTR by ALLEN,CURTIS(fastbreak)",1
--,,,,,"ASSIST  by WEER,JALEN",,,"ASSIST  by WEER,JALEN",1
03:03,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
03:03,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
03:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:03,,,,,"SUB IN by PRICE,MATT",,,"SUB IN by PRICE,MATT",1
03:03,,,,,"SUB OUT by ALLEN,CURTIS",,,"SUB OUT by ALLEN,CURTIS",1
02:48,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
02:48,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
02:46,,,,,"MISS 3PTR by WEER,JALEN",,,"MISS 3PTR by WEER,JALEN",1
--,,,,,"REBOUND OFF by WEER,JALEN",,,"REBOUND OFF by WEER,JALEN",1
02:40,,,,,"SUB IN by PRUITT,KOLTON",,,"SUB IN by PRUITT,KOLTON",1
02:40,,,,,"SUB OUT by FORSTER,MICHAEL",,,"SUB OUT by FORSTER,MICHAEL",1
02:22,,,,,"MISS 3PTR by UNDERWOOD,DIMITRIUS",,,"MISS 3PTR by UNDERWOOD,DIMITRIUS",1
--,,,,,"REBOUND OFF by PRUITT,KELDEN",,,"REBOUND OFF by PRUITT,KELDEN",1
02:14,,,,,"MISS LAYUP by PRUITT,KELDEN",,,"MISS LAYUP by PRUITT,KELDEN",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
02:08,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
02:02,,,,,"FOUL  by WEER,JALEN",,,"FOUL  by WEER,JALEN",1
02:02,,,,,"TURNOVER  by WEER,JALEN",,,"TURNOVER  by WEER,JALEN",1
02:02,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
02:02,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
02:02,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
02:02,"SUB OUT by RIDING,JAKE",,,,,,,"SUB OUT by RIDING,JAKE",1
02:02,,,,,"SUB IN by SNOW,JAVON",,,"SUB IN by SNOW,JAVON",1
02:02,,,,,"SUB OUT by WEER,JALEN",,,"SUB OUT by WEER,JALEN",1
01:59,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
01:59,,,,,"STEAL  by UNDERWOOD,DIMITRIUS",,,"STEAL  by UNDERWOOD,DIMITRIUS",1
01:50,,,,,"TURNOVER  by PRUITT,KOLTON",,,"TURNOVER  by PRUITT,KOLTON",1
01:25,"GOOD 3PTR by CRAWFORD,TRACE",26,,44 (+18),,HENDRIX 26-44 (-18),,"GOOD 3PTR by CRAWFORD,TRACE",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
01:01,,26,,46 (+20),"GOOD LAYUP by PRUITT,KELDEN(in the paint)",UT-DALLA 26-46 (-20),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",1
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
00:52,,,,,"FOUL  by SNOW,JAVON",,,"FOUL  by SNOW,JAVON",1
00:52,"GOOD FT by BRASFIELD,KAM",27,,46 (+19),,HENDRIX 27-46 (-19),,"GOOD FT by BRASFIELD,KAM",1
00:52,"GOOD FT by BRASFIELD,KAM",28,,46 (+18),,HENDRIX 28-46 (-18),,"GOOD FT by BRASFIELD,KAM",1
00:40,,,,,"MISS 3PTR by PRICE,MATT",,,"MISS 3PTR by PRICE,MATT",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
00:25,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
00:19,"GOOD LAYUP by FITCH,CARL(in the paint)",30,,46 (+16),,HENDRIX 30-46 (-16),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
00:19,,,,,"FOUL  by PRUITT,KELDEN",,,"FOUL  by PRUITT,KELDEN",1
00:19,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,,,,,"REBOUND DEF by PRUITT,KOLTON",,,"REBOUND DEF by PRUITT,KOLTON",1
00:19,,,,,"SUB IN by FORSTER,MICHAEL",,,"SUB IN by FORSTER,MICHAEL",1
00:19,,,,,"SUB OUT by PRUITT,KELDEN",,,"SUB OUT by PRUITT,KELDEN",1
00:18,,,,,"TURNOVER  by PRUITT,KOLTON",,,"TURNOVER  by PRUITT,KOLTON",1
00:18,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
00:01,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
00:01,"GOOD LAYUP by FITCH,CARL(in the paint)",32,,46 (+14),,HENDRIX 32-46 (-14),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
20:00,,,,,"SUB IN by PRUITT,KELDEN",,,"SUB IN by PRUITT,KELDEN",2
19:45,,32,,48 (+16),"GOOD JUMPER by FORSTER,MICHAEL",UT-DALLA 32-48 (-16),,"GOOD JUMPER by FORSTER,MICHAEL",2
--,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
19:26,,,,,"FOUL  by WEER,JALEN",,,"FOUL  by WEER,JALEN",2
19:06,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
