Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
14:30,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
14:30,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
14:09,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
13:53,,15 (+9),,6,"GOOD 3PTR by MILLER,DREW",RHODESMB 15-6 (-9),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
13:23,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:19,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
13:19,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
13:19,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
13:19,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
13:19,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
13:19,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
13:00,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
12:48,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",17 (+11),,6,,OUM 17-6 (-11),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
12:31,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
12:25,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
12:25,"BLOCK  by PATRICK,DREW",,,,,,,"BLOCK  by PATRICK,DREW",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
12:16,"TURNOVER  by ROHLFS,VICTOR",,,,,,,"TURNOVER  by ROHLFS,VICTOR",1
12:16,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
12:16,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
12:16,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
12:16,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
12:16,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
12:16,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
12:16,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:16,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
12:06,"FOUL  by ROHLFS,VICTOR",,,,,,,"FOUL  by ROHLFS,VICTOR",1
12:06,,17 (+10),,7,"GOOD FT by SLEDGE,TATE",RHODESMB 17-7 (-10),,"GOOD FT by SLEDGE,TATE",1
12:06,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
11:58,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",1
11:58,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
11:58,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
11:50,,17 (+8),,9,"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 17-9 (-8),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
11:30,"TURNOVER  by SIGRIST,CONNOR",,,,,,,"TURNOVER  by SIGRIST,CONNOR",1
11:30,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
11:30,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
11:22,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
11:03,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
10:57,"GOOD JUMPER by KINNEY,JORDAN",19 (+10),,9,,OUM 19-9 (-10),,"GOOD JUMPER by KINNEY,JORDAN",1
10:41,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
10:41,"BLOCK  by KINNEY,JORDAN",,,,,,,"BLOCK  by KINNEY,JORDAN",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
10:38,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
10:38,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",1
10:38,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
10:38,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
10:38,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
10:35,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
10:35,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
10:31,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
10:27,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
10:23,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
10:21,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
10:17,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
10:17,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
10:05,,,,,"MISS JUMPER by SLEDGE,TATE",,,"MISS JUMPER by SLEDGE,TATE",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
09:59,"GOOD 3PTR by PATRICK,DREW",22 (+13),,9,,OUM 22-9 (-13),,"GOOD 3PTR by PATRICK,DREW",1
09:30,"FOUL  by ROHLFS,VICTOR",,,,,,,"FOUL  by ROHLFS,VICTOR",1
09:30,,22 (+12),,10,"GOOD FT by WAGNER,MATT",RHODESMB 22-10 (-12),,"GOOD FT by WAGNER,MATT",1
09:30,,22 (+11),,11,"GOOD FT by WAGNER,MATT",RHODESMB 22-11 (-11),,"GOOD FT by WAGNER,MATT",1
09:30,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
09:30,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
09:30,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:30,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:05,"GOOD JUMPER by PERRY,WILL",24 (+13),,11,,OUM 24-11 (-13),,"GOOD JUMPER by PERRY,WILL",1
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",1
08:38,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",1
08:12,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
08:12,"BLOCK  by DAVIS,ALEX",,,,,,,"BLOCK  by DAVIS,ALEX",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
08:03,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
08:01,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
07:35,,24 (+10),,14,"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 24-14 (-10),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
07:16,"MISS JUMPER by PATRICK,DREW",,,,,,,"MISS JUMPER by PATRICK,DREW",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
06:57,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
06:56,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
06:52,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",26 (+12),,14,,OUM 26-14 (-12),,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",1
06:30,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",1
06:21,,26 (+10),,16,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 26-16 (-10),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
06:21,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
06:21,,26 (+9),,17,"GOOD FT by LIVSEY,GEOFF",RHODESMB 26-17 (-9),,"GOOD FT by LIVSEY,GEOFF",1
06:21,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
06:21,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",1
06:21,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
06:21,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
06:21,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
06:21,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
06:21,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
06:21,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
06:21,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
06:21,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
06:06,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
06:06,"MISS FT by SMITH,CONNOR",,,,,,,"MISS FT by SMITH,CONNOR",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:06,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
06:06,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
06:06,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
06:06,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
05:57,"MISS FT by SMITH,CONNOR",,,,,,,"MISS FT by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
05:46,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
05:11,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
04:57,,26 (+6),,20,"GOOD 3PTR by MILLER,DREW",RHODESMB 26-20 (-6),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
04:26,"MISS 3PTR by DAVIS,ALEX",,,,,,,"MISS 3PTR by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
04:05,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
04:05,,26 (+5),,21,"GOOD FT by DUNAVANT,JOHNNY",RHODESMB 26-21 (-5),,"GOOD FT by DUNAVANT,JOHNNY",1
04:05,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
04:05,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",1
04:05,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
03:48,"GOOD 3PTR by SMITH,CONNOR",29 (+8),,21,,OUM 29-21 (-8),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
03:34,,29 (+6),,23,"GOOD LAYUP by WATSON,SHANE(in the paint)",RHODESMB 29-23 (-6),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
03:14,"GOOD LAYUP by SMITH,CONNOR(in the paint)",31 (+8),,23,,OUM 31-23 (-8),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
02:54,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
02:26,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:54,,31 (+5),,26,"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 31-26 (-5),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
01:31,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
01:31,"GOOD FT by DAVIS,ALEX",32 (+6),,26,,OUM 32-26 (-6),,"GOOD FT by DAVIS,ALEX",1
01:31,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
01:31,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
01:31,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
01:31,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
01:31,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
01:31,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
01:30,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
01:22,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",1
01:22,,32 (+5),,27,"GOOD FT by SLEDGE,TATE",RHODESMB 32-27 (-5),,"GOOD FT by SLEDGE,TATE",1
01:22,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
01:22,"SUB IN by ROHLFS,VICTOR",,,,,,,"SUB IN by ROHLFS,VICTOR",1
01:22,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
01:19,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
01:19,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
01:19,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
01:08,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
00:48,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
00:28,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
00:01,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
19:45,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
19:39,"MISS JUMPER by PATRICK,DREW",,,,,,,"MISS JUMPER by PATRICK,DREW",2
--,"REBOUND OFF by ROHLFS,VICTOR",,,,,,,"REBOUND OFF by ROHLFS,VICTOR",2
19:37,"MISS LAYUP by ROHLFS,VICTOR",,,,,,,"MISS LAYUP by ROHLFS,VICTOR",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
19:14,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
18:58,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",34 (+7),,27,,OUM 34-27 (-7),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",2
18:35,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
18:35,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
18:23,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
17:55,"TURNOVER  by ROHLFS,VICTOR",,,,,,,"TURNOVER  by ROHLFS,VICTOR",2
17:55,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
17:38,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
17:38,"BLOCK  by KINNEY,JORDAN",,,,,,,"BLOCK  by KINNEY,JORDAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:35,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",2
17:24,"GOOD LAYUP by PATRICK,DREW(in the paint)",36 (+9),,27,,OUM 36-27 (-9),,"GOOD LAYUP by PATRICK,DREW(in the paint)",2
17:24,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
17:24,"GOOD FT by PATRICK,DREW",37 (+10),,27,,OUM 37-27 (-10),,"GOOD FT by PATRICK,DREW",2
17:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:57,,37 (+7),,30,"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 37-30 (-7),,"GOOD 3PTR by DUNAVANT,JOHNNY",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
16:29,"GOOD JUMPER by KINNEY,JORDAN",39 (+9),,30,,OUM 39-30 (-9),,"GOOD JUMPER by KINNEY,JORDAN",2
16:21,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
16:20,"STEAL  by COURSON,TYLER",,,,,,,"STEAL  by COURSON,TYLER",2
16:19,"GOOD LAYUP by COURSON,TYLER(fastbreak)(in the paint)",41 (+11),,30,,OUM 41-30 (-11),,"GOOD LAYUP by COURSON,TYLER(fastbreak)(in the paint)",2
16:12,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",2
16:06,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
16:06,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
16:06,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
16:06,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
16:06,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
16:06,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",2
16:06,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
16:06,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
15:41,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
15:38,"FOUL  by ROHLFS,VICTOR",,,,,,,"FOUL  by ROHLFS,VICTOR",2
15:38,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",2
15:38,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",2
15:16,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
15:12,,41 (+9),,32,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 41-32 (-9),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
14:37,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
14:29,,41 (+6),,35,"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 41-35 (-6),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
14:02,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
14:02,"GOOD FT by PERRY,WILL",42 (+7),,35,,OUM 42-35 (-7),,"GOOD FT by PERRY,WILL",2
14:02,"GOOD FT by PERRY,WILL",43 (+8),,35,,OUM 43-35 (-8),,"GOOD FT by PERRY,WILL",2
14:02,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",2
