Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
17:45,"TURNOVER  by DUGGER,PATRICK",,,,,,,"TURNOVER  by DUGGER,PATRICK",2
17:45,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",2
17:45,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",2
17:32,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
17:14,,30,,42 (+12),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 30-42 (+12),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
17:09,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",2
17:07,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
17:04,"FOUL  by CORE,ISAIAH",,,,,,,"FOUL  by CORE,ISAIAH",2
17:04,"FOUL TECH by CORE,ISAIAH",,,,,,,"FOUL TECH by CORE,ISAIAH",2
17:04,,30,,43 (+13),"GOOD FT by MCGRAIL,PATRICK",RHODESMB 30-43 (+13),,"GOOD FT by MCGRAIL,PATRICK",2
17:04,,,,,"MISS FT by MCGRAIL,PATRICK",,,"MISS FT by MCGRAIL,PATRICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:04,,30,,44 (+14),"GOOD FT by LIVSEY,GEOFF",RHODESMB 30-44 (+14),,"GOOD FT by LIVSEY,GEOFF",2
17:04,,30,,45 (+15),"GOOD FT by LIVSEY,GEOFF",RHODESMB 30-45 (+15),,"GOOD FT by LIVSEY,GEOFF",2
17:04,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
17:04,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
17:04,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
17:04,"SUB OUT by CORE,ISAIAH",,,,,,,"SUB OUT by CORE,ISAIAH",2
17:04,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",2
17:04,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",2
17:04,,,,,"SUB IN by MUHAMMAD,AQUIL",,,"SUB IN by MUHAMMAD,AQUIL",2
17:04,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
17:04,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
17:04,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
17:04,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
17:04,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
17:04,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
17:04,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
17:04,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",2
17:03,"FOUL  by CORE,ISAIAH",,,,,,,"FOUL  by CORE,ISAIAH",2
16:47,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
16:44,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
16:36,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",2
16:25,,30,,47 (+17),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RHODESMB 30-47 (+17),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",2
16:10,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,"REBOUND OFF by DANIEL,DONTA",,,,,,,"REBOUND OFF by DANIEL,DONTA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:05,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
16:05,"MISS FT by DANIEL,DONTA",,,,,,,"MISS FT by DANIEL,DONTA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:05,"GOOD FT by DANIEL,DONTA",31,,47 (+16),,LCM 31-47 (+16),,"GOOD FT by DANIEL,DONTA",2
15:54,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
15:54,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
15:54,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
15:54,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
15:54,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
15:15,"MISS LAYUP by WAGNER,MARK",,,,,,,"MISS LAYUP by WAGNER,MARK",2
15:15,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",2
14:48,,31,,49 (+18),"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",RHODESMB 31-49 (+18),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",2
14:36,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
14:28,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",2
14:28,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",2
14:28,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
14:28,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
14:19,,31,,52 (+21),"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 31-52 (+21),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
14:09,"MISS JUMPER by MITCHELL,NICK",,,,,,,"MISS JUMPER by MITCHELL,NICK",2
--,"REBOUND OFF by HOWARD,JEROD",,,,,,,"REBOUND OFF by HOWARD,JEROD",2
13:54,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",33,,52 (+19),,LCM 33-52 (+19),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",2
13:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:53,"SUB IN by CORE,ISAIAH",,,,,,,"SUB IN by CORE,ISAIAH",2
13:53,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",2
13:42,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
13:39,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",2
13:39,,33,,53 (+20),"GOOD FT by LIVSEY,GEOFF",RHODESMB 33-53 (+20),,"GOOD FT by LIVSEY,GEOFF",2
13:39,,33,,54 (+21),"GOOD FT by LIVSEY,GEOFF",RHODESMB 33-54 (+21),,"GOOD FT by LIVSEY,GEOFF",2
13:33,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",2
13:30,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",35,,54 (+19),,LCM 35-54 (+19),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",2
12:56,,35,,56 (+21),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODESMB 35-56 (+21),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
12:56,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
12:56,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",2
12:46,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",37,,56 (+19),,LCM 37-56 (+19),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
12:45,"GOOD FT by ROBINSON,DENZEL",38,,56 (+18),,LCM 38-56 (+18),,"GOOD FT by ROBINSON,DENZEL",2
12:45,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",2
12:45,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
12:26,,38,,59 (+21),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 38-59 (+21),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
12:16,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
12:16,"GOOD FT by ROBINSON,DENZEL",39,,59 (+20),,LCM 39-59 (+20),,"GOOD FT by ROBINSON,DENZEL",2
12:16,"MISS FT by ROBINSON,DENZEL",,,,,,,"MISS FT by ROBINSON,DENZEL",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
12:01,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
11:53,"MISS 3PTR by BAXTER,DUSTIN",,,,,,,"MISS 3PTR by BAXTER,DUSTIN",2
--,"REBOUND OFF by DUGGER,PATRICK",,,,,,,"REBOUND OFF by DUGGER,PATRICK",2
11:47,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",41,,59 (+18),,LCM 41-59 (+18),,"GOOD LAYUP by DUGGER,PATRICK(in the paint)",2
11:28,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
--,"REBOUND DEF by HOWARD,JEROD",,,,,,,"REBOUND DEF by HOWARD,JEROD",2
11:26,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",2
11:26,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",2
11:26,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:24,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
11:24,"GOOD FT by HOWARD,JEROD",42,,59 (+17),,LCM 42-59 (+17),,"GOOD FT by HOWARD,JEROD",2
11:24,"GOOD FT by HOWARD,JEROD",43,,59 (+16),,LCM 43-59 (+16),,"GOOD FT by HOWARD,JEROD",2
11:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:59,,43,,61 (+18),"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHODESMB 43-61 (+18),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",2
10:48,"TURNOVER  by CORE,ISAIAH",,,,,,,"TURNOVER  by CORE,ISAIAH",2
10:48,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",2
10:48,"SUB OUT by BAXTER,DUSTIN",,,,,,,"SUB OUT by BAXTER,DUSTIN",2
10:38,,43,,63 (+20),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 43-63 (+20),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
10:38,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",2
10:38,,43,,64 (+21),"GOOD FT by SLEDGE,TATE",RHODESMB 43-64 (+21),,"GOOD FT by SLEDGE,TATE",2
10:38,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",2
10:38,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",2
10:38,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
10:38,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
10:20,"MISS JUMPER by WAGNER,MARK",,,,,,,"MISS JUMPER by WAGNER,MARK",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
10:17,,43,,66 (+23),"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",RHODESMB 43-66 (+23),,"GOOD LAYUP by COLLINS,LUKE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
10:13,"SUB IN by DANIEL,DONTA",,,,,,,"SUB IN by DANIEL,DONTA",2
10:13,"SUB OUT by CORE,ISAIAH",,,,,,,"SUB OUT by CORE,ISAIAH",2
10:11,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
10:11,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
10:11,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
10:10,"MISS FT by HOWARD,JEROD",,,,,,,"MISS FT by HOWARD,JEROD",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
10:02,"GOOD FT by FREELAND,FORREST",44,,66 (+22),,LCM 44-66 (+22),,"GOOD FT by FREELAND,FORREST",2
09:52,,44,,68 (+24),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RHODESMB 44-68 (+24),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",2
09:42,"TURNOVER  by DANIEL,DONTA",,,,,,,"TURNOVER  by DANIEL,DONTA",2
09:31,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
09:20,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
09:19,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
09:17,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
09:17,"GOOD FT by ROBINSON,DENZEL",45,,68 (+23),,LCM 45-68 (+23),,"GOOD FT by ROBINSON,DENZEL",2
09:17,"GOOD FT by ROBINSON,DENZEL",46,,68 (+22),,LCM 46-68 (+22),,"GOOD FT by ROBINSON,DENZEL",2
09:17,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",2
09:17,"SUB OUT by HOWARD,JEROD",,,,,,,"SUB OUT by HOWARD,JEROD",2
09:17,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
09:17,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
09:00,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",2
08:57,"GOOD LAYUP by MITCHELL,NICK(fastbreak)(in the paint)",48,,68 (+20),,LCM 48-68 (+20),,"GOOD LAYUP by MITCHELL,NICK(fastbreak)(in the paint)",2
08:40,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
08:40,"BLOCK  by DUGGER,PATRICK",,,,,,,"BLOCK  by DUGGER,PATRICK",2
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",2
08:32,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
08:32,"GOOD FT by MITCHELL,NICK",49,,68 (+19),,LCM 49-68 (+19),,"GOOD FT by MITCHELL,NICK",2
08:32,"GOOD FT by MITCHELL,NICK",50,,68 (+18),,LCM 50-68 (+18),,"GOOD FT by MITCHELL,NICK",2
08:32,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
08:32,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
08:19,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",2
08:19,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
08:19,"GOOD FT by ROBINSON,DENZEL",51,,68 (+17),,LCM 51-68 (+17),,"GOOD FT by ROBINSON,DENZEL",2
08:19,"GOOD FT by ROBINSON,DENZEL",52,,68 (+16),,LCM 52-68 (+16),,"GOOD FT by ROBINSON,DENZEL",2
08:19,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
08:19,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
08:00,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",2
07:55,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",2
07:52,"FOUL  by DANIEL,DONTA",,,,,,,"FOUL  by DANIEL,DONTA",2
07:52,,52,,69 (+17),"GOOD FT by WAGNER,MATT",RHODESMB 52-69 (+17),,"GOOD FT by WAGNER,MATT",2
07:52,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
07:44,"TURNOVER  by DANIEL,DONTA",,,,,,,"TURNOVER  by DANIEL,DONTA",2
07:44,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
07:44,"FOUL  by DANIEL,DONTA",,,,,,,"FOUL  by DANIEL,DONTA",2
07:44,,52,,70 (+18),"GOOD FT by WAGNER,MATT",RHODESMB 52-70 (+18),,"GOOD FT by WAGNER,MATT",2
07:44,,52,,71 (+19),"GOOD FT by WAGNER,MATT",RHODESMB 52-71 (+19),,"GOOD FT by WAGNER,MATT",2
07:44,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
07:44,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
07:32,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
07:32,"MISS FT by ROBINSON,DENZEL",,,,,,,"MISS FT by ROBINSON,DENZEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:32,"MISS FT by ROBINSON,DENZEL",,,,,,,"MISS FT by ROBINSON,DENZEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:32,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
07:32,,,,,"MISS FT by WATSON,SHANE",,,"MISS FT by WATSON,SHANE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:32,,52,,72 (+20),"GOOD FT by WATSON,SHANE",RHODESMB 52-72 (+20),,"GOOD FT by WATSON,SHANE",2
07:11,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",2
07:03,,,,,"TURNOVER  by DUNAVANT,JOHNNY",,,"TURNOVER  by DUNAVANT,JOHNNY",2
07:02,"STEAL  by MITCHELL,NICK",,,,,,,"STEAL  by MITCHELL,NICK",2
06:59,"TURNOVER  by WAGNER,MARK",,,,,,,"TURNOVER  by WAGNER,MARK",2
06:59,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
06:59,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
06:52,"MISS LAYUP by MITCHELL,NICK",,,,,,,"MISS LAYUP by MITCHELL,NICK",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
06:41,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",2
06:41,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:41,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
06:41,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",2
06:41,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",2
06:29,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",2
--,"REBOUND OFF by JOHNSON,JORDAN",,,,,,,"REBOUND OFF by JOHNSON,JORDAN",2
06:25,"MISS LAYUP by JOHNSON,JORDAN",,,,,,,"MISS LAYUP by JOHNSON,JORDAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:01,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",2
06:00,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
05:57,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
05:57,"GOOD FT by ROBINSON,DENZEL",53,,72 (+19),,LCM 53-72 (+19),,"GOOD FT by ROBINSON,DENZEL",2
05:57,"GOOD FT by ROBINSON,DENZEL",54,,72 (+18),,LCM 54-72 (+18),,"GOOD FT by ROBINSON,DENZEL",2
05:57,"SUB IN by HOWARD,JEROD",,,,,,,"SUB IN by HOWARD,JEROD",2
05:57,"SUB IN by CORE,ISAIAH",,,,,,,"SUB IN by CORE,ISAIAH",2
05:57,"SUB OUT by DANIEL,DONTA",,,,,,,"SUB OUT by DANIEL,DONTA",2
05:57,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",2
05:57,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
05:57,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
05:50,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
05:50,,54,,73 (+19),"GOOD FT by MILLER,DREW",RHODESMB 54-73 (+19),,"GOOD FT by MILLER,DREW",2
05:50,,54,,74 (+20),"GOOD FT by MILLER,DREW",RHODESMB 54-74 (+20),,"GOOD FT by MILLER,DREW",2
05:36,"GOOD 3PTR by ROBINSON,DENZEL",57,,74 (+17),,LCM 57-74 (+17),,"GOOD 3PTR by ROBINSON,DENZEL",2
05:15,,57,,76 (+19),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODESMB 57-76 (+19),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
05:03,"MISS LAYUP by ROBINSON,DENZEL",,,,,,,"MISS LAYUP by ROBINSON,DENZEL",2
05:03,,,,,"BLOCK  by SLEDGE,TATE",,,"BLOCK  by SLEDGE,TATE",2
--,"REBOUND OFF by ROBINSON,DENZEL",,,,,,,"REBOUND OFF by ROBINSON,DENZEL",2
04:57,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",59,,76 (+17),,LCM 59-76 (+17),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
04:50,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
04:50,"STEAL  by ROBINSON,DENZEL",,,,,,,"STEAL  by ROBINSON,DENZEL",2
04:47,"GOOD LAYUP by ROBINSON,DENZEL(fastbreak)(in the paint)",61,,76 (+15),,LCM 61-76 (+15),,"GOOD LAYUP by ROBINSON,DENZEL(fastbreak)(in the paint)",2
04:26,,,,,"MISS LAYUP by MCGRAIL,PATRICK",,,"MISS LAYUP by MCGRAIL,PATRICK",2
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",2
04:17,"MISS LAYUP by DUGGER,PATRICK",,,,,,,"MISS LAYUP by DUGGER,PATRICK",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
04:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:02,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",2
04:02,"SUB OUT by DUGGER,PATRICK",,,,,,,"SUB OUT by DUGGER,PATRICK",2
04:02,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
04:02,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
03:45,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",2
03:37,,61,,78 (+17),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 61-78 (+17),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
03:21,"MISS JUMPER by JOHNSON,JORDAN",,,,,,,"MISS JUMPER by JOHNSON,JORDAN",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
03:13,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",2
03:13,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:13,,61,,79 (+18),"GOOD FT by SLEDGE,TATE",RHODESMB 61-79 (+18),,"GOOD FT by SLEDGE,TATE",2
03:13,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",2
03:13,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",2
03:13,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
03:13,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
03:04,"MISS 3PTR by ROBINSON,DENZEL",,,,,,,"MISS 3PTR by ROBINSON,DENZEL",2
--,"REBOUND OFF by HOWARD,JEROD",,,,,,,"REBOUND OFF by HOWARD,JEROD",2
