Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,FUMB,Game Score,Team Indicator,Play,Period
15:59,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
15:59,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
15:55,"GOOD 3PTR by MILLER,DREW",5 (+3),,2,,RHODESMB 5-2 (+3),,"GOOD 3PTR by MILLER,DREW",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
15:50,,5 (+1),,4,"GOOD JUMPER by DEGEARE,BRYAN",FUMB 5-4 (+1),,"GOOD JUMPER by DEGEARE,BRYAN",1
15:46,"GOOD JUMPER by MILLER,DREW",7 (+3),,4,,RHODESMB 7-4 (+3),,"GOOD JUMPER by MILLER,DREW",1
15:33,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:24,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
15:05,,,,,"TURNOVER  by GREENLEE,JARED",,,"TURNOVER  by GREENLEE,JARED",1
15:05,"STEAL  by WAGNER,MATT",,,,,,,"STEAL  by WAGNER,MATT",1
15:00,,,,,"FOUL  by DEGEARE,BRYAN",,,"FOUL  by DEGEARE,BRYAN",1
15:00,"GOOD FT by COLLINS,LUKE",8 (+4),,4,,RHODESMB 8-4 (+4),,"GOOD FT by COLLINS,LUKE",1
15:00,"GOOD FT by COLLINS,LUKE",9 (+5),,4,,RHODESMB 9-4 (+5),,"GOOD FT by COLLINS,LUKE",1
15:00,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
15:00,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
15:00,,,,,"SUB IN by RUCKER,DARIUS",,,"SUB IN by RUCKER,DARIUS",1
15:00,,,,,"SUB OUT by DEGEARE,BRYAN",,,"SUB OUT by DEGEARE,BRYAN",1
14:38,,,,,"TURNOVER  by GREENLEE,JARED",,,"TURNOVER  by GREENLEE,JARED",1
14:31,"GOOD 3PTR by DUNAVANT,JOHNNY",12 (+8),,4,,RHODESMB 12-4 (+8),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
14:31,,,,,"SUB IN by ETTINGER,KODY",,,"SUB IN by ETTINGER,KODY",1
14:31,,,,,"SUB IN by JACKSON,MICHAEL",,,"SUB IN by JACKSON,MICHAEL",1
14:31,,,,,"SUB OUT by WELCH,BLAKE",,,"SUB OUT by WELCH,BLAKE",1
14:31,,,,,"SUB OUT by DEMISSE,YADA",,,"SUB OUT by DEMISSE,YADA",1
14:16,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
14:09,,,,,"MISS JUMPER by RUCKER,DARIUS",,,"MISS JUMPER by RUCKER,DARIUS",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
13:30,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND DEF by ETTINGER,KODY",,,"REBOUND DEF by ETTINGER,KODY",1
13:30,,,,,"MISS LAYUP by ETTINGER,KODY",,,"MISS LAYUP by ETTINGER,KODY",1
--,,,,,"REBOUND OFF by HAYWOOD,DALLAS",,,"REBOUND OFF by HAYWOOD,DALLAS",1
13:26,,12 (+6),,6,"GOOD JUMPER by HAYWOOD,DALLAS(in the paint)",FUMB 12-6 (+6),,"GOOD JUMPER by HAYWOOD,DALLAS(in the paint)",1
13:26,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
13:26,,,,,"MISS FT by HAYWOOD,DALLAS",,,"MISS FT by HAYWOOD,DALLAS",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
13:10,,,,,"FOUL  by HAYWOOD,DALLAS",,,"FOUL  by HAYWOOD,DALLAS",1
13:10,,,,,"SUB IN by BAKIS,ORKAN",,,"SUB IN by BAKIS,ORKAN",1
13:10,,,,,"SUB IN by DORHAUER,RICHARD",,,"SUB IN by DORHAUER,RICHARD",1
13:10,,,,,"SUB OUT by GREENLEE,JARED",,,"SUB OUT by GREENLEE,JARED",1
13:10,,,,,"SUB OUT by HAYWOOD,DALLAS",,,"SUB OUT by HAYWOOD,DALLAS",1
12:42,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,"REBOUND DEF by RUCKER,DARIUS",,,"REBOUND DEF by RUCKER,DARIUS",1
12:32,,12 (+4),,8,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",FUMB 12-8 (+4),,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",1
--,,,,,"ASSIST  by JACKSON,MICHAEL",,,"ASSIST  by JACKSON,MICHAEL",1
11:57,"GOOD LAYUP by WAGNER,MATT(in the paint)",14 (+6),,8,,RHODESMB 14-8 (+6),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
11:25,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",1
11:25,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
11:25,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:25,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:25,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
11:25,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
11:25,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
11:25,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
11:25,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
11:25,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
11:25,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
11:25,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
11:18,,,,,"MISS LAYUP by RUCKER,DARIUS",,,"MISS LAYUP by RUCKER,DARIUS",1
--,,,,,"REBOUND OFF by RUCKER,DARIUS",,,"REBOUND OFF by RUCKER,DARIUS",1
11:14,,,,,"TURNOVER  by RUCKER,DARIUS",,,"TURNOVER  by RUCKER,DARIUS",1
11:14,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
11:14,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
10:58,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
10:27,,,,,"TURNOVER  by JACKSON,MICHAEL",,,"TURNOVER  by JACKSON,MICHAEL",1
10:27,"STEAL  by SLEDGE,TATE",,,,,,,"STEAL  by SLEDGE,TATE",1
10:06,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
10:04,,,,,"STEAL  by DORHAUER,RICHARD",,,"STEAL  by DORHAUER,RICHARD",1
10:00,,,,,"MISS JUMPER by BAKIS,ORKAN",,,"MISS JUMPER by BAKIS,ORKAN",1
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",1
09:33,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by ETTINGER,KODY",,,"REBOUND DEF by ETTINGER,KODY",1
09:18,,,,,"FOUL  by ETTINGER,KODY",,,"FOUL  by ETTINGER,KODY",1
09:18,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
09:18,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
09:08,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",1
--,,,,,"REBOUND DEF by RUCKER,DARIUS",,,"REBOUND DEF by RUCKER,DARIUS",1
08:33,,,,,"TURNOVER  by DORHAUER,RICHARD",,,"TURNOVER  by DORHAUER,RICHARD",1
08:29,"STEAL  by HOECK,RYAN VAN",,,,,,,"STEAL  by HOECK,RYAN VAN",1
08:18,"GOOD JUMPER by MILLER,DREW",16 (+8),,8,,RHODESMB 16-8 (+8),,"GOOD JUMPER by MILLER,DREW",1
08:09,,,,,"TURNOVER  by ETTINGER,KODY",,,"TURNOVER  by ETTINGER,KODY",1
08:06,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
07:59,,,,,"FOUL  by BAKIS,ORKAN",,,"FOUL  by BAKIS,ORKAN",1
07:59,"GOOD FT by SLEDGE,TATE",17 (+9),,8,,RHODESMB 17-8 (+9),,"GOOD FT by SLEDGE,TATE",1
07:59,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by RUCKER,DARIUS",,,"REBOUND DEF by RUCKER,DARIUS",1
07:59,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
07:59,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
07:59,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
07:59,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
07:41,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
07:41,,,,,"MISS FT by RUCKER,DARIUS",,,"MISS FT by RUCKER,DARIUS",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
07:41,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
07:41,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
07:41,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
07:41,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
07:26,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",1
07:26,,,,,"BLOCK  by ETTINGER,KODY",,,"BLOCK  by ETTINGER,KODY",1
--,,,,,"REBOUND DEF by JACKSON,MICHAEL",,,"REBOUND DEF by JACKSON,MICHAEL",1
07:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
06:52,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:48,,,,,"SUB IN by GREENLEE,JARED",,,"SUB IN by GREENLEE,JARED",1
06:48,,,,,"SUB OUT by BAKIS,ORKAN",,,"SUB OUT by BAKIS,ORKAN",1
06:36,,,,,"MISS JUMPER by JACKSON,MICHAEL",,,"MISS JUMPER by JACKSON,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:31,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",1
06:31,,17 (+8),,9,"GOOD FT by ETTINGER,KODY",FUMB 17-9 (+8),,"GOOD FT by ETTINGER,KODY",1
06:31,,17 (+7),,10,"GOOD FT by ETTINGER,KODY",FUMB 17-10 (+7),,"GOOD FT by ETTINGER,KODY",1
06:31,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
06:31,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
06:31,,,,,"SUB IN by HAYWOOD,DALLAS",,,"SUB IN by HAYWOOD,DALLAS",1
06:31,,,,,"SUB OUT by DORHAUER,RICHARD",,,"SUB OUT by DORHAUER,RICHARD",1
06:17,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:17,,,,,"FOUL  by RUCKER,DARIUS",,,"FOUL  by RUCKER,DARIUS",1
06:17,"GOOD FT by DUNAVANT,JOHNNY",18 (+8),,10,,RHODESMB 18-10 (+8),,"GOOD FT by DUNAVANT,JOHNNY",1
06:17,"MISS FT by DUNAVANT,JOHNNY",,,,,,,"MISS FT by DUNAVANT,JOHNNY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:14,,18 (+6),,12,"GOOD JUMPER by RUCKER,DARIUS(in the paint)",FUMB 18-12 (+6),,"GOOD JUMPER by RUCKER,DARIUS(in the paint)",1
06:12,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
06:12,,,,,"STEAL  by HAYWOOD,DALLAS",,,"STEAL  by HAYWOOD,DALLAS",1
06:12,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
06:12,,,,,"MISS FT by HAYWOOD,DALLAS",,,"MISS FT by HAYWOOD,DALLAS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:05,"GOOD JUMPER by DUNAVANT,JOHNNY",20 (+8),,12,,RHODESMB 20-12 (+8),,"GOOD JUMPER by DUNAVANT,JOHNNY",1
06:03,,20 (+6),,14,"GOOD JUMPER by GREENLEE,JARED",FUMB 20-14 (+6),,"GOOD JUMPER by GREENLEE,JARED",1
--,,,,,"ASSIST  by HAYWOOD,DALLAS",,,"ASSIST  by HAYWOOD,DALLAS",1
05:48,"GOOD JUMPER by GALLAGHER,MICHAEL",22 (+8),,14,,RHODESMB 22-14 (+8),,"GOOD JUMPER by GALLAGHER,MICHAEL",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
05:28,,,,,"MISS 3PTR by ETTINGER,KODY",,,"MISS 3PTR by ETTINGER,KODY",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
05:03,"GOOD 3PTR by MILLER,DREW",25 (+11),,14,,RHODESMB 25-14 (+11),,"GOOD 3PTR by MILLER,DREW",1
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",1
04:37,,25 (+9),,16,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",FUMB 25-16 (+9),,"GOOD LAYUP by RUCKER,DARIUS(in the paint)",1
04:24,"GOOD LAYUP by WAGNER,MATT(in the paint)",27 (+11),,16,,RHODESMB 27-16 (+11),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
04:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:08,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
04:08,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
04:08,,,,,"SUB IN by WELCH,BLAKE",,,"SUB IN by WELCH,BLAKE",1
04:08,,,,,"SUB OUT by ETTINGER,KODY",,,"SUB OUT by ETTINGER,KODY",1
03:47,,,,,"MISS JUMPER by HAYWOOD,DALLAS",,,"MISS JUMPER by HAYWOOD,DALLAS",1
--,,,,,"REBOUND OFF by HAYWOOD,DALLAS",,,"REBOUND OFF by HAYWOOD,DALLAS",1
03:43,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
03:43,,,,,"MISS FT by HAYWOOD,DALLAS",,,"MISS FT by HAYWOOD,DALLAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:43,,,,,"MISS FT by HAYWOOD,DALLAS",,,"MISS FT by HAYWOOD,DALLAS",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
03:43,,,,,"SUB IN by CHANDLER,RIO JUSTICE",,,"SUB IN by CHANDLER,RIO JUSTICE",1
03:43,,,,,"SUB OUT by JACKSON,MICHAEL",,,"SUB OUT by JACKSON,MICHAEL",1
03:35,"GOOD 3PTR by GALLAGHER,MICHAEL",30 (+14),,16,,RHODESMB 30-16 (+14),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
03:23,,,,,"TURNOVER  by WELCH,BLAKE",,,"TURNOVER  by WELCH,BLAKE",1
03:22,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
03:14,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",32 (+16),,16,,RHODESMB 32-16 (+16),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
02:56,,32 (+13),,19,"GOOD 3PTR by CHANDLER,RIO JUSTICE",FUMB 32-19 (+13),,"GOOD 3PTR by CHANDLER,RIO JUSTICE",1
--,,,,,"ASSIST  by GREENLEE,JARED",,,"ASSIST  by GREENLEE,JARED",1
02:41,"GOOD 3PTR by GALLAGHER,MICHAEL",35 (+16),,19,,RHODESMB 35-19 (+16),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
02:21,,,,,"TURNOVER  by RUCKER,DARIUS",,,"TURNOVER  by RUCKER,DARIUS",1
02:21,,,,,"FOUL  by RUCKER,DARIUS",,,"FOUL  by RUCKER,DARIUS",1
02:21,,,,,"SUB IN by BAKIS,ORKAN",,,"SUB IN by BAKIS,ORKAN",1
02:21,,,,,"SUB OUT by RUCKER,DARIUS",,,"SUB OUT by RUCKER,DARIUS",1
01:56,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
01:56,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
01:56,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
01:56,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
01:49,,,,,"MISS JUMPER by GREENLEE,JARED",,,"MISS JUMPER by GREENLEE,JARED",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
01:43,,,,,"FOUL  by WELCH,BLAKE",,,"FOUL  by WELCH,BLAKE",1
01:41,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",37 (+18),,19,,RHODESMB 37-19 (+18),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
01:37,,,,,"FOUL  by BAKIS,ORKAN",,,"FOUL  by BAKIS,ORKAN",1
01:37,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BAKIS,ORKAN",,,"REBOUND DEF by BAKIS,ORKAN",1
01:30,,,,,"TURNOVER  by HAYWOOD,DALLAS",,,"TURNOVER  by HAYWOOD,DALLAS",1
01:29,"STEAL  by LIVSEY,GEOFF",,,,,,,"STEAL  by LIVSEY,GEOFF",1
01:20,,,,,"FOUL  by GREENLEE,JARED",,,"FOUL  by GREENLEE,JARED",1
01:20,"GOOD FT by LIVSEY,GEOFF",38 (+19),,19,,RHODESMB 38-19 (+19),,"GOOD FT by LIVSEY,GEOFF",1
01:20,"GOOD FT by LIVSEY,GEOFF",39 (+20),,19,,RHODESMB 39-19 (+20),,"GOOD FT by LIVSEY,GEOFF",1
01:20,,,,,"SUB IN by DORHAUER,RICHARD",,,"SUB IN by DORHAUER,RICHARD",1
01:20,,,,,"SUB OUT by HAYWOOD,DALLAS",,,"SUB OUT by HAYWOOD,DALLAS",1
00:51,,,,,"MISS 3PTR by DORHAUER,RICHARD",,,"MISS 3PTR by DORHAUER,RICHARD",1
--,,,,,"REBOUND OFF by CHANDLER,RIO JUSTICE",,,"REBOUND OFF by CHANDLER,RIO JUSTICE",1
00:40,,,,,"MISS 3PTR by WELCH,BLAKE",,,"MISS 3PTR by WELCH,BLAKE",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
00:18,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by WELCH,BLAKE",,,"REBOUND DEF by WELCH,BLAKE",1
00:11,,39 (+18),,21,"GOOD LAYUP by WELCH,BLAKE(in the paint)",FUMB 39-21 (+18),,"GOOD LAYUP by WELCH,BLAKE(in the paint)",1
00:07,,,,,"FOUL  by BAKIS,ORKAN",,,"FOUL  by BAKIS,ORKAN",1
00:07,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
00:07,,,,,"FOUL TECH by BAKIS,ORKAN",,,"FOUL TECH by BAKIS,ORKAN",1
00:07,"FOUL TECH by MILLER,DREW",,,,,,,"FOUL TECH by MILLER,DREW",1
00:07,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
00:07,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
00:00,"MISS 3PTR by WAGNER,MATT",,,,,,,"MISS 3PTR by WAGNER,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:56,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
19:48,,,,,"MISS JUMPER by GREENLEE,JARED",,,"MISS JUMPER by GREENLEE,JARED",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
19:37,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",41 (+20),,21,,RHODESMB 41-21 (+20),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
19:12,,41 (+18),,23,"GOOD LAYUP by GREENLEE,JARED(in the paint)",FUMB 41-23 (+18),,"GOOD LAYUP by GREENLEE,JARED(in the paint)",2
--,,,,,"ASSIST  by WELCH,BLAKE",,,"ASSIST  by WELCH,BLAKE",2
18:58,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by GREENLEE,JARED",,,"REBOUND DEF by GREENLEE,JARED",2
18:49,,,,,"MISS JUMPER by DEGEARE,BRYAN",,,"MISS JUMPER by DEGEARE,BRYAN",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
18:36,,,,,"FOUL  by HAYWOOD,DALLAS",,,"FOUL  by HAYWOOD,DALLAS",2
18:22,"MISS JUMPER by COLLINS,LUKE",,,,,,,"MISS JUMPER by COLLINS,LUKE",2
--,"REBOUND OFF by COLLINS,LUKE",,,,,,,"REBOUND OFF by COLLINS,LUKE",2
18:13,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",43 (+20),,23,,RHODESMB 43-23 (+20),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
18:04,,43 (+18),,25,"GOOD JUMPER by DEGEARE,BRYAN",FUMB 43-25 (+18),,"GOOD JUMPER by DEGEARE,BRYAN",2
--,,,,,"ASSIST  by WELCH,BLAKE",,,"ASSIST  by WELCH,BLAKE",2
17:40,"GOOD JUMPER by LIVSEY,GEOFF",45 (+20),,25,,RHODESMB 45-25 (+20),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
17:32,,,,,"SUB IN by DORHAUER,RICHARD",,,"SUB IN by DORHAUER,RICHARD",2
17:32,,,,,"SUB OUT by HAYWOOD,DALLAS",,,"SUB OUT by HAYWOOD,DALLAS",2
17:05,,,,,"MISS 3PTR by DORHAUER,RICHARD",,,"MISS 3PTR by DORHAUER,RICHARD",2
--,,,,,"REBOUND OFF by GREENLEE,JARED",,,"REBOUND OFF by GREENLEE,JARED",2
