Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
08:52,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:36,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
08:29,,,,,"STEAL  by HOECK,RYAN VAN",,,"STEAL  by HOECK,RYAN VAN",1
08:29,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
08:29,"STEAL  by WHALEN,MAC",,,,,,,"STEAL  by WHALEN,MAC",1
08:29,"SUB IN by COTTER,DOUGLAS",,,,,,,"SUB IN by COTTER,DOUGLAS",1
08:29,"SUB OUT by PARK,BRANDON",,,,,,,"SUB OUT by PARK,BRANDON",1
08:23,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND OFF by COTTER,DOUGLAS",,,,,,,"REBOUND OFF by COTTER,DOUGLAS",1
08:09,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
08:09,"GOOD FT by MCCLOUD,LEE",20,,25 (+5),,BCM 20-25 (+5),,"GOOD FT by MCCLOUD,LEE",1
08:09,"GOOD FT by MCCLOUD,LEE",21,,25 (+4),,BCM 21-25 (+4),,"GOOD FT by MCCLOUD,LEE",1
08:09,"SUB IN by JONES,RON",,,,,,,"SUB IN by JONES,RON",1
08:09,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",1
08:09,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
08:09,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
07:45,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
07:45,"BLOCK  by WHALEN,MAC",,,,,,,"BLOCK  by WHALEN,MAC",1
--,"REBOUND DEF by COTTER,DOUGLAS",,,,,,,"REBOUND DEF by COTTER,DOUGLAS",1
07:32,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",1
07:32,"GOOD FT by WHALEN,MAC",22,,25 (+3),,BCM 22-25 (+3),,"GOOD FT by WHALEN,MAC",1
07:32,"MISS FT by WHALEN,MAC",,,,,,,"MISS FT by WHALEN,MAC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:32,"SUB IN by WRIGHT,JAKE",,,,,,,"SUB IN by WRIGHT,JAKE",1
07:32,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",1
07:26,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND DEF by JONES,RON",,,,,,,"REBOUND DEF by JONES,RON",1
07:20,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
07:11,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
07:11,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
07:11,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
07:11,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
07:11,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
07:11,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
07:11,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
07:09,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
07:07,"STEAL  by WHALEN,MAC",,,,,,,"STEAL  by WHALEN,MAC",1
07:06,"GOOD LAYUP by WHALEN,MAC(fastbreak)(in the paint)",24,,25 (+1),,BCM 24-25 (+1),,"GOOD LAYUP by WHALEN,MAC(fastbreak)(in the paint)",1
06:59,,24,,27 (+3),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODESMB 24-27 (+3),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
06:41,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
06:41,"GOOD FT by MCCLOUD,LEE",25,,27 (+2),,BCM 25-27 (+2),,"GOOD FT by MCCLOUD,LEE",1
06:41,"GOOD FT by MCCLOUD,LEE",26,,27 (+1),,BCM 26-27 (+1),,"GOOD FT by MCCLOUD,LEE",1
06:41,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",1
06:41,"SUB IN by LEWIS,AJ",,,,,,,"SUB IN by LEWIS,AJ",1
06:41,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
06:41,"SUB OUT by WRIGHT,JAKE",,,,,,,"SUB OUT by WRIGHT,JAKE",1
06:30,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:29,"FOUL  by COTTER,DOUGLAS",,,,,,,"FOUL  by COTTER,DOUGLAS",1
06:29,,26,,28 (+2),"GOOD FT by SLEDGE,TATE",RHODESMB 26-28 (+2),,"GOOD FT by SLEDGE,TATE",1
06:29,,26,,29 (+3),"GOOD FT by SLEDGE,TATE",RHODESMB 26-29 (+3),,"GOOD FT by SLEDGE,TATE",1
06:11,"TURNOVER  by LEWIS,AJ",,,,,,,"TURNOVER  by LEWIS,AJ",1
05:55,,26,,32 (+6),"GOOD 3PTR by MILLER,DREW",RHODESMB 26-32 (+6),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
05:41,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
05:41,"SUB IN by GRAHAM,LAKE",,,,,,,"SUB IN by GRAHAM,LAKE",1
05:41,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",1
05:41,"SUB IN by WRIGHT,JAKE",,,,,,,"SUB IN by WRIGHT,JAKE",1
05:41,"SUB OUT by COTTER,DOUGLAS",,,,,,,"SUB OUT by COTTER,DOUGLAS",1
05:41,"SUB OUT by JONES,RON",,,,,,,"SUB OUT by JONES,RON",1
05:41,"SUB OUT by LEWIS,AJ",,,,,,,"SUB OUT by LEWIS,AJ",1
05:31,,26,,34 (+8),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 26-34 (+8),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
05:15,"TURNOVER  by WRIGHT,JAKE",,,,,,,"TURNOVER  by WRIGHT,JAKE",1
05:09,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",1
05:09,,26,,35 (+9),"GOOD FT by MILLER,DREW",RHODESMB 26-35 (+9),,"GOOD FT by MILLER,DREW",1
05:09,,26,,36 (+10),"GOOD FT by MILLER,DREW",RHODESMB 26-36 (+10),,"GOOD FT by MILLER,DREW",1
05:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:09,"SUB IN by JONES,RON",,,,,,,"SUB IN by JONES,RON",1
05:09,"SUB OUT by WRIGHT,JAKE",,,,,,,"SUB OUT by WRIGHT,JAKE",1
04:46,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
04:46,"GOOD FT by JACOBS,OWEN",27,,36 (+9),,BCM 27-36 (+9),,"GOOD FT by JACOBS,OWEN",1
04:46,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:46,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",1
04:46,,27,,37 (+10),"GOOD FT by SLEDGE,TATE",RHODESMB 27-37 (+10),,"GOOD FT by SLEDGE,TATE",1
04:46,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
04:46,"SUB IN by SMOAK,HUNTER",,,,,,,"SUB IN by SMOAK,HUNTER",1
04:46,"SUB OUT by JONES,RON",,,,,,,"SUB OUT by JONES,RON",1
04:46,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
04:46,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
04:33,"MISS 3PTR by SMOAK,HUNTER",,,,,,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND OFF by WHALEN,MAC",,,,,,,"REBOUND OFF by WHALEN,MAC",1
04:25,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
04:25,"GOOD FT by MCCLOUD,LEE",28,,37 (+9),,BCM 28-37 (+9),,"GOOD FT by MCCLOUD,LEE",1
04:25,"MISS FT by MCCLOUD,LEE",,,,,,,"MISS FT by MCCLOUD,LEE",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
04:04,,,,,"MISS JUMPER by WAGNER,MATT",,,"MISS JUMPER by WAGNER,MATT",1
--,"REBOUND DEF by WHALEN,MAC",,,,,,,"REBOUND DEF by WHALEN,MAC",1
03:58,"GOOD 3PTR by SMOAK,HUNTER",31,,37 (+6),,BCM 31-37 (+6),,"GOOD 3PTR by SMOAK,HUNTER",1
03:33,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",1
03:33,,31,,38 (+7),"GOOD FT by GALLAGHER,MICHAEL",RHODESMB 31-38 (+7),,"GOOD FT by GALLAGHER,MICHAEL",1
03:33,,31,,39 (+8),"GOOD FT by GALLAGHER,MICHAEL",RHODESMB 31-39 (+8),,"GOOD FT by GALLAGHER,MICHAEL",1
03:33,"SUB IN by WRIGHT,JAKE",,,,,,,"SUB IN by WRIGHT,JAKE",1
03:33,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",1
03:33,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:33,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
03:26,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
03:14,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
03:14,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
03:06,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
03:05,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",1
03:02,,31,,41 (+10),"GOOD LAYUP by SLEDGE,TATE(fastbreak)(in the paint)",RHODESMB 31-41 (+10),,"GOOD LAYUP by SLEDGE,TATE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
02:48,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
02:21,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
02:09,,31,,43 (+12),"GOOD LAYUP by WATSON,SHANE(in the paint)",RHODESMB 31-43 (+12),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
02:01,"GOOD LAYUP by JACOBS,OWEN(in the paint)",33,,43 (+10),,BCM 33-43 (+10),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
