Time Remaining,HPU,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
07:15,,,,,"MISS FT by DUNAVANT,JOHNNY",,,"MISS FT by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by MORROW,BLAKE",,,,,,,"REBOUND DEF by MORROW,BLAKE",1
07:15,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
06:56,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
06:56,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
06:50,"MISS 3PTR by FORD,DONOVAN",,,,,,,"MISS 3PTR by FORD,DONOVAN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
06:38,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:35,"SUB IN by ADAMS,BRYAN",,,,,,,"SUB IN by ADAMS,BRYAN",1
06:35,"SUB OUT by MORROW,BLAKE",,,,,,,"SUB OUT by MORROW,BLAKE",1
06:15,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,"REBOUND DEF by ADAMS,BRYAN",,,,,,,"REBOUND DEF by ADAMS,BRYAN",1
06:14,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
06:14,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
06:14,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:14,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
06:14,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
05:54,"MISS JUMPER by GOULD,BRANDON",,,,,,,"MISS JUMPER by GOULD,BRANDON",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
05:47,"FOUL  by ADAMS,BRYAN",,,,,,,"FOUL  by ADAMS,BRYAN",1
05:47,,28 (+3),,25,"GOOD FT by LIVSEY,GEOFF",RHODESMB 28-25 (-3),,"GOOD FT by LIVSEY,GEOFF",1
05:47,,28 (+2),,26,"GOOD FT by LIVSEY,GEOFF",RHODESMB 28-26 (-2),,"GOOD FT by LIVSEY,GEOFF",1
05:31,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",1
05:31,"GOOD FT by ADAMS,BRYAN",29 (+3),,26,,HPU 29-26 (-3),,"GOOD FT by ADAMS,BRYAN",1
05:31,"GOOD FT by ADAMS,BRYAN",30 (+4),,26,,HPU 30-26 (-4),,"GOOD FT by ADAMS,BRYAN",1
05:20,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
05:20,"BLOCK  by DAVIS,CHRISTIAN",,,,,,,"BLOCK  by DAVIS,CHRISTIAN",1
--,"REBOUND DEF by GOULD,BRANDON",,,,,,,"REBOUND DEF by GOULD,BRANDON",1
05:19,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
05:19,"GOOD FT by GOULD,BRANDON",31 (+5),,26,,HPU 31-26 (-5),,"GOOD FT by GOULD,BRANDON",1
05:19,"GOOD FT by GOULD,BRANDON",32 (+6),,26,,HPU 32-26 (-6),,"GOOD FT by GOULD,BRANDON",1
05:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:41,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:40,"STEAL  by YOUNG,JORDEN",,,,,,,"STEAL  by YOUNG,JORDEN",1
04:39,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
04:39,"GOOD FT by FORD,DONOVAN",33 (+7),,26,,HPU 33-26 (-7),,"GOOD FT by FORD,DONOVAN",1
04:39,"GOOD FT by FORD,DONOVAN",34 (+8),,26,,HPU 34-26 (-8),,"GOOD FT by FORD,DONOVAN",1
04:15,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
04:02,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
04:02,"BLOCK  by YOUNG,JORDEN",,,,,,,"BLOCK  by YOUNG,JORDEN",1
--,"REBOUND DEF by YOUNG,JORDEN",,,,,,,"REBOUND DEF by YOUNG,JORDEN",1
03:46,"FOUL  by DAVIS,CHRISTIAN",,,,,,,"FOUL  by DAVIS,CHRISTIAN",1
03:46,"TURNOVER  by DAVIS,CHRISTIAN",,,,,,,"TURNOVER  by DAVIS,CHRISTIAN",1
03:46,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
03:46,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:29,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by GOULD,BRANDON",,,,,,,"REBOUND DEF by GOULD,BRANDON",1
03:16,"TURNOVER  by ADAMS,BRYAN",,,,,,,"TURNOVER  by ADAMS,BRYAN",1
03:14,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
03:01,"FOUL  by ADAMS,BRYAN",,,,,,,"FOUL  by ADAMS,BRYAN",1
03:01,,34 (+7),,27,"GOOD FT by LIVSEY,GEOFF",RHODESMB 34-27 (-7),,"GOOD FT by LIVSEY,GEOFF",1
03:01,,34 (+6),,28,"GOOD FT by LIVSEY,GEOFF",RHODESMB 34-28 (-6),,"GOOD FT by LIVSEY,GEOFF",1
03:01,"SUB IN by MORROW,BLAKE",,,,,,,"SUB IN by MORROW,BLAKE",1
03:01,"SUB OUT by ADAMS,BRYAN",,,,,,,"SUB OUT by ADAMS,BRYAN",1
02:50,"MISS 3PTR by GOULD,BRANDON",,,,,,,"MISS 3PTR by GOULD,BRANDON",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
02:33,,34 (+3),,31,"GOOD 3PTR by MCGRAIL,PATRICK",RHODESMB 34-31 (-3),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",1
01:59,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
01:59,"MISS FT by MORROW,BLAKE",,,,,,,"MISS FT by MORROW,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:59,"GOOD FT by MORROW,BLAKE",35 (+4),,31,,HPU 35-31 (-4),,"GOOD FT by MORROW,BLAKE",1
01:59,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
01:59,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
01:37,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:13,,35 (+2),,33,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 35-33 (-2),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
00:45,"MISS JUMPER by FORD,DONOVAN",,,,,,,"MISS JUMPER by FORD,DONOVAN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
00:32,,35,,36 (+1),"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 35-36 (+1),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
00:01,"GOOD 3PTR by FORD,DONOVAN",38 (+2),,36,,HPU 38-36 (-2),,"GOOD 3PTR by FORD,DONOVAN",1
19:33,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
19:13,"GOOD 3PTR by FORD,DONOVAN",41 (+5),,36,,HPU 41-36 (-5),,"GOOD 3PTR by FORD,DONOVAN",2
--,"ASSIST  by GOULD,BRANDON",,,,,,,"ASSIST  by GOULD,BRANDON",2
18:42,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by GOULD,BRANDON",,,,,,,"REBOUND DEF by GOULD,BRANDON",2
18:33,"TURNOVER  by FORD,DONOVAN",,,,,,,"TURNOVER  by FORD,DONOVAN",2
17:59,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND DEF by YOUNG,JORDEN",,,,,,,"REBOUND DEF by YOUNG,JORDEN",2
17:55,"TURNOVER  by YOUNG,JORDEN",,,,,,,"TURNOVER  by YOUNG,JORDEN",2
17:31,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND DEF by YOUNG,JORDEN",,,,,,,"REBOUND DEF by YOUNG,JORDEN",2
17:23,"MISS LAYUP by GOULD,BRANDON",,,,,,,"MISS LAYUP by GOULD,BRANDON",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
17:17,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
