Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
13:09,,6,,18 (+12),"GOOD 3PTR by DUNAVANT,JOHNNY",RHODES 6-18 (+12),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
12:45,"GOOD LAYUP by CONARD,ALEC(in the paint)",8,,18 (+10),,HENDRIX 8-18 (+10),,"GOOD LAYUP by CONARD,ALEC(in the paint)",1
12:45,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
12:45,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
12:45,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
12:45,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
12:45,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",1
12:45,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
12:45,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
12:45,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
12:45,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:45,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
12:45,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:45,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:34,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
12:34,"SUB IN by ROLAND,WILL",,,,,,,"SUB IN by ROLAND,WILL",1
12:34,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
12:28,,8,,20 (+12),"GOOD JUMPER by MCGRAIL,PATRICK",RHODES 8-20 (+12),,"GOOD JUMPER by MCGRAIL,PATRICK",1
12:09,"GOOD JUMPER by GUMM,GABE",10,,20 (+10),,HENDRIX 10-20 (+10),,"GOOD JUMPER by GUMM,GABE",1
11:59,,10,,23 (+13),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODES 10-23 (+13),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
11:37,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
11:33,"SUB IN by TAULTON,JORDAN",,,,,,,"SUB IN by TAULTON,JORDAN",1
11:33,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
11:11,"GOOD JUMPER by ALDOUS,HANK",12,,23 (+11),,HENDRIX 12-23 (+11),,"GOOD JUMPER by ALDOUS,HANK",1
10:52,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
10:52,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
10:52,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
10:26,,,,,"MISS 3PTR by WAGNER,MATT",,,"MISS 3PTR by WAGNER,MATT",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
10:10,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",1
10:09,"STEAL  by TAULTON,JORDAN",,,,,,,"STEAL  by TAULTON,JORDAN",1
10:03,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
10:03,"MISS FT by ALDOUS,HANK",,,,,,,"MISS FT by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
10:03,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
10:03,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:57,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",1
09:49,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",1
09:49,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:33,,12,,25 (+13),"GOOD LAYUP by WATSON,SHANE(in the paint)",RHODES 12-25 (+13),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
09:18,"MISS LAYUP by ROLAND,WILL",,,,,,,"MISS LAYUP by ROLAND,WILL",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
09:03,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
09:03,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
09:01,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",1
08:45,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
