Time Remaining,SCH-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
05:41,"MISS FT by MYRES,AJ",,,,,,,"MISS FT by MYRES,AJ",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
05:18,,19,,32 (+13),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 19-32 (+13),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
05:01,"MISS 3PTR by HARRIS,MAVERICK",,,,,,,"MISS 3PTR by HARRIS,MAVERICK",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
04:53,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
04:53,"SUB IN by PENA,CHRISTIAN",,,,,,,"SUB IN by PENA,CHRISTIAN",1
04:53,"SUB IN by CLARK,GRANT",,,,,,,"SUB IN by CLARK,GRANT",1
04:53,"SUB OUT by KEE,PHILLIP",,,,,,,"SUB OUT by KEE,PHILLIP",1
04:53,"SUB OUT by GUDERYAHN,TYLER",,,,,,,"SUB OUT by GUDERYAHN,TYLER",1
04:53,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
04:53,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
04:53,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
04:53,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:35,"GOOD JUMPER by MYRES,AJ",21,,32 (+11),,SCH-M 21-32 (+11),,"GOOD JUMPER by MYRES,AJ",1
--,"ASSIST  by CLARK,GRANT",,,,,,,"ASSIST  by CLARK,GRANT",1
04:19,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
04:18,"STEAL  by GUERRERO,STEVAN",,,,,,,"STEAL  by GUERRERO,STEVAN",1
04:18,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
04:17,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
04:17,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
03:51,"MISS LAYUP by GUERRERO,STEVAN",,,,,,,"MISS LAYUP by GUERRERO,STEVAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
03:35,,21,,34 (+13),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 21-34 (+13),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
03:18,"MISS 3PTR by PENA,CHRISTIAN",,,,,,,"MISS 3PTR by PENA,CHRISTIAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
03:06,,21,,36 (+15),"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",RHODESMB 21-36 (+15),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
03:04,"SUB IN by ROBINSON,HOLLIS",,,,,,,"SUB IN by ROBINSON,HOLLIS",1
03:04,"SUB IN by NUNEZ,CHARLIE",,,,,,,"SUB IN by NUNEZ,CHARLIE",1
03:04,"SUB OUT by HARRIS,MAVERICK",,,,,,,"SUB OUT by HARRIS,MAVERICK",1
03:04,"SUB OUT by PENA,CHRISTIAN",,,,,,,"SUB OUT by PENA,CHRISTIAN",1
02:43,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
02:43,"GOOD FT by NUNEZ,CHARLIE",22,,36 (+14),,SCH-M 22-36 (+14),,"GOOD FT by NUNEZ,CHARLIE",1
02:43,"GOOD FT by NUNEZ,CHARLIE",23,,36 (+13),,SCH-M 23-36 (+13),,"GOOD FT by NUNEZ,CHARLIE",1
02:43,"SUB IN by THOMPSON,JARED",,,,,,,"SUB IN by THOMPSON,JARED",1
02:43,"SUB OUT by GUERRERO,STEVAN",,,,,,,"SUB OUT by GUERRERO,STEVAN",1
02:30,,23,,38 (+15),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODESMB 23-38 (+15),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
02:14,"MISS 3PTR by CLARK,GRANT",,,,,,,"MISS 3PTR by CLARK,GRANT",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:54,"FOUL  by THOMPSON,JARED",,,,,,,"FOUL  by THOMPSON,JARED",1
01:54,,23,,39 (+16),"GOOD FT by LIVSEY,GEOFF",RHODESMB 23-39 (+16),,"GOOD FT by LIVSEY,GEOFF",1
01:54,,23,,40 (+17),"GOOD FT by LIVSEY,GEOFF",RHODESMB 23-40 (+17),,"GOOD FT by LIVSEY,GEOFF",1
01:40,"FOUL  by ROBINSON,HOLLIS",,,,,,,"FOUL  by ROBINSON,HOLLIS",1
01:40,"TURNOVER  by ROBINSON,HOLLIS",,,,,,,"TURNOVER  by ROBINSON,HOLLIS",1
01:30,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
01:29,"STEAL  by NUNEZ,CHARLIE",,,,,,,"STEAL  by NUNEZ,CHARLIE",1
01:09,"MISS 3PTR by NUNEZ,CHARLIE",,,,,,,"MISS 3PTR by NUNEZ,CHARLIE",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
00:59,"FOUL  by ROBINSON,HOLLIS",,,,,,,"FOUL  by ROBINSON,HOLLIS",1
00:59,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:59,,23,,41 (+18),"GOOD FT by MILLER,DREW",RHODESMB 23-41 (+18),,"GOOD FT by MILLER,DREW",1
00:59,"SUB IN by FINLEY,TAYLOR",,,,,,,"SUB IN by FINLEY,TAYLOR",1
00:59,"SUB OUT by ROBINSON,HOLLIS",,,,,,,"SUB OUT by ROBINSON,HOLLIS",1
00:44,"GOOD JUMPER by MYRES,AJ",25,,41 (+16),,SCH-M 25-41 (+16),,"GOOD JUMPER by MYRES,AJ",1
00:06,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by CLARK,GRANT",,,,,,,"REBOUND DEF by CLARK,GRANT",1
00:00,"MISS 3PTR by MYRES,AJ",,,,,,,"MISS 3PTR by MYRES,AJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by BERCUTT,DUSTIN",,,,,,,"SUB IN by BERCUTT,DUSTIN",2
20:00,"SUB IN by GUDERYAHN,TYLER",,,,,,,"SUB IN by GUDERYAHN,TYLER",2
20:00,"SUB IN by FINLEY,TAYLOR",,,,,,,"SUB IN by FINLEY,TAYLOR",2
20:00,"SUB OUT by NUNEZ,CHARLIE",,,,,,,"SUB OUT by NUNEZ,CHARLIE",2
20:00,"SUB OUT by ROBINSON,HOLLIS",,,,,,,"SUB OUT by ROBINSON,HOLLIS",2
20:00,"SUB OUT by KEE,PHILLIP",,,,,,,"SUB OUT by KEE,PHILLIP",2
19:36,,,,,"TURNOVER  by DUNAVANT,JOHNNY",,,"TURNOVER  by DUNAVANT,JOHNNY",2
19:35,"STEAL  by MYRES,AJ",,,,,,,"STEAL  by MYRES,AJ",2
19:31,"TURNOVER  by FINLEY,TAYLOR",,,,,,,"TURNOVER  by FINLEY,TAYLOR",2
19:03,,25,,43 (+18),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 25-43 (+18),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
18:48,"GOOD LAYUP by MYRES,AJ(in the paint)",27,,43 (+16),,SCH-M 27-43 (+16),,"GOOD LAYUP by MYRES,AJ(in the paint)",2
18:48,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
18:48,"GOOD FT by MYRES,AJ",28,,43 (+15),,SCH-M 28-43 (+15),,"GOOD FT by MYRES,AJ",2
18:48,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
18:48,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
18:38,,28,,45 (+17),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODESMB 28-45 (+17),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
18:25,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
