Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,MC,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:04,"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",32 (+2),,30,,RHO 32-30 (+2),,"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",2
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",2
15:03,,,,,"FOUL  by LYONS,DEAUNDREA",,,"FOUL  by LYONS,DEAUNDREA",2
15:03,"GOOD FT by LIVSEY,GEOFF",33 (+3),,30,,RHO 33-30 (+3),,"GOOD FT by LIVSEY,GEOFF",2
15:02,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",2
14:58,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",2
14:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
14:52,,,,,"MISS JUMPER by EZEJIOFO,EMMANUEL",,,"MISS JUMPER by EZEJIOFO,EMMANUEL",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
14:31,"GOOD LAYUP by MILLER,DREW(in the paint)",35 (+5),,30,,RHO 35-30 (+5),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
14:17,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
14:17,,35 (+4),,31,"GOOD FT by LYONS,DEAUNDREA",MC 35-31 (+4),,"GOOD FT by LYONS,DEAUNDREA",2
14:17,,35 (+3),,32,"GOOD FT by LYONS,DEAUNDREA",MC 35-32 (+3),,"GOOD FT by LYONS,DEAUNDREA",2
14:17,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
14:17,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
14:17,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
14:17,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
14:17,,,,,"SUB IN by EDWARDS,JARON",,,"SUB IN by EDWARDS,JARON",2
14:17,,,,,"SUB OUT by FREDRICK,RAYNER",,,"SUB OUT by FREDRICK,RAYNER",2
13:57,"GOOD LAYUP by WAGNER,MATT(in the paint)",37 (+5),,32,,RHO 37-32 (+5),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",2
13:38,,37 (+3),,34,"GOOD LAYUP by LYONS,DEAUNDREA(in the paint)",MC 37-34 (+3),,"GOOD LAYUP by LYONS,DEAUNDREA(in the paint)",2
--,,,,,"ASSIST  by EDWARDS,JARON",,,"ASSIST  by EDWARDS,JARON",2
13:20,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",39 (+5),,34,,RHO 39-34 (+5),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",2
13:18,,,,,"FOUL  by FORD,LAKIN",,,"FOUL  by FORD,LAKIN",2
13:18,"GOOD FT by HOECK,RYAN VAN",40 (+6),,34,,RHO 40-34 (+6),,"GOOD FT by HOECK,RYAN VAN",2
13:18,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
13:18,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",2
13:18,,,,,"SUB IN by SMITH,KELVIN",,,"SUB IN by SMITH,KELVIN",2
13:18,,,,,"SUB OUT by FORD,LAKIN",,,"SUB OUT by FORD,LAKIN",2
13:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:01,,,,,"MISS JUMPER by HOWARD,CHRISTIAN",,,"MISS JUMPER by HOWARD,CHRISTIAN",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
12:39,,,,,"FOUL  by SMITH,KELVIN",,,"FOUL  by SMITH,KELVIN",2
12:31,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
12:31,,,,,"BLOCK  by SMITH,KELVIN",,,"BLOCK  by SMITH,KELVIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:23,"GOOD 3PTR by MCGRAIL,PATRICK",43 (+9),,34,,RHO 43-34 (+9),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
12:00,,,,,"TURNOVER  by SMITH,KELVIN",,,"TURNOVER  by SMITH,KELVIN",2
12:00,,,,,"SUB IN by WILLIAMS,WILLIE",,,"SUB IN by WILLIAMS,WILLIE",2
12:00,,,,,"SUB OUT by SMITH,KELVIN",,,"SUB OUT by SMITH,KELVIN",2
11:37,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by WILLIAMS,WILLIE",,,"REBOUND DEF by WILLIAMS,WILLIE",2
11:24,,,,,"MISS JUMPER by WILLIAMS,WILLIE",,,"MISS JUMPER by WILLIAMS,WILLIE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:07,,,,,"MISS LAYUP by EZEJIOFO,EMMANUEL",,,"MISS LAYUP by EZEJIOFO,EMMANUEL",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
10:37,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
10:37,,,,,"BLOCK  by LYONS,DEAUNDREA",,,"BLOCK  by LYONS,DEAUNDREA",2
--,,,,,"REBOUND DEF by EZEJIOFO,EMMANUEL",,,"REBOUND DEF by EZEJIOFO,EMMANUEL",2
10:30,,,,,"MISS 3PTR by EDWARDS,JARON",,,"MISS 3PTR by EDWARDS,JARON",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
10:15,"MISS 3PTR by WAGNER,MATT",,,,,,,"MISS 3PTR by WAGNER,MATT",2
--,,,,,"REBOUND DEF by EZEJIOFO,EMMANUEL",,,"REBOUND DEF by EZEJIOFO,EMMANUEL",2
10:02,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
10:02,,43 (+8),,35,"GOOD FT by WILLIAMS,WILLIE",MC 43-35 (+8),,"GOOD FT by WILLIAMS,WILLIE",2
10:02,,43 (+7),,36,"GOOD FT by WILLIAMS,WILLIE",MC 43-36 (+7),,"GOOD FT by WILLIAMS,WILLIE",2
10:02,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
10:02,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",2
10:02,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",2
10:02,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
10:02,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
10:02,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
10:02,,,,,"SUB IN by FREDRICK,RAYNER",,,"SUB IN by FREDRICK,RAYNER",2
10:02,,,,,"SUB IN by FORD,LAKIN",,,"SUB IN by FORD,LAKIN",2
10:02,,,,,"SUB IN by CASE,JAY",,,"SUB IN by CASE,JAY",2
10:02,,,,,"SUB IN by CASE,JARED",,,"SUB IN by CASE,JARED",2
10:02,,,,,"SUB OUT by HOWARD,CHRISTIAN",,,"SUB OUT by HOWARD,CHRISTIAN",2
10:02,,,,,"SUB OUT by EZEJIOFO,EMMANUEL",,,"SUB OUT by EZEJIOFO,EMMANUEL",2
10:02,,,,,"SUB OUT by LYONS,DEAUNDREA",,,"SUB OUT by LYONS,DEAUNDREA",2
10:02,,,,,"SUB OUT by EDWARDS,JARON",,,"SUB OUT by EDWARDS,JARON",2
09:44,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",2
09:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
09:33,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",2
09:33,,,,,"MISS FT by FREDRICK,RAYNER",,,"MISS FT by FREDRICK,RAYNER",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
09:33,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
09:33,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",2
09:25,,,,,"FOUL  by WILLIAMS,WILLIE",,,"FOUL  by WILLIAMS,WILLIE",2
09:25,"GOOD FT by MILLER,DREW",44 (+8),,36,,RHO 44-36 (+8),,"GOOD FT by MILLER,DREW",2
09:25,"GOOD FT by MILLER,DREW",45 (+9),,36,,RHO 45-36 (+9),,"GOOD FT by MILLER,DREW",2
09:25,,,,,"SUB IN by EZEJIOFO,EMMANUEL",,,"SUB IN by EZEJIOFO,EMMANUEL",2
09:25,,,,,"SUB OUT by WILLIAMS,WILLIE",,,"SUB OUT by WILLIAMS,WILLIE",2
09:13,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
09:13,,45 (+8),,37,"GOOD FT by FREDRICK,RAYNER",MC 45-37 (+8),,"GOOD FT by FREDRICK,RAYNER",2
09:13,,,,,"MISS FT by FREDRICK,RAYNER",,,"MISS FT by FREDRICK,RAYNER",2
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",2
09:13,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
09:13,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
08:53,"GOOD JUMPER by WATSON,SHANE",47 (+10),,37,,RHO 47-37 (+10),,"GOOD JUMPER by WATSON,SHANE",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
08:39,,,,,"MISS 3PTR by CASE,JARED",,,"MISS 3PTR by CASE,JARED",2
--,,,,,"REBOUND OFF by FREDRICK,RAYNER",,,"REBOUND OFF by FREDRICK,RAYNER",2
08:32,,,,,"TURNOVER  by FREDRICK,RAYNER",,,"TURNOVER  by FREDRICK,RAYNER",2
08:30,"STEAL  by WATSON,SHANE",,,,,,,"STEAL  by WATSON,SHANE",2
08:10,"MISS 3PTR by WATSON,SHANE",,,,,,,"MISS 3PTR by WATSON,SHANE",2
--,,,,,"REBOUND DEF by FREDRICK,RAYNER",,,"REBOUND DEF by FREDRICK,RAYNER",2
08:06,,,,,"TURNOVER  by FREDRICK,RAYNER",,,"TURNOVER  by FREDRICK,RAYNER",2
08:06,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
08:06,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",2
07:34,,,,,"FOUL  by FREDRICK,RAYNER",,,"FOUL  by FREDRICK,RAYNER",2
07:34,"GOOD FT by MCGRAIL,PATRICK",48 (+11),,37,,RHO 48-37 (+11),,"GOOD FT by MCGRAIL,PATRICK",2
07:34,"GOOD FT by MCGRAIL,PATRICK",49 (+12),,37,,RHO 49-37 (+12),,"GOOD FT by MCGRAIL,PATRICK",2
07:22,,,,,"TURNOVER  by CASE,JAY",,,"TURNOVER  by CASE,JAY",2
07:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:50,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
06:50,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
06:50,,,,,"SUB IN by HOWARD,CHRISTIAN",,,"SUB IN by HOWARD,CHRISTIAN",2
06:50,,,,,"SUB IN by LYONS,DEAUNDREA",,,"SUB IN by LYONS,DEAUNDREA",2
06:50,,,,,"SUB OUT by FREDRICK,RAYNER",,,"SUB OUT by FREDRICK,RAYNER",2
06:50,,,,,"SUB OUT by CASE,JARED",,,"SUB OUT by CASE,JARED",2
06:27,,49 (+10),,39,"GOOD LAYUP by FORD,LAKIN(in the paint)",MC 49-39 (+10),,"GOOD LAYUP by FORD,LAKIN(in the paint)",2
--,,,,,"ASSIST  by EZEJIOFO,EMMANUEL",,,"ASSIST  by EZEJIOFO,EMMANUEL",2
06:02,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by FORD,LAKIN",,,"REBOUND DEF by FORD,LAKIN",2
05:51,,49 (+8),,41,"GOOD LAYUP by EZEJIOFO,EMMANUEL(in the paint)",MC 49-41 (+8),,"GOOD LAYUP by EZEJIOFO,EMMANUEL(in the paint)",2
05:51,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
05:51,,49 (+7),,42,"GOOD FT by EZEJIOFO,EMMANUEL",MC 49-42 (+7),,"GOOD FT by EZEJIOFO,EMMANUEL",2
05:51,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",2
05:51,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",2
05:51,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
05:51,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
05:51,,,,,"SUB IN by EDWARDS,JARON",,,"SUB IN by EDWARDS,JARON",2
05:51,,,,,"SUB OUT by CASE,JAY",,,"SUB OUT by CASE,JAY",2
05:41,,,,,"FOUL  by LYONS,DEAUNDREA",,,"FOUL  by LYONS,DEAUNDREA",2
05:41,"GOOD FT by WATSON,SHANE",50 (+8),,42,,RHO 50-42 (+8),,"GOOD FT by WATSON,SHANE",2
05:41,"MISS FT by WATSON,SHANE",,,,,,,"MISS FT by WATSON,SHANE",2
--,,,,,"REBOUND DEF by LYONS,DEAUNDREA",,,"REBOUND DEF by LYONS,DEAUNDREA",2
05:29,,,,,"FOUL  by EZEJIOFO,EMMANUEL",,,"FOUL  by EZEJIOFO,EMMANUEL",2
05:29,,,,,"TURNOVER  by EZEJIOFO,EMMANUEL",,,"TURNOVER  by EZEJIOFO,EMMANUEL",2
05:13,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by FORD,LAKIN",,,"REBOUND DEF by FORD,LAKIN",2
05:03,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
05:03,,,,,"MISS FT by EZEJIOFO,EMMANUEL",,,"MISS FT by EZEJIOFO,EMMANUEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:03,,50 (+7),,43,"GOOD FT by EZEJIOFO,EMMANUEL",MC 50-43 (+7),,"GOOD FT by EZEJIOFO,EMMANUEL",2
05:03,,,,,"SUB IN by WILLIAMS,WILLIE",,,"SUB IN by WILLIAMS,WILLIE",2
05:03,,,,,"SUB OUT by LYONS,DEAUNDREA",,,"SUB OUT by LYONS,DEAUNDREA",2
04:49,,,,,"FOUL  by EDWARDS,JARON",,,"FOUL  by EDWARDS,JARON",2
04:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
04:49,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:49,"GOOD FT by SLEDGE,TATE",51 (+8),,43,,RHO 51-43 (+8),,"GOOD FT by SLEDGE,TATE",2
04:49,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
04:49,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
04:49,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
04:49,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
04:49,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",2
04:29,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
04:26,,,,,"STEAL  by EZEJIOFO,EMMANUEL",,,"STEAL  by EZEJIOFO,EMMANUEL",2
04:25,,51 (+6),,45,"GOOD DUNK by EZEJIOFO,EMMANUEL(fastbreak)(in the paint)",MC 51-45 (+6),,"GOOD DUNK by EZEJIOFO,EMMANUEL(fastbreak)(in the paint)",2
04:11,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
04:08,,51 (+5),,46,"GOOD FT by EZEJIOFO,EMMANUEL",MC 51-46 (+5),,"GOOD FT by EZEJIOFO,EMMANUEL",2
04:03,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
04:03,,,,,"STEAL  by WILLIAMS,WILLIE",,,"STEAL  by WILLIAMS,WILLIE",2
04:01,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
04:01,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
03:48,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
03:48,,51 (+4),,47,"GOOD FT by FORD,LAKIN",MC 51-47 (+4),,"GOOD FT by FORD,LAKIN",2
03:48,,51 (+3),,48,"GOOD FT by FORD,LAKIN",MC 51-48 (+3),,"GOOD FT by FORD,LAKIN",2
03:48,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
03:48,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
03:48,,,,,"SUB IN by FREDRICK,RAYNER",,,"SUB IN by FREDRICK,RAYNER",2
03:48,,,,,"SUB OUT by EDWARDS,JARON",,,"SUB OUT by EDWARDS,JARON",2
03:37,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by HOWARD,CHRISTIAN",,,"REBOUND DEF by HOWARD,CHRISTIAN",2
03:28,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
03:28,,51 (+2),,49,"GOOD FT by FORD,LAKIN",MC 51-49 (+2),,"GOOD FT by FORD,LAKIN",2
03:28,,51 (+1),,50,"GOOD FT by FORD,LAKIN",MC 51-50 (+1),,"GOOD FT by FORD,LAKIN",2
03:22,,,,,"FOUL  by FREDRICK,RAYNER",,,"FOUL  by FREDRICK,RAYNER",2
03:22,"GOOD FT by MILLER,DREW",52 (+2),,50,,RHO 52-50 (+2),,"GOOD FT by MILLER,DREW",2
03:22,"GOOD FT by MILLER,DREW",53 (+3),,50,,RHO 53-50 (+3),,"GOOD FT by MILLER,DREW",2
03:22,,,,,"SUB IN by CASE,JARED",,,"SUB IN by CASE,JARED",2
03:22,,,,,"SUB OUT by HOWARD,CHRISTIAN",,,"SUB OUT by HOWARD,CHRISTIAN",2
03:03,,,,,"MISS JUMPER by WILLIAMS,WILLIE",,,"MISS JUMPER by WILLIAMS,WILLIE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
03:00,,,,,"FOUL  by WILLIAMS,WILLIE",,,"FOUL  by WILLIAMS,WILLIE",2
03:00,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:00,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by CASE,JAY",,,"REBOUND DEF by CASE,JAY",2
03:00,,,,,"SUB IN by CASE,JAY",,,"SUB IN by CASE,JAY",2
03:00,,,,,"SUB OUT by WILLIAMS,WILLIE",,,"SUB OUT by WILLIAMS,WILLIE",2
02:40,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
02:40,,,,,"MISS FT by CASE,JARED",,,"MISS FT by CASE,JARED",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:40,,53 (+2),,51,"GOOD FT by CASE,JARED",MC 53-51 (+2),,"GOOD FT by CASE,JARED",2
02:40,,,,,"SUB IN by HOWARD,CHRISTIAN",,,"SUB IN by HOWARD,CHRISTIAN",2
02:40,,,,,"SUB OUT by CASE,JARED",,,"SUB OUT by CASE,JARED",2
02:07,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
01:49,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
01:49,,,,,"BLOCK  by HOWARD,CHRISTIAN",,,"BLOCK  by HOWARD,CHRISTIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:35,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
01:34,,,,,"STEAL  by FORD,LAKIN",,,"STEAL  by FORD,LAKIN",2
01:31,,53,,53,"GOOD JUMPER by CASE,JAY",MC 53-53 (0),,"GOOD JUMPER by CASE,JAY",2
--,,,,,"ASSIST  by EZEJIOFO,EMMANUEL",,,"ASSIST  by EZEJIOFO,EMMANUEL",2
01:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:02,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
00:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:41,,,,,"TURNOVER  by HOWARD,CHRISTIAN",,,"TURNOVER  by HOWARD,CHRISTIAN",2
00:40,"STEAL  by SLEDGE,TATE",,,,,,,"STEAL  by SLEDGE,TATE",2
00:39,,,,,"FOUL  by FREDRICK,RAYNER",,,"FOUL  by FREDRICK,RAYNER",2
00:39,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:39,"GOOD FT by MILLER,DREW",54 (+1),,53,,RHO 54-53 (+1),,"GOOD FT by MILLER,DREW",2
00:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:21,,,,,"MISS LAYUP by EZEJIOFO,EMMANUEL",,,"MISS LAYUP by EZEJIOFO,EMMANUEL",2
--,,,,,"REBOUND OFF by FREDRICK,RAYNER",,,"REBOUND OFF by FREDRICK,RAYNER",2
00:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:18,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
00:18,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
00:04,,,,,"MISS 3PTR by CASE,JAY",,,"MISS 3PTR by CASE,JAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
