Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
15:04,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
15:03,"FOUL  by MANIKOWSKI,ROMAN",,,,,,,"FOUL  by MANIKOWSKI,ROMAN",1
15:03,,13 (+2),,11,"GOOD FT by SLEDGE,TATE",RHODESMB 13-11 (-2),,"GOOD FT by SLEDGE,TATE",1
15:03,,13 (+1),,12,"GOOD FT by SLEDGE,TATE",RHODESMB 13-12 (-1),,"GOOD FT by SLEDGE,TATE",1
14:47,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
14:32,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
14:31,"STEAL  by MANIKOWSKI,ROMAN",,,,,,,"STEAL  by MANIKOWSKI,ROMAN",1
14:17,"MISS 3PTR by MEYERS,CODY",,,,,,,"MISS 3PTR by MEYERS,CODY",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
14:02,,13,,14 (+1),"GOOD LAYUP by WAGNER,MATT(in the paint)",RHODESMB 13-14 (+1),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",1
13:51,"TURNOVER  by MANIKOWSKI,ROMAN",,,,,,,"TURNOVER  by MANIKOWSKI,ROMAN",1
13:51,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
13:51,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
13:51,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
13:51,"SUB OUT by MEYERS,CODY",,,,,,,"SUB OUT by MEYERS,CODY",1
13:51,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
13:51,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
13:38,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
13:30,,13,,17 (+4),"GOOD 3PTR by GALLAGHER,MICHAEL",RHODESMB 13-17 (+4),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"ASSIST  by DUNAVANT,JOHNNY",,,"ASSIST  by DUNAVANT,JOHNNY",1
13:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:25,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
13:25,"SUB OUT by KING,JIMMY",,,,,,,"SUB OUT by KING,JIMMY",1
13:06,"GOOD 3PTR by HANCOCK,JORDAN",16,,17 (+1),,AC-M 16-17 (+1),,"GOOD 3PTR by HANCOCK,JORDAN",1
--,"ASSIST  by MANIKOWSKI,ROMAN",,,,,,,"ASSIST  by MANIKOWSKI,ROMAN",1
12:43,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by MANIKOWSKI,ROMAN",,,,,,,"REBOUND DEF by MANIKOWSKI,ROMAN",1
12:38,"TURNOVER  by MANIKOWSKI,ROMAN",,,,,,,"TURNOVER  by MANIKOWSKI,ROMAN",1
12:38,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",1
12:38,"SUB OUT by MANIKOWSKI,ROMAN",,,,,,,"SUB OUT by MANIKOWSKI,ROMAN",1
12:38,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:38,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
12:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:10,,16,,19 (+3),"GOOD JUMPER by SLEDGE,TATE",RHODESMB 16-19 (+3),,"GOOD JUMPER by SLEDGE,TATE",1
11:53,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,"REBOUND OFF by HANCOCK,JORDAN",,,,,,,"REBOUND OFF by HANCOCK,JORDAN",1
11:48,"GOOD 3PTR by OKPALA,RANSOM",19,,19,,AC-M 19-19 (0),,"GOOD 3PTR by OKPALA,RANSOM",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
11:35,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
11:35,"BLOCK  by MICHAEL,ALVIN",,,,,,,"BLOCK  by MICHAEL,ALVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:35,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
11:35,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
11:35,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
11:35,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
11:35,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
11:35,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
11:33,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
11:32,"STEAL  by OKPALA,RANSOM",,,,,,,"STEAL  by OKPALA,RANSOM",1
11:29,"MISS LAYUP by OKPALA,RANSOM",,,,,,,"MISS LAYUP by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
11:14,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
11:08,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,"REBOUND DEF by MICHAEL,ALVIN",,,,,,,"REBOUND DEF by MICHAEL,ALVIN",1
10:56,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
10:56,"GOOD FT by GRAHAM,KEVIN",20 (+1),,19,,AC-M 20-19 (-1),,"GOOD FT by GRAHAM,KEVIN",1
10:56,"GOOD FT by GRAHAM,KEVIN",21 (+2),,19,,AC-M 21-19 (-2),,"GOOD FT by GRAHAM,KEVIN",1
10:56,"SUB IN by HIBBELER,JOHN",,,,,,,"SUB IN by HIBBELER,JOHN",1
10:56,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
10:56,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
10:56,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
10:56,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
10:56,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
10:56,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
10:56,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
10:47,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,"REBOUND DEF by MICHAEL,ALVIN",,,,,,,"REBOUND DEF by MICHAEL,ALVIN",1
10:37,"MISS LAYUP by GRAHAM,KEVIN",,,,,,,"MISS LAYUP by GRAHAM,KEVIN",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
10:18,,,,,"MISS 3PTR by WATSON,SHANE",,,"MISS 3PTR by WATSON,SHANE",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
09:56,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
09:56,"BLOCK  by MICHAEL,ALVIN",,,,,,,"BLOCK  by MICHAEL,ALVIN",1
--,,,,,"REBOUND OFF by COLLINS,LUKE",,,"REBOUND OFF by COLLINS,LUKE",1
09:52,,21,,21,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 21-21 (0),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
09:52,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",1
09:52,,21,,22 (+1),"GOOD FT by HOECK,RYAN VAN",RHODESMB 21-22 (+1),,"GOOD FT by HOECK,RYAN VAN",1
09:52,"SUB IN by MEYERS,CODY",,,,,,,"SUB IN by MEYERS,CODY",1
09:52,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
09:52,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
09:52,"SUB OUT by HIBBELER,JOHN",,,,,,,"SUB OUT by HIBBELER,JOHN",1
09:37,"GOOD 3PTR by SULLIVAN,ALAN",24 (+2),,22,,AC-M 24-22 (-2),,"GOOD 3PTR by SULLIVAN,ALAN",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
09:28,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",1
09:05,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",1
09:05,"BLOCK  by BAEHL,BRIAN",,,,,,,"BLOCK  by BAEHL,BRIAN",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
09:05,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
09:01,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
09:01,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
08:52,"TURNOVER  by GRAHAM,KEVIN",,,,,,,"TURNOVER  by GRAHAM,KEVIN",1
08:51,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
08:31,"FOUL  by MEYERS,CODY",,,,,,,"FOUL  by MEYERS,CODY",1
08:31,,24 (+1),,23,"GOOD FT by HOECK,RYAN VAN",RHODESMB 24-23 (-1),,"GOOD FT by HOECK,RYAN VAN",1
08:31,,24,,24,"GOOD FT by HOECK,RYAN VAN",RHODESMB 24-24 (0),,"GOOD FT by HOECK,RYAN VAN",1
08:10,"MISS LAYUP by SULLIVAN,ALAN",,,,,,,"MISS LAYUP by SULLIVAN,ALAN",1
--,"REBOUND OFF by OKPALA,RANSOM",,,,,,,"REBOUND OFF by OKPALA,RANSOM",1
08:08,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
08:08,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
08:08,"SUB IN by MANIKOWSKI,ROMAN",,,,,,,"SUB IN by MANIKOWSKI,ROMAN",1
08:08,"SUB OUT by GRAHAM,KEVIN",,,,,,,"SUB OUT by GRAHAM,KEVIN",1
08:08,"SUB OUT by MEYERS,CODY",,,,,,,"SUB OUT by MEYERS,CODY",1
08:05,"MISS JUMPER by OKPALA,RANSOM",,,,,,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
07:52,,24,,27 (+3),"GOOD 3PTR by LIVSEY,GEOFF",RHODESMB 24-27 (+3),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
07:41,"GOOD JUMPER by SULLIVAN,ALAN",26,,27 (+1),,AC-M 26-27 (+1),,"GOOD JUMPER by SULLIVAN,ALAN",1
07:20,,26,,29 (+3),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 26-29 (+3),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
07:06,"GOOD 3PTR by OKPALA,RANSOM",29,,29,,AC-M 29-29 (0),,"GOOD 3PTR by OKPALA,RANSOM",1
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",1
06:51,,29,,32 (+3),"GOOD 3PTR by MCGRAIL,PATRICK",RHODESMB 29-32 (+3),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by HOECK,RYAN VAN",,,"ASSIST  by HOECK,RYAN VAN",1
06:39,"MISS 3PTR by OKPALA,RANSOM",,,,,,,"MISS 3PTR by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
06:33,,29,,34 (+5),"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",RHODESMB 29-34 (+5),,"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WATSON,SHANE",,,"ASSIST  by WATSON,SHANE",1
06:33,"FOUL  by HANCOCK,JORDAN",,,,,,,"FOUL  by HANCOCK,JORDAN",1
06:33,,29,,35 (+6),"GOOD FT by LIVSEY,GEOFF",RHODESMB 29-35 (+6),,"GOOD FT by LIVSEY,GEOFF",1
06:33,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
06:33,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
06:33,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:33,,,,,"SUB IN by DUNAVANT,JOHNNY",,,"SUB IN by DUNAVANT,JOHNNY",1
06:33,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
06:33,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
06:33,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
06:33,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
06:27,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
06:27,"GOOD FT by BAEHL,BRIAN",30,,35 (+5),,AC-M 30-35 (+5),,"GOOD FT by BAEHL,BRIAN",1
06:27,"GOOD FT by BAEHL,BRIAN",31,,35 (+4),,AC-M 31-35 (+4),,"GOOD FT by BAEHL,BRIAN",1
06:27,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
06:27,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
06:27,"SUB OUT by MANIKOWSKI,ROMAN",,,,,,,"SUB OUT by MANIKOWSKI,ROMAN",1
06:27,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
06:02,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
05:57,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
05:57,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
05:57,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
05:57,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
05:44,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
05:22,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
05:22,"TURNOVER  by BAEHL,BRIAN",,,,,,,"TURNOVER  by BAEHL,BRIAN",1
05:22,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",1
05:22,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
05:06,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,"REBOUND DEF by GRAHAM,KEVIN",,,,,,,"REBOUND DEF by GRAHAM,KEVIN",1
04:58,"GOOD 3PTR by BAEHL,BRIAN",34,,35 (+1),,AC-M 34-35 (+1),,"GOOD 3PTR by BAEHL,BRIAN",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
04:37,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,"REBOUND DEF by GRAHAM,KEVIN",,,,,,,"REBOUND DEF by GRAHAM,KEVIN",1
04:37,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
04:37,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
04:11,"TURNOVER  by GRAHAM,KEVIN",,,,,,,"TURNOVER  by GRAHAM,KEVIN",1
04:10,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",1
03:59,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
03:36,"GOOD 3PTR by HANCOCK,JORDAN",37 (+2),,35,,AC-M 37-35 (-2),,"GOOD 3PTR by HANCOCK,JORDAN",1
--,"ASSIST  by GRAHAM,KEVIN",,,,,,,"ASSIST  by GRAHAM,KEVIN",1
03:17,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",1
03:11,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
03:11,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
03:11,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
03:11,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
03:11,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
03:11,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:11,,,,,"SUB OUT by DUNAVANT,JOHNNY",,,"SUB OUT by DUNAVANT,JOHNNY",1
02:55,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",39 (+4),,35,,AC-M 39-35 (-4),,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",1
02:38,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",1
02:38,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:38,,39 (+3),,36,"GOOD FT by SLEDGE,TATE",RHODESMB 39-36 (-3),,"GOOD FT by SLEDGE,TATE",1
02:38,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
02:38,"SUB OUT by GRAHAM,KEVIN",,,,,,,"SUB OUT by GRAHAM,KEVIN",1
02:24,"MISS JUMPER by OKPALA,RANSOM",,,,,,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",1
02:03,,,,,"MISS 3PTR by WAGNER,MATT",,,"MISS 3PTR by WAGNER,MATT",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
01:54,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
01:39,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
01:38,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
01:26,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:25,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
01:25,,39 (+2),,37,"GOOD FT by COLLINS,LUKE",RHODESMB 39-37 (-2),,"GOOD FT by COLLINS,LUKE",1
01:25,,39 (+1),,38,"GOOD FT by COLLINS,LUKE",RHODESMB 39-38 (-1),,"GOOD FT by COLLINS,LUKE",1
01:25,"SUB IN by MEYERS,CODY",,,,,,,"SUB IN by MEYERS,CODY",1
