Time Remaining,RC,Away Team Score,Play Team Indicator,Home Team Score,UTTMEN,Game Score,Team Indicator,Play,Period
17:13,"TURNOVER  by GALLAGHER,MICHAEL",,,,,,,"TURNOVER  by GALLAGHER,MICHAEL",2
17:01,,50 (+14),,36,"GOOD 3PTR by METCALF,DEMARCUS",UTTMEN 50-36 (+14),,"GOOD 3PTR by METCALF,DEMARCUS",2
16:48,,,,,"FOUL  by SUMMERVILLE,JOE",,,"FOUL  by SUMMERVILLE,JOE",2
16:48,"GOOD FT by HOECK,RYAN VAN",51 (+15),,36,,RC 51-36 (+15),,"GOOD FT by HOECK,RYAN VAN",2
16:48,"GOOD FT by HOECK,RYAN VAN",52 (+16),,36,,RC 52-36 (+16),,"GOOD FT by HOECK,RYAN VAN",2
16:43,,52 (+14),,38,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",UTTMEN 52-38 (+14),,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",2
16:36,,,,,"FOUL  by DYKMAN,TRAVIS",,,"FOUL  by DYKMAN,TRAVIS",2
16:14,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,,,,,"REBOUND DEF by KEMP,BRYCE",,,"REBOUND DEF by KEMP,BRYCE",2
16:11,,,,,"MISS LAYUP by DYKMAN,TRAVIS",,,"MISS LAYUP by DYKMAN,TRAVIS",2
--,,,,,"REBOUND OFF by METCALF,DEMARCUS",,,"REBOUND OFF by METCALF,DEMARCUS",2
16:11,,52 (+12),,40,"GOOD TIPIN by METCALF,DEMARCUS(in the paint)",UTTMEN 52-40 (+12),,"GOOD TIPIN by METCALF,DEMARCUS(in the paint)",2
15:56,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",54 (+14),,40,,RC 54-40 (+14),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",2
15:31,,54 (+12),,42,"GOOD JUMPER by METCALF,DEMARCUS",UTTMEN 54-42 (+12),,"GOOD JUMPER by METCALF,DEMARCUS",2
15:31,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
15:31,,54 (+11),,43,"GOOD FT by METCALF,DEMARCUS",UTTMEN 54-43 (+11),,"GOOD FT by METCALF,DEMARCUS",2
15:31,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
15:31,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
15:31,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
15:31,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
15:17,,,,,"FOUL  by KEMP,BRYCE",,,"FOUL  by KEMP,BRYCE",2
15:13,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
15:11,,,,,"STEAL  by HALL,STEPHON",,,"STEAL  by HALL,STEPHON",2
15:01,,54 (+8),,46,"GOOD 3PTR by DYKMAN,TRAVIS",UTTMEN 54-46 (+8),,"GOOD 3PTR by DYKMAN,TRAVIS",2
--,,,,,"ASSIST  by KEMP,BRYCE",,,"ASSIST  by KEMP,BRYCE",2
14:47,,,,,"FOUL  by METCALF,DEMARCUS",,,"FOUL  by METCALF,DEMARCUS",2
14:47,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
14:47,"GOOD FT by COLLINS,LUKE",55 (+9),,46,,RC 55-46 (+9),,"GOOD FT by COLLINS,LUKE",2
14:47,"GOOD FT by COLLINS,LUKE",56 (+10),,46,,RC 56-46 (+10),,"GOOD FT by COLLINS,LUKE",2
14:15,,56 (+8),,48,"GOOD JUMPER by KEMP,BRYCE",UTTMEN 56-48 (+8),,"GOOD JUMPER by KEMP,BRYCE",2
14:10,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
14:07,,56 (+7),,49,"GOOD FT by KEMP,BRYCE",UTTMEN 56-49 (+7),,"GOOD FT by KEMP,BRYCE",2
14:00,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
14:00,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
14:00,,56 (+6),,50,"GOOD FT by DYKMAN,TRAVIS",UTTMEN 56-50 (+6),,"GOOD FT by DYKMAN,TRAVIS",2
14:00,,,,,"MISS FT by DYKMAN,TRAVIS",,,"MISS FT by DYKMAN,TRAVIS",2
14:00,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
14:00,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
14:00,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
14:00,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
13:51,"GOOD 3PTR by MILLER,DREW",59 (+9),,50,,RC 59-50 (+9),,"GOOD 3PTR by MILLER,DREW",2
13:36,,,,,"MISS JUMPER by HALL,STEPHON",,,"MISS JUMPER by HALL,STEPHON",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
13:15,,,,,"FOUL  by SUMMERVILLE,JOE",,,"FOUL  by SUMMERVILLE,JOE",2
13:15,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:15,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by DYKMAN,TRAVIS",,,"REBOUND DEF by DYKMAN,TRAVIS",2
13:15,,,,,"SUB IN by STEPHENS,JOE",,,"SUB IN by STEPHENS,JOE",2
13:15,,,,,"SUB OUT by METCALF,DEMARCUS",,,"SUB OUT by METCALF,DEMARCUS",2
12:52,,,,,"MISS LAYUP by SUMMERVILLE,JOE",,,"MISS LAYUP by SUMMERVILLE,JOE",2
--,,,,,"REBOUND OFF by HALL,STEPHON",,,"REBOUND OFF by HALL,STEPHON",2
12:47,,59 (+6),,53,"GOOD 3PTR by STEPHENS,JOE",UTTMEN 59-53 (+6),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by HALL,STEPHON",,,"ASSIST  by HALL,STEPHON",2
12:28,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",61 (+8),,53,,RC 61-53 (+8),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",2
12:28,,,,,"FOUL  by SUMMERVILLE,JOE",,,"FOUL  by SUMMERVILLE,JOE",2
12:28,"MISS FT by MCGRAIL,PATRICK",,,,,,,"MISS FT by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
12:15,,,,,"FOUL  by SUMMERVILLE,JOE",,,"FOUL  by SUMMERVILLE,JOE",2
12:15,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",2
12:15,,,,,"SUB OUT by SUMMERVILLE,JOE",,,"SUB OUT by SUMMERVILLE,JOE",2
11:59,"GOOD 3PTR by MILLER,DREW",64 (+11),,53,,RC 64-53 (+11),,"GOOD 3PTR by MILLER,DREW",2
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",2
11:47,,64 (+9),,55,"GOOD LAYUP by KEMP,BRYCE(in the paint)",UTTMEN 64-55 (+9),,"GOOD LAYUP by KEMP,BRYCE(in the paint)",2
11:30,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by KEMP,BRYCE",,,"REBOUND DEF by KEMP,BRYCE",2
11:17,,,,,"FOUL  by HARBOUR,NATHAN",,,"FOUL  by HARBOUR,NATHAN",2
11:16,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
11:16,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
11:16,,,,,"SUB IN by POTTER,TRE",,,"SUB IN by POTTER,TRE",2
11:07,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
10:47,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
10:45,,,,,"MISS FT by STEPHENS,JOE",,,"MISS FT by STEPHENS,JOE",2
10:45,,64 (+8),,56,"GOOD FT by STEPHENS,JOE",UTTMEN 64-56 (+8),,"GOOD FT by STEPHENS,JOE",2
10:45,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
10:45,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
10:18,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
10:17,,,,,"STEAL  by HARBOUR,NATHAN",,,"STEAL  by HARBOUR,NATHAN",2
10:10,,,,,"MISS 3PTR by KEMP,BRYCE",,,"MISS 3PTR by KEMP,BRYCE",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
09:55,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
09:55,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
09:55,,,,,"SUB IN by DYKMAN,TRAVIS",,,"SUB IN by DYKMAN,TRAVIS",2
09:55,,,,,"SUB OUT by KEMP,BRYCE",,,"SUB OUT by KEMP,BRYCE",2
09:48,,,,,"TURNOVER  by HARBOUR,NATHAN",,,"TURNOVER  by HARBOUR,NATHAN",2
09:34,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:23,,,,,"MISS 3PTR by DYKMAN,TRAVIS",,,"MISS 3PTR by DYKMAN,TRAVIS",2
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",2
08:58,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
08:42,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",2
08:42,,,,,"MISS FT by DYKMAN,TRAVIS",,,"MISS FT by DYKMAN,TRAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:42,,64 (+7),,57,"GOOD FT by DYKMAN,TRAVIS",UTTMEN 64-57 (+7),,"GOOD FT by DYKMAN,TRAVIS",2
08:42,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
08:42,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
08:42,,,,,"SUB IN by HYSELL,TYLER",,,"SUB IN by HYSELL,TYLER",2
08:42,,,,,"SUB OUT by HALL,STEPHON",,,"SUB OUT by HALL,STEPHON",2
08:42,,,,,"SUB OUT by POTTER,TRE",,,"SUB OUT by POTTER,TRE",2
08:39,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
--,,,,,"REBOUND DEF by HYSELL,TYLER",,,"REBOUND DEF by HYSELL,TYLER",2
08:34,,,,,"TURNOVER  by POTTER,TRE",,,"TURNOVER  by POTTER,TRE",2
08:34,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
08:34,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
08:14,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",2
--,,,,,"REBOUND DEF by HYSELL,TYLER",,,"REBOUND DEF by HYSELL,TYLER",2
08:03,,64 (+5),,59,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",UTTMEN 64-59 (+5),,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",2
07:58,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
07:55,,64 (+4),,60,"GOOD FT by DYKMAN,TRAVIS",UTTMEN 64-60 (+4),,"GOOD FT by DYKMAN,TRAVIS",2
07:41,"GOOD LAYUP by COLLINS,LUKE(in the paint)",66 (+6),,60,,RC 66-60 (+6),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
07:25,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
07:25,,,,,"MISS FT by HYSELL,TYLER",,,"MISS FT by HYSELL,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:25,,66 (+5),,61,"GOOD FT by HYSELL,TYLER",UTTMEN 66-61 (+5),,"GOOD FT by HYSELL,TYLER",2
07:25,,,,,"SUB IN by KEMP,BRYCE",,,"SUB IN by KEMP,BRYCE",2
07:25,,,,,"SUB IN by METCALF,DEMARCUS",,,"SUB IN by METCALF,DEMARCUS",2
07:25,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",2
07:25,,,,,"SUB OUT by HARBOUR,NATHAN",,,"SUB OUT by HARBOUR,NATHAN",2
07:09,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
07:07,,,,,"STEAL  by METCALF,DEMARCUS",,,"STEAL  by METCALF,DEMARCUS",2
07:05,,,,,"TURNOVER  by METCALF,DEMARCUS",,,"TURNOVER  by METCALF,DEMARCUS",2
07:04,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",2
06:54,"GOOD LAYUP by SLEDGE,TATE(in the paint)",68 (+7),,61,,RC 68-61 (+7),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
06:44,,,,,"MISS 3PTR by DYKMAN,TRAVIS",,,"MISS 3PTR by DYKMAN,TRAVIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:42,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
06:42,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
06:26,"GOOD LAYUP by SLEDGE,TATE(in the paint)",70 (+9),,61,,RC 70-61 (+9),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
06:26,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",2
06:26,"GOOD FT by SLEDGE,TATE",71 (+10),,61,,RC 71-61 (+10),,"GOOD FT by SLEDGE,TATE",2
06:14,,,,,"MISS 3PTR by STEPHENS,JOE",,,"MISS 3PTR by STEPHENS,JOE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:12,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
06:12,,71 (+9),,62,"GOOD FT by HYSELL,TYLER",UTTMEN 71-62 (+9),,"GOOD FT by HYSELL,TYLER",2
06:12,,71 (+8),,63,"GOOD FT by HYSELL,TYLER",UTTMEN 71-63 (+8),,"GOOD FT by HYSELL,TYLER",2
06:12,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
06:12,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
06:12,,,,,"SUB IN by HALL,STEPHON",,,"SUB IN by HALL,STEPHON",2
05:59,"GOOD JUMPER by MILLER,DREW",73 (+10),,63,,RC 73-63 (+10),,"GOOD JUMPER by MILLER,DREW",2
05:57,,,,,"FOUL  by KEMP,BRYCE",,,"FOUL  by KEMP,BRYCE",2
05:57,"GOOD FT by MILLER,DREW",74 (+11),,63,,RC 74-63 (+11),,"GOOD FT by MILLER,DREW",2
05:52,,74 (+8),,66,"GOOD 3PTR by METCALF,DEMARCUS",UTTMEN 74-66 (+8),,"GOOD 3PTR by METCALF,DEMARCUS",2
--,,,,,"ASSIST  by KEMP,BRYCE",,,"ASSIST  by KEMP,BRYCE",2
05:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:08,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:08,,,,,"SUB IN by DYKMAN,TRAVIS",,,"SUB IN by DYKMAN,TRAVIS",2
05:08,,,,,"SUB OUT by HALL,STEPHON",,,"SUB OUT by HALL,STEPHON",2
04:49,,,,,"MISS JUMPER by METCALF,DEMARCUS",,,"MISS JUMPER by METCALF,DEMARCUS",2
--,,,,,"REBOUND OFF by HYSELL,TYLER",,,"REBOUND OFF by HYSELL,TYLER",2
04:47,,74 (+6),,68,"GOOD LAYUP by HYSELL,TYLER(in the paint)",UTTMEN 74-68 (+6),,"GOOD LAYUP by HYSELL,TYLER(in the paint)",2
04:47,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
04:47,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
04:47,,74 (+5),,69,"GOOD FT by HYSELL,TYLER",UTTMEN 74-69 (+5),,"GOOD FT by HYSELL,TYLER",2
04:35,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",2
04:34,,,,,"STEAL  by KEMP,BRYCE",,,"STEAL  by KEMP,BRYCE",2
04:31,,74 (+3),,71,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",UTTMEN 74-71 (+3),,"GOOD LAYUP by DYKMAN,TRAVIS(in the paint)",2
--,,,,,"ASSIST  by KEMP,BRYCE",,,"ASSIST  by KEMP,BRYCE",2
04:07,,,,,"FOUL  by HYSELL,TYLER",,,"FOUL  by HYSELL,TYLER",2
04:07,"GOOD FT by WAGNER,MATT",75 (+4),,71,,RC 75-71 (+4),,"GOOD FT by WAGNER,MATT",2
04:07,"MISS FT by WAGNER,MATT",,,,,,,"MISS FT by WAGNER,MATT",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
04:07,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
04:07,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
04:07,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",2
04:07,,,,,"SUB OUT by HYSELL,TYLER",,,"SUB OUT by HYSELL,TYLER",2
03:55,,75 (+2),,73,"GOOD DUNK by METCALF,DEMARCUS(in the paint)",UTTMEN 75-73 (+2),,"GOOD DUNK by METCALF,DEMARCUS(in the paint)",2
03:42,,,,,"FOUL  by DYKMAN,TRAVIS",,,"FOUL  by DYKMAN,TRAVIS",2
03:42,"GOOD FT by LIVSEY,GEOFF",76 (+3),,73,,RC 76-73 (+3),,"GOOD FT by LIVSEY,GEOFF",2
03:42,"GOOD FT by LIVSEY,GEOFF(fastbreak)",77 (+4),,73,,RC 77-73 (+4),,"GOOD FT by LIVSEY,GEOFF(fastbreak)",2
03:42,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
03:42,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
03:31,,,,,"MISS 3PTR by METCALF,DEMARCUS",,,"MISS 3PTR by METCALF,DEMARCUS",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
03:24,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
03:21,,,,,"MISS JUMPER by KEMP,BRYCE",,,"MISS JUMPER by KEMP,BRYCE",2
--,,,,,"REBOUND OFF by STEPHENS,JOE",,,"REBOUND OFF by STEPHENS,JOE",2
03:17,,77 (+2),,75,"GOOD JUMPER by STEPHENS,JOE",UTTMEN 77-75 (+2),,"GOOD JUMPER by STEPHENS,JOE",2
02:55,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
02:49,"GOOD JUMPER by LIVSEY,GEOFF",79 (+4),,75,,RC 79-75 (+4),,"GOOD JUMPER by LIVSEY,GEOFF",2
02:41,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
02:41,,79 (+3),,76,"GOOD FT by STEPHENS,JOE",UTTMEN 79-76 (+3),,"GOOD FT by STEPHENS,JOE",2
02:41,,79 (+2),,77,"GOOD FT by STEPHENS,JOE",UTTMEN 79-77 (+2),,"GOOD FT by STEPHENS,JOE",2
02:27,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",81 (+4),,77,,RC 81-77 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
02:17,,,,,"MISS 3PTR by STEPHENS,JOE",,,"MISS 3PTR by STEPHENS,JOE",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
01:57,,,,,"FOUL  by OSAZUWA,OWEN",,,"FOUL  by OSAZUWA,OWEN",2
01:57,"GOOD FT by COLLINS,LUKE",82 (+5),,77,,RC 82-77 (+5),,"GOOD FT by COLLINS,LUKE",2
01:57,"GOOD FT by COLLINS,LUKE",83 (+6),,77,,RC 83-77 (+6),,"GOOD FT by COLLINS,LUKE",2
01:57,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",2
01:57,,,,,"SUB OUT by OSAZUWA,OWEN",,,"SUB OUT by OSAZUWA,OWEN",2
01:44,,83 (+3),,80,"GOOD 3PTR by STEPHENS,JOE",UTTMEN 83-80 (+3),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by KEMP,BRYCE",,,"ASSIST  by KEMP,BRYCE",2
01:17,,,,,"FOUL  by METCALF,DEMARCUS",,,"FOUL  by METCALF,DEMARCUS",2
01:17,"GOOD FT by SLEDGE,TATE",84 (+4),,80,,RC 84-80 (+4),,"GOOD FT by SLEDGE,TATE",2
01:17,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
01:02,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
01:02,,84 (+3),,81,"GOOD FT by KEMP,BRYCE",UTTMEN 84-81 (+3),,"GOOD FT by KEMP,BRYCE",2
01:02,,84 (+2),,82,"GOOD FT by KEMP,BRYCE",UTTMEN 84-82 (+2),,"GOOD FT by KEMP,BRYCE",2
01:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:02,,,,,"SUB IN by HALL,STEPHON",,,"SUB IN by HALL,STEPHON",2
01:02,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",2
01:02,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",2
01:02,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",2
01:02,,,,,"SUB OUT by HARBOUR,NATHAN",,,"SUB OUT by HARBOUR,NATHAN",2
01:02,,,,,"SUB OUT by STEPHENS,JOE",,,"SUB OUT by STEPHENS,JOE",2
00:51,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
00:50,,,,,"STEAL  by METCALF,DEMARCUS",,,"STEAL  by METCALF,DEMARCUS",2
00:50,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
00:50,,84 (+1),,83,"GOOD FT by METCALF,DEMARCUS",UTTMEN 84-83 (+1),,"GOOD FT by METCALF,DEMARCUS",2
00:50,,84,,84,"GOOD FT by METCALF,DEMARCUS",UTTMEN 84-84 (0),,"GOOD FT by METCALF,DEMARCUS",2
00:50,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
00:50,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
00:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:31,,,,,"FOUL  by HALL,STEPHON",,,"FOUL  by HALL,STEPHON",2
00:31,"GOOD FT by MCGRAIL,PATRICK",85 (+1),,84,,RC 85-84 (+1),,"GOOD FT by MCGRAIL,PATRICK",2
00:31,"GOOD FT by MCGRAIL,PATRICK",86 (+2),,84,,RC 86-84 (+2),,"GOOD FT by MCGRAIL,PATRICK",2
00:31,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
00:31,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
00:31,,,,,"SUB IN by DYKMAN,TRAVIS",,,"SUB IN by DYKMAN,TRAVIS",2
00:31,,,,,"SUB IN by HARBOUR,NATHAN",,,"SUB IN by HARBOUR,NATHAN",2
00:31,,,,,"SUB IN by STEPHENS,JOE",,,"SUB IN by STEPHENS,JOE",2
00:31,,,,,"SUB OUT by HALL,STEPHON",,,"SUB OUT by HALL,STEPHON",2
00:31,,,,,"SUB OUT by RANDLE,BYRON",,,"SUB OUT by RANDLE,BYRON",2
00:31,,,,,"SUB OUT by OSAZUWA,OWEN",,,"SUB OUT by OSAZUWA,OWEN",2
00:24,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
00:24,,,,,"MISS FT by DYKMAN,TRAVIS",,,"MISS FT by DYKMAN,TRAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:24,,86 (+1),,85,"GOOD FT by DYKMAN,TRAVIS",UTTMEN 86-85 (+1),,"GOOD FT by DYKMAN,TRAVIS",2
00:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:24,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
00:24,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
00:24,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
00:24,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
00:24,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
00:24,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
00:24,,,,,"SUB IN by RANDLE,BYRON",,,"SUB IN by RANDLE,BYRON",2
00:24,,,,,"SUB IN by HALL,STEPHON",,,"SUB IN by HALL,STEPHON",2
00:24,,,,,"SUB IN by OSAZUWA,OWEN",,,"SUB IN by OSAZUWA,OWEN",2
00:24,,,,,"SUB OUT by DYKMAN,TRAVIS",,,"SUB OUT by DYKMAN,TRAVIS",2
00:24,,,,,"SUB OUT by HARBOUR,NATHAN",,,"SUB OUT by HARBOUR,NATHAN",2
00:24,,,,,"SUB OUT by STEPHENS,JOE",,,"SUB OUT by STEPHENS,JOE",2
00:19,,,,,"FOUL  by METCALF,DEMARCUS",,,"FOUL  by METCALF,DEMARCUS",2
