Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,OGLETHOR,Game Score,Team Indicator,Play,Period
15:40,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
15:36,,8,,12 (+4),"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",OGLETHOR 8-12 (-4),,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",1
14:59,"MISS LAYUP by WATSON,SHANE",,,,,,,"MISS LAYUP by WATSON,SHANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:59,"FOUL  by WATSON,SHANE",,,,,,,"FOUL  by WATSON,SHANE",1
14:59,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
14:59,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",1
14:59,,,,,"SUB OUT by ROHLFS,VICTOR",,,"SUB OUT by ROHLFS,VICTOR",1
14:59,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
14:43,,8,,15 (+7),"GOOD 3PTR by SMITH,CONNOR",OGLETHOR 8-15 (-7),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
14:10,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
14:09,,,,,"STEAL  by BATES,ROMELLO",,,"STEAL  by BATES,ROMELLO",1
14:05,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",1
14:01,,8,,17 (+9),"GOOD LAYUP by PERRY,WILL(in the paint)",OGLETHOR 8-17 (-9),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
13:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
13:59,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
13:59,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",1
13:59,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
13:59,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",1
13:55,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
13:55,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
13:55,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
13:55,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
13:36,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",1
13:36,"GOOD FT by WATSON,SHANE",9,,17 (+8),,RHODES 9-17 (-8),,"GOOD FT by WATSON,SHANE",1
13:36,"GOOD FT by WATSON,SHANE",10,,17 (+7),,RHODES 10-17 (-7),,"GOOD FT by WATSON,SHANE",1
13:36,,,,,"SUB IN by ROHLFS,VICTOR",,,"SUB IN by ROHLFS,VICTOR",1
13:36,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",1
13:23,,10,,19 (+9),"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",OGLETHOR 10-19 (-9),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
--,,,,,"ASSIST  by BATES,ROMELLO",,,"ASSIST  by BATES,ROMELLO",1
13:08,"GOOD 3PTR by MCGRAIL,PATRICK",13,,19 (+6),,RHODES 13-19 (-6),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",1
12:51,,,,,"TURNOVER  by ROHLFS,VICTOR",,,"TURNOVER  by ROHLFS,VICTOR",1
12:50,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",1
12:49,,,,,"FOUL  by BATES,ROMELLO",,,"FOUL  by BATES,ROMELLO",1
12:49,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
12:49,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
12:49,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",1
12:49,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",1
12:32,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
12:31,,,,,"STEAL  by DAVIS,ALEX",,,"STEAL  by DAVIS,ALEX",1
12:29,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",1
12:29,,13,,20 (+7),"GOOD FT by DAVIS,ALEX",OGLETHOR 13-20 (-7),,"GOOD FT by DAVIS,ALEX",1
12:29,,13,,21 (+8),"GOOD FT by DAVIS,ALEX",OGLETHOR 13-21 (-8),,"GOOD FT by DAVIS,ALEX",1
12:29,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",1
12:29,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
12:06,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",15,,21 (+6),,RHODES 15-21 (-6),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
11:43,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
11:26,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",1
11:12,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
11:12,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:12,,15,,22 (+7),"GOOD FT by DAVIS,ALEX",OGLETHOR 15-22 (-7),,"GOOD FT by DAVIS,ALEX",1
11:12,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
11:12,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
11:12,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
11:12,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
11:12,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
11:12,,,,,"SUB OUT by BATES,ROMELLO",,,"SUB OUT by BATES,ROMELLO",1
10:46,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
10:40,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",1
10:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
09:47,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
09:47,,15,,23 (+8),"GOOD FT by DAVIS,ALEX",OGLETHOR 15-23 (-8),,"GOOD FT by DAVIS,ALEX",1
09:47,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",1
--,,,,,"REBOUND OFF by COURSON,TYLER",,,"REBOUND OFF by COURSON,TYLER",1
09:47,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
09:47,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
09:47,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
09:47,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
09:44,,15,,25 (+10),"GOOD LAYUP by COURSON,TYLER(in the paint)",OGLETHOR 15-25 (-10),,"GOOD LAYUP by COURSON,TYLER(in the paint)",1
09:10,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",1
09:08,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
08:53,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
08:53,,15,,26 (+11),"GOOD FT by ROHLFS,VICTOR",OGLETHOR 15-26 (-11),,"GOOD FT by ROHLFS,VICTOR",1
08:53,,15,,27 (+12),"GOOD FT by ROHLFS,VICTOR",OGLETHOR 15-27 (-12),,"GOOD FT by ROHLFS,VICTOR",1
08:53,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
08:53,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
08:20,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",1
08:16,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
08:16,"GOOD FT by MILLER,DREW",16,,27 (+11),,RHODES 16-27 (-11),,"GOOD FT by MILLER,DREW",1
08:16,"GOOD FT by MILLER,DREW",17,,27 (+10),,RHODES 17-27 (-10),,"GOOD FT by MILLER,DREW",1
08:16,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
08:16,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
08:16,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
08:16,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
08:06,"GOOD LAYUP by WAGNER,MATT(in the paint)",19,,27 (+8),,RHODES 19-27 (-8),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
07:49,,,,,"MISS LAYUP by SMITH,CONNOR",,,"MISS LAYUP by SMITH,CONNOR",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
07:26,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",1
07:17,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND OFF by WATSON,SHANE",,,,,,,"REBOUND OFF by WATSON,SHANE",1
07:08,"GOOD 3PTR by COLLINS,LUKE",22,,27 (+5),,RHODES 22-27 (-5),,"GOOD 3PTR by COLLINS,LUKE",1
--,"ASSIST  by DUNAVANT,JOHNNY",,,,,,,"ASSIST  by DUNAVANT,JOHNNY",1
06:58,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",1
06:41,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
06:21,,22,,29 (+7),"GOOD LAYUP by PERRY,WILL(in the paint)",OGLETHOR 22-29 (-7),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
05:58,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",1
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",1
05:51,,22,,32 (+10),"GOOD 3PTR by ROHLFS,VICTOR(fastbreak)",OGLETHOR 22-32 (-10),,"GOOD 3PTR by ROHLFS,VICTOR(fastbreak)",1
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",1
05:22,"GOOD LAYUP by WATSON,SHANE(in the paint)",24,,32 (+8),,RHODES 24-32 (-8),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",1
05:22,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",1
05:22,"GOOD FT by WATSON,SHANE",25,,32 (+7),,RHODES 25-32 (-7),,"GOOD FT by WATSON,SHANE",1
05:22,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
05:22,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
05:02,,25,,34 (+9),"GOOD JUMPER by COURSON,TYLER(in the paint)",OGLETHOR 25-34 (-9),,"GOOD JUMPER by COURSON,TYLER(in the paint)",1
04:52,"TURNOVER  by WATSON,SHANE",,,,,,,"TURNOVER  by WATSON,SHANE",1
04:50,,,,,"STEAL  by COURSON,TYLER",,,"STEAL  by COURSON,TYLER",1
04:47,,25,,36 (+11),"GOOD LAYUP by SMITH,CONNOR(fastbreak)(in the paint)",OGLETHOR 25-36 (-11),,"GOOD LAYUP by SMITH,CONNOR(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
04:36,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",1
04:36,"GOOD FT by COLLINS,LUKE",26,,36 (+10),,RHODES 26-36 (-10),,"GOOD FT by COLLINS,LUKE",1
04:36,"MISS FT by COLLINS,LUKE",,,,,,,"MISS FT by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
04:36,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
04:36,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",1
04:36,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",1
04:36,,,,,"SUB OUT by ROHLFS,VICTOR",,,"SUB OUT by ROHLFS,VICTOR",1
04:26,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",1
04:26,,26,,37 (+11),"GOOD FT by PERRY,WILL",OGLETHOR 26-37 (-11),,"GOOD FT by PERRY,WILL",1
04:26,,26,,38 (+12),"GOOD FT by PERRY,WILL",OGLETHOR 26-38 (-12),,"GOOD FT by PERRY,WILL",1
04:26,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
04:26,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
04:26,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
04:26,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",1
04:09,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
04:07,,,,,"STEAL  by BATES,ROMELLO",,,"STEAL  by BATES,ROMELLO",1
04:00,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",1
03:59,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
03:56,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",28,,38 (+10),,RHODES 28-38 (-10),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",1
--,"ASSIST  by WATSON,SHANE",,,,,,,"ASSIST  by WATSON,SHANE",1
03:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:36,,28,,41 (+13),"GOOD 3PTR by SMITH,CONNOR",OGLETHOR 28-41 (-13),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",1
03:25,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",1
03:25,"GOOD FT by MILLER,DREW",29,,41 (+12),,RHODES 29-41 (-12),,"GOOD FT by MILLER,DREW",1
03:25,"GOOD FT by MILLER,DREW",30,,41 (+11),,RHODES 30-41 (-11),,"GOOD FT by MILLER,DREW",1
03:11,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",1
03:11,,30,,42 (+12),"GOOD FT by BATES,ROMELLO",OGLETHOR 30-42 (-12),,"GOOD FT by BATES,ROMELLO",1
03:11,,,,,"MISS FT by BATES,ROMELLO",,,"MISS FT by BATES,ROMELLO",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
03:11,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",1
03:11,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
02:47,"GOOD 3PTR by MCGRAIL,PATRICK",33,,42 (+9),,RHODES 33-42 (-9),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
02:32,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",1
02:29,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
02:28,,,,,"STEAL  by SMITH,CONNOR",,,"STEAL  by SMITH,CONNOR",1
02:19,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
02:19,,33,,43 (+10),"GOOD FT by DAVIS,ALEX",OGLETHOR 33-43 (-10),,"GOOD FT by DAVIS,ALEX",1
02:19,,33,,44 (+11),"GOOD FT by DAVIS,ALEX",OGLETHOR 33-44 (-11),,"GOOD FT by DAVIS,ALEX",1
02:19,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
02:19,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
02:19,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
02:19,,,,,"SUB OUT by BATES,ROMELLO",,,"SUB OUT by BATES,ROMELLO",1
01:47,"GOOD JUMPER by WATSON,SHANE",35,,44 (+9),,RHODES 35-44 (-9),,"GOOD JUMPER by WATSON,SHANE",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
01:27,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
01:07,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND OFF by WATSON,SHANE",,,,,,,"REBOUND OFF by WATSON,SHANE",1
01:01,"GOOD LAYUP by WATSON,SHANE(in the paint)",37,,44 (+7),,RHODES 37-44 (-7),,"GOOD LAYUP by WATSON,SHANE(in the paint)",1
00:44,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
00:44,,37,,45 (+8),"GOOD FT by DAVIS,ALEX",OGLETHOR 37-45 (-8),,"GOOD FT by DAVIS,ALEX",1
00:44,,37,,46 (+9),"GOOD FT by DAVIS,ALEX",OGLETHOR 37-46 (-9),,"GOOD FT by DAVIS,ALEX",1
00:19,"GOOD 3PTR by DUNAVANT,JOHNNY",40,,46 (+6),,RHODES 40-46 (-6),,"GOOD 3PTR by DUNAVANT,JOHNNY",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
00:13,,,,,"TURNOVER  by PERRY,WILL",,,"TURNOVER  by PERRY,WILL",1
00:12,"STEAL  by WATSON,SHANE",,,,,,,"STEAL  by WATSON,SHANE",1
00:11,"GOOD LAYUP by WATSON,SHANE(fastbreak)(in the paint)",42,,46 (+4),,RHODES 42-46 (-4),,"GOOD LAYUP by WATSON,SHANE(fastbreak)(in the paint)",1
00:02,,42,,48 (+6),"GOOD LAYUP by DAVIS,ALEX(in the paint)",OGLETHOR 42-48 (-6),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
19:34,,,,,"MISS JUMPER by SMITH,CONNOR",,,"MISS JUMPER by SMITH,CONNOR",2
--,,,,,"REBOUND OFF by SMITH,CONNOR",,,"REBOUND OFF by SMITH,CONNOR",2
19:32,,,,,"MISS TIPIN by SMITH,CONNOR",,,"MISS TIPIN by SMITH,CONNOR",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
19:19,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by ROHLFS,VICTOR",,,"REBOUND DEF by ROHLFS,VICTOR",2
19:08,,42,,50 (+8),"GOOD JUMPER by KINNEY,JORDAN",OGLETHOR 42-50 (-8),,"GOOD JUMPER by KINNEY,JORDAN",2
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",2
18:55,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,"REBOUND OFF by DUNAVANT,JOHNNY",,,,,,,"REBOUND OFF by DUNAVANT,JOHNNY",2
18:52,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:35,,42,,53 (+11),"GOOD 3PTR by COURSON,TYLER",OGLETHOR 42-53 (-11),,"GOOD 3PTR by COURSON,TYLER",2
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",2
18:09,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
17:51,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
17:41,,,,,"TURNOVER  by KINNEY,JORDAN",,,"TURNOVER  by KINNEY,JORDAN",2
17:34,"GOOD LAYUP by DUNAVANT,JOHNNY(fastbreak)(in the paint)",44,,53 (+9),,RHODES 44-53 (-9),,"GOOD LAYUP by DUNAVANT,JOHNNY(fastbreak)(in the paint)",2
17:09,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
16:41,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
16:38,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",46,,53 (+7),,RHODES 46-53 (-7),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
16:10,,46,,56 (+10),"GOOD 3PTR by SMITH,CONNOR",OGLETHOR 46-56 (-10),,"GOOD 3PTR by SMITH,CONNOR",2
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",2
15:47,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
15:29,,46,,59 (+13),"GOOD 3PTR by SMITH,CONNOR",OGLETHOR 46-59 (-13),,"GOOD 3PTR by SMITH,CONNOR",2
