Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,LETU,Game Score,Team Indicator,Play,Period
14:05,,,,,"SUB IN by JACOBSON,BEN",,,"SUB IN by JACOBSON,BEN",2
14:05,,,,,"SUB OUT by WILLIAMS,CHAD",,,"SUB OUT by WILLIAMS,CHAD",2
13:53,,,,,"MISS LAYUP by THORNTON,JOSH",,,"MISS LAYUP by THORNTON,JOSH",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
13:44,"GOOD LAYUP by MILLER,DREW(in the paint)",33,,35 (+2),,RHODESMB 33-35 (-2),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
13:30,,33,,37 (+4),"GOOD JUMPER by JONES,JUSTIN",LETU 33-37 (-4),,"GOOD JUMPER by JONES,JUSTIN",2
--,,,,,"ASSIST  by BROWN,LADARIA",,,"ASSIST  by BROWN,LADARIA",2
13:01,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",2
12:53,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",2
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",2
12:49,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
12:49,,,,,"MISS FT by JONES,JUSTIN",,,"MISS FT by JONES,JUSTIN",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
12:36,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
12:35,,,,,"STEAL  by THORNTON,JOSH",,,"STEAL  by THORNTON,JOSH",2
12:23,,,,,"MISS JUMPER by JONES,JUSTIN",,,"MISS JUMPER by JONES,JUSTIN",2
--,"REBOUND DEF by BLISS,DYLAN",,,,,,,"REBOUND DEF by BLISS,DYLAN",2
12:06,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:00,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",2
12:00,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
12:00,"SUB OUT by BLISS,DYLAN",,,,,,,"SUB OUT by BLISS,DYLAN",2
12:00,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
12:00,,,,,"SUB IN by ROSS,ANTIONE",,,"SUB IN by ROSS,ANTIONE",2
12:00,,,,,"SUB IN by HORTON,AUSTIN",,,"SUB IN by HORTON,AUSTIN",2
11:41,,,,,"MISS 3PTR by HORTON,AUSTIN",,,"MISS 3PTR by HORTON,AUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:15,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",2
11:14,,,,,"STEAL  by HYNES,CHRIS",,,"STEAL  by HYNES,CHRIS",2
10:46,,,,,"MISS JUMPER by HORTON,AUSTIN",,,"MISS JUMPER by HORTON,AUSTIN",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
10:36,,,,,"FOUL  by ROSS,ANTIONE",,,"FOUL  by ROSS,ANTIONE",2
10:36,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
10:36,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
10:36,,,,,"SUB IN by BROWN,LADARIA",,,"SUB IN by BROWN,LADARIA",2
10:36,,,,,"SUB IN by KENNEDY,JAKE",,,"SUB IN by KENNEDY,JAKE",2
10:36,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",2
10:36,,,,,"SUB IN by WILLIAMS,CHAD",,,"SUB IN by WILLIAMS,CHAD",2
10:36,,,,,"SUB OUT by ROSS,ANTIONE",,,"SUB OUT by ROSS,ANTIONE",2
10:36,,,,,"SUB OUT by JACOBSON,BEN",,,"SUB OUT by JACOBSON,BEN",2
10:36,,,,,"SUB OUT by HORTON,AUSTIN",,,"SUB OUT by HORTON,AUSTIN",2
10:36,,,,,"SUB OUT by THORNTON,JOSH",,,"SUB OUT by THORNTON,JOSH",2
10:28,"GOOD 3PTR by LIVSEY,GEOFF",36,,37 (+1),,RHODESMB 36-37 (-1),,"GOOD 3PTR by LIVSEY,GEOFF",2
--,"ASSIST  by GALLAGHER,MICHAEL",,,,,,,"ASSIST  by GALLAGHER,MICHAEL",2
10:04,,,,,"MISS 3PTR by HYNES,CHRIS",,,"MISS 3PTR by HYNES,CHRIS",2
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",2
09:48,,36,,40 (+4),"GOOD 3PTR by BROWN,LADARIA",LETU 36-40 (-4),,"GOOD 3PTR by BROWN,LADARIA",2
--,,,,,"ASSIST  by KENNEDY,JAKE",,,"ASSIST  by KENNEDY,JAKE",2
09:36,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",38,,40 (+2),,RHODESMB 38-40 (-2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
09:20,,38,,42 (+4),"GOOD LAYUP by KENNEDY,JAKE(in the paint)",LETU 38-42 (-4),,"GOOD LAYUP by KENNEDY,JAKE(in the paint)",2
--,,,,,"ASSIST  by JONES,JUSTIN",,,"ASSIST  by JONES,JUSTIN",2
08:51,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by KENNEDY,JAKE",,,"REBOUND DEF by KENNEDY,JAKE",2
08:33,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
08:33,"TURNOVER  by DUNAVANT,JOHNNY",,,,,,,"TURNOVER  by DUNAVANT,JOHNNY",2
08:33,,,,,"STEAL  by KENNEDY,JAKE",,,"STEAL  by KENNEDY,JAKE",2
08:33,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
08:33,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
08:33,,,,,"SUB IN by HYNES,CHRIS",,,"SUB IN by HYNES,CHRIS",2
08:20,,38,,44 (+6),"GOOD LAYUP by WILLIAMS,CHAD(in the paint)",LETU 38-44 (-6),,"GOOD LAYUP by WILLIAMS,CHAD(in the paint)",2
08:00,"GOOD 3PTR by GALLAGHER,MICHAEL",41,,44 (+3),,RHODESMB 41-44 (-3),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
07:35,,,,,"TURNOVER  by KENNEDY,JAKE",,,"TURNOVER  by KENNEDY,JAKE",2
07:35,,,,,"FOUL  by KENNEDY,JAKE",,,"FOUL  by KENNEDY,JAKE",2
07:16,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",43,,44 (+1),,RHODESMB 43-44 (-1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
07:16,,,,,"FOUL  by WILLIAMS,CHAD",,,"FOUL  by WILLIAMS,CHAD",2
07:06,"GOOD FT by LIVSEY,GEOFF",44,,44,,RHODESMB 44-44 (0),,"GOOD FT by LIVSEY,GEOFF",2
06:47,,44,,46 (+2),"GOOD JUMPER by WILLIAMS,CHAD",LETU 44-46 (-2),,"GOOD JUMPER by WILLIAMS,CHAD",2
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",2
06:29,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"REBOUND DEF by BROWN,LADARIA",,,"REBOUND DEF by BROWN,LADARIA",2
06:10,,44,,49 (+5),"GOOD 3PTR by BROWN,LADARIA",LETU 44-49 (-5),,"GOOD 3PTR by BROWN,LADARIA",2
--,,,,,"ASSIST  by HYNES,CHRIS",,,"ASSIST  by HYNES,CHRIS",2
05:36,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
05:29,,,,,"FOUL  by WILLIAMS,CHAD",,,"FOUL  by WILLIAMS,CHAD",2
05:29,"GOOD FT by LIVSEY,GEOFF",45,,49 (+4),,RHODESMB 45-49 (-4),,"GOOD FT by LIVSEY,GEOFF",2
05:29,"GOOD FT by LIVSEY,GEOFF",46,,49 (+3),,RHODESMB 46-49 (-3),,"GOOD FT by LIVSEY,GEOFF",2
05:11,,,,,"MISS JUMPER by WILLIAMS,CHAD",,,"MISS JUMPER by WILLIAMS,CHAD",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
05:08,,,,,"SUB IN by THORNTON,JOSH",,,"SUB IN by THORNTON,JOSH",2
05:08,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",2
04:59,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
04:59,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
04:32,,46,,52 (+6),"GOOD 3PTR by HYNES,CHRIS",LETU 46-52 (-6),,"GOOD 3PTR by HYNES,CHRIS",2
--,,,,,"ASSIST  by WILLIAMS,CHAD",,,"ASSIST  by WILLIAMS,CHAD",2
04:05,"MISS 3PTR by SLEDGE,TATE",,,,,,,"MISS 3PTR by SLEDGE,TATE",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
03:56,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
03:54,"GOOD FT by LIVSEY,GEOFF",47,,52 (+5),,RHODESMB 47-52 (-5),,"GOOD FT by LIVSEY,GEOFF",2
03:54,"GOOD FT by LIVSEY,GEOFF",48,,52 (+4),,RHODESMB 48-52 (-4),,"GOOD FT by LIVSEY,GEOFF",2
03:51,,,,,"FOUL  by WILLIAMS,CHAD",,,"FOUL  by WILLIAMS,CHAD",2
03:40,,,,,"MISS 3PTR by BROWN,LADARIA",,,"MISS 3PTR by BROWN,LADARIA",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
03:31,,,,,"FOUL  by HYNES,CHRIS",,,"FOUL  by HYNES,CHRIS",2
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",2
03:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:26,,,,,"MISS 3PTR by BROWN,LADARIA",,,"MISS 3PTR by BROWN,LADARIA",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
03:03,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",50,,52 (+2),,RHODESMB 50-52 (-2),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
02:47,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
02:47,,50,,53 (+3),"GOOD FT by JONES,JUSTIN",LETU 50-53 (-3),,"GOOD FT by JONES,JUSTIN",2
02:47,,50,,54 (+4),"GOOD FT by JONES,JUSTIN",LETU 50-54 (-4),,"GOOD FT by JONES,JUSTIN",2
02:21,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
02:19,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
02:19,,,,,"BLOCK  by JONES,JUSTIN",,,"BLOCK  by JONES,JUSTIN",2
--,,,,,"REBOUND DEF by HYNES,CHRIS",,,"REBOUND DEF by HYNES,CHRIS",2
01:58,,,,,"MISS JUMPER by JONES,JUSTIN",,,"MISS JUMPER by JONES,JUSTIN",2
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",2
01:54,,50,,56 (+6),"GOOD JUMPER by JONES,JUSTIN",LETU 50-56 (-6),,"GOOD JUMPER by JONES,JUSTIN",2
01:40,"GOOD 3PTR by GALLAGHER,MICHAEL",53,,56 (+3),,RHODESMB 53-56 (-3),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
01:34,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",2
01:34,,53,,57 (+4),"GOOD FT by THORNTON,JOSH",LETU 53-57 (-4),,"GOOD FT by THORNTON,JOSH",2
01:34,,,,,"MISS FT by THORNTON,JOSH",,,"MISS FT by THORNTON,JOSH",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
01:15,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
01:13,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by WILLIAMS,CHAD",,,"REBOUND DEF by WILLIAMS,CHAD",2
01:11,,,,,"FOUL  by WILLIAMS,CHAD",,,"FOUL  by WILLIAMS,CHAD",2
00:59,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",55,,57 (+2),,RHODESMB 55-57 (-2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
00:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:25,,,,,"MISS JUMPER by HYNES,CHRIS",,,"MISS JUMPER by HYNES,CHRIS",2
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",2
00:10,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",2
00:10,"GOOD FT by SLEDGE,TATE",56,,57 (+1),,RHODESMB 56-57 (-1),,"GOOD FT by SLEDGE,TATE",2
00:10,"GOOD FT by SLEDGE,TATE",57,,57,,RHODESMB 57-57 (0),,"GOOD FT by SLEDGE,TATE",2
00:10,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
00:10,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
04:59,,,,,"SUB IN by THORNTON,JOSH",,,"SUB IN by THORNTON,JOSH",3
04:59,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",3
04:57,,57,,59 (+2),"GOOD LAYUP by THORNTON,JOSH(in the paint)",LETU 57-59 (-2),,"GOOD LAYUP by THORNTON,JOSH(in the paint)",3
04:57,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",3
04:57,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",3
04:57,"SUB OUT by DUNAVANT,JOHNNY",,,,,,,"SUB OUT by DUNAVANT,JOHNNY",3
04:57,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",3
04:57,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",3
04:54,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",3
04:50,,,,,"MISS FT by THORNTON,JOSH",,,"MISS FT by THORNTON,JOSH",3
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",3
04:50,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",3
04:50,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",3
04:50,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",3
04:30,"GOOD LAYUP by COLLINS,LUKE(in the paint)",59,,59,,RHODESMB 59-59 (0),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",3
04:13,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",3
04:13,,59,,60 (+1),"GOOD FT by BROWN,LADARIA",LETU 59-60 (-1),,"GOOD FT by BROWN,LADARIA",3
04:13,,59,,61 (+2),"GOOD FT by BROWN,LADARIA",LETU 59-61 (-2),,"GOOD FT by BROWN,LADARIA",3
04:13,"SUB IN by DUNAVANT,JOHNNY",,,,,,,"SUB IN by DUNAVANT,JOHNNY",3
04:13,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",3
03:55,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",3
03:55,"GOOD FT by LIVSEY,GEOFF",60,,61 (+1),,RHODESMB 60-61 (-1),,"GOOD FT by LIVSEY,GEOFF",3
03:55,"GOOD FT by LIVSEY,GEOFF",61,,61,,RHODESMB 61-61 (0),,"GOOD FT by LIVSEY,GEOFF",3
03:55,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",3
03:55,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",3
03:55,,,,,"SUB IN by KENNEDY,JAKE",,,"SUB IN by KENNEDY,JAKE",3
03:55,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",3
03:33,,,,,"MISS LAYUP by WILLIAMS,CHAD",,,"MISS LAYUP by WILLIAMS,CHAD",3
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",3
03:17,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",3
02:58,,,,,"FOUL  by THORNTON,JOSH",,,"FOUL  by THORNTON,JOSH",3
02:58,,,,,"TURNOVER  by THORNTON,JOSH",,,"TURNOVER  by THORNTON,JOSH",3
02:58,,61,,63 (+2),"GOOD LAYUP by THORNTON,JOSH(in the paint)",LETU 61-63 (-2),,"GOOD LAYUP by THORNTON,JOSH(in the paint)",3
02:58,"GOOD FT by SLEDGE,TATE",62,,63 (+1),,RHODESMB 62-63 (-1),,"GOOD FT by SLEDGE,TATE",3
02:58,"GOOD FT by SLEDGE,TATE",63,,63,,RHODESMB 63-63 (0),,"GOOD FT by SLEDGE,TATE",3
02:39,,,,,"TURNOVER  by BROWN,LADARIA",,,"TURNOVER  by BROWN,LADARIA",3
02:38,"STEAL  by DUNAVANT,JOHNNY",,,,,,,"STEAL  by DUNAVANT,JOHNNY",3
02:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
02:10,"MISS JUMPER by DUNAVANT,JOHNNY",,,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",3
--,,,,,"REBOUND DEF by THORNTON,JOSH",,,"REBOUND DEF by THORNTON,JOSH",3
01:47,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",3
01:47,,63,,64 (+1),"GOOD FT by BROWN,LADARIA",LETU 63-64 (-1),,"GOOD FT by BROWN,LADARIA",3
01:47,,63,,65 (+2),"GOOD FT by BROWN,LADARIA",LETU 63-65 (-2),,"GOOD FT by BROWN,LADARIA",3
01:30,"GOOD JUMPER by MILLER,DREW(in the paint)",65,,65,,RHODESMB 65-65 (0),,"GOOD JUMPER by MILLER,DREW(in the paint)",3
01:11,,65,,68 (+3),"GOOD 3PTR by THORNTON,JOSH",LETU 65-68 (-3),,"GOOD 3PTR by THORNTON,JOSH",3
--,,,,,"ASSIST  by WILLIAMS,CHAD",,,"ASSIST  by WILLIAMS,CHAD",3
01:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:54,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",3
--,,,,,"REBOUND DEF by THORNTON,JOSH",,,"REBOUND DEF by THORNTON,JOSH",3
00:48,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",3
00:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:48,,65,,69 (+4),"GOOD FT by THORNTON,JOSH",LETU 65-69 (-4),,"GOOD FT by THORNTON,JOSH",3
00:48,,65,,70 (+5),"GOOD FT by THORNTON,JOSH",LETU 65-70 (-5),,"GOOD FT by THORNTON,JOSH",3
00:48,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",3
00:48,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",3
00:48,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",3
00:40,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",3
00:40,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",3
00:40,,,,,"SUB IN by HYNES,CHRIS",,,"SUB IN by HYNES,CHRIS",3
00:35,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",3
00:35,,65,,71 (+6),"GOOD FT by HYNES,CHRIS",LETU 65-71 (-6),,"GOOD FT by HYNES,CHRIS",3
00:35,,65,,72 (+7),"GOOD FT by HYNES,CHRIS",LETU 65-72 (-7),,"GOOD FT by HYNES,CHRIS",3
00:35,,,,,"SUB IN by KENNEDY,JAKE",,,"SUB IN by KENNEDY,JAKE",3
00:35,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",3
00:32,"GOOD 3PTR by DUNAVANT,JOHNNY",68,,72 (+4),,RHODESMB 68-72 (-4),,"GOOD 3PTR by DUNAVANT,JOHNNY",3
00:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:31,,,,,"SUB IN by HYNES,CHRIS",,,"SUB IN by HYNES,CHRIS",3
00:31,,,,,"SUB OUT by KENNEDY,JAKE",,,"SUB OUT by KENNEDY,JAKE",3
00:29,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",3
00:29,,68,,73 (+5),"GOOD FT by WILLIAMS,CHAD",LETU 68-73 (-5),,"GOOD FT by WILLIAMS,CHAD",3
00:29,,68,,74 (+6),"GOOD FT by WILLIAMS,CHAD",LETU 68-74 (-6),,"GOOD FT by WILLIAMS,CHAD",3
00:29,,,,,"SUB IN by KENNEDY,JAKE",,,"SUB IN by KENNEDY,JAKE",3
00:29,,,,,"SUB OUT by HYNES,CHRIS",,,"SUB OUT by HYNES,CHRIS",3
00:22,"GOOD LAYUP by MILLER,DREW(in the paint)",70,,74 (+4),,RHODESMB 70-74 (-4),,"GOOD LAYUP by MILLER,DREW(in the paint)",3
00:18,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",3
00:18,,,,,"MISS FT by JONES,JUSTIN",,,"MISS FT by JONES,JUSTIN",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:18,,,,,"MISS FT by JONES,JUSTIN",,,"MISS FT by JONES,JUSTIN",3
--,"REBOUND DEF by DUNAVANT,JOHNNY",,,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",3
00:03,,,,,"FOUL  by KENNEDY,JAKE",,,"FOUL  by KENNEDY,JAKE",3
00:03,"GOOD FT by GALLAGHER,MICHAEL",71,,74 (+3),,RHODESMB 71-74 (-3),,"GOOD FT by GALLAGHER,MICHAEL",3
00:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
00:03,"MISS FT by GALLAGHER,MICHAEL",,,,,,,"MISS FT by GALLAGHER,MICHAEL",3
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",3
00:03,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",3
00:03,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",3
00:03,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",3
00:03,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",3
