Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
16:17,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
16:17,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:56,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
15:56,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
15:56,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
15:53,"GOOD LAYUP by MOORE,MCPHERSON(in the paint)",6,,8 (+2),,EUM 6-8 (+2),,"GOOD LAYUP by MOORE,MCPHERSON(in the paint)",1
--,"ASSIST  by FLORIN,MICHAEL",,,,,,,"ASSIST  by FLORIN,MICHAEL",1
15:21,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,"REBOUND DEF by MOORE,MCPHERSON",,,,,,,"REBOUND DEF by MOORE,MCPHERSON",1
15:16,"GOOD LAYUP by OH,NASH(in the paint)",8,,8,,EUM 8-8 (0),,"GOOD LAYUP by OH,NASH(in the paint)",1
14:52,,8,,11 (+3),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 8-11 (+3),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
14:31,"GOOD LAYUP by DAVIS,JAKE(in the paint)",10,,11 (+1),,EUM 10-11 (+1),,"GOOD LAYUP by DAVIS,JAKE(in the paint)",1
14:11,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by FLORIN,MICHAEL",,,,,,,"REBOUND DEF by FLORIN,MICHAEL",1
14:03,"MISS 3PTR by DAVIS,JAKE",,,,,,,"MISS 3PTR by DAVIS,JAKE",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
13:53,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by FLORIN,MICHAEL",,,,,,,"REBOUND DEF by FLORIN,MICHAEL",1
13:49,"FOUL  by OH,NASH",,,,,,,"FOUL  by OH,NASH",1
13:49,"TURNOVER  by OH,NASH",,,,,,,"TURNOVER  by OH,NASH",1
13:49,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by FOSTER,ALEX",,,,,,,"REBOUND DEF by FOSTER,ALEX",1
13:49,"SUB IN by FOSTER,ALEX",,,,,,,"SUB IN by FOSTER,ALEX",1
13:49,"SUB IN by FRIEDBERG,MICHAEL",,,,,,,"SUB IN by FRIEDBERG,MICHAEL",1
13:49,"SUB OUT by MOORE,MCPHERSON",,,,,,,"SUB OUT by MOORE,MCPHERSON",1
13:49,"SUB OUT by DAVIS,JAKE",,,,,,,"SUB OUT by DAVIS,JAKE",1
13:35,"MISS JUMPER by FRIEDBERG,MICHAEL",,,,,,,"MISS JUMPER by FRIEDBERG,MICHAEL",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
13:14,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,"REBOUND DEF by OH,NASH",,,,,,,"REBOUND DEF by OH,NASH",1
13:04,"MISS JUMPER by FRIEDBERG,MICHAEL",,,,,,,"MISS JUMPER by FRIEDBERG,MICHAEL",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
12:52,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
12:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
12:52,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
12:52,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
12:52,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:52,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
12:38,"TURNOVER  by FRIEDBERG,MICHAEL",,,,,,,"TURNOVER  by FRIEDBERG,MICHAEL",1
12:38,"FOUL  by FRIEDBERG,MICHAEL",,,,,,,"FOUL  by FRIEDBERG,MICHAEL",1
12:38,"SUB IN by GREVEN,ALEX",,,,,,,"SUB IN by GREVEN,ALEX",1
12:38,"SUB OUT by FLORIN,MICHAEL",,,,,,,"SUB OUT by FLORIN,MICHAEL",1
12:21,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
12:19,"STEAL  by FRIEDBERG,MICHAEL",,,,,,,"STEAL  by FRIEDBERG,MICHAEL",1
12:15,"TURNOVER  by GREVEN,ALEX",,,,,,,"TURNOVER  by GREVEN,ALEX",1
12:14,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
11:57,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
11:51,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
11:51,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
11:51,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
11:51,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
11:45,"FOUL  by FOSTER,ALEX",,,,,,,"FOUL  by FOSTER,ALEX",1
11:40,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
11:40,"SUB IN by DAVIS,JAKE",,,,,,,"SUB IN by DAVIS,JAKE",1
11:40,"SUB OUT by SCHATTIE,JOSH",,,,,,,"SUB OUT by SCHATTIE,JOSH",1
11:23,"GOOD 3PTR by GREVEN,ALEX",13 (+2),,11,,EUM 13-11 (-2),,"GOOD 3PTR by GREVEN,ALEX",1
10:56,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
10:55,"STEAL  by DAVIS,JAKE",,,,,,,"STEAL  by DAVIS,JAKE",1
10:50,"MISS LAYUP by FRIEDBERG,MICHAEL",,,,,,,"MISS LAYUP by FRIEDBERG,MICHAEL",1
--,"REBOUND OFF by FRIEDBERG,MICHAEL",,,,,,,"REBOUND OFF by FRIEDBERG,MICHAEL",1
10:47,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
10:47,"GOOD FT by FRIEDBERG,MICHAEL",14 (+3),,11,,EUM 14-11 (-3),,"GOOD FT by FRIEDBERG,MICHAEL",1
10:47,"GOOD FT by FRIEDBERG,MICHAEL",15 (+4),,11,,EUM 15-11 (-4),,"GOOD FT by FRIEDBERG,MICHAEL",1
10:47,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
10:47,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
10:47,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
10:47,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
10:47,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
10:47,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
10:31,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
10:31,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
10:31,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
10:31,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
10:31,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
10:31,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
10:31,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
10:31,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
10:31,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
10:06,"GOOD JUMPER by DAVIS,JAKE",17 (+6),,11,,EUM 17-11 (-6),,"GOOD JUMPER by DAVIS,JAKE",1
09:38,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
09:33,,17 (+4),,13,"GOOD LAYUP by MILLER,DREW(in the paint)",RCMBB13 17-13 (-4),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
09:19,"TURNOVER  by FOSTER,ALEX",,,,,,,"TURNOVER  by FOSTER,ALEX",1
09:17,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
09:05,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
08:59,"SUB IN by TRAWICK,WILL",,,,,,,"SUB IN by TRAWICK,WILL",1
08:59,"SUB IN by FLORIN,MICHAEL",,,,,,,"SUB IN by FLORIN,MICHAEL",1
08:59,"SUB OUT by FOSTER,ALEX",,,,,,,"SUB OUT by FOSTER,ALEX",1
08:59,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",1
08:52,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
08:40,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
08:40,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
08:40,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
08:40,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
08:40,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
08:31,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
08:31,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
08:29,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
08:14,"TURNOVER  by DAVIS,JAKE",,,,,,,"TURNOVER  by DAVIS,JAKE",1
08:12,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
07:54,,,,,"MISS 3PTR by SLEDGE,TATE",,,"MISS 3PTR by SLEDGE,TATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:46,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
07:46,"GOOD FT by DAVIS,JAKE",18 (+5),,13,,EUM 18-13 (-5),,"GOOD FT by DAVIS,JAKE",1
07:46,"GOOD FT by DAVIS,JAKE",19 (+6),,13,,EUM 19-13 (-6),,"GOOD FT by DAVIS,JAKE",1
07:46,"SUB IN by FRIEDBERG,MICHAEL",,,,,,,"SUB IN by FRIEDBERG,MICHAEL",1
07:46,"SUB OUT by DAVIS,JAKE",,,,,,,"SUB OUT by DAVIS,JAKE",1
07:46,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
07:37,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by OH,NASH",,,,,,,"REBOUND DEF by OH,NASH",1
07:28,"GOOD LAYUP by OH,NASH(in the paint)",21 (+8),,13,,EUM 21-13 (-8),,"GOOD LAYUP by OH,NASH(in the paint)",1
07:04,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
07:02,"STEAL  by MOORE,MCPHERSON",,,,,,,"STEAL  by MOORE,MCPHERSON",1
07:00,"TURNOVER  by MOORE,MCPHERSON",,,,,,,"TURNOVER  by MOORE,MCPHERSON",1
07:00,"FOUL  by MOORE,MCPHERSON",,,,,,,"FOUL  by MOORE,MCPHERSON",1
07:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:23,,,,,"MISS LAYUP by SLEDGE,TATE",,,"MISS LAYUP by SLEDGE,TATE",1
--,"REBOUND DEF by FRIEDBERG,MICHAEL",,,,,,,"REBOUND DEF by FRIEDBERG,MICHAEL",1
06:00,"TURNOVER  by OH,NASH",,,,,,,"TURNOVER  by OH,NASH",1
05:59,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
05:48,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,"REBOUND DEF by FRIEDBERG,MICHAEL",,,,,,,"REBOUND DEF by FRIEDBERG,MICHAEL",1
05:31,"MISS JUMPER by TRAWICK,WILL",,,,,,,"MISS JUMPER by TRAWICK,WILL",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
05:15,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
05:13,"STEAL  by OH,NASH",,,,,,,"STEAL  by OH,NASH",1
05:09,"MISS LAYUP by TRAWICK,WILL",,,,,,,"MISS LAYUP by TRAWICK,WILL",1
05:00,"GOOD LAYUP by FRIEDBERG,MICHAEL(in the paint)",23 (+10),,13,,EUM 23-13 (-10),,"GOOD LAYUP by FRIEDBERG,MICHAEL(in the paint)",1
04:50,"MISS LAYUP by TRAWICK,WILL",,,,,,,"MISS LAYUP by TRAWICK,WILL",1
--,"REBOUND OFF by FRIEDBERG,MICHAEL",,,,,,,"REBOUND OFF by FRIEDBERG,MICHAEL",1
04:38,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:38,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
04:38,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
04:38,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:38,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
04:38,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
04:31,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:23,"SUB IN by FOSTER,ALEX",,,,,,,"SUB IN by FOSTER,ALEX",1
04:23,"SUB IN by MOORE,MCPHERSON",,,,,,,"SUB IN by MOORE,MCPHERSON",1
04:23,"SUB IN by SCHATTIE,JOSH",,,,,,,"SUB IN by SCHATTIE,JOSH",1
04:23,"SUB IN by DAVIS,JAKE",,,,,,,"SUB IN by DAVIS,JAKE",1
04:23,"SUB OUT by TRAWICK,WILL",,,,,,,"SUB OUT by TRAWICK,WILL",1
04:23,"SUB OUT by FLORIN,MICHAEL",,,,,,,"SUB OUT by FLORIN,MICHAEL",1
04:23,"SUB OUT by FRIEDBERG,MICHAEL",,,,,,,"SUB OUT by FRIEDBERG,MICHAEL",1
04:23,"SUB OUT by OH,NASH",,,,,,,"SUB OUT by OH,NASH",1
04:23,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:23,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:23,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
04:23,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
04:23,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
04:03,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:01,"STEAL  by FOSTER,ALEX",,,,,,,"STEAL  by FOSTER,ALEX",1
03:49,"MISS 3PTR by DAVIS,JAKE",,,,,,,"MISS 3PTR by DAVIS,JAKE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
03:38,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by FOSTER,ALEX",,,,,,,"REBOUND DEF by FOSTER,ALEX",1
03:23,"GOOD JUMPER by SCHATTIE,JOSH",25 (+12),,13,,EUM 25-13 (-12),,"GOOD JUMPER by SCHATTIE,JOSH",1
--,"ASSIST  by FOSTER,ALEX",,,,,,,"ASSIST  by FOSTER,ALEX",1
03:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:50,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
02:49,"STEAL  by DAVIS,JAKE",,,,,,,"STEAL  by DAVIS,JAKE",1
02:44,"MISS JUMPER by FLORIN,MICHAEL",,,,,,,"MISS JUMPER by FLORIN,MICHAEL",1
--,"REBOUND OFF by FOSTER,ALEX",,,,,,,"REBOUND OFF by FOSTER,ALEX",1
02:33,"GOOD FT by DAVIS,JAKE",26 (+13),,13,,EUM 26-13 (-13),,"GOOD FT by DAVIS,JAKE",1
02:33,"GOOD FT by DAVIS,JAKE",27 (+14),,13,,EUM 27-13 (-14),,"GOOD FT by DAVIS,JAKE",1
02:33,"SUB IN by FLORIN,MICHAEL",,,,,,,"SUB IN by FLORIN,MICHAEL",1
02:33,"SUB IN by RAO,DAVIS",,,,,,,"SUB IN by RAO,DAVIS",1
02:33,"SUB IN by FRIEDBERG,MICHAEL",,,,,,,"SUB IN by FRIEDBERG,MICHAEL",1
02:33,"SUB OUT by GREVEN,ALEX",,,,,,,"SUB OUT by GREVEN,ALEX",1
02:33,"SUB OUT by MOORE,MCPHERSON",,,,,,,"SUB OUT by MOORE,MCPHERSON",1
02:33,"SUB OUT by SCHATTIE,JOSH",,,,,,,"SUB OUT by SCHATTIE,JOSH",1
02:33,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
02:33,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
02:27,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
02:00,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
02:00,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
02:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:41,"TURNOVER  by DAVIS,JAKE",,,,,,,"TURNOVER  by DAVIS,JAKE",1
01:21,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",1
01:15,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by FLORIN,MICHAEL",,,,,,,"REBOUND DEF by FLORIN,MICHAEL",1
00:54,"TURNOVER  by FOSTER,ALEX",,,,,,,"TURNOVER  by FOSTER,ALEX",1
00:54,"FOUL  by FOSTER,ALEX",,,,,,,"FOUL  by FOSTER,ALEX",1
00:45,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by RAO,DAVIS",,,,,,,"REBOUND DEF by RAO,DAVIS",1
00:13,"MISS LAYUP by FLORIN,MICHAEL",,,,,,,"MISS LAYUP by FLORIN,MICHAEL",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
00:02,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
00:00,"STEAL  by RAO,DAVIS",,,,,,,"STEAL  by RAO,DAVIS",1
00:00,"TURNOVER  by RAO,DAVIS",,,,,,,"TURNOVER  by RAO,DAVIS",1
19:53,"MISS 3PTR by GREVEN,ALEX",,,,,,,"MISS 3PTR by GREVEN,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:29,"MISS JUMPER by DAVIS,JAKE",,,,,,,"MISS JUMPER by DAVIS,JAKE",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
19:17,,27 (+12),,15,"GOOD JUMPER by GALOW,ANDREW",RCMBB13 27-15 (-12),,"GOOD JUMPER by GALOW,ANDREW",2
18:52,"MISS LAYUP by FLORIN,MICHAEL",,,,,,,"MISS LAYUP by FLORIN,MICHAEL",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
18:44,"FOUL  by FRIEDBERG,MICHAEL",,,,,,,"FOUL  by FRIEDBERG,MICHAEL",2
18:44,,27 (+11),,16,"GOOD FT by GALOW,ANDREW",RCMBB13 27-16 (-11),,"GOOD FT by GALOW,ANDREW",2
18:44,,27 (+10),,17,"GOOD FT by GALOW,ANDREW",RCMBB13 27-17 (-10),,"GOOD FT by GALOW,ANDREW",2
18:44,"SUB IN by OH,NASH",,,,,,,"SUB IN by OH,NASH",2
18:44,"SUB OUT by FLORIN,MICHAEL",,,,,,,"SUB OUT by FLORIN,MICHAEL",2
18:32,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
18:29,"TURNOVER  by MOORE,MCPHERSON",,,,,,,"TURNOVER  by MOORE,MCPHERSON",2
18:29,"FOUL  by MOORE,MCPHERSON",,,,,,,"FOUL  by MOORE,MCPHERSON",2
18:14,,27 (+8),,19,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 27-19 (-8),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
17:56,"MISS 3PTR by OH,NASH",,,,,,,"MISS 3PTR by OH,NASH",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
17:43,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by OH,NASH",,,,,,,"REBOUND DEF by OH,NASH",2
17:35,"SUB IN by FLORIN,MICHAEL",,,,,,,"SUB IN by FLORIN,MICHAEL",2
17:35,"SUB OUT by MOORE,MCPHERSON",,,,,,,"SUB OUT by MOORE,MCPHERSON",2
17:24,"TURNOVER  by GREVEN,ALEX",,,,,,,"TURNOVER  by GREVEN,ALEX",2
17:22,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
17:17,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by DAVIS,JAKE",,,,,,,"REBOUND DEF by DAVIS,JAKE",2
17:10,"GOOD 3PTR by DAVIS,JAKE",30 (+11),,19,,EUM 30-19 (-11),,"GOOD 3PTR by DAVIS,JAKE",2
--,"ASSIST  by FLORIN,MICHAEL",,,,,,,"ASSIST  by FLORIN,MICHAEL",2
16:47,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
