Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
15:44,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
15:31,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
15:31,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
15:31,,29,,42 (+13),"GOOD FT by SLEDGE,TATE",RCMBB13 29-42 (+13),,"GOOD FT by SLEDGE,TATE",2
15:31,,29,,43 (+14),"GOOD FT by SLEDGE,TATE",RCMBB13 29-43 (+14),,"GOOD FT by SLEDGE,TATE",2
15:30,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
15:00,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
14:46,"GOOD 3PTR by THOMAS,LARRY",32,,43 (+11),,BSCM 32-43 (+11),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
14:30,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
14:30,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",2
14:30,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",2
14:30,"GOOD FT by WELCH,ROSS",33,,43 (+10),,BSCM 33-43 (+10),,"GOOD FT by WELCH,ROSS",2
14:30,"GOOD FT by WELCH,ROSS",34,,43 (+9),,BSCM 34-43 (+9),,"GOOD FT by WELCH,ROSS",2
14:30,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
14:30,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
14:03,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
13:37,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
13:37,,34,,44 (+10),"GOOD FT by GALOW,ANDREW",RCMBB13 34-44 (+10),,"GOOD FT by GALOW,ANDREW",2
13:37,,34,,45 (+11),"GOOD FT by GALOW,ANDREW",RCMBB13 34-45 (+11),,"GOOD FT by GALOW,ANDREW",2
13:37,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
13:37,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
13:16,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
13:09,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
13:05,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
13:05,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
13:05,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
13:05,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
13:05,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
13:05,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
12:44,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
12:44,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:44,"GOOD FT by HENRY,COLIN",35,,45 (+10),,BSCM 35-45 (+10),,"GOOD FT by HENRY,COLIN",2
12:44,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
12:44,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",2
12:44,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
12:44,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
12:44,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
12:44,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
12:33,,35,,47 (+12),"GOOD LAYUP by MILLER,DREW(in the paint)",RCMBB13 35-47 (+12),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
12:23,"GOOD 3PTR by WHITE,BLAISE",38,,47 (+9),,BSCM 38-47 (+9),,"GOOD 3PTR by WHITE,BLAISE",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
12:01,,38,,49 (+11),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RCMBB13 38-49 (+11),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
11:44,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:43,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
11:43,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:43,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
11:43,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
11:43,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
11:43,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
11:28,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
11:18,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",2
11:18,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
11:18,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
11:18,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
10:57,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
10:28,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
10:09,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
10:09,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
10:09,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
10:09,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
09:58,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
09:49,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
09:23,,38,,52 (+14),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 38-52 (+14),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by MCGRAIL,PATRICK",,,"ASSIST  by MCGRAIL,PATRICK",2
09:14,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
09:13,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
08:48,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
08:45,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
08:45,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
08:45,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
08:34,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
08:34,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
08:34,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
08:33,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
07:59,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
07:51,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
07:50,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
07:30,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
07:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:30,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
07:07,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
06:48,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
06:33,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
06:18,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
06:11,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
05:47,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
05:47,"GOOD FT by SCHAMP,GRIFFIN",39,,52 (+13),,BSCM 39-52 (+13),,"GOOD FT by SCHAMP,GRIFFIN",2
05:47,"GOOD FT by SCHAMP,GRIFFIN",40,,52 (+12),,BSCM 40-52 (+12),,"GOOD FT by SCHAMP,GRIFFIN",2
05:47,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
05:47,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
05:38,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
05:38,,40,,53 (+13),"GOOD FT by GALOW,ANDREW",RCMBB13 40-53 (+13),,"GOOD FT by GALOW,ANDREW",2
05:38,,40,,54 (+14),"GOOD FT by GALOW,ANDREW",RCMBB13 40-54 (+14),,"GOOD FT by GALOW,ANDREW",2
05:23,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
05:20,"GOOD LAYUP by THOMAS,LARRY(in the paint)",42,,54 (+12),,BSCM 42-54 (+12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
05:18,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
05:18,"GOOD FT by THOMAS,LARRY",43,,54 (+11),,BSCM 43-54 (+11),,"GOOD FT by THOMAS,LARRY",2
05:18,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
05:18,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
05:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:02,,43,,56 (+13),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 43-56 (+13),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
04:44,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
04:43,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
04:41,,43,,58 (+15),"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 43-58 (+15),,"GOOD LAYUP by GALOW,ANDREW(fastbreak)(in the paint)",2
04:22,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",45,,58 (+13),,BSCM 45-58 (+13),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
04:09,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
04:01,"GOOD 3PTR by WHITE,BLAISE",48,,58 (+10),,BSCM 48-58 (+10),,"GOOD 3PTR by WHITE,BLAISE",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
03:32,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
03:32,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
03:32,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",2
03:32,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
03:32,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
03:32,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
03:32,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
03:32,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
03:32,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
03:32,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
03:32,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
03:32,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
03:18,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
03:12,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
03:11,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
03:03,"GOOD JUMPER by ASSANESI,KELLY",50,,58 (+8),,BSCM 50-58 (+8),,"GOOD JUMPER by ASSANESI,KELLY",2
02:35,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
02:27,"TURNOVER  by ASSANESI,KELLY",,,,,,,"TURNOVER  by ASSANESI,KELLY",2
02:27,"FOUL  by ASSANESI,KELLY",,,,,,,"FOUL  by ASSANESI,KELLY",2
02:08,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
02:07,"STEAL  by ASSANESI,KELLY",,,,,,,"STEAL  by ASSANESI,KELLY",2
01:59,"MISS 3PTR by ASSANESI,KELLY",,,,,,,"MISS 3PTR by ASSANESI,KELLY",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
01:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:52,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
01:52,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
01:41,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
01:41,,50,,59 (+9),"GOOD FT by GALLAGHER,MICHAEL",RCMBB13 50-59 (+9),,"GOOD FT by GALLAGHER,MICHAEL",2
01:41,,50,,60 (+10),"GOOD FT by GALLAGHER,MICHAEL",RCMBB13 50-60 (+10),,"GOOD FT by GALLAGHER,MICHAEL",2
01:41,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
01:41,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
01:41,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:41,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",2
01:41,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:41,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:39,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
01:26,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
01:26,,50,,61 (+11),"GOOD FT by GALOW,ANDREW",RCMBB13 50-61 (+11),,"GOOD FT by GALOW,ANDREW",2
01:26,,50,,62 (+12),"GOOD FT by GALOW,ANDREW",RCMBB13 50-62 (+12),,"GOOD FT by GALOW,ANDREW",2
01:17,"GOOD 3PTR by KEGARISE,KEVIN",53,,62 (+9),,BSCM 53-62 (+9),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
01:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:15,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
01:15,"SUB IN by MCKAY,COLLIN",,,,,,,"SUB IN by MCKAY,COLLIN",2
01:15,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
01:15,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
01:15,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
01:15,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
01:11,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
01:11,,53,,63 (+10),"GOOD FT by LIVSEY,GEOFF",RCMBB13 53-63 (+10),,"GOOD FT by LIVSEY,GEOFF",2
01:11,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
01:11,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
01:11,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:11,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
01:11,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:11,"SUB OUT by MCKAY,COLLIN",,,,,,,"SUB OUT by MCKAY,COLLIN",2
01:11,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:11,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
01:11,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
01:01,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
01:00,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
01:00,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
01:00,,53,,64 (+11),"GOOD FT by GALOW,ANDREW",RCMBB13 53-64 (+11),,"GOOD FT by GALOW,ANDREW",2
01:00,,53,,65 (+12),"GOOD FT by GALOW,ANDREW",RCMBB13 53-65 (+12),,"GOOD FT by GALOW,ANDREW",2
00:51,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:44,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
00:44,,53,,66 (+13),"GOOD FT by GALOW,ANDREW",RCMBB13 53-66 (+13),,"GOOD FT by GALOW,ANDREW",2
00:44,,53,,67 (+14),"GOOD FT by GALOW,ANDREW",RCMBB13 53-67 (+14),,"GOOD FT by GALOW,ANDREW",2
00:39,"GOOD JUMPER by THOMAS,LARRY(in the paint)",55,,67 (+12),,BSCM 55-67 (+12),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",2
00:34,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",2
00:34,,55,,68 (+13),"GOOD FT by GALLAGHER,MICHAEL",RCMBB13 55-68 (+13),,"GOOD FT by GALLAGHER,MICHAEL",2
00:34,,,,,"MISS FT by GALLAGHER,MICHAEL",,,"MISS FT by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
00:28,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
00:27,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
