Time Remaining,KCM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
16:53,"SUB IN by OLSON,TYLER",,,,,,,"SUB IN by OLSON,TYLER",2
16:53,"SUB IN by JONES,DAVID",,,,,,,"SUB IN by JONES,DAVID",2
16:45,"GOOD JUMPER by JONES,DAVID",31,,43 (+12),,KCM 31-43 (+12),,"GOOD JUMPER by JONES,DAVID",2
16:18,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
16:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:51,"FOUL  by JONES,DAVID",,,,,,,"FOUL  by JONES,DAVID",2
15:51,"TURNOVER  by JONES,DAVID",,,,,,,"TURNOVER  by JONES,DAVID",2
15:42,,31,,45 (+14),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB13 31-45 (+14),,"GOOD JUMPER by DUNAVANT,JOHN",2
15:29,"MISS 3PTR by JONES,DAVID",,,,,,,"MISS 3PTR by JONES,DAVID",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
15:16,,31,,48 (+17),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 31-48 (+17),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
14:49,"MISS JUMPER by SHAW,LUKAS",,,,,,,"MISS JUMPER by SHAW,LUKAS",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
14:37,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by JONES,DAVID",,,,,,,"REBOUND DEF by JONES,DAVID",2
14:31,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
14:31,"SUB IN by HARNED,CHARLIE",,,,,,,"SUB IN by HARNED,CHARLIE",2
14:31,"SUB IN by MCNICHOLS,CHRIS",,,,,,,"SUB IN by MCNICHOLS,CHRIS",2
14:31,"SUB OUT by MILLER,ERIC",,,,,,,"SUB OUT by MILLER,ERIC",2
14:31,"SUB OUT by OLSON,TYLER",,,,,,,"SUB OUT by OLSON,TYLER",2
14:31,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
14:31,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
14:31,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
14:31,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
14:31,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
14:31,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
14:31,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
14:02,"MISS JUMPER by HARNED,CHARLIE",,,,,,,"MISS JUMPER by HARNED,CHARLIE",2
--,"REBOUND OFF by HARNED,CHARLIE",,,,,,,"REBOUND OFF by HARNED,CHARLIE",2
14:02,"TURNOVER  by HARNED,CHARLIE",,,,,,,"TURNOVER  by HARNED,CHARLIE",2
14:02,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",2
14:02,"SUB IN by CHAPMAN,MACKINZIE",,,,,,,"SUB IN by CHAPMAN,MACKINZIE",2
14:02,"SUB OUT by SHAW,LUKAS",,,,,,,"SUB OUT by SHAW,LUKAS",2
13:39,,31,,51 (+20),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 31-51 (+20),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
13:23,"GOOD JUMPER by JONES,DAVID(in the paint)",33,,51 (+18),,KCM 33-51 (+18),,"GOOD JUMPER by JONES,DAVID(in the paint)",2
13:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:04,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
13:01,"STEAL  by STRICKLIN,ARMAND",,,,,,,"STEAL  by STRICKLIN,ARMAND",2
12:44,"MISS JUMPER by JONES,DAVID",,,,,,,"MISS JUMPER by JONES,DAVID",2
--,"REBOUND OFF by CHAPMAN,MACKINZIE",,,,,,,"REBOUND OFF by CHAPMAN,MACKINZIE",2
12:44,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
12:44,"MISS FT by CHAPMAN,MACKINZIE",,,,,,,"MISS FT by CHAPMAN,MACKINZIE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:44,"MISS FT by CHAPMAN,MACKINZIE",,,,,,,"MISS FT by CHAPMAN,MACKINZIE",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
12:41,,33,,54 (+21),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 33-54 (+21),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",2
12:41,"MISS JUMPER by HARNED,CHARLIE",,,,,,,"MISS JUMPER by HARNED,CHARLIE",2
--,"REBOUND OFF by JONES,DAVID",,,,,,,"REBOUND OFF by JONES,DAVID",2
12:41,"MISS 3PTR by STRICKLIN,ARMAND",,,,,,,"MISS 3PTR by STRICKLIN,ARMAND",2
--,"REBOUND OFF by JONES,DAVID",,,,,,,"REBOUND OFF by JONES,DAVID",2
12:36,"TURNOVER  by HARNED,CHARLIE",,,,,,,"TURNOVER  by HARNED,CHARLIE",2
12:31,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",2
12:29,,33,,56 (+23),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RCMBB13 33-56 (+23),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
12:26,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
12:26,"SUB IN by CRAWFORD,ERIC",,,,,,,"SUB IN by CRAWFORD,ERIC",2
12:26,"SUB OUT by STRICKLIN,ARMAND",,,,,,,"SUB OUT by STRICKLIN,ARMAND",2
11:27,"MISS LAYUP by JONES,DAVID",,,,,,,"MISS LAYUP by JONES,DAVID",2
--,"REBOUND OFF by CHAPMAN,MACKINZIE",,,,,,,"REBOUND OFF by CHAPMAN,MACKINZIE",2
11:18,"TURNOVER  by JONES,DAVID",,,,,,,"TURNOVER  by JONES,DAVID",2
11:17,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
11:02,,33,,58 (+25),"GOOD JUMPER by MILLER,DREW",RCMBB13 33-58 (+25),,"GOOD JUMPER by MILLER,DREW",2
10:41,"TURNOVER  by HARNED,CHARLIE",,,,,,,"TURNOVER  by HARNED,CHARLIE",2
10:40,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
10:26,,33,,60 (+27),"GOOD JUMPER by SLEDGE,TATE(in the paint)",RCMBB13 33-60 (+27),,"GOOD JUMPER by SLEDGE,TATE(in the paint)",2
10:24,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
10:24,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
10:24,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
10:24,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
10:24,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
10:24,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
10:24,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
10:24,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
10:24,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
10:24,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
10:02,"MISS JUMPER by CRAWFORD,ERIC",,,,,,,"MISS JUMPER by CRAWFORD,ERIC",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:00,"SUB IN by SHAW,LUKAS",,,,,,,"SUB IN by SHAW,LUKAS",2
10:00,"SUB IN by WORDEN,ADAM",,,,,,,"SUB IN by WORDEN,ADAM",2
10:00,"SUB IN by OLSON,TYLER",,,,,,,"SUB IN by OLSON,TYLER",2
10:00,"SUB IN by MURPHY,MITCH",,,,,,,"SUB IN by MURPHY,MITCH",2
10:00,"SUB OUT by HARNED,CHARLIE",,,,,,,"SUB OUT by HARNED,CHARLIE",2
10:00,"SUB OUT by CHAPMAN,MACKINZIE",,,,,,,"SUB OUT by CHAPMAN,MACKINZIE",2
10:00,"SUB OUT by JONES,DAVID",,,,,,,"SUB OUT by JONES,DAVID",2
10:00,"SUB OUT by MCNICHOLS,CHRIS",,,,,,,"SUB OUT by MCNICHOLS,CHRIS",2
09:44,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
09:33,"FOUL  by CRAWFORD,ERIC",,,,,,,"FOUL  by CRAWFORD,ERIC",2
09:33,"TURNOVER  by CRAWFORD,ERIC",,,,,,,"TURNOVER  by CRAWFORD,ERIC",2
09:24,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
09:23,"STEAL  by MURPHY,MITCH",,,,,,,"STEAL  by MURPHY,MITCH",2
09:21,"MISS 3PTR by MURPHY,MITCH",,,,,,,"MISS 3PTR by MURPHY,MITCH",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
08:58,,33,,62 (+29),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 33-62 (+29),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
08:41,"TURNOVER  by CRAWFORD,ERIC",,,,,,,"TURNOVER  by CRAWFORD,ERIC",2
08:26,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
08:01,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by SHAW,LUKAS",,,,,,,"REBOUND DEF by SHAW,LUKAS",2
07:43,"MISS 3PTR by MURPHY,MITCH",,,,,,,"MISS 3PTR by MURPHY,MITCH",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
07:32,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by CRAWFORD,ERIC",,,,,,,"REBOUND DEF by CRAWFORD,ERIC",2
07:23,"MISS 3PTR by OLSON,TYLER",,,,,,,"MISS 3PTR by OLSON,TYLER",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
07:03,,33,,64 (+31),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 33-64 (+31),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
06:48,"GOOD LAYUP by SHAW,LUKAS(in the paint)",35,,64 (+29),,KCM 35-64 (+29),,"GOOD LAYUP by SHAW,LUKAS(in the paint)",2
--,"ASSIST  by MURPHY,MITCH",,,,,,,"ASSIST  by MURPHY,MITCH",2
06:28,,35,,66 (+31),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 35-66 (+31),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
06:09,"MISS JUMPER by MURPHY,MITCH",,,,,,,"MISS JUMPER by MURPHY,MITCH",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
06:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:06,"SUB IN by EIGHNER,DILLON",,,,,,,"SUB IN by EIGHNER,DILLON",2
06:06,"SUB IN by STRICKLIN,ARMAND",,,,,,,"SUB IN by STRICKLIN,ARMAND",2
06:06,"SUB IN by GORDON,MATT",,,,,,,"SUB IN by GORDON,MATT",2
06:06,"SUB IN by JONES,DAVID",,,,,,,"SUB IN by JONES,DAVID",2
06:06,"SUB OUT by CRAWFORD,ERIC",,,,,,,"SUB OUT by CRAWFORD,ERIC",2
06:06,"SUB OUT by WORDEN,ADAM",,,,,,,"SUB OUT by WORDEN,ADAM",2
06:06,"SUB OUT by OLSON,TYLER",,,,,,,"SUB OUT by OLSON,TYLER",2
06:06,"SUB OUT by MURPHY,MITCH",,,,,,,"SUB OUT by MURPHY,MITCH",2
06:06,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
06:06,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
06:06,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
06:06,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
06:06,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
06:06,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
06:06,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
06:06,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
06:06,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
06:06,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
05:41,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",2
05:30,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
05:30,"STEAL  by JONES,DAVID",,,,,,,"STEAL  by JONES,DAVID",2
05:30,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
05:01,"MISS JUMPER by EIGHNER,DILLON",,,,,,,"MISS JUMPER by EIGHNER,DILLON",2
05:01,,,,,"BLOCK  by MILLER,DREW",,,"BLOCK  by MILLER,DREW",2
--,"REBOUND OFF by SHAW,LUKAS",,,,,,,"REBOUND OFF by SHAW,LUKAS",2
04:55,"MISS JUMPER by GORDON,MATT",,,,,,,"MISS JUMPER by GORDON,MATT",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
04:42,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND DEF by GORDON,MATT",,,,,,,"REBOUND DEF by GORDON,MATT",2
04:28,"SUB IN by CHAPMAN,MACKINZIE",,,,,,,"SUB IN by CHAPMAN,MACKINZIE",2
04:28,"SUB OUT by SHAW,LUKAS",,,,,,,"SUB OUT by SHAW,LUKAS",2
04:11,"MISS 3PTR by STRICKLIN,ARMAND",,,,,,,"MISS 3PTR by STRICKLIN,ARMAND",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
04:00,,35,,68 (+33),"GOOD LAYUP by WAGNER,MATT(in the paint)",RCMBB13 35-68 (+33),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
04:00,"FOUL  by CHAPMAN,MACKINZIE",,,,,,,"FOUL  by CHAPMAN,MACKINZIE",2
04:00,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",2
--,"REBOUND DEF by CHAPMAN,MACKINZIE",,,,,,,"REBOUND DEF by CHAPMAN,MACKINZIE",2
04:00,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
04:00,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
03:41,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
03:41,"MISS FT by EIGHNER,DILLON",,,,,,,"MISS FT by EIGHNER,DILLON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:41,"MISS FT by EIGHNER,DILLON",,,,,,,"MISS FT by EIGHNER,DILLON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:30,"GOOD LAYUP by EIGHNER,DILLON(in the paint)",37,,68 (+31),,KCM 37-68 (+31),,"GOOD LAYUP by EIGHNER,DILLON(in the paint)",2
03:30,,37,,70 (+33),"GOOD JUMPER by HOECK,RYAN VAN",RCMBB13 37-70 (+33),,"GOOD JUMPER by HOECK,RYAN VAN",2
02:55,"MISS JUMPER by GORDON,MATT",,,,,,,"MISS JUMPER by GORDON,MATT",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
02:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:53,,,,,"SUB IN by BELVEAL,KAI",,,"SUB IN by BELVEAL,KAI",2
02:53,,,,,"SUB IN by CATES,REID",,,"SUB IN by CATES,REID",2
02:53,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
02:53,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
02:53,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
02:53,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
02:35,,,,,"TURNOVER  by BELVEAL,KAI",,,"TURNOVER  by BELVEAL,KAI",2
02:34,"STEAL  by JONES,DAVID",,,,,,,"STEAL  by JONES,DAVID",2
02:30,"MISS LAYUP by JONES,DAVID",,,,,,,"MISS LAYUP by JONES,DAVID",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
01:55,,,,,"MISS 3PTR by CATES,REID",,,"MISS 3PTR by CATES,REID",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:55,"SUB IN by WORDEN,ADAM",,,,,,,"SUB IN by WORDEN,ADAM",2
01:55,"SUB OUT by JONES,DAVID",,,,,,,"SUB OUT by JONES,DAVID",2
01:37,"GOOD JUMPER by WORDEN,ADAM",39,,70 (+31),,KCM 39-70 (+31),,"GOOD JUMPER by WORDEN,ADAM",2
--,"ASSIST  by STRICKLIN,ARMAND",,,,,,,"ASSIST  by STRICKLIN,ARMAND",2
01:29,,,,,"MISS JUMPER by BELVEAL,KAI",,,"MISS JUMPER by BELVEAL,KAI",2
--,"REBOUND DEF by WORDEN,ADAM",,,,,,,"REBOUND DEF by WORDEN,ADAM",2
01:18,"GOOD LAYUP by GORDON,MATT(in the paint)",41,,70 (+29),,KCM 41-70 (+29),,"GOOD LAYUP by GORDON,MATT(in the paint)",2
00:56,,41,,72 (+31),"GOOD LAYUP by CHIEN,KEVIN(in the paint)",RCMBB13 41-72 (+31),,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",2
--,,,,,"ASSIST  by BELVEAL,KAI",,,"ASSIST  by BELVEAL,KAI",2
00:43,"MISS 3PTR by STRICKLIN,ARMAND",,,,,,,"MISS 3PTR by STRICKLIN,ARMAND",2
--,"REBOUND OFF by EIGHNER,DILLON",,,,,,,"REBOUND OFF by EIGHNER,DILLON",2
00:37,"TURNOVER  by EIGHNER,DILLON",,,,,,,"TURNOVER  by EIGHNER,DILLON",2
00:37,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
00:37,"FOUL  by STRICKLIN,ARMAND",,,,,,,"FOUL  by STRICKLIN,ARMAND",2
00:37,,41,,73 (+32),"GOOD FT by SLEDGE,TATE",RCMBB13 41-73 (+32),,"GOOD FT by SLEDGE,TATE",2
00:37,,41,,74 (+33),"GOOD FT by SLEDGE,TATE",RCMBB13 41-74 (+33),,"GOOD FT by SLEDGE,TATE",2
00:24,"MISS JUMPER by EIGHNER,DILLON",,,,,,,"MISS JUMPER by EIGHNER,DILLON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:11,"MISS JUMPER by EIGHNER,DILLON",,,,,,,"MISS JUMPER by EIGHNER,DILLON",2
--,"REBOUND OFF by CHAPMAN,MACKINZIE",,,,,,,"REBOUND OFF by CHAPMAN,MACKINZIE",2
--,,,,,"REBOUND DEF by BELVEAL,KAI",,,"REBOUND DEF by BELVEAL,KAI",2
00:03,"FOUL  by EIGHNER,DILLON",,,,,,,"FOUL  by EIGHNER,DILLON",2
00:03,"MISS JUMPER by CHAPMAN,MACKINZIE",,,,,,,"MISS JUMPER by CHAPMAN,MACKINZIE",2
