Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
14:23,,17 (+8),,9,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 17-9 (-8),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
14:03,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",19 (+10),,9,,CENTREM 19-9 (-10),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
13:47,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
13:47,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
13:47,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
13:47,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
13:47,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:47,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
13:47,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
13:47,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
13:47,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
13:26,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
13:09,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
13:00,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
13:00,"MISS FT by WHITESIDE,DONOVAN",,,,,,,"MISS FT by WHITESIDE,DONOVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:00,"GOOD FT by WHITESIDE,DONOVAN",20 (+11),,9,,CENTREM 20-9 (-11),,"GOOD FT by WHITESIDE,DONOVAN",1
13:00,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
13:00,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
13:00,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
13:00,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
12:47,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
12:35,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
12:33,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
12:30,"GOOD 3PTR by KARSNER,JOSH",23 (+14),,9,,CENTREM 23-9 (-14),,"GOOD 3PTR by KARSNER,JOSH",1
12:30,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
12:30,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:30,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
12:28,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:55,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:48,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
11:48,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
11:48,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
11:48,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
11:48,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
11:48,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
11:48,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
11:32,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:31,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
11:20,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by HERTZEL,HOLDEN",,,,,,,"REBOUND OFF by HERTZEL,HOLDEN",1
11:16,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",25 (+16),,9,,CENTREM 25-9 (-16),,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",1
11:05,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",1
10:47,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
10:31,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
10:31,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
10:31,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
10:31,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",1
10:31,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
10:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:28,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
10:28,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:28,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
10:28,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
10:28,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
10:28,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
10:28,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
10:11,"MISS LAYUP by WRIGHT,SPENCER",,,,,,,"MISS LAYUP by WRIGHT,SPENCER",1
--,"REBOUND OFF by LOPEZ,COLLIN",,,,,,,"REBOUND OFF by LOPEZ,COLLIN",1
09:36,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
09:36,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
09:24,,25 (+14),,11,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 25-11 (-14),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by HOECK,RYAN VAN",,,"ASSIST  by HOECK,RYAN VAN",1
08:57,"GOOD 3PTR by LOPEZ,COLLIN",28 (+17),,11,,CENTREM 28-11 (-17),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
08:38,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:24,"GOOD 3PTR by SCINTA,BLAKE",31 (+20),,11,,CENTREM 31-11 (-20),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",1
08:05,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
07:54,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
07:41,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
07:40,"STEAL  by WESLEY,TYLER",,,,,,,"STEAL  by WESLEY,TYLER",1
07:13,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
06:55,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:41,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
06:40,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
06:38,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",1
06:38,,31 (+19),,12,"GOOD FT by GALOW,ANDREW",RCMBB13 31-12 (-19),,"GOOD FT by GALOW,ANDREW",1
06:38,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
06:38,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
06:38,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
06:38,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
06:38,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
06:38,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
06:38,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
06:38,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
06:38,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
06:38,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
06:38,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
06:16,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
06:16,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
06:09,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
05:55,,31 (+17),,14,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 31-14 (-17),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
05:40,"GOOD 3PTR by KARSNER,JOSH",34 (+20),,14,,CENTREM 34-14 (-20),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
05:24,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
05:24,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
05:10,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",1
04:41,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
04:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:31,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
04:31,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
04:28,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
04:28,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
04:27,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by HERTZEL,HOLDEN",,,,,,,"REBOUND DEF by HERTZEL,HOLDEN",1
04:01,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
04:00,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
03:56,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
03:55,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
03:53,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
03:40,"GOOD 3PTR by KARSNER,JOSH",37 (+23),,14,,CENTREM 37-14 (-23),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
03:22,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
03:22,"BLOCK  by HERTZEL,HOLDEN",,,,,,,"BLOCK  by HERTZEL,HOLDEN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
03:16,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
03:16,"GOOD FT by KARSNER,JOSH",38 (+24),,14,,CENTREM 38-14 (-24),,"GOOD FT by KARSNER,JOSH",1
03:16,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
03:16,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
03:14,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:14,"GOOD FT by KARSNER,JOSH",39 (+25),,14,,CENTREM 39-14 (-25),,"GOOD FT by KARSNER,JOSH",1
03:14,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
03:14,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",1
02:59,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
02:49,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
02:33,"MISS LAYUP by TAYLOR,CHRIS",,,,,,,"MISS LAYUP by TAYLOR,CHRIS",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
02:29,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
02:28,,,,,"STEAL  by MCGRAIL,PATRICK",,,"STEAL  by MCGRAIL,PATRICK",1
02:04,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
02:04,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
01:56,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
01:56,,,,,"BLOCK  by HARTWELL,THEO",,,"BLOCK  by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
01:42,,39 (+23),,16,"GOOD LAYUP by MILLER,DREW(in the paint)",RCMBB13 39-16 (-23),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
01:42,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
01:42,,39 (+22),,17,"GOOD FT by MILLER,DREW",RCMBB13 39-17 (-22),,"GOOD FT by MILLER,DREW",1
01:42,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
01:42,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
01:42,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
01:42,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
01:42,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
01:42,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
01:28,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
01:08,,39 (+19),,20,"GOOD 3PTR by GALOW,ANDREW",RCMBB13 39-20 (-19),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
00:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:57,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
00:57,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
00:35,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
00:03,,39 (+16),,23,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 39-23 (-16),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
20:00,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
20:00,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
20:00,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
20:00,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
20:00,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
20:00,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
20:00,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
20:00,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
19:44,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
19:44,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
19:30,,39 (+14),,25,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 39-25 (-14),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
19:17,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",2
19:17,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
19:16,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
19:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
19:03,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
19:03,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
18:54,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:40,"GOOD JUMPER by TAYLOR,CHRIS",41 (+16),,25,,CENTREM 41-25 (-16),,"GOOD JUMPER by TAYLOR,CHRIS",2
18:29,,41 (+13),,28,"GOOD 3PTR by MILLER,DREW",RCMBB13 41-28 (-13),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
18:06,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
18:00,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
17:59,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
17:57,,41 (+11),,30,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RCMBB13 41-30 (-11),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
17:36,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
