Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,WCMBB,Game Score,Team Indicator,Play,Period
13:38,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
13:38,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
13:32,"GOOD JUMPER by GALLAGHER,MICHAEL",13 (+1),,12,,RCMBB13 13-12 (+1),,"GOOD JUMPER by GALLAGHER,MICHAEL",1
13:17,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",1
13:17,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
13:17,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
13:17,,,,,"SUB IN by LEE,VERDIS",,,"SUB IN by LEE,VERDIS",1
13:17,,,,,"SUB OUT by JAMES,JOE",,,"SUB OUT by JAMES,JOE",1
13:08,,13,,14 (+1),"GOOD JUMPER by JONES,JORDAN",WCMBB 13-14 (-1),,"GOOD JUMPER by JONES,JORDAN",1
--,,,,,"ASSIST  by BURROUGHS,ROBBIE",,,"ASSIST  by BURROUGHS,ROBBIE",1
12:34,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
12:34,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
12:34,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
12:34,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
12:24,,,,,"TURNOVER  by PROPHET,JOE",,,"TURNOVER  by PROPHET,JOE",1
12:03,,,,,"FOUL  by JONES,JORDAN",,,"FOUL  by JONES,JORDAN",1
12:03,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
12:03,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
11:26,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
11:26,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
11:26,,,,,"SUB IN by ALLEN,TAYLOR",,,"SUB IN by ALLEN,TAYLOR",1
11:26,,,,,"SUB IN by TOLSON,SKYLAR",,,"SUB IN by TOLSON,SKYLAR",1
11:26,,,,,"SUB OUT by JONES,JORDAN",,,"SUB OUT by JONES,JORDAN",1
11:26,,,,,"SUB OUT by VALANDRA,MOOKIE",,,"SUB OUT by VALANDRA,MOOKIE",1
11:25,"GOOD 3PTR by DUNAVANT,JOHN",16 (+2),,14,,RCMBB13 16-14 (+2),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
11:15,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
11:15,,16 (+1),,15,"GOOD FT by BURROUGHS,ROBBIE",WCMBB 16-15 (+1),,"GOOD FT by BURROUGHS,ROBBIE",1
11:15,,,,,"MISS FT by BURROUGHS,ROBBIE",,,"MISS FT by BURROUGHS,ROBBIE",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
11:07,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
11:04,,16,,17 (+1),"GOOD JUMPER by BURROUGHS,ROBBIE",WCMBB 16-17 (-1),,"GOOD JUMPER by BURROUGHS,ROBBIE",1
--,,,,,"ASSIST  by TOLSON,SKYLAR",,,"ASSIST  by TOLSON,SKYLAR",1
10:46,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
10:45,,,,,"STEAL  by BURROUGHS,ROBBIE",,,"STEAL  by BURROUGHS,ROBBIE",1
10:42,,16,,19 (+3),"GOOD JUMPER by LEE,VERDIS",WCMBB 16-19 (-3),,"GOOD JUMPER by LEE,VERDIS",1
--,,,,,"ASSIST  by BURROUGHS,ROBBIE",,,"ASSIST  by BURROUGHS,ROBBIE",1
10:39,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:39,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
10:39,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
10:39,,,,,"SUB IN by JAMES,JOE",,,"SUB IN by JAMES,JOE",1
10:39,,,,,"SUB OUT by BURROUGHS,ROBBIE",,,"SUB OUT by BURROUGHS,ROBBIE",1
10:20,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
10:19,,,,,"STEAL  by LEE,VERDIS",,,"STEAL  by LEE,VERDIS",1
10:18,,16,,21 (+5),"GOOD JUMPER by LEE,VERDIS",WCMBB 16-21 (-5),,"GOOD JUMPER by LEE,VERDIS",1
10:01,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by JAMES,JOE",,,"REBOUND DEF by JAMES,JOE",1
09:53,,,,,"FOUL  by PROPHET,JOE",,,"FOUL  by PROPHET,JOE",1
09:53,,,,,"TURNOVER  by PROPHET,JOE",,,"TURNOVER  by PROPHET,JOE",1
09:53,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
09:53,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
09:53,,,,,"SUB IN by VALANDRA,MOOKIE",,,"SUB IN by VALANDRA,MOOKIE",1
09:53,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",1
09:32,"GOOD JUMPER by SLEDGE,TATE",18,,21 (+3),,RCMBB13 18-21 (-3),,"GOOD JUMPER by SLEDGE,TATE",1
--,"ASSIST  by DUNAVANT,JOHN",,,,,,,"ASSIST  by DUNAVANT,JOHN",1
09:32,,,,,"FOUL  by VALANDRA,MOOKIE",,,"FOUL  by VALANDRA,MOOKIE",1
09:32,"MISS FT by SLEDGE,TATE",,,,,,,"MISS FT by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by VALANDRA,MOOKIE",,,"REBOUND DEF by VALANDRA,MOOKIE",1
09:07,,,,,"MISS JUMPER by VALANDRA,MOOKIE",,,"MISS JUMPER by VALANDRA,MOOKIE",1
--,,,,,"REBOUND OFF by ALLEN,TAYLOR",,,"REBOUND OFF by ALLEN,TAYLOR",1
09:03,,18,,23 (+5),"GOOD JUMPER by ALLEN,TAYLOR",WCMBB 18-23 (-5),,"GOOD JUMPER by ALLEN,TAYLOR",1
09:03,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",1
09:03,,,,,"MISS FT by ALLEN,TAYLOR",,,"MISS FT by ALLEN,TAYLOR",1
--,,,,,"REBOUND OFF by JAMES,JOE",,,"REBOUND OFF by JAMES,JOE",1
09:03,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
09:03,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
08:58,,,,,"TURNOVER  by JAMES,JOE",,,"TURNOVER  by JAMES,JOE",1
08:34,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by ALLEN,TAYLOR",,,"REBOUND DEF by ALLEN,TAYLOR",1
08:24,,,,,"TURNOVER  by JAMES,JOE",,,"TURNOVER  by JAMES,JOE",1
08:23,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
08:20,"GOOD JUMPER by GALOW,ANDREW",20,,23 (+3),,RCMBB13 20-23 (-3),,"GOOD JUMPER by GALOW,ANDREW",1
07:50,,,,,"MISS 3PTR by JAMES,JOE",,,"MISS 3PTR by JAMES,JOE",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
07:38,"GOOD JUMPER by HARTWELL,THEO",22,,23 (+1),,RCMBB13 22-23 (-1),,"GOOD JUMPER by HARTWELL,THEO",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
07:06,,,,,"TURNOVER  by LEE,VERDIS",,,"TURNOVER  by LEE,VERDIS",1
07:02,,,,,"FOUL  by ALLEN,TAYLOR",,,"FOUL  by ALLEN,TAYLOR",1
07:02,"GOOD FT by GALOW,ANDREW",23,,23,,RCMBB13 23-23 (0),,"GOOD FT by GALOW,ANDREW",1
07:02,"GOOD FT by GALOW,ANDREW",24 (+1),,23,,RCMBB13 24-23 (+1),,"GOOD FT by GALOW,ANDREW",1
07:02,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",1
07:02,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
07:02,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
07:02,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
07:02,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
07:02,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
07:02,,,,,"SUB IN by BURROUGHS,ROBBIE",,,"SUB IN by BURROUGHS,ROBBIE",1
07:02,,,,,"SUB IN by STOLTE,TODD",,,"SUB IN by STOLTE,TODD",1
07:02,,,,,"SUB IN by JONES,JORDAN",,,"SUB IN by JONES,JORDAN",1
07:02,,,,,"SUB OUT by VALANDRA,MOOKIE",,,"SUB OUT by VALANDRA,MOOKIE",1
07:02,,,,,"SUB OUT by ALLEN,TAYLOR",,,"SUB OUT by ALLEN,TAYLOR",1
07:02,,,,,"SUB OUT by TOLSON,SKYLAR",,,"SUB OUT by TOLSON,SKYLAR",1
06:48,,24,,25 (+1),"GOOD JUMPER by LEE,VERDIS",WCMBB 24-25 (-1),,"GOOD JUMPER by LEE,VERDIS",1
06:16,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by LEE,VERDIS",,,"REBOUND DEF by LEE,VERDIS",1
06:08,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",1
06:08,,,,,"MISS FT by LEE,VERDIS",,,"MISS FT by LEE,VERDIS",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
06:08,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
06:08,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
05:54,"TURNOVER  by MCGRAIL,PATRICK",,,,,,,"TURNOVER  by MCGRAIL,PATRICK",1
05:46,,24,,27 (+3),"GOOD JUMPER by LEE,VERDIS",WCMBB 24-27 (-3),,"GOOD JUMPER by LEE,VERDIS",1
--,,,,,"ASSIST  by JAMES,JOE",,,"ASSIST  by JAMES,JOE",1
05:32,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
05:31,,,,,"STEAL  by JONES,JORDAN",,,"STEAL  by JONES,JORDAN",1
05:30,,,,,"TURNOVER  by JONES,JORDAN",,,"TURNOVER  by JONES,JORDAN",1
05:28,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
05:09,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",1
05:06,,,,,"FOUL  by JAMES,JOE",,,"FOUL  by JAMES,JOE",1
05:06,"GOOD FT by HOECK,RYAN VAN",25,,27 (+2),,RCMBB13 25-27 (-2),,"GOOD FT by HOECK,RYAN VAN",1
05:06,"GOOD FT by HOECK,RYAN VAN",26,,27 (+1),,RCMBB13 26-27 (-1),,"GOOD FT by HOECK,RYAN VAN",1
05:06,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
05:06,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
05:06,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
05:06,,,,,"SUB IN by PROPHET,JOE",,,"SUB IN by PROPHET,JOE",1
05:06,,,,,"SUB OUT by JAMES,JOE",,,"SUB OUT by JAMES,JOE",1
05:06,,,,,"SUB OUT by LEE,VERDIS",,,"SUB OUT by LEE,VERDIS",1
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",1
04:24,"GOOD JUMPER by HARTWELL,THEO",28 (+1),,27,,RCMBB13 28-27 (+1),,"GOOD JUMPER by HARTWELL,THEO",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
04:12,,28,,29 (+1),"GOOD JUMPER by PROPHET,JOE",WCMBB 28-29 (-1),,"GOOD JUMPER by PROPHET,JOE",1
04:05,"GOOD JUMPER by HARTWELL,THEO",30 (+1),,29,,RCMBB13 30-29 (+1),,"GOOD JUMPER by HARTWELL,THEO",1
04:04,"GOOD 3PTR by MCGRAIL,PATRICK",33 (+4),,29,,RCMBB13 33-29 (+4),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
03:54,,33 (+1),,32,"GOOD 3PTR by BURROUGHS,ROBBIE",WCMBB 33-32 (+1),,"GOOD 3PTR by BURROUGHS,ROBBIE",1
03:38,,33,,35 (+2),"GOOD 3PTR by COOPER,BEN",WCMBB 33-35 (-2),,"GOOD 3PTR by COOPER,BEN",1
--,,,,,"ASSIST  by STOLTE,TODD",,,"ASSIST  by STOLTE,TODD",1
03:15,"GOOD JUMPER by HARTWELL,THEO",35,,35,,RCMBB13 35-35 (0),,"GOOD JUMPER by HARTWELL,THEO",1
02:59,,,,,"MISS 3PTR by BURROUGHS,ROBBIE",,,"MISS 3PTR by BURROUGHS,ROBBIE",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
02:43,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:39,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
02:36,,,,,"SUB IN by ZALIS,JAY",,,"SUB IN by ZALIS,JAY",1
02:36,,,,,"SUB OUT by PROPHET,JOE",,,"SUB OUT by PROPHET,JOE",1
02:30,"MISS JUMPER by SLEDGE,TATE",,,,,,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND DEF by LEE,VERDIS",,,"REBOUND DEF by LEE,VERDIS",1
02:21,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
02:21,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
02:21,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
02:19,,,,,"TURNOVER  by ALLEN,TAYLOR",,,"TURNOVER  by ALLEN,TAYLOR",1
02:08,"GOOD 3PTR by MCGRAIL,PATRICK",38 (+3),,35,,RCMBB13 38-35 (+3),,"GOOD 3PTR by MCGRAIL,PATRICK",1
--,"ASSIST  by HARTWELL,THEO",,,,,,,"ASSIST  by HARTWELL,THEO",1
00:51,,38,,38,"GOOD 3PTR by TOLSON,SKYLAR",WCMBB 38-38 (0),,"GOOD 3PTR by TOLSON,SKYLAR",1
00:40,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
00:39,,,,,"STEAL  by TOLSON,SKYLAR",,,"STEAL  by TOLSON,SKYLAR",1
00:17,,,,,"MISS 3PTR by LEE,VERDIS",,,"MISS 3PTR by LEE,VERDIS",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
00:06,"GOOD 3PTR by GALOW,ANDREW",41 (+3),,38,,RCMBB13 41-38 (+3),,"GOOD 3PTR by GALOW,ANDREW",1
19:50,,,,,"MISS JUMPER by JAMES,JOE",,,"MISS JUMPER by JAMES,JOE",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
19:25,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
19:14,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",2
18:45,,,,,"MISS 3PTR by PROPHET,JOE",,,"MISS 3PTR by PROPHET,JOE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:15,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by LEE,VERDIS",,,"REBOUND DEF by LEE,VERDIS",2
18:11,,,,,"TURNOVER  by LEE,VERDIS",,,"TURNOVER  by LEE,VERDIS",2
18:07,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by ALLEN,TAYLOR",,,"REBOUND DEF by ALLEN,TAYLOR",2
17:56,,,,,"MISS 3PTR by JAMES,JOE",,,"MISS 3PTR by JAMES,JOE",2
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",2
17:45,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
17:28,,41 (+1),,40,"GOOD JUMPER by ALLEN,TAYLOR",WCMBB 41-40 (+1),,"GOOD JUMPER by ALLEN,TAYLOR",2
--,,,,,"ASSIST  by TOLSON,SKYLAR",,,"ASSIST  by TOLSON,SKYLAR",2
17:01,"GOOD JUMPER by LIVSEY,GEOFF",43 (+3),,40,,RCMBB13 43-40 (+3),,"GOOD JUMPER by LIVSEY,GEOFF",2
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",2
16:47,,43 (+1),,42,"GOOD JUMPER by PROPHET,JOE",WCMBB 43-42 (+1),,"GOOD JUMPER by PROPHET,JOE",2
16:22,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by TOLSON,SKYLAR",,,"REBOUND DEF by TOLSON,SKYLAR",2
16:10,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
16:10,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
16:10,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
16:05,,,,,"MISS JUMPER by PROPHET,JOE",,,"MISS JUMPER by PROPHET,JOE",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
15:49,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
15:47,,,,,"SUB IN by STOLTE,TODD",,,"SUB IN by STOLTE,TODD",2
15:47,,,,,"SUB OUT by ALLEN,TAYLOR",,,"SUB OUT by ALLEN,TAYLOR",2
15:20,,43,,44 (+1),"GOOD JUMPER by TOLSON,SKYLAR",WCMBB 43-44 (-1),,"GOOD JUMPER by TOLSON,SKYLAR",2
15:03,,,,,"FOUL  by JAMES,JOE",,,"FOUL  by JAMES,JOE",2
15:03,"GOOD FT by DUNAVANT,JOHN",44,,44,,RCMBB13 44-44 (0),,"GOOD FT by DUNAVANT,JOHN",2
15:03,"GOOD FT by DUNAVANT,JOHN",45 (+1),,44,,RCMBB13 45-44 (+1),,"GOOD FT by DUNAVANT,JOHN",2
15:03,"GOOD FT by DUNAVANT,JOHN",46 (+2),,44,,RCMBB13 46-44 (+2),,"GOOD FT by DUNAVANT,JOHN",2
15:03,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
15:03,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",2
15:03,,,,,"SUB IN by JONES,JORDAN",,,"SUB IN by JONES,JORDAN",2
15:03,,,,,"SUB OUT by JAMES,JOE",,,"SUB OUT by JAMES,JOE",2
