Time Remaining,BCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
--,"ASSIST  by KING,JEREMY",,,,,,,"ASSIST  by KING,JEREMY",1
13:02,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by MCGRAIL,PATRICK",,,"REBOUND OFF by MCGRAIL,PATRICK",1
12:54,,9,,22 (+13),"GOOD FT by SLEDGE,TATE",RCMBB13 9-22 (+13),,"GOOD FT by SLEDGE,TATE",1
12:42,"FOUL  by HILL,BRANDON",,,,,,,"FOUL  by HILL,BRANDON",1
12:42,,9,,23 (+14),"GOOD FT by LIVSEY,GEOFF",RCMBB13 9-23 (+14),,"GOOD FT by LIVSEY,GEOFF",1
12:42,,9,,24 (+15),"GOOD FT by LIVSEY,GEOFF",RCMBB13 9-24 (+15),,"GOOD FT by LIVSEY,GEOFF",1
12:42,"SUB IN by KING,JEREMY",,,,,,,"SUB IN by KING,JEREMY",1
12:42,"SUB OUT by HILL,BRANDON",,,,,,,"SUB OUT by HILL,BRANDON",1
12:42,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
12:42,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
12:42,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
12:42,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
12:42,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:42,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
12:42,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
12:42,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
11:48,"SUB OUT by CHANDLER,MATT",,,,,,,"SUB OUT by CHANDLER,MATT",1
11:43,,,,,"MISS 3PTR by HARTWELL,THEO",,,"MISS 3PTR by HARTWELL,THEO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:16,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
11:16,"STEAL  by CROPPER,DIARRA",,,,,,,"STEAL  by CROPPER,DIARRA",1
11:16,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
11:16,"GOOD FT by CROPPER,DIARRA",10,,24 (+14),,BCMB 10-24 (+14),,"GOOD FT by CROPPER,DIARRA",1
11:16,"GOOD FT by CROPPER,DIARRA",11,,24 (+13),,BCMB 11-24 (+13),,"GOOD FT by CROPPER,DIARRA",1
11:16,"SUB IN by ADAMS,BRANDON",,,,,,,"SUB IN by ADAMS,BRANDON",1
11:16,"SUB IN by CHANDLER,MATT",,,,,,,"SUB IN by CHANDLER,MATT",1
11:16,"SUB IN by CROPPER,DIARRA",,,,,,,"SUB IN by CROPPER,DIARRA",1
11:16,"SUB OUT by GOWIN,JAMES",,,,,,,"SUB OUT by GOWIN,JAMES",1
11:16,"SUB OUT by LOWRY,JON",,,,,,,"SUB OUT by LOWRY,JON",1
10:50,"FOUL  by CROPPER,DIARRA",,,,,,,"FOUL  by CROPPER,DIARRA",1
10:30,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by KING,JEREMY",,,,,,,"REBOUND DEF by KING,JEREMY",1
10:20,"MISS JUMPER by ADAMS,BRANDON",,,,,,,"MISS JUMPER by ADAMS,BRANDON",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
10:11,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
10:10,"STEAL  by CROPPER,DIARRA",,,,,,,"STEAL  by CROPPER,DIARRA",1
10:09,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
10:09,"GOOD FT by CROPPER,DIARRA",12,,24 (+12),,BCMB 12-24 (+12),,"GOOD FT by CROPPER,DIARRA",1
10:09,"MISS FT by CROPPER,DIARRA",,,,,,,"MISS FT by CROPPER,DIARRA",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
09:47,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",1
--,"REBOUND DEF by KING,JEREMY",,,,,,,"REBOUND DEF by KING,JEREMY",1
09:31,"MISS 3PTR by CROPPER,DIARRA",,,,,,,"MISS 3PTR by CROPPER,DIARRA",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
09:10,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by KING,JEREMY",,,,,,,"REBOUND DEF by KING,JEREMY",1
08:49,"MISS 3PTR by KING,JEREMY",,,,,,,"MISS 3PTR by KING,JEREMY",1
--,"REBOUND OFF by ADAMS,BRANDON",,,,,,,"REBOUND OFF by ADAMS,BRANDON",1
08:46,"TURNOVER  by ADAMS,BRANDON",,,,,,,"TURNOVER  by ADAMS,BRANDON",1
08:45,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
08:20,,12,,26 (+14),"GOOD JUMPER by GALOW,ANDREW",RCMBB13 12-26 (+14),,"GOOD JUMPER by GALOW,ANDREW",1
08:01,"MISS 3PTR by CROPPER,DIARRA",,,,,,,"MISS 3PTR by CROPPER,DIARRA",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
07:45,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
07:44,"STEAL  by KING,JEREMY",,,,,,,"STEAL  by KING,JEREMY",1
07:29,"GOOD LAYUP by KING,JEREMY(in the paint)",14,,26 (+12),,BCMB 14-26 (+12),,"GOOD LAYUP by KING,JEREMY(in the paint)",1
07:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:26,"SUB IN by LOWRY,JON",,,,,,,"SUB IN by LOWRY,JON",1
07:26,"SUB IN by CAMPBELL,JAY",,,,,,,"SUB IN by CAMPBELL,JAY",1
07:26,"SUB OUT by CROPPER,DIARRA",,,,,,,"SUB OUT by CROPPER,DIARRA",1
07:26,"SUB OUT by GOWIN,COLIN",,,,,,,"SUB OUT by GOWIN,COLIN",1
07:26,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
07:26,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
07:26,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
07:26,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
