Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:13,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
15:13,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",2
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",2
14:58,,41 (+6),,35,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 41-35 (+6),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,,,,,"ASSIST  by TAULTON,JORDAN",,,"ASSIST  by TAULTON,JORDAN",2
14:24,"GOOD LAYUP by GALOW,ANDREW(in the paint)",43 (+8),,35,,RCMBB13 43-35 (+8),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
14:07,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
14:07,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
14:07,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
14:07,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
14:07,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
13:46,,43 (+5),,38,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 43-38 (+5),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"ASSIST  by TAULTON,JORDAN",,,"ASSIST  by TAULTON,JORDAN",2
13:20,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
13:10,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
12:50,,43 (+3),,40,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 43-40 (+3),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",2
12:18,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",2
12:18,"GOOD FT by DUNAVANT,JOHN",44 (+4),,40,,RCMBB13 44-40 (+4),,"GOOD FT by DUNAVANT,JOHN",2
12:18,"GOOD FT by DUNAVANT,JOHN",45 (+5),,40,,RCMBB13 45-40 (+5),,"GOOD FT by DUNAVANT,JOHN",2
12:18,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
12:18,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",2
12:18,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",2
12:18,,,,,"SUB OUT by TAULTON,JORDAN",,,"SUB OUT by TAULTON,JORDAN",2
12:18,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
12:18,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",2
11:51,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",2
11:44,"MISS LAYUP by MCGRAIL,PATRICK",,,,,,,"MISS LAYUP by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
11:21,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
11:16,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
11:16,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:16,,45 (+4),,41,"GOOD FT by VANCE,LUKE",HC 45-41 (+4),,"GOOD FT by VANCE,LUKE",2
11:16,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
11:16,"SUB IN by CHIEN,KEVIN",,,,,,,"SUB IN by CHIEN,KEVIN",2
11:16,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
11:16,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
11:16,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",2
11:16,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
10:49,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
10:33,,45 (+2),,43,"GOOD JUMPER by SHERIDAN,DAYTON(in the paint)",HC 45-43 (+2),,"GOOD JUMPER by SHERIDAN,DAYTON(in the paint)",2
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",2
10:15,,,,,"SUB IN by ROLAND,WILL",,,"SUB IN by ROLAND,WILL",2
10:15,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
10:01,"MISS 3PTR by CHIEN,KEVIN",,,,,,,"MISS 3PTR by CHIEN,KEVIN",2
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",2
09:56,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
09:56,,,,,"BLOCK  by SHERIDAN,DAYTON",,,"BLOCK  by SHERIDAN,DAYTON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:55,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",2
09:55,"SUB OUT by CHIEN,KEVIN",,,,,,,"SUB OUT by CHIEN,KEVIN",2
09:37,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",2
09:28,,,,,"MISS 3PTR by ROLAND,WILL",,,"MISS 3PTR by ROLAND,WILL",2
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",2
09:02,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
08:31,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
08:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:19,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
08:19,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",2
08:19,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
08:19,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",2
08:19,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",2
08:19,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",2
08:19,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
08:19,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
08:19,,,,,"SUB OUT by ROLAND,WILL",,,"SUB OUT by ROLAND,WILL",2
08:19,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",2
08:00,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
07:58,,,,,"STEAL  by RILEY,JAREN",,,"STEAL  by RILEY,JAREN",2
07:45,,,,,"TURNOVER  by MCCUBBIN,NATHAN",,,"TURNOVER  by MCCUBBIN,NATHAN",2
07:30,"GOOD LAYUP by GALOW,ANDREW(in the paint)",47 (+4),,43,,RCMBB13 47-43 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
06:59,,47 (+2),,45,"GOOD LAYUP by PRIMM,COLTON(in the paint)",HC 47-45 (+2),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,,,,,"ASSIST  by MCCUBBIN,NATHAN",,,"ASSIST  by MCCUBBIN,NATHAN",2
06:39,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
06:29,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
06:28,"GOOD LAYUP by GALOW,ANDREW(in the paint)",49 (+4),,45,,RCMBB13 49-45 (+4),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",2
06:12,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
06:12,,,,,"SUB OUT by MCCUBBIN,NATHAN",,,"SUB OUT by MCCUBBIN,NATHAN",2
06:04,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
06:01,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",2
05:58,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
05:58,,49 (+3),,46,"GOOD FT by PRIMM,COLTON",HC 49-46 (+3),,"GOOD FT by PRIMM,COLTON",2
05:58,,49 (+2),,47,"GOOD FT by PRIMM,COLTON",HC 49-47 (+2),,"GOOD FT by PRIMM,COLTON",2
05:58,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",2
05:58,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",2
05:50,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
05:50,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
05:38,"GOOD 3PTR by GALOW,ANDREW",52 (+5),,47,,RCMBB13 52-47 (+5),,"GOOD 3PTR by GALOW,ANDREW",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
05:08,,52 (+2),,50,"GOOD 3PTR by TAULTON,JORDAN",HC 52-50 (+2),,"GOOD 3PTR by TAULTON,JORDAN",2
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",2
04:41,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
04:40,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",2
04:25,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",2
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",2
04:20,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",2
04:20,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
04:20,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
04:20,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
04:20,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
04:08,"GOOD JUMPER by GALOW,ANDREW",54 (+4),,50,,RCMBB13 54-50 (+4),,"GOOD JUMPER by GALOW,ANDREW",2
03:46,,,,,"TURNOVER  by TAULTON,JORDAN",,,"TURNOVER  by TAULTON,JORDAN",2
03:46,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",2
03:34,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",2
03:34,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:32,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",2
03:32,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
03:30,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",2
03:29,,,,,"STEAL  by PRIMM,COLTON",,,"STEAL  by PRIMM,COLTON",2
03:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:54,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
02:25,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by TAULTON,JORDAN",,,"REBOUND DEF by TAULTON,JORDAN",2
01:57,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
01:57,,54 (+3),,51,"GOOD FT by VANCE,LUKE",HC 54-51 (+3),,"GOOD FT by VANCE,LUKE",2
01:57,,54 (+2),,52,"GOOD FT by VANCE,LUKE",HC 54-52 (+2),,"GOOD FT by VANCE,LUKE",2
01:42,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",2
01:38,"GOOD LAYUP by HARTWELL,THEO(in the paint)",56 (+4),,52,,RCMBB13 56-52 (+4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
01:02,,56 (+2),,54,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",HC 56-54 (+2),,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",2
01:00,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",2
01:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:00,,56 (+1),,55,"GOOD FT by NIKOLOVSKI,DREW",HC 56-55 (+1),,"GOOD FT by NIKOLOVSKI,DREW",2
01:00,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
01:00,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
00:47,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",2
00:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:25,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
00:25,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
00:14,,,,,"FOUL  by TAULTON,JORDAN",,,"FOUL  by TAULTON,JORDAN",2
00:14,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:14,"GOOD FT by GALOW,ANDREW",57 (+2),,55,,RCMBB13 57-55 (+2),,"GOOD FT by GALOW,ANDREW",2
00:14,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
00:14,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
00:02,,,,,"MISS JUMPER by RILEY,JAREN",,,"MISS JUMPER by RILEY,JAREN",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
