Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by MICHAEL,ALEN",,,,,,,"REBOUND DEF by MICHAEL,ALEN",2
17:55,"TURNOVER  by MICHAEL,ALVIN",,,,,,,"TURNOVER  by MICHAEL,ALVIN",2
17:43,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
17:40,,31,,35 (+4),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 31-35 (+4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
17:27,"MISS LAYUP by MICHAEL,ALEN",,,,,,,"MISS LAYUP by MICHAEL,ALEN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
17:21,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",2
17:17,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",2
17:17,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",2
17:17,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",2
17:17,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
17:17,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
16:54,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:33,,31,,37 (+6),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 31-37 (+6),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
16:07,"TURNOVER  by ANWARY,AARON",,,,,,,"TURNOVER  by ANWARY,AARON",2
16:05,,,,,"STEAL  by DUNAVANT,JOHN",,,"STEAL  by DUNAVANT,JOHN",2
15:53,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
15:36,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",2
--,"REBOUND DEF by ANWARY,AARON",,,,,,,"REBOUND DEF by ANWARY,AARON",2
15:14,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
15:14,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",2
15:14,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",2
15:14,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
15:14,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
15:05,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",33,,37 (+4),,AC-M 33-37 (+4),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",2
--,"ASSIST  by PHILLIPS,WALTER",,,,,,,"ASSIST  by PHILLIPS,WALTER",2
14:44,,33,,39 (+6),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 33-39 (+6),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
14:31,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",2
14:30,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
14:23,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
14:23,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
14:23,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
14:11,"TURNOVER  by PHILLIPS,WALTER",,,,,,,"TURNOVER  by PHILLIPS,WALTER",2
14:10,,,,,"STEAL  by SLEDGE,TATE",,,"STEAL  by SLEDGE,TATE",2
13:56,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",2
13:39,,33,,42 (+9),"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 33-42 (+9),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
13:32,"TURNOVER  by PHILLIPS,WALTER",,,,,,,"TURNOVER  by PHILLIPS,WALTER",2
13:32,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
13:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:14,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
13:13,"STEAL  by PHILLIPS,WALTER",,,,,,,"STEAL  by PHILLIPS,WALTER",2
13:11,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
12:48,,33,,44 (+11),"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 33-44 (+11),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",2
12:21,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",35,,44 (+9),,AC-M 35-44 (+9),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",2
12:10,"FOUL  by ANWARY,AARON",,,,,,,"FOUL  by ANWARY,AARON",2
12:10,"SUB IN by KING,JIMMY",,,,,,,"SUB IN by KING,JIMMY",2
12:10,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",2
11:53,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:51,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
11:51,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:35,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",37,,44 (+7),,AC-M 37-44 (+7),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",2
11:09,,37,,47 (+10),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 37-47 (+10),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
11:03,"TURNOVER  by KING,JIMMY",,,,,,,"TURNOVER  by KING,JIMMY",2
11:03,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
10:35,,37,,50 (+13),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 37-50 (+13),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
10:28,"MISS LAYUP by THOMPSON,ANTOINE",,,,,,,"MISS LAYUP by THOMPSON,ANTOINE",2
10:28,,,,,"BLOCK  by HARTWELL,THEO",,,"BLOCK  by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
10:21,,37,,52 (+15),"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",RCMBB13 37-52 (+15),,"GOOD LAYUP by HARTWELL,THEO(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
10:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:18,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",2
10:18,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",2
10:18,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
10:18,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
09:51,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
09:51,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",2
09:51,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",2
09:46,"MISS LAYUP by HANCOCK,JORDAN",,,,,,,"MISS LAYUP by HANCOCK,JORDAN",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
09:36,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
09:36,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
09:36,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
09:36,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
09:10,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
09:01,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
09:01,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
08:45,"TURNOVER  by PHILLIPS,WALTER",,,,,,,"TURNOVER  by PHILLIPS,WALTER",2
08:45,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",2
08:45,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",2
08:45,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
08:33,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",2
08:13,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by GRAHAM,KEVIN",,,,,,,"REBOUND DEF by GRAHAM,KEVIN",2
08:05,"TURNOVER  by GRAHAM,KEVIN",,,,,,,"TURNOVER  by GRAHAM,KEVIN",2
08:02,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",2
08:00,,37,,54 (+17),"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",RCMBB13 37-54 (+17),,"GOOD LAYUP by LIVSEY,GEOFF(fastbreak)(in the paint)",2
08:00,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",2
08:00,,37,,55 (+18),"GOOD FT by LIVSEY,GEOFF",RCMBB13 37-55 (+18),,"GOOD FT by LIVSEY,GEOFF",2
08:00,"SUB IN by HAMPDEN-SMITH,HARRY",,,,,,,"SUB IN by HAMPDEN-SMITH,HARRY",2
08:00,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
07:50,"MISS JUMPER by KING,JIMMY",,,,,,,"MISS JUMPER by KING,JIMMY",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
07:33,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
07:30,"STEAL  by MICHAEL,ALEN",,,,,,,"STEAL  by MICHAEL,ALEN",2
07:11,"MISS LAYUP by ANWARY,AARON",,,,,,,"MISS LAYUP by ANWARY,AARON",2
07:11,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
07:00,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
07:00,"BLOCK  by MICHAEL,ALEN",,,,,,,"BLOCK  by MICHAEL,ALEN",2
--,"REBOUND DEF by GRAHAM,KEVIN",,,,,,,"REBOUND DEF by GRAHAM,KEVIN",2
06:54,"MISS LAYUP by KING,JIMMY",,,,,,,"MISS LAYUP by KING,JIMMY",2
06:54,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
06:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:50,"SUB IN by BRYANT,ANDRE",,,,,,,"SUB IN by BRYANT,ANDRE",2
06:50,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",2
06:50,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",2
06:50,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",2
06:50,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
06:50,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
06:50,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
06:50,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
06:50,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
06:50,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
06:20,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by BRYANT,ANDRE",,,,,,,"REBOUND DEF by BRYANT,ANDRE",2
05:46,"MISS 3PTR by KING,JIMMY",,,,,,,"MISS 3PTR by KING,JIMMY",2
--,"REBOUND OFF by MICHAEL,ALVIN",,,,,,,"REBOUND OFF by MICHAEL,ALVIN",2
05:34,"MISS JUMPER by MICHAEL,ALVIN",,,,,,,"MISS JUMPER by MICHAEL,ALVIN",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
05:09,"FOUL  by MICHAEL,ALVIN",,,,,,,"FOUL  by MICHAEL,ALVIN",2
05:09,,37,,56 (+19),"GOOD FT by MILLER,DREW",RCMBB13 37-56 (+19),,"GOOD FT by MILLER,DREW",2
05:09,,37,,57 (+20),"GOOD FT by MILLER,DREW",RCMBB13 37-57 (+20),,"GOOD FT by MILLER,DREW",2
05:09,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
04:44,"GOOD JUMPER by GRAHAM,KEVIN",39,,57 (+18),,AC-M 39-57 (+18),,"GOOD JUMPER by GRAHAM,KEVIN",2
04:12,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",2
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",2
04:11,"FOUL  by HAMPDEN-SMITH,HARRY",,,,,,,"FOUL  by HAMPDEN-SMITH,HARRY",2
04:11,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,"REBOUND DEF by MICHAEL,ALVIN",,,,,,,"REBOUND DEF by MICHAEL,ALVIN",2
04:02,"MISS 3PTR by GRAHAM,KEVIN",,,,,,,"MISS 3PTR by GRAHAM,KEVIN",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
03:51,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
03:51,"STEAL  by BRYANT,ANDRE",,,,,,,"STEAL  by BRYANT,ANDRE",2
03:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:24,"MISS 3PTR by KING,JIMMY",,,,,,,"MISS 3PTR by KING,JIMMY",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
03:12,"FOUL  by HAMPDEN-SMITH,HARRY",,,,,,,"FOUL  by HAMPDEN-SMITH,HARRY",2
03:12,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:12,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,"REBOUND DEF by MICHAEL,ALVIN",,,,,,,"REBOUND DEF by MICHAEL,ALVIN",2
03:12,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
03:12,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
02:42,"MISS JUMPER by MICHAEL,ALVIN",,,,,,,"MISS JUMPER by MICHAEL,ALVIN",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
02:23,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
02:23,"STEAL  by KING,JIMMY",,,,,,,"STEAL  by KING,JIMMY",2
02:16,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
02:16,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
02:16,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
02:16,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
02:16,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
02:10,"MISS 3PTR by GRAHAM,KEVIN",,,,,,,"MISS 3PTR by GRAHAM,KEVIN",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
01:45,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",2
01:44,"STEAL  by GRAHAM,KEVIN",,,,,,,"STEAL  by GRAHAM,KEVIN",2
01:42,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",2
01:42,"GOOD FT by GRAHAM,KEVIN",40,,57 (+17),,AC-M 40-57 (+17),,"GOOD FT by GRAHAM,KEVIN",2
01:42,"GOOD FT by GRAHAM,KEVIN",41,,57 (+16),,AC-M 41-57 (+16),,"GOOD FT by GRAHAM,KEVIN",2
01:42,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
01:42,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
01:13,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",2
01:09,,41,,59 (+18),"GOOD TIPIN by HOECK,RYAN VAN(in the paint)",RCMBB13 41-59 (+18),,"GOOD TIPIN by HOECK,RYAN VAN(in the paint)",2
00:53,"MISS 3PTR by KING,JIMMY",,,,,,,"MISS 3PTR by KING,JIMMY",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
00:37,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
00:36,"STEAL  by GRAHAM,KEVIN",,,,,,,"STEAL  by GRAHAM,KEVIN",2
00:35,"GOOD LAYUP by GRAHAM,KEVIN(fastbreak)(in the paint)",43,,59 (+16),,AC-M 43-59 (+16),,"GOOD LAYUP by GRAHAM,KEVIN(fastbreak)(in the paint)",2
00:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:35,"SUB IN by HUSTON,JACOB",,,,,,,"SUB IN by HUSTON,JACOB",2
00:35,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",2
