Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
14:58,,4,,13 (+9),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 4-13 (+9),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",1
14:33,"GOOD JUMPER by PRIMM,COLTON",6,,13 (+7),,HC 6-13 (+7),,"GOOD JUMPER by PRIMM,COLTON",1
14:03,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:00,"SUB IN by SHERIDAN,DAYTON",,,,,,,"SUB IN by SHERIDAN,DAYTON",1
14:00,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",1
14:00,"SUB OUT by RILEY,JAREN",,,,,,,"SUB OUT by RILEY,JAREN",1
14:00,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
14:00,"SUB OUT by TAULTON,JORDAN",,,,,,,"SUB OUT by TAULTON,JORDAN",1
14:00,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
14:00,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:00,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
13:48,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by MCCUBBIN,NATHAN",,,,,,,"REBOUND DEF by MCCUBBIN,NATHAN",1
13:36,"TURNOVER  by TAULTON,JORDAN",,,,,,,"TURNOVER  by TAULTON,JORDAN",1
13:34,,,,,"STEAL  by HOECK,RYAN VAN",,,"STEAL  by HOECK,RYAN VAN",1
13:33,"SUB IN by MCCUBBIN,NATHAN",,,,,,,"SUB IN by MCCUBBIN,NATHAN",1
13:33,"SUB IN by TAULTON,JORDAN",,,,,,,"SUB IN by TAULTON,JORDAN",1
13:33,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",1
13:33,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
13:33,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",1
13:33,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
13:21,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",1
13:12,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
12:50,"TURNOVER  by SHERIDAN,DAYTON",,,,,,,"TURNOVER  by SHERIDAN,DAYTON",1
12:26,,,,,"MISS LAYUP by GALLAGHER,MICHAEL",,,"MISS LAYUP by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
12:17,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,"REBOUND DEF by MCCUBBIN,NATHAN",,,,,,,"REBOUND DEF by MCCUBBIN,NATHAN",1
12:02,"MISS JUMPER by SHERIDAN,DAYTON",,,,,,,"MISS JUMPER by SHERIDAN,DAYTON",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
11:43,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,"REBOUND DEF by RILEY,JAREN",,,,,,,"REBOUND DEF by RILEY,JAREN",1
11:34,"FOUL  by SHERIDAN,DAYTON",,,,,,,"FOUL  by SHERIDAN,DAYTON",1
11:34,"TURNOVER  by SHERIDAN,DAYTON",,,,,,,"TURNOVER  by SHERIDAN,DAYTON",1
11:34,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
11:34,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
11:34,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
11:34,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
11:34,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
11:34,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
11:34,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
11:34,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
11:34,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:34,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
11:25,,,,,"MISS JUMPER by CHIEN,KEVIN",,,"MISS JUMPER by CHIEN,KEVIN",1
11:25,"BLOCK  by SHERIDAN,DAYTON",,,,,,,"BLOCK  by SHERIDAN,DAYTON",1
--,,,,,"REBOUND OFF by DUNAVANT,JOHN",,,"REBOUND OFF by DUNAVANT,JOHN",1
11:15,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by SHERIDAN,DAYTON",,,,,,,"REBOUND DEF by SHERIDAN,DAYTON",1
10:58,"TURNOVER  by RILEY,JAREN",,,,,,,"TURNOVER  by RILEY,JAREN",1
10:56,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
10:46,,6,,15 (+9),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 6-15 (+9),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
10:46,"FOUL  by SHERIDAN,DAYTON",,,,,,,"FOUL  by SHERIDAN,DAYTON",1
10:46,,6,,16 (+10),"GOOD FT by SLEDGE,TATE",RCMBB13 6-16 (+10),,"GOOD FT by SLEDGE,TATE",1
10:46,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
10:46,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",1
10:46,"SUB OUT by SHERIDAN,DAYTON",,,,,,,"SUB OUT by SHERIDAN,DAYTON",1
10:46,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
10:28,"GOOD 3PTR by CONARD,ALEC",9,,16 (+7),,HC 9-16 (+7),,"GOOD 3PTR by CONARD,ALEC",1
--,"ASSIST  by MCCUBBIN,NATHAN",,,,,,,"ASSIST  by MCCUBBIN,NATHAN",1
10:10,,9,,18 (+9),"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 9-18 (+9),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
09:51,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",1
09:51,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
09:51,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",1
09:41,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
09:18,,9,,20 (+11),"GOOD JUMPER by SLEDGE,TATE",RCMBB13 9-20 (+11),,"GOOD JUMPER by SLEDGE,TATE",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
09:14,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
08:51,"TURNOVER  by RILEY,JAREN",,,,,,,"TURNOVER  by RILEY,JAREN",1
08:50,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
08:39,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",1
08:23,,9,,22 (+13),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 9-22 (+13),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
08:01,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",1
07:58,"MISS 3PTR by RILEY,JAREN",,,,,,,"MISS 3PTR by RILEY,JAREN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
07:48,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
07:46,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
07:32,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
07:22,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",1
07:22,"SUB IN by MCCUBBIN,NATHAN",,,,,,,"SUB IN by MCCUBBIN,NATHAN",1
07:22,"SUB OUT by TAULTON,JORDAN",,,,,,,"SUB OUT by TAULTON,JORDAN",1
07:22,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
07:22,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
07:22,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
07:22,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
07:15,,9,,24 (+15),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 9-24 (+15),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
06:59,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
06:59,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
06:59,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
06:39,"FOUL  by RILEY,JAREN",,,,,,,"FOUL  by RILEY,JAREN",1
06:39,,9,,25 (+16),"GOOD FT by LIVSEY,GEOFF",RCMBB13 9-25 (+16),,"GOOD FT by LIVSEY,GEOFF",1
06:39,,9,,26 (+17),"GOOD FT by LIVSEY,GEOFF",RCMBB13 9-26 (+17),,"GOOD FT by LIVSEY,GEOFF",1
06:08,"GOOD LAYUP by PRIMM,COLTON(in the paint)",11,,26 (+15),,HC 11-26 (+15),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
05:55,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",1
05:55,,11,,27 (+16),"GOOD FT by LIVSEY,GEOFF",RCMBB13 11-27 (+16),,"GOOD FT by LIVSEY,GEOFF",1
05:55,,11,,28 (+17),"GOOD FT by LIVSEY,GEOFF",RCMBB13 11-28 (+17),,"GOOD FT by LIVSEY,GEOFF",1
05:45,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
05:45,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
05:45,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
05:45,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
05:45,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
05:45,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
05:45,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
05:33,"GOOD JUMPER by RILEY,JAREN",13,,28 (+15),,HC 13-28 (+15),,"GOOD JUMPER by RILEY,JAREN",1
05:21,,13,,30 (+17),"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",RCMBB13 13-30 (+17),,"GOOD JUMPER by LIVSEY,GEOFF(in the paint)",1
05:05,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
04:59,"MISS LAYUP by RILEY,JAREN",,,,,,,"MISS LAYUP by RILEY,JAREN",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
04:49,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
04:49,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:33,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
04:19,"GOOD JUMPER by VANCE,LUKE",15,,30 (+15),,HC 15-30 (+15),,"GOOD JUMPER by VANCE,LUKE",1
03:57,"FOUL  by RILEY,JAREN",,,,,,,"FOUL  by RILEY,JAREN",1
03:57,,15,,31 (+16),"GOOD FT by GALOW,ANDREW",RCMBB13 15-31 (+16),,"GOOD FT by GALOW,ANDREW",1
03:57,,15,,32 (+17),"GOOD FT by GALOW,ANDREW",RCMBB13 15-32 (+17),,"GOOD FT by GALOW,ANDREW",1
03:57,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
03:57,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
03:42,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",1
03:40,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",17,,32 (+15),,HC 17-32 (+15),,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",1
03:20,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
03:20,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
03:08,"GOOD LAYUP by VANCE,LUKE(in the paint)",19,,32 (+13),,HC 19-32 (+13),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
03:08,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
03:08,"GOOD FT by VANCE,LUKE",20,,32 (+12),,HC 20-32 (+12),,"GOOD FT by VANCE,LUKE",1
03:08,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
03:08,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
03:08,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
03:08,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
03:08,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
03:08,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
02:55,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
02:55,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
02:55,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
02:55,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
02:36,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
02:23,,20,,34 (+14),"GOOD JUMPER by SLEDGE,TATE",RCMBB13 20-34 (+14),,"GOOD JUMPER by SLEDGE,TATE",1
02:09,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
02:09,"GOOD FT by NIKOLOVSKI,DREW",21,,34 (+13),,HC 21-34 (+13),,"GOOD FT by NIKOLOVSKI,DREW",1
02:09,"GOOD FT by NIKOLOVSKI,DREW",22,,34 (+12),,HC 22-34 (+12),,"GOOD FT by NIKOLOVSKI,DREW",1
01:56,,22,,36 (+14),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RCMBB13 22-36 (+14),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",1
01:21,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:09,,22,,38 (+16),"GOOD LAYUP by WAGNER,MATT(in the paint)",RCMBB13 22-38 (+16),,"GOOD LAYUP by WAGNER,MATT(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
00:45,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND OFF by RILEY,JAREN",,,,,,,"REBOUND OFF by RILEY,JAREN",1
00:23,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
00:08,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
00:02,,22,,40 (+18),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 22-40 (+18),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
19:37,,22,,42 (+20),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 22-42 (+20),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
19:04,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",2
--,"REBOUND OFF by PRIMM,COLTON",,,,,,,"REBOUND OFF by PRIMM,COLTON",2
18:57,"MISS LAYUP by PRIMM,COLTON",,,,,,,"MISS LAYUP by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
18:43,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
18:42,"STEAL  by VANCE,LUKE",,,,,,,"STEAL  by VANCE,LUKE",2
18:21,"MISS JUMPER by RILEY,JAREN",,,,,,,"MISS JUMPER by RILEY,JAREN",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
18:15,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
18:15,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
18:11,,22,,44 (+22),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 22-44 (+22),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
17:38,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
17:21,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
17:19,,22,,46 (+24),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 22-46 (+24),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
17:14,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
16:53,"GOOD 3PTR by MCCUBBIN,NATHAN",25,,46 (+21),,HC 25-46 (+21),,"GOOD 3PTR by MCCUBBIN,NATHAN",2
--,"ASSIST  by GRAM,ANDY",,,,,,,"ASSIST  by GRAM,ANDY",2
16:39,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
16:27,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
16:27,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",2
16:03,"SUB IN by SHERIDAN,DAYTON",,,,,,,"SUB IN by SHERIDAN,DAYTON",2
16:03,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",2
15:52,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
15:41,"GOOD JUMPER by GRAM,ANDY",27,,46 (+19),,HC 27-46 (+19),,"GOOD JUMPER by GRAM,ANDY",2
15:13,,27,,49 (+22),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 27-49 (+22),,"GOOD 3PTR by GALOW,ANDREW",2
14:59,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",2
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",2
14:54,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
14:40,"FOUL  by SHERIDAN,DAYTON",,,,,,,"FOUL  by SHERIDAN,DAYTON",2
14:40,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:40,,27,,50 (+23),"GOOD FT by LIVSEY,GEOFF",RCMBB13 27-50 (+23),,"GOOD FT by LIVSEY,GEOFF",2
