Time Remaining,RUSTMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
09:50,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:50,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
09:50,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
09:50,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
09:38,"FOUL  by SEALS,JORDAN",,,,,,,"FOUL  by SEALS,JORDAN",1
09:38,,23 (+9),,14,"GOOD FT by MCGRAIL,PATRICK",RCMBB13 23-14 (-9),,"GOOD FT by MCGRAIL,PATRICK",1
09:38,,23 (+8),,15,"GOOD FT by MCGRAIL,PATRICK",RCMBB13 23-15 (-8),,"GOOD FT by MCGRAIL,PATRICK",1
09:38,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:28,"GOOD JUMPER by GREDIC,KWAHMERE",25 (+10),,15,,RUSTMB 25-15 (-10),,"GOOD JUMPER by GREDIC,KWAHMERE",1
08:48,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:12,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:09,"SUB IN by VEASLEY,LARRY",,,,,,,"SUB IN by VEASLEY,LARRY",1
08:09,"SUB OUT by SCOTT,JEREMY",,,,,,,"SUB OUT by SCOTT,JEREMY",1
07:56,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
07:41,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
07:37,,25 (+8),,17,"GOOD JUMPER by LIVSEY,GEOFF",RCMBB13 25-17 (-8),,"GOOD JUMPER by LIVSEY,GEOFF",1
07:34,"FOUL  by VEASLEY,LARRY",,,,,,,"FOUL  by VEASLEY,LARRY",1
07:34,,25 (+7),,18,"GOOD FT by LIVSEY,GEOFF",RCMBB13 25-18 (-7),,"GOOD FT by LIVSEY,GEOFF",1
07:04,"MISS 3PTR by THOMPSON,SHUN",,,,,,,"MISS 3PTR by THOMPSON,SHUN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:02,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
07:02,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
07:02,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
06:26,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,"REBOUND OFF by SEALS,JORDAN",,,,,,,"REBOUND OFF by SEALS,JORDAN",1
06:08,"GOOD JUMPER by THOMPSON,SHUN",27 (+9),,18,,RUSTMB 27-18 (-9),,"GOOD JUMPER by THOMPSON,SHUN",1
05:49,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
05:47,"SUB IN by BARNS,KELSEY",,,,,,,"SUB IN by BARNS,KELSEY",1
05:47,"SUB OUT by THOMPSON,SHUN",,,,,,,"SUB OUT by THOMPSON,SHUN",1
05:19,"MISS JUMPER by SEALS,JORDAN",,,,,,,"MISS JUMPER by SEALS,JORDAN",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
05:12,,27 (+7),,20,"GOOD LAYUP by COLLINS,LUKE(in the paint)",RCMBB13 27-20 (-7),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
04:53,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,"REBOUND OFF by SEALS,JORDAN",,,,,,,"REBOUND OFF by SEALS,JORDAN",1
04:50,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
04:50,"MISS FT by SEALS,JORDAN",,,,,,,"MISS FT by SEALS,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:50,"MISS FT by SEALS,JORDAN",,,,,,,"MISS FT by SEALS,JORDAN",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
04:50,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:50,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:47,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
04:40,,27 (+5),,22,"GOOD TIPIN by LIVSEY,GEOFF(in the paint)",RCMBB13 27-22 (-5),,"GOOD TIPIN by LIVSEY,GEOFF(in the paint)",1
04:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:34,"SUB IN by LOVE,O'DARIUS",,,,,,,"SUB IN by LOVE,O'DARIUS",1
04:34,"SUB IN by MCCOLLUM,RICKEY",,,,,,,"SUB IN by MCCOLLUM,RICKEY",1
04:34,"SUB IN by BEASLEY,KARL",,,,,,,"SUB IN by BEASLEY,KARL",1
04:34,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",1
04:34,"SUB OUT by GREDIC,KWAHMERE",,,,,,,"SUB OUT by GREDIC,KWAHMERE",1
04:34,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
04:19,"GOOD JUMPER by MCCOLLUM,RICKEY",29 (+7),,22,,RUSTMB 29-22 (-7),,"GOOD JUMPER by MCCOLLUM,RICKEY",1
03:52,"FOUL  by MCCOLLUM,RICKEY",,,,,,,"FOUL  by MCCOLLUM,RICKEY",1
03:52,,29 (+6),,23,"GOOD FT by LIVSEY,GEOFF",RCMBB13 29-23 (-6),,"GOOD FT by LIVSEY,GEOFF",1
03:52,,29 (+5),,24,"GOOD FT by LIVSEY,GEOFF",RCMBB13 29-24 (-5),,"GOOD FT by LIVSEY,GEOFF",1
03:25,"GOOD JUMPER by LOVE,O'DARIUS",31 (+7),,24,,RUSTMB 31-24 (-7),,"GOOD JUMPER by LOVE,O'DARIUS",1
--,"ASSIST  by BEASLEY,KARL",,,,,,,"ASSIST  by BEASLEY,KARL",1
03:09,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",1
02:54,"MISS JUMPER by BARNS,KELSEY",,,,,,,"MISS JUMPER by BARNS,KELSEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:49,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
02:47,"STEAL  by BARNS,KELSEY",,,,,,,"STEAL  by BARNS,KELSEY",1
02:46,"GOOD DUNK by BARNS,KELSEY(in the paint)",33 (+9),,24,,RUSTMB 33-24 (-9),,"GOOD DUNK by BARNS,KELSEY(in the paint)",1
02:21,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by BARNS,KELSEY",,,,,,,"REBOUND DEF by BARNS,KELSEY",1
02:10,"GOOD JUMPER by VEASLEY,LARRY",35 (+11),,24,,RUSTMB 35-24 (-11),,"GOOD JUMPER by VEASLEY,LARRY",1
--,"ASSIST  by BEASLEY,KARL",,,,,,,"ASSIST  by BEASLEY,KARL",1
01:43,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by BEASLEY,KARL",,,,,,,"REBOUND DEF by BEASLEY,KARL",1
01:35,"GOOD JUMPER by VEASLEY,LARRY",37 (+13),,24,,RUSTMB 37-24 (-13),,"GOOD JUMPER by VEASLEY,LARRY",1
--,"ASSIST  by BEASLEY,KARL",,,,,,,"ASSIST  by BEASLEY,KARL",1
01:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:12,,37 (+10),,27,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 37-27 (-10),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
00:54,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
00:54,"MISS FT by VEASLEY,LARRY",,,,,,,"MISS FT by VEASLEY,LARRY",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
00:41,,37 (+8),,29,"GOOD JUMPER by LIVSEY,GEOFF",RCMBB13 37-29 (-8),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
00:12,"MISS JUMPER by MCCOLLUM,RICKEY",,,,,,,"MISS JUMPER by MCCOLLUM,RICKEY",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
00:08,"FOUL  by MCCOLLUM,RICKEY",,,,,,,"FOUL  by MCCOLLUM,RICKEY",1
00:08,,37 (+7),,30,"GOOD FT by GALOW,ANDREW",RCMBB13 37-30 (-7),,"GOOD FT by GALOW,ANDREW",1
00:08,,37 (+6),,31,"GOOD FT by GALOW,ANDREW",RCMBB13 37-31 (-6),,"GOOD FT by GALOW,ANDREW",1
00:08,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",1
00:08,"SUB IN by BURKS,TEVIN",,,,,,,"SUB IN by BURKS,TEVIN",1
00:08,"SUB OUT by MCCOLLUM,RICKEY",,,,,,,"SUB OUT by MCCOLLUM,RICKEY",1
00:08,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
00:08,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
00:08,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
00:08,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
00:08,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
00:03,"MISS JUMPER by LOVE,O'DARIUS",,,,,,,"MISS JUMPER by LOVE,O'DARIUS",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
19:48,,17 (+2),,15,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 17-15 (-2),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
19:33,"TURNOVER  by GAMBLE,CHRIS",,,,,,,"TURNOVER  by GAMBLE,CHRIS",2
19:32,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
19:21,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
19:04,"GOOD JUMPER by GREDIC,KWAHMERE",19 (+4),,15,,RUSTMB 19-15 (-4),,"GOOD JUMPER by GREDIC,KWAHMERE",2
18:47,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:40,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
18:34,"MISS 3PTR by MCCOLLUM,RICKEY",,,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
18:11,"FOUL  by GAMBLE,CHRIS",,,,,,,"FOUL  by GAMBLE,CHRIS",2
18:11,,19 (+3),,16,"GOOD FT by LIVSEY,GEOFF",RCMBB13 19-16 (-3),,"GOOD FT by LIVSEY,GEOFF",2
18:11,,19 (+2),,17,"GOOD FT by LIVSEY,GEOFF",RCMBB13 19-17 (-2),,"GOOD FT by LIVSEY,GEOFF",2
18:00,"MISS 3PTR by BARNS,KELSEY",,,,,,,"MISS 3PTR by BARNS,KELSEY",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
17:48,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
17:33,"GOOD 3PTR by BARNS,KELSEY",22 (+5),,17,,RUSTMB 22-17 (-5),,"GOOD 3PTR by BARNS,KELSEY",2
17:16,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by MCCOLLUM,RICKEY",,,,,,,"REBOUND DEF by MCCOLLUM,RICKEY",2
17:10,"TURNOVER  by MCCOLLUM,RICKEY",,,,,,,"TURNOVER  by MCCOLLUM,RICKEY",2
17:09,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by GREDIC,KWAHMERE",,,,,,,"REBOUND DEF by GREDIC,KWAHMERE",2
17:03,"GOOD LAYUP by MCCOLLUM,RICKEY(in the paint)",24 (+7),,17,,RUSTMB 24-17 (-7),,"GOOD LAYUP by MCCOLLUM,RICKEY(in the paint)",2
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",2
16:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:34,"FOUL  by BARNS,KELSEY",,,,,,,"FOUL  by BARNS,KELSEY",2
16:30,,24 (+5),,19,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB13 24-19 (-5),,"GOOD JUMPER by DUNAVANT,JOHN",2
15:59,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
15:48,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
15:48,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
