Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
08:32,"MISS 3PTR by BROWN,REGGIE",,,,,,,"MISS 3PTR by BROWN,REGGIE",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
07:54,"FOUL  by MOORE,JARVIS",,,,,,,"FOUL  by MOORE,JARVIS",1
07:54,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:54,,11,,26 (+15),"GOOD FT by GALOW,ANDREW",RCMBB13 11-26 (+15),,"GOOD FT by GALOW,ANDREW",1
07:54,"SUB IN by VIC MCLIN,JR",,,,,,,"SUB IN by VIC MCLIN,JR",1
07:54,"SUB IN by RAGLAND,TURMONTE",,,,,,,"SUB IN by RAGLAND,TURMONTE",1
07:54,"SUB IN by BLAKE,BRANDON",,,,,,,"SUB IN by BLAKE,BRANDON",1
07:54,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",1
07:54,"SUB OUT by MOORE,JARVIS",,,,,,,"SUB OUT by MOORE,JARVIS",1
07:54,"SUB OUT by SMITH,KENDRE'",,,,,,,"SUB OUT by SMITH,KENDRE'",1
07:54,"SUB OUT by BROWN,REGGIE",,,,,,,"SUB OUT by BROWN,REGGIE",1
07:54,"SUB OUT by COTTON,LAQUAVIUS",,,,,,,"SUB OUT by COTTON,LAQUAVIUS",1
07:54,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
07:54,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
07:54,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
07:54,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
07:39,"MISS LAYUP by SMITH,ADAM",,,,,,,"MISS LAYUP by SMITH,ADAM",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
07:39,"FOUL  by VIC MCLIN,JR",,,,,,,"FOUL  by VIC MCLIN,JR",1
07:39,"SUB IN by FORD,LAKIN",,,,,,,"SUB IN by FORD,LAKIN",1
07:39,"SUB OUT by VIC MCLIN,JR",,,,,,,"SUB OUT by VIC MCLIN,JR",1
07:16,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by RAGLAND,TURMONTE",,,,,,,"REBOUND DEF by RAGLAND,TURMONTE",1
06:51,"GOOD 3PTR by DUNCAN,DARYL",14,,26 (+12),,MC 14-26 (+12),,"GOOD 3PTR by DUNCAN,DARYL",1
--,"ASSIST  by RAGLAND,TURMONTE",,,,,,,"ASSIST  by RAGLAND,TURMONTE",1
06:23,,14,,29 (+15),"GOOD 3PTR by GALOW,ANDREW",RCMBB13 14-29 (+15),,"GOOD 3PTR by GALOW,ANDREW",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
06:05,"MISS JUMPER by DUNCAN,DARYL",,,,,,,"MISS JUMPER by DUNCAN,DARYL",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
05:49,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
05:47,"STEAL  by SMITH,ADAM",,,,,,,"STEAL  by SMITH,ADAM",1
05:27,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
05:27,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
05:26,"MISS JUMPER by RAGLAND,TURMONTE",,,,,,,"MISS JUMPER by RAGLAND,TURMONTE",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
05:23,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
05:23,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
05:17,"GOOD LAYUP by RAGLAND,TURMONTE(in the paint)",16,,29 (+13),,MC 16-29 (+13),,"GOOD LAYUP by RAGLAND,TURMONTE(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
05:17,"MISS FT by RAGLAND,TURMONTE",,,,,,,"MISS FT by RAGLAND,TURMONTE",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
05:07,,16,,32 (+16),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 16-32 (+16),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
04:55,"SUB IN by MOORE,JARVIS",,,,,,,"SUB IN by MOORE,JARVIS",1
04:55,"SUB OUT by DUNCAN,DARYL",,,,,,,"SUB OUT by DUNCAN,DARYL",1
04:55,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
04:55,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
04:38,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
04:38,"GOOD FT by RAGLAND,TURMONTE",17,,32 (+15),,MC 17-32 (+15),,"GOOD FT by RAGLAND,TURMONTE",1
04:38,"GOOD FT by RAGLAND,TURMONTE",18,,32 (+14),,MC 18-32 (+14),,"GOOD FT by RAGLAND,TURMONTE",1
04:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:22,,18,,34 (+16),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 18-34 (+16),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
04:07,"MISS JUMPER by BLAKE,BRANDON",,,,,,,"MISS JUMPER by BLAKE,BRANDON",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
04:04,"FOUL  by RAGLAND,TURMONTE",,,,,,,"FOUL  by RAGLAND,TURMONTE",1
03:34,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by FORD,LAKIN",,,,,,,"REBOUND DEF by FORD,LAKIN",1
03:18,"TURNOVER  by RAGLAND,TURMONTE",,,,,,,"TURNOVER  by RAGLAND,TURMONTE",1
03:17,,,,,"STEAL  by WAGNER,MATT",,,"STEAL  by WAGNER,MATT",1
02:53,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
02:47,,18,,36 (+18),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 18-36 (+18),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
02:41,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
02:41,"MISS FT by MOORE,JARVIS",,,,,,,"MISS FT by MOORE,JARVIS",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
02:41,"SUB IN by COTTON,LAQUAVIUS",,,,,,,"SUB IN by COTTON,LAQUAVIUS",1
02:41,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",1
02:41,"SUB OUT by RAGLAND,TURMONTE",,,,,,,"SUB OUT by RAGLAND,TURMONTE",1
02:41,"SUB OUT by BLAKE,BRANDON",,,,,,,"SUB OUT by BLAKE,BRANDON",1
02:41,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
02:41,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
02:41,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
02:41,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
02:28,,18,,38 (+20),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 18-38 (+20),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
02:23,"TURNOVER  by MOORE,JARVIS",,,,,,,"TURNOVER  by MOORE,JARVIS",1
02:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:23,,18,,40 (+22),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB13 18-40 (+22),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
02:23,"MISS JUMPER by COTTON,LAQUAVIUS",,,,,,,"MISS JUMPER by COTTON,LAQUAVIUS",1
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",1
02:23,"GOOD 3PTR by DUNCAN,DARYL",21,,40 (+19),,MC 21-40 (+19),,"GOOD 3PTR by DUNCAN,DARYL",1
--,"ASSIST  by VIC MCLIN,JR",,,,,,,"ASSIST  by VIC MCLIN,JR",1
02:23,,21,,43 (+22),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB13 21-43 (+22),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
02:23,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",1
02:23,"SUB IN by VIC MCLIN,JR",,,,,,,"SUB IN by VIC MCLIN,JR",1
02:23,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",1
02:23,"SUB OUT by FORD,LAKIN",,,,,,,"SUB OUT by FORD,LAKIN",1
02:23,"SUB OUT by COTTON,LAQUAVIUS",,,,,,,"SUB OUT by COTTON,LAQUAVIUS",1
02:23,"SUB OUT by MOORE,JARVIS",,,,,,,"SUB OUT by MOORE,JARVIS",1
02:23,"SUB OUT by SMITH,ADAM",,,,,,,"SUB OUT by SMITH,ADAM",1
02:23,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
02:23,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
01:13,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
01:13,"GOOD FT by SMITH,KENDRE'",22,,43 (+21),,MC 22-43 (+21),,"GOOD FT by SMITH,KENDRE'",1
01:13,"GOOD FT by SMITH,KENDRE'",23,,43 (+20),,MC 23-43 (+20),,"GOOD FT by SMITH,KENDRE'",1
01:13,"SUB IN by COTTON,LAQUAVIUS",,,,,,,"SUB IN by COTTON,LAQUAVIUS",1
01:13,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
01:13,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
00:57,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,"REBOUND DEF by COTTON,LAQUAVIUS",,,,,,,"REBOUND DEF by COTTON,LAQUAVIUS",1
00:42,"GOOD LAYUP by VIC MCLIN,JR(in the paint)",25,,43 (+18),,MC 25-43 (+18),,"GOOD LAYUP by VIC MCLIN,JR(in the paint)",1
--,"ASSIST  by COTTON,LAQUAVIUS",,,,,,,"ASSIST  by COTTON,LAQUAVIUS",1
00:07,,25,,45 (+20),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 25-45 (+20),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
20:00,"SUB IN by DUNCAN,DARYL",,,,,,,"SUB IN by DUNCAN,DARYL",2
20:00,"SUB IN by RAGLAND,TURMONTE",,,,,,,"SUB IN by RAGLAND,TURMONTE",2
20:00,"SUB IN by BLAKE,BRANDON",,,,,,,"SUB IN by BLAKE,BRANDON",2
20:00,"SUB IN by SMITH,ADAM",,,,,,,"SUB IN by SMITH,ADAM",2
20:00,"SUB IN by VIC MCLIN,JR",,,,,,,"SUB IN by VIC MCLIN,JR",2
20:00,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
20:00,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
20:00,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
20:00,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
20:00,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
19:36,"GOOD LAYUP by VIC MCLIN,JR(in the paint)",27,,45 (+18),,MC 27-45 (+18),,"GOOD LAYUP by VIC MCLIN,JR(in the paint)",2
--,"ASSIST  by RAGLAND,TURMONTE",,,,,,,"ASSIST  by RAGLAND,TURMONTE",2
19:14,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND DEF by SMITH,ADAM",,,,,,,"REBOUND DEF by SMITH,ADAM",2
