Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,GCMB,Game Score,Team Indicator,Play,Period
10:21,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
10:21,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
10:21,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
10:21,,,,,"SUB IN by SMITH,JORDAN",,,"SUB IN by SMITH,JORDAN",1
10:21,,,,,"SUB IN by MUMPHARD,ALEX",,,"SUB IN by MUMPHARD,ALEX",1
10:21,,,,,"SUB OUT by JONES,MARQUEL",,,"SUB OUT by JONES,MARQUEL",1
10:21,,,,,"SUB OUT by POTTS,AUSTIN",,,"SUB OUT by POTTS,AUSTIN",1
10:19,,18,,21 (+3),"GOOD JUMPER by SMITH,JORDAN",GCMB 18-21 (-3),,"GOOD JUMPER by SMITH,JORDAN",1
--,,,,,"ASSIST  by MUMPHARD,ALEX",,,"ASSIST  by MUMPHARD,ALEX",1
10:07,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by ROLLINS,TEVIN",,,"REBOUND DEF by ROLLINS,TEVIN",1
10:00,,,,,"TURNOVER  by METZLER,ANTHONY",,,"TURNOVER  by METZLER,ANTHONY",1
09:47,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by MUMPHARD,ALEX",,,"REBOUND DEF by MUMPHARD,ALEX",1
09:39,,,,,"MISS JUMPER by ROLLINS,TEVIN",,,"MISS JUMPER by ROLLINS,TEVIN",1
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",1
09:35,,,,,"FOUL  by ROLLINS,TEVIN",,,"FOUL  by ROLLINS,TEVIN",1
09:35,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
09:35,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",1
09:12,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:58,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by ROLLINS,TEVIN",,,"REBOUND DEF by ROLLINS,TEVIN",1
08:51,,,,,"MISS 3PTR by MUMPHARD,ALEX",,,"MISS 3PTR by MUMPHARD,ALEX",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
08:41,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
08:41,,,,,"STEAL  by ANDERSON,DANIEL",,,"STEAL  by ANDERSON,DANIEL",1
08:41,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",1
08:41,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",1
08:41,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
08:06,,,,,"FOUL  by METZLER,ANTHONY",,,"FOUL  by METZLER,ANTHONY",1
07:57,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
07:55,,,,,"STEAL  by SMITH,JORDAN",,,"STEAL  by SMITH,JORDAN",1
07:54,,18,,23 (+5),"GOOD JUMPER by ANDERSON,DANIEL",GCMB 18-23 (-5),,"GOOD JUMPER by ANDERSON,DANIEL",1
07:29,,,,,"FOUL  by ROLLINS,TEVIN",,,"FOUL  by ROLLINS,TEVIN",1
07:29,"GOOD FT by MILLER,DREW",19,,23 (+4),,RCMBB13 19-23 (-4),,"GOOD FT by MILLER,DREW",1
07:29,"GOOD FT by MILLER,DREW",20,,23 (+3),,RCMBB13 20-23 (-3),,"GOOD FT by MILLER,DREW",1
07:29,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
07:29,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
07:29,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
07:29,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
07:13,,,,,"MISS JUMPER by ANDERSON,DANIEL",,,"MISS JUMPER by ANDERSON,DANIEL",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
06:59,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by METZLER,ANTHONY",,,"REBOUND DEF by METZLER,ANTHONY",1
06:46,,20,,26 (+6),"GOOD 3PTR by ANDERSON,DANIEL",GCMB 20-26 (-6),,"GOOD 3PTR by ANDERSON,DANIEL",1
--,,,,,"ASSIST  by MUMPHARD,ALEX",,,"ASSIST  by MUMPHARD,ALEX",1
06:35,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
06:12,"MISS JUMPER by MCGRAIL,PATRICK",,,,,,,"MISS JUMPER by MCGRAIL,PATRICK",1
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",1
06:10,"GOOD JUMPER by MILLER,DREW",22,,26 (+4),,RCMBB13 22-26 (-4),,"GOOD JUMPER by MILLER,DREW",1
05:58,,22,,29 (+7),"GOOD 3PTR by ANDERSON,DANIEL",GCMB 22-29 (-7),,"GOOD 3PTR by ANDERSON,DANIEL",1
--,,,,,"ASSIST  by METZLER,ANTHONY",,,"ASSIST  by METZLER,ANTHONY",1
05:32,"GOOD JUMPER by HARTWELL,THEO",24,,29 (+5),,RCMBB13 24-29 (-5),,"GOOD JUMPER by HARTWELL,THEO",1
05:05,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
05:05,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
05:05,,,,,"SUB IN by JONES,MARQUEL",,,"SUB IN by JONES,MARQUEL",1
05:05,,,,,"SUB OUT by ROLLINS,TEVIN",,,"SUB OUT by ROLLINS,TEVIN",1
05:01,,,,,"TURNOVER  by SMITH,JORDAN",,,"TURNOVER  by SMITH,JORDAN",1
05:01,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
05:01,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",1
05:01,,,,,"SUB IN by MARTIN,KYLE",,,"SUB IN by MARTIN,KYLE",1
05:01,,,,,"SUB OUT by SMITH,JORDAN",,,"SUB OUT by SMITH,JORDAN",1
04:59,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by MARTIN,KYLE",,,"REBOUND DEF by MARTIN,KYLE",1
04:52,,,,,"MISS 3PTR by ANDERSON,DANIEL",,,"MISS 3PTR by ANDERSON,DANIEL",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
04:42,"MISS JUMPER by COLLINS,LUKE",,,,,,,"MISS JUMPER by COLLINS,LUKE",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
04:26,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by MARTIN,KYLE",,,"REBOUND DEF by MARTIN,KYLE",1
04:19,,,,,"MISS JUMPER by MUMPHARD,ALEX",,,"MISS JUMPER by MUMPHARD,ALEX",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
03:55,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by METZLER,ANTHONY",,,"REBOUND DEF by METZLER,ANTHONY",1
03:52,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
03:52,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
03:52,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
03:52,,,,,"SUB IN by MITCHELL,TYLER",,,"SUB IN by MITCHELL,TYLER",1
03:52,,,,,"SUB OUT by MARTIN,KYLE",,,"SUB OUT by MARTIN,KYLE",1
03:32,,,,,"MISS JUMPER by MITCHELL,TYLER",,,"MISS JUMPER by MITCHELL,TYLER",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
03:09,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
03:05,"GOOD JUMPER by LIVSEY,GEOFF",26,,29 (+3),,RCMBB13 26-29 (-3),,"GOOD JUMPER by LIVSEY,GEOFF",1
02:42,,,,,"MISS JUMPER by MITCHELL,TYLER",,,"MISS JUMPER by MITCHELL,TYLER",1
02:42,"BLOCK  by LIVSEY,GEOFF",,,,,,,"BLOCK  by LIVSEY,GEOFF",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
02:34,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
02:32,,,,,"STEAL  by MITCHELL,TYLER",,,"STEAL  by MITCHELL,TYLER",1
02:30,,,,,"TURNOVER  by MITCHELL,TYLER",,,"TURNOVER  by MITCHELL,TYLER",1
02:23,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",1
02:22,"GOOD JUMPER by COLLINS,LUKE",28,,29 (+1),,RCMBB13 28-29 (-1),,"GOOD JUMPER by COLLINS,LUKE",1
02:04,"FOUL  by COLLINS,LUKE",,,,,,,"FOUL  by COLLINS,LUKE",1
02:04,,28,,31 (+3),"GOOD JUMPER by MITCHELL,TYLER",GCMB 28-31 (-3),,"GOOD JUMPER by MITCHELL,TYLER",1
02:04,,,,,"MISS FT by MITCHELL,TYLER",,,"MISS FT by MITCHELL,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:04,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
02:04,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
02:04,,,,,"SUB IN by POTTS,AUSTIN",,,"SUB IN by POTTS,AUSTIN",1
02:04,,,,,"SUB OUT by MUMPHARD,ALEX",,,"SUB OUT by MUMPHARD,ALEX",1
01:41,"GOOD JUMPER by GALLAGHER,MICHAEL",30,,31 (+1),,RCMBB13 30-31 (-1),,"GOOD JUMPER by GALLAGHER,MICHAEL",1
01:26,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",1
01:26,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
01:26,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
01:26,,,,,"SUB IN by ALBERTSON,TODD",,,"SUB IN by ALBERTSON,TODD",1
01:26,,,,,"SUB OUT by MITCHELL,TYLER",,,"SUB OUT by MITCHELL,TYLER",1
01:17,,30,,33 (+3),"GOOD JUMPER by JONES,MARQUEL",GCMB 30-33 (-3),,"GOOD JUMPER by JONES,MARQUEL",1
00:59,,,,,"FOUL  by JONES,MARQUEL",,,"FOUL  by JONES,MARQUEL",1
00:59,"GOOD FT by COLLINS,LUKE",31,,33 (+2),,RCMBB13 31-33 (-2),,"GOOD FT by COLLINS,LUKE",1
00:59,"GOOD FT by COLLINS,LUKE",32,,33 (+1),,RCMBB13 32-33 (-1),,"GOOD FT by COLLINS,LUKE",1
00:59,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
00:59,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
00:50,,32,,35 (+3),"GOOD JUMPER by JONES,MARQUEL",GCMB 32-35 (-3),,"GOOD JUMPER by JONES,MARQUEL",1
00:14,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
00:03,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
20:00,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
20:00,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",2
20:00,"SUB OUT by DUNAVANT,JOHN",,,,,,,"SUB OUT by DUNAVANT,JOHN",2
20:00,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",2
20:00,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
20:00,,,,,"SUB OUT by MUMPHARD,ALEX",,,"SUB OUT by MUMPHARD,ALEX",2
20:00,,,,,"SUB OUT by ANDERSON,DANIEL",,,"SUB OUT by ANDERSON,DANIEL",2
20:00,,,,,"SUB OUT by GIERTZ,BEN",,,"SUB OUT by GIERTZ,BEN",2
20:00,,,,,"SUB OUT by METZLER,ANTHONY",,,"SUB OUT by METZLER,ANTHONY",2
19:43,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
19:38,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by ROLLINS,TEVIN",,,"REBOUND DEF by ROLLINS,TEVIN",2
19:32,,,,,"FOUL  by ANDERSON,DANIEL",,,"FOUL  by ANDERSON,DANIEL",2
19:26,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
19:24,,,,,"STEAL  by MUMPHARD,ALEX",,,"STEAL  by MUMPHARD,ALEX",2
19:16,,32,,37 (+5),"GOOD JUMPER by MUMPHARD,ALEX",GCMB 32-37 (-5),,"GOOD JUMPER by MUMPHARD,ALEX",2
19:05,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",2
19:00,,,,,"MISS 3PTR by MUMPHARD,ALEX",,,"MISS 3PTR by MUMPHARD,ALEX",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
18:49,"GOOD JUMPER by GALOW,ANDREW",34,,37 (+3),,RCMBB13 34-37 (-3),,"GOOD JUMPER by GALOW,ANDREW",2
18:33,,34,,39 (+5),"GOOD JUMPER by METZLER,ANTHONY",GCMB 34-39 (-5),,"GOOD JUMPER by METZLER,ANTHONY",2
--,,,,,"ASSIST  by MUMPHARD,ALEX",,,"ASSIST  by MUMPHARD,ALEX",2
18:18,"GOOD JUMPER by GALOW,ANDREW",36,,39 (+3),,RCMBB13 36-39 (-3),,"GOOD JUMPER by GALOW,ANDREW",2
18:18,,,,,"FOUL  by ROLLINS,TEVIN",,,"FOUL  by ROLLINS,TEVIN",2
18:18,"GOOD FT by GALOW,ANDREW",37,,39 (+2),,RCMBB13 37-39 (-2),,"GOOD FT by GALOW,ANDREW",2
18:07,,37,,42 (+5),"GOOD 3PTR by METZLER,ANTHONY",GCMB 37-42 (-5),,"GOOD 3PTR by METZLER,ANTHONY",2
--,,,,,"ASSIST  by GIERTZ,BEN",,,"ASSIST  by GIERTZ,BEN",2
17:43,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
17:40,,,,,"FOUL  by ROLLINS,TEVIN",,,"FOUL  by ROLLINS,TEVIN",2
17:40,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:40,"GOOD FT by LIVSEY,GEOFF",38,,42 (+4),,RCMBB13 38-42 (-4),,"GOOD FT by LIVSEY,GEOFF",2
17:40,,,,,"SUB IN by ALBERTSON,TODD",,,"SUB IN by ALBERTSON,TODD",2
17:40,,,,,"SUB OUT by ROLLINS,TEVIN",,,"SUB OUT by ROLLINS,TEVIN",2
