Time Remaining,UDM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
16:19,"MISS FT by NUNN,JOSHUA",,,,,,,"MISS FT by NUNN,JOSHUA",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
16:19,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",2
16:19,"SUB IN by HAYES,ISAIAH",,,,,,,"SUB IN by HAYES,ISAIAH",2
16:19,"SUB IN by RUSSELL,JOHN",,,,,,,"SUB IN by RUSSELL,JOHN",2
16:19,"SUB IN by BOLEN,SCOTT",,,,,,,"SUB IN by BOLEN,SCOTT",2
16:19,"SUB OUT by GIUNTA,JACOB",,,,,,,"SUB OUT by GIUNTA,JACOB",2
16:19,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",2
16:19,"SUB OUT by MATHIS,DUSTIN",,,,,,,"SUB OUT by MATHIS,DUSTIN",2
16:19,"SUB OUT by WAMBSGANSS,MICHAEL",,,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",2
16:19,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
16:19,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
15:57,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
15:53,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
15:49,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by RUSSELL,JOHN",,,,,,,"REBOUND DEF by RUSSELL,JOHN",2
15:27,"MISS 3PTR by NUNN,JOSHUA",,,,,,,"MISS 3PTR by NUNN,JOSHUA",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:21,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",2
15:21,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",2
15:21,"SUB OUT by HYDE,CAMERAN",,,,,,,"SUB OUT by HYDE,CAMERAN",2
15:21,"SUB OUT by NUNN,JOSHUA",,,,,,,"SUB OUT by NUNN,JOSHUA",2
14:48,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",2
--,"REBOUND DEF by HAYES,ISAIAH",,,,,,,"REBOUND DEF by HAYES,ISAIAH",2
14:37,"GOOD 3PTR by HAYES,ISAIAH",29,,43 (+14),,UDM 29-43 (+14),,"GOOD 3PTR by HAYES,ISAIAH",2
--,"ASSIST  by MATHIS,DUSTIN",,,,,,,"ASSIST  by MATHIS,DUSTIN",2
14:17,,29,,45 (+16),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 29-45 (+16),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
14:06,"GOOD 3PTR by HYDE,CAMERAN",32,,45 (+13),,UDM 32-45 (+13),,"GOOD 3PTR by HYDE,CAMERAN",2
--,"ASSIST  by MATHIS,DUSTIN",,,,,,,"ASSIST  by MATHIS,DUSTIN",2
13:43,,32,,48 (+16),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 32-48 (+16),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by II,ROD CUMMINGS",,,"ASSIST  by II,ROD CUMMINGS",2
13:20,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",2
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",2
13:08,,32,,50 (+18),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 32-50 (+18),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
12:59,"MISS JUMPER by BOLEN,SCOTT",,,,,,,"MISS JUMPER by BOLEN,SCOTT",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
12:48,,32,,53 (+21),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 32-53 (+21),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
12:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:43,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",2
12:43,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",2
12:43,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
12:43,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",2
12:43,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
12:43,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
12:28,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
12:17,"MISS 3PTR by HAYES,ISAIAH",,,,,,,"MISS 3PTR by HAYES,ISAIAH",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
12:08,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",2
11:45,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by HAYES,ISAIAH",,,,,,,"REBOUND DEF by HAYES,ISAIAH",2
11:37,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",2
11:33,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
11:31,"FOUL  by HAYES,ISAIAH",,,,,,,"FOUL  by HAYES,ISAIAH",2
11:31,"SUB IN by HOLLOWAY,MATT",,,,,,,"SUB IN by HOLLOWAY,MATT",2
11:31,"SUB OUT by MATHIS,DUSTIN",,,,,,,"SUB OUT by MATHIS,DUSTIN",2
11:19,,32,,55 (+23),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 32-55 (+23),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
11:19,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",2
11:19,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,"REBOUND DEF by BOLEN,SCOTT",,,,,,,"REBOUND DEF by BOLEN,SCOTT",2
11:04,"GOOD JUMPER by RUSSELL,JOHN",34,,55 (+21),,UDM 34-55 (+21),,"GOOD JUMPER by RUSSELL,JOHN",2
--,"ASSIST  by BOLEN,SCOTT",,,,,,,"ASSIST  by BOLEN,SCOTT",2
10:39,"FOUL  by RUSSELL,JOHN",,,,,,,"FOUL  by RUSSELL,JOHN",2
10:33,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",2
10:33,"SUB OUT by RUSSELL,JOHN",,,,,,,"SUB OUT by RUSSELL,JOHN",2
10:28,,,,,"MISS JUMPER by EATON,JACK",,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND DEF by BOLEN,SCOTT",,,,,,,"REBOUND DEF by BOLEN,SCOTT",2
10:15,"GOOD 3PTR by HAYES,ISAIAH",37,,55 (+18),,UDM 37-55 (+18),,"GOOD 3PTR by HAYES,ISAIAH",2
--,"ASSIST  by HYDE,CAMERAN",,,,,,,"ASSIST  by HYDE,CAMERAN",2
09:55,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",,,"TURNOVER  by CARTWRIGHT,BROOKS",2
09:53,"STEAL  by BOLEN,SCOTT",,,,,,,"STEAL  by BOLEN,SCOTT",2
09:51,"TURNOVER  by BOLEN,SCOTT",,,,,,,"TURNOVER  by BOLEN,SCOTT",2
09:51,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
09:51,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",2
09:51,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
09:51,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
09:33,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
09:31,"STEAL  by BOLEN,SCOTT",,,,,,,"STEAL  by BOLEN,SCOTT",2
09:23,"MISS 3PTR by HAYES,ISAIAH",,,,,,,"MISS 3PTR by HAYES,ISAIAH",2
--,"REBOUND OFF by HOLLOWAY,MATT",,,,,,,"REBOUND OFF by HOLLOWAY,MATT",2
09:15,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
09:14,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",2
09:14,"MISS FT by TOUSSAINT,LETRELL",,,,,,,"MISS FT by TOUSSAINT,LETRELL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:14,"GOOD FT by TOUSSAINT,LETRELL",38,,55 (+17),,UDM 38-55 (+17),,"GOOD FT by TOUSSAINT,LETRELL",2
09:14,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
09:14,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
09:14,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
09:14,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
08:51,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:27,"MISS JUMPER by HOLLOWAY,MATT",,,,,,,"MISS JUMPER by HOLLOWAY,MATT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:00,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
07:52,"GOOD JUMPER by HAYES,ISAIAH(in the paint)",40,,55 (+15),,UDM 40-55 (+15),,"GOOD JUMPER by HAYES,ISAIAH(in the paint)",2
07:27,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
07:27,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:27,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:27,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by HYDE,CAMERAN",,,,,,,"REBOUND DEF by HYDE,CAMERAN",2
07:27,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
07:27,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
07:12,"GOOD 3PTR by HYDE,CAMERAN",43,,55 (+12),,UDM 43-55 (+12),,"GOOD 3PTR by HYDE,CAMERAN",2
06:55,,43,,57 (+14),"GOOD JUMPER by STANLEY,SETH",HENDRIXM 43-57 (+14),,"GOOD JUMPER by STANLEY,SETH",2
06:31,"TURNOVER  by HYDE,CAMERAN",,,,,,,"TURNOVER  by HYDE,CAMERAN",2
06:18,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:09,"SUB IN by MATHIS,DUSTIN",,,,,,,"SUB IN by MATHIS,DUSTIN",2
06:09,"SUB IN by WAMBSGANSS,MICHAEL",,,,,,,"SUB IN by WAMBSGANSS,MICHAEL",2
06:09,"SUB OUT by HOLLOWAY,MATT",,,,,,,"SUB OUT by HOLLOWAY,MATT",2
06:09,"SUB OUT by BOLEN,SCOTT",,,,,,,"SUB OUT by BOLEN,SCOTT",2
05:59,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
05:59,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
05:59,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
05:42,"GOOD 3PTR by MATHIS,DUSTIN",46,,57 (+11),,UDM 46-57 (+11),,"GOOD 3PTR by MATHIS,DUSTIN",2
--,"ASSIST  by HAYES,ISAIAH",,,,,,,"ASSIST  by HAYES,ISAIAH",2
05:42,,46,,60 (+14),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 46-60 (+14),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",2
05:35,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
05:35,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",2
05:29,"MISS JUMPER by MATHIS,DUSTIN",,,,,,,"MISS JUMPER by MATHIS,DUSTIN",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
05:19,,46,,63 (+17),"GOOD 3PTR by STANLEY,SETH",HENDRIXM 46-63 (+17),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
05:02,"GOOD JUMPER by WAMBSGANSS,MICHAEL",48,,63 (+15),,UDM 48-63 (+15),,"GOOD JUMPER by WAMBSGANSS,MICHAEL",2
04:45,,48,,65 (+17),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 48-65 (+17),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
04:45,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
04:45,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,"REBOUND DEF by HAYES,ISAIAH",,,,,,,"REBOUND DEF by HAYES,ISAIAH",2
04:27,"MISS JUMPER by HYDE,CAMERAN",,,,,,,"MISS JUMPER by HYDE,CAMERAN",2
04:27,,,,,"BLOCK  by STANLEY,SETH",,,"BLOCK  by STANLEY,SETH",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
04:21,"MISS LAYUP by TOUSSAINT,LETRELL",,,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
04:02,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
03:50,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",2
03:46,,,,,"STEAL  by CONRAD,ALEX",,,"STEAL  by CONRAD,ALEX",2
03:42,"FOUL  by HYDE,CAMERAN",,,,,,,"FOUL  by HYDE,CAMERAN",2
03:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:42,,48,,66 (+18),"GOOD FT by STANLEY,SETH",HENDRIXM 48-66 (+18),,"GOOD FT by STANLEY,SETH",2
03:42,,48,,67 (+19),"GOOD FT by STANLEY,SETH",HENDRIXM 48-67 (+19),,"GOOD FT by STANLEY,SETH",2
03:42,,48,,68 (+20),"GOOD FT by STANLEY,SETH",HENDRIXM 48-68 (+20),,"GOOD FT by STANLEY,SETH",2
03:25,"MISS JUMPER by WAMBSGANSS,MICHAEL",,,,,,,"MISS JUMPER by WAMBSGANSS,MICHAEL",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
03:07,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",2
02:52,"MISS 3PTR by HAYES,ISAIAH",,,,,,,"MISS 3PTR by HAYES,ISAIAH",2
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",2
02:41,,48,,70 (+22),"GOOD JUMPER by II,ROD CUMMINGS",HENDRIXM 48-70 (+22),,"GOOD JUMPER by II,ROD CUMMINGS",2
02:28,"TURNOVER  by MATHIS,DUSTIN",,,,,,,"TURNOVER  by MATHIS,DUSTIN",2
02:26,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",2
02:23,"FOUL  by HAYES,ISAIAH",,,,,,,"FOUL  by HAYES,ISAIAH",2
02:23,,,,,"MISS FT by II,ROD CUMMINGS",,,"MISS FT by II,ROD CUMMINGS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:23,,48,,71 (+23),"GOOD FT by II,ROD CUMMINGS",HENDRIXM 48-71 (+23),,"GOOD FT by II,ROD CUMMINGS",2
02:23,"SUB IN by YOUNG,GARRETT",,,,,,,"SUB IN by YOUNG,GARRETT",2
02:23,"SUB IN by LOCKHART,CHANCE",,,,,,,"SUB IN by LOCKHART,CHANCE",2
02:23,"SUB IN by GALLANT,JACK",,,,,,,"SUB IN by GALLANT,JACK",2
02:23,"SUB IN by HOLLOWAY,MATT",,,,,,,"SUB IN by HOLLOWAY,MATT",2
02:23,"SUB IN by BOLEN,SCOTT",,,,,,,"SUB IN by BOLEN,SCOTT",2
02:23,"SUB OUT by HYDE,CAMERAN",,,,,,,"SUB OUT by HYDE,CAMERAN",2
02:23,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",2
02:23,"SUB OUT by MATHIS,DUSTIN",,,,,,,"SUB OUT by MATHIS,DUSTIN",2
02:23,"SUB OUT by HAYES,ISAIAH",,,,,,,"SUB OUT by HAYES,ISAIAH",2
02:23,"SUB OUT by WAMBSGANSS,MICHAEL",,,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",2
02:23,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
02:23,,,,,"SUB IN by PRINS,ZACHARY",,,"SUB IN by PRINS,ZACHARY",2
02:23,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
02:23,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",2
02:23,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",2
02:23,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
02:23,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
02:23,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
02:23,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
02:23,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
02:10,"TURNOVER  by BOLEN,SCOTT",,,,,,,"TURNOVER  by BOLEN,SCOTT",2
02:09,,,,,"STEAL  by JOHNSON,DAMECKO",,,"STEAL  by JOHNSON,DAMECKO",2
01:59,,48,,74 (+26),"GOOD 3PTR by PRINS,ZACHARY",HENDRIXM 48-74 (+26),,"GOOD 3PTR by PRINS,ZACHARY",2
--,,,,,"ASSIST  by JOHNSON,DAMECKO",,,"ASSIST  by JOHNSON,DAMECKO",2
01:38,"MISS 3PTR by GALLANT,JACK",,,,,,,"MISS 3PTR by GALLANT,JACK",2
--,"REBOUND OFF by LOCKHART,CHANCE",,,,,,,"REBOUND OFF by LOCKHART,CHANCE",2
01:18,"GOOD 3PTR by GALLANT,JACK",51,,74 (+23),,UDM 51-74 (+23),,"GOOD 3PTR by GALLANT,JACK",2
--,"ASSIST  by LOCKHART,CHANCE",,,,,,,"ASSIST  by LOCKHART,CHANCE",2
01:08,,51,,77 (+26),"GOOD 3PTR by PRINS,ZACHARY",HENDRIXM 51-77 (+26),,"GOOD 3PTR by PRINS,ZACHARY",2
--,,,,,"ASSIST  by JOHNSON,DAMECKO",,,"ASSIST  by JOHNSON,DAMECKO",2
00:44,"MISS 3PTR by HOLLOWAY,MATT",,,,,,,"MISS 3PTR by HOLLOWAY,MATT",2
--,"REBOUND OFF by BOLEN,SCOTT",,,,,,,"REBOUND OFF by BOLEN,SCOTT",2
00:40,"MISS LAYUP by BOLEN,SCOTT",,,,,,,"MISS LAYUP by BOLEN,SCOTT",2
--,"REBOUND OFF by LOCKHART,CHANCE",,,,,,,"REBOUND OFF by LOCKHART,CHANCE",2
00:29,"GOOD 3PTR by LOCKHART,CHANCE",54,,77 (+23),,UDM 54-77 (+23),,"GOOD 3PTR by LOCKHART,CHANCE",2
--,"ASSIST  by BOLEN,SCOTT",,,,,,,"ASSIST  by BOLEN,SCOTT",2
