Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
05:00,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",3
04:49,,,,,"MISS 3PTR by HILL,KAMERON",,,"MISS 3PTR by HILL,KAMERON",3
--,,,,,"REBOUND OFF by BRUMBAUGH,LUKE",,,"REBOUND OFF by BRUMBAUGH,LUKE",3
04:45,,67,,69 (+2),"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",AC 67-69 (-2),,"GOOD JUMPER by BRUMBAUGH,LUKE(in the paint)",3
04:24,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",3
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",3
04:02,,,,,"TURNOVER  by ROLAND,DEVIN",,,"TURNOVER  by ROLAND,DEVIN",3
04:01,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",3
03:42,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",3
--,,,,,"REBOUND DEF by HOLLAND,MICHAEL",,,"REBOUND DEF by HOLLAND,MICHAEL",3
03:25,,67,,71 (+4),"GOOD JUMPER by ROLAND,DEVIN(in the paint)",AC 67-71 (-4),,"GOOD JUMPER by ROLAND,DEVIN(in the paint)",3
--,,,,,"ASSIST  by BRUMBAUGH,LUKE",,,"ASSIST  by BRUMBAUGH,LUKE",3
02:52,,,,,"FOUL  by HILL,KAMERON",,,"FOUL  by HILL,KAMERON",3
02:52,"GOOD FT by COMAN,SEAN",68,,71 (+3),,HENDRIXM 68-71 (-3),,"GOOD FT by COMAN,SEAN",3
02:47,"GOOD FT by COMAN,SEAN",69,,71 (+2),,HENDRIXM 69-71 (-2),,"GOOD FT by COMAN,SEAN",3
02:28,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",,,"MISS JUMPER by BRUMBAUGH,LUKE",3
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",3
02:21,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",3
--,,,,,"REBOUND DEF by HILL,KAMERON",,,"REBOUND DEF by HILL,KAMERON",3
02:08,,69,,73 (+4),"GOOD LAYUP by ROLAND,DEVIN(in the paint)",AC 69-73 (-4),,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",3
01:44,,,,,"FOUL  by HOLLAND,MICHAEL",,,"FOUL  by HOLLAND,MICHAEL",3
01:44,"MISS FT by II,ROD CUMMINGS",,,,,,,"MISS FT by II,ROD CUMMINGS",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
01:44,"GOOD FT by II,ROD CUMMINGS",70,,73 (+3),,HENDRIXM 70-73 (-3),,"GOOD FT by II,ROD CUMMINGS",3
01:44,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",3
01:44,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",3
01:19,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",3
01:19,,70,,74 (+4),"GOOD FT by ROLAND,DEVIN",AC 70-74 (-4),,"GOOD FT by ROLAND,DEVIN",3
01:19,,70,,75 (+5),"GOOD FT by ROLAND,DEVIN",AC 70-75 (-5),,"GOOD FT by ROLAND,DEVIN",3
01:07,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",3
01:06,,,,,"STEAL  by ROLAND,DEVIN",,,"STEAL  by ROLAND,DEVIN",3
00:40,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",3
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",3
00:33,,,,,"FOUL  by MERCADEL,JUSTICE",,,"FOUL  by MERCADEL,JUSTICE",3
00:33,"GOOD FT by COMAN,SEAN",71,,75 (+4),,HENDRIXM 71-75 (-4),,"GOOD FT by COMAN,SEAN",3
00:33,"GOOD FT by COMAN,SEAN",72,,75 (+3),,HENDRIXM 72-75 (-3),,"GOOD FT by COMAN,SEAN",3
00:33,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,3
00:33,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",3
00:33,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",3
00:31,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",3
00:31,,72,,76 (+4),"GOOD FT by MERCADEL,JUSTICE",AC 72-76 (-4),,"GOOD FT by MERCADEL,JUSTICE",3
00:31,,72,,77 (+5),"GOOD FT by MERCADEL,JUSTICE",AC 72-77 (-5),,"GOOD FT by MERCADEL,JUSTICE",3
00:31,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",3
00:31,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",3
00:23,"GOOD LAYUP by STANLEY,SETH(in the paint)",74,,77 (+3),,HENDRIXM 74-77 (-3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",3
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",3
00:20,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",3
00:20,,74,,78 (+4),"GOOD FT by MERCADEL,JUSTICE",AC 74-78 (-4),,"GOOD FT by MERCADEL,JUSTICE",3
00:20,,74,,79 (+5),"GOOD FT by MERCADEL,JUSTICE",AC 74-79 (-5),,"GOOD FT by MERCADEL,JUSTICE",3
00:14,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",3
00:14,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",3
00:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,3
00:14,"SUB IN by II,ROD CUMMINGS",,,,,,,"SUB IN by II,ROD CUMMINGS",3
00:14,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",3
00:13,"FOUL  by CARTWRIGHT,BROOKS",,,,,,,"FOUL  by CARTWRIGHT,BROOKS",3
00:13,,74,,80 (+6),"GOOD FT by HOLLAND,MICHAEL",AC 74-80 (-6),,"GOOD FT by HOLLAND,MICHAEL",3
00:13,,74,,81 (+7),"GOOD FT by HOLLAND,MICHAEL",AC 74-81 (-7),,"GOOD FT by HOLLAND,MICHAEL",3
00:10,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",3
